REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554772199997
Globe,ALUPLANT,2011,3.98095374642
Globe,ALUPLANT,2012,4.10115415121
Globe,ALUPLANT,2013,4.2195444253
Globe,ALUPLANT,2014,4.33612053328
Globe,ALUPLANT,2015,4.4509648847
Globe,ALUPLANT,2016,4.56410222086
Globe,ALUPLANT,2017,4.6755462
Globe,ALUPLANT,2018,4.78536910184
Globe,ALUPLANT,2019,4.89357487776
Globe,ALUPLANT,2020,5.0002308204
Globe,ALUPLANT,2021,5.10535877424
Globe,ALUPLANT,2022,5.208961559204
Globe,ALUPLANT,2023,5.3111181064999995
Globe,ALUPLANT,2024,5.411820124559999
Globe,ALUPLANT,2025,5.51113735302
Globe,ALUPLANT,2026,5.6090734
Globe,ALUPLANT,2027,5.7056418
Globe,ALUPLANT,2028,5.8009076
Globe,ALUPLANT,2029,5.89486
Globe,ALUPLANT,2030,5.9875635
Globe,ALUPLANT,2031,6.0790284
Globe,ALUPLANT,2032,6.1692479
Globe,ALUPLANT,2033,6.2583013
Globe,ALUPLANT,2034,6.346156799999999
Globe,ALUPLANT,2035,6.432892899999999
Globe,ALUPLANT,2036,6.5185005
Globe,ALUPLANT,2037,6.6029842
Globe,ALUPLANT,2038,6.6864068
Globe,ALUPLANT,2039,6.768746899999999
Globe,ALUPLANT,2040,6.8500670999999995
Globe,ALUPLANT,2041,6.9303695
Globe,ALUPLANT,2042,7.0096405
Globe,ALUPLANT,2043,7.0879567
Globe,ALUPLANT,2044,7.1652782
Globe,ALUPLANT,2045,7.24168097732
Globe,ALUPLANT,2046,7.31714987994
Globe,ALUPLANT,2047,7.391682750639999
Globe,ALUPLANT,2048,7.46534090996
Globe,ALUPLANT,2049,7.5380954849999995
Globe,ALUPLANT,2050,7.610007337999999
Globe,ALUPLANT,2051,7.610007337999999
Globe,ALUPLANT,2052,7.610007337999999
Globe,ALUPLANT,2053,7.610007337999999
Globe,ALUPLANT,2054,7.610007337999999
Globe,ALUPLANT,2055,7.610007337999999
Globe,ALUPLANT,2056,7.610007337999999
Globe,ALUPLANT,2057,7.610007337999999
Globe,ALUPLANT,2058,7.610007337999999
Globe,ALUPLANT,2059,7.610007337999999
Globe,ALUPLANT,2060,7.610007337999999
Globe,ALUPLANT,2061,7.610007337999999
Globe,ALUPLANT,2062,7.610007337999999
Globe,ALUPLANT,2063,7.610007337999999
Globe,ALUPLANT,2064,7.610007337999999
Globe,ALUPLANT,2065,7.610007383829999
Globe,ALUPLANT,2066,7.61000738383
Globe,ALUPLANT,2067,7.610007337999999
Globe,ALUPLANT,2068,7.610007337999999
Globe,ALUPLANT,2069,7.610007337999999
Globe,ALUPLANT,2070,7.610007337999999
Globe,C1BFRDF00,2010,0.5606000000000001
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.566799996738
Globe,C1BFRDF00,2014,0.528800002002
Globe,C1BFRDF00,2015,0.492699999746
Globe,C1BFRDF00,2016,0.45490000242
Globe,C1BFRDF00,2017,0.419799999787
Globe,C1BFRDF00,2018,0.38709999906900006
Globe,C1BFRDF00,2019,0.356800001105
Globe,C1BFRDF00,2020,0.32870000114
Globe,C1BFRDF00,2022,0.51964387
Globe,C1BFRDF00,2023,0.175074307647
Globe,C1BFRDF00,2024,0.24804201235219997
Globe,C1BFRDF00,2025,0.47354287
Globe,C1BFRDF00,2026,0.47354011
Globe,C1BFRDF00,2027,0.413775059663
Globe,C1BFRDF00,2028,0.46016391
Globe,C1BFRDF00,2029,0.44964364
Globe,C1BFRDF00,2030,0.43893773
Globe,C1BFRDF00,2031,0.421006556784
Globe,C1BFRDF00,2032,0.07745468902199999
Globe,C1BFRDF00,2033,0.08188245822899999
Globe,C1BFRDF00,2034,-8.000670003269999e-07
Globe,C1BFRDF00,2035,-2.46545436863e-08
Globe,C1BFRDF00,2036,-9.52387693749e-07
Globe,C1BFRDF00,2037,2.9816227597699995e-08
Globe,C1BFRDF00,2038,-1.2078820525235e-06
Globe,C1BFRDF00,2039,-1.0851995461400001e-08
Globe,C1BFRDF00,2040,-6.74023607398e-08
Globe,C1BFRDF00,2041,-1.48460389676e-07
Globe,C1BMBRFH1,2010,22.6014539826
Globe,C1BMBRFH1,2011,17.36945659248
Globe,C1BMBRFH1,2012,15.59592779822
Globe,C1BMBRFH1,2013,14.482608761379998
Globe,C1BMBRFH1,2014,13.089467853599999
Globe,C1BMBRFH1,2015,11.69482693828
Globe,C1BMBRFH1,2016,11.766493985279999
Globe,C1BMBRFH1,2017,12.3280043866
Globe,C1BMBRFH1,2018,11.520100983319999
Globe,C1BMBRFH1,2019,9.8739216
Globe,C1BMBRFH1,2020,8.2277424
Globe,C1BMBRFH1,2021,6.30386236272
Globe,C1BMBRFH1,2022,3.702507083
Globe,C1BMBRFH1,2023,3.2923584
Globe,C1BMBRFH1,2024,1.646179201533726
Globe,C1BMBRFN1,2010,2.20752
Globe,C1BMBRFN1,2011,2.20752
Globe,C1BMBRFN1,2012,2.20752
Globe,C1BMBRFN1,2013,2.20752
Globe,C1BMBRFN1,2014,2.20752
Globe,C1BMBRFN1,2015,2.20752
Globe,C1BMBRFN1,2016,2.20752
Globe,C1BMBRFN1,2017,2.20752
Globe,C1BMBRFN1,2018,2.8870491
Globe,C1BMBRFN1,2019,4.4638491
Globe,C1BMBRFN1,2020,6.0406491
Globe,C1BMBRFN1,2021,6.0406491
Globe,C1BMBRFN1,2022,6.0406491
Globe,C1BMBRFN1,2023,7.6174491
Globe,C1BMBRFN1,2024,9.1942491
Globe,C1BMBRFN1,2025,8.5635291
Globe,C1BMBRFN1,2026,10.140328999999998
Globe,C1BMBRFN1,2027,11.717128999999998
Globe,C1BMBRFN1,2028,12.872743
Globe,C1BMBRFN1,2029,12.872743
Globe,C1BMBRFN1,2030,12.872743
Globe,C1BMBRFN1,2031,12.872743
Globe,C1BMBRFN1,2032,12.872743
Globe,C1BMBRFN1,2033,12.193214
Globe,C1BMBRFN1,2034,10.616414
Globe,C1BMBRFN1,2035,9.0396139
Globe,C1BMBRFN1,2036,9.0396139
Globe,C1BMBRFN1,2037,9.0396139
Globe,C1BMBRFN1,2038,7.4628139
Globe,C1BMBRFN1,2039,5.8860139
Globe,C1BMBRFN1,2040,4.3092139
Globe,C1BMBRFN1,2041,2.7324139
Globe,C1BMBRFN1,2042,1.05923570074
Globe,C1BMCHP00,2010,0.07377437232
Globe,C1BMCHP00,2011,0.568257753434
Globe,C1BMCHP00,2012,0.766961826121
Globe,C1BMCHP00,2013,0.742300675983
Globe,C1BMCHP00,2014,0.7176395212619999
Globe,C1BMCHP00,2015,0.6954444879710001
Globe,C1BMCHP00,2016,0.67078333325
Globe,C1BMCHP00,2017,0.6461221831120001
Globe,C1BMCHP00,2018,0.623927145238
Globe,C1BMCHP00,2019,0.5992659954010741
Globe,C1BMCHP00,2020,0.574604840379
Globe,C1BMCHP00,2021,0.5499436902410001
Globe,C1BMCHP00,2022,0.527748652367
Globe,C1BMCHP00,2023,0.503087502229
Globe,C1BMCHP00,2024,0.478426347508
Globe,C1BMCHP00,2025,0.456231314217
Globe,C1BMCHP00,2026,0.431570159496
Globe,C1BMCHP00,2027,0.406909009358
Globe,C1BMCHP00,2028,0.38224785455109805
Globe,C1BMCHP00,2029,0.360052821346
Globe,C1BMCHP00,2030,0.335391666625
Globe,C1BMCHP00,2031,0.31073051648699995
Globe,C1BMCHP00,2032,0.288535478613
Globe,C1BMCHP00,2033,0.26387432847500003
Globe,C1BMCHP00,2034,0.239213173754
Globe,C1BMCHP00,2035,0.21455202361599998
Globe,C1BMCHP00,2036,0.192356985742
Globe,C1BMCHP00,2037,0.167695835604
Globe,C1BMCHP00,2038,0.143034680883
Globe,C1BMCHP00,2039,0.120839643009
Globe,C1BMCHP00,2040,0.096178492871
Globe,C1BMCHP00,2041,0.0715173408998
Globe,C1BMCHP00,2042,0.004247615376
Globe,C1BMCHP00,2043,0.01228500648
Globe,C1BMHTF03,2011,0.14311344640899998
Globe,C1BMHTF03,2012,1.8963400368299999
Globe,C1BMHTF03,2013,4.085368803580001
Globe,C1BMHTF03,2014,4.463423598009999
Globe,C1BMHTF03,2015,3.63352449112
Globe,C1BMHTF03,2016,3.14876169916
Globe,C1BMHTF03,2017,3.73385768518
Globe,C1BMHTF03,2018,4.5823700124
Globe,C1BMHTF03,2019,4.19999601564
Globe,C1BMHTF03,2020,3.8206810099200004
Globe,C1BMHTF03,2021,3.43830700482
Globe,C1BMHTF03,2022,3.05593300806
Globe,C1BMHTF03,2023,2.6735590029600003
Globe,C1BMHTF03,2024,2.2911850062
Globe,C1BMHTF03,2025,1.90881100944
Globe,C1BMHTF03,2026,1.5264370043399997
Globe,C1BMHTF03,2027,1.14712199862
Globe,C1BMHTF03,2028,0.7647479710259999
Globe,C1BMHTF03,2029,0.382373980096
Globe,C1BMHTF03,2032,-1.4861469760999994e-09
Globe,C1BMHTF03,2033,-1.4480840412e-09
Globe,C1BMHTF03,2036,-9.150172619999989e-11
Globe,C1BMHTF03,2050,-1.71211938567e-08
Globe,C1BMHTF03,2061,8.673396504000001e-10
Globe,C1BMIGPCS,2021,2.29015891492
Globe,C1BMIGPCS,2022,2.29015891492
Globe,C1BMIGPCS,2023,2.29015891492
Globe,C1BMIGPCS,2024,2.29015891492
Globe,C1BMIGPCS,2025,2.29015891492
Globe,C1BMIGPCS,2026,2.6891167812399996
Globe,C1BMIGPCS,2027,2.68911673541
Globe,C1BMIGPCS,2028,2.68911673541
Globe,C1BMIGPCS,2029,2.9120600945099997
Globe,C1BMIGPCS,2030,3.1751887745999996
Globe,C1BMIGPCS,2031,3.28600013323
Globe,C1BMIGPCS,2032,4.46669081977
Globe,C1BMIGPCS,2033,4.77047183636
Globe,C1BMIGPCS,2034,5.83314652208
Globe,C1BMIGPCS,2035,6.49232214143
Globe,C1BMIGPCS,2036,6.495333631639999
Globe,C1BMIGPCS,2037,6.50330804543
Globe,C1BMIGPCS,2038,7.164170342299999
Globe,C1BMIGPCS,2039,7.82839313996
Globe,C1BMIGPCS,2040,8.49924809754908
Globe,C1BMIGPCS,2041,9.255693696139998
Globe,C1BMIGPCS,2042,9.999999958959998
Globe,C1BMIGPCS,2043,9.999999958959998
Globe,C1BMIGPCS,2044,9.999999958959998
Globe,C1BMIGPCS,2045,9.999999958959998
Globe,C1BMIGPCS,2046,9.999999958959998
Globe,C1BMIGPCS,2047,9.999999958959998
Globe,C1BMIGPCS,2048,9.999999958959998
Globe,C1BMIGPCS,2049,9.999999958959998
Globe,C1BMIGPCS,2050,9.999999958959998
Globe,C1BMIGPCS,2051,9.999999958959998
Globe,C1BMIGPCS,2052,9.999999958959998
Globe,C1BMIGPCS,2053,9.999999958959998
Globe,C1BMIGPCS,2054,9.999999958959998
Globe,C1BMIGPCS,2055,10.00000000018
Globe,C1BMIGPCS,2056,9.99999999998
Globe,C1BMIGPCS,2057,9.99999999998
Globe,C1BMIGPCS,2058,9.99999999998
Globe,C1BMIGPCS,2059,9.999999958959998
Globe,C1BMIGPCS,2060,9.999999958959998
Globe,C1BMIGPCS,2061,9.999999958959998
Globe,C1BMIGPCS,2062,9.999999958959998
Globe,C1BMIGPCS,2063,9.999999958959998
Globe,C1BMIGPCS,2064,9.999999958959998
Globe,C1BMIGPCS,2065,9.999999817025
Globe,C1BMIGPCS,2066,10.00000010567
Globe,C1BMIGPCS,2067,9.999999876868001
Globe,C1BMIGPCS,2068,10.00000003217
Globe,C1BMIGPCS,2069,9.999999966212002
Globe,C1BMIGPCS,2070,10.000000164722
Globe,C1BMLP000,2010,1.4311705028600001
Globe,C1BMLP000,2011,6.6874376
Globe,C1BMLP000,2012,6.8996040999999995
Globe,C1BMLP000,2013,6.3967672991199995
Globe,C1BMLP000,2014,5.92211897302
Globe,C1BMLP000,2015,5.475165440940001
Globe,C1BMLP000,2016,5.01571965912
Globe,C1BMLP000,2017,4.59235656114
Globe,C1BMLP000,2018,4.2011188719599994
Globe,C1BMLP000,2019,3.8413832021900003
Globe,C1BMLP000,2020,3.510390097
Globe,C1BMLP000,2022,5.4596041
Globe,C1BMLP000,2023,1.82424674286
Globe,C1BMLP000,2024,2.5630803901789996
Globe,C1BMLP000,2025,4.8522326
Globe,C1BMLP000,2026,4.8111997
Globe,C1BMLP000,2027,4.16815339369
Globe,C1BMLP000,2028,4.595604099999999
Globe,C1BMLP000,2029,4.4516041
Globe,C1BMLP000,2030,4.3076041
Globe,C1BMLP000,2031,4.09517734402
Globe,C1BMLP000,2032,0.74670342368
Globe,C1BMLP000,2033,0.78229908055
Globe,C1BMLP000,2034,-7.574500820479999e-06
Globe,C1BMLP000,2035,-2.3127797856e-07
Globe,C1BMLP000,2036,-7.3824010332e-07
Globe,C1BMLP000,2039,-6.487407378319999e-07
Globe,C1BMLP000,2040,-1.3152535467100001e-06
Globe,C1BMLP000,2041,-1.3155365909699998e-06
Globe,C1BMSCP00,2010,0.12586674624
Globe,C1BMSCP00,2011,0.12094845642
Globe,C1BMSCP00,2012,0.1162537203
Globe,C1BMSCP00,2013,0.11155898418
Globe,C1BMSCP00,2014,0.10664069436
Globe,C1BMSCP00,2015,0.10194596657999999
Globe,C1BMSCP00,2016,0.09725123046
Globe,C1BMSCP00,2017,0.09233294064
Globe,C1BMSCP00,2018,0.08763820452
Globe,C1BMSCP00,2019,0.341212315516
Globe,C1BMSCP00,2020,0.872557898063
Globe,C1BMSCP00,2021,0.45061623750319996
Globe,C1BMSCP00,2022,0.068635716348
Globe,C1BMSCP00,2023,0.7130039179190001
Globe,C1BMSCP00,2024,0.658159661841
Globe,C1BMSCP00,2025,0.605808323994
Globe,C1BMSCP00,2026,0.553456986147
Globe,C1BMSCP00,2027,0.498612730069
Globe,C1BMSCP00,2028,0.44626139222199995
Globe,C1BMSCP00,2029,0.393910058958
Globe,C1BMSCP00,2030,0.341558721111
Globe,C1BMSCP00,2031,0.28671446045
Globe,C1BMSCP00,2032,0.234363127186
Globe,C1BMSCP00,2033,0.182011790296847
Globe,C1BMSCP00,2034,0.011404055952
Globe,C1CO00I00,2010,139.247595734
Globe,C1CO00I00,2011,140.351202512
Globe,C1CO00I00,2012,141.45479734399999
Globe,C1CO00I00,2013,142.55829777199997
Globe,C1CO00I00,2014,143.66190474
Globe,C1CO00I00,2015,144.76549531199998
Globe,C1CO00I00,2016,145.86899644404997
Globe,C1CO00I00,2017,146.97260162434998
Globe,C1CO00I00,2018,148.07619993814
Globe,C1CO00I00,2019,149.1797041447
Globe,C1CO00I00,2020,150.00000281510003
Globe,C1CO00I00,2021,144.400003236
Globe,C1CO00I00,2022,138.799998879
Globe,C1CO00I00,2023,133.20000219599999
Globe,C1CO00I00,2024,127.59999778400001
Globe,C1CO00I00,2025,121.9999983302
Globe,C1CO00I00,2026,116.999998569
Globe,C1CO00I00,2027,111.999996122
Globe,C1CO00I00,2028,106.9999984656
Globe,C1CO00I00,2029,101.99999824940001
Globe,C1CO00I00,2030,96.9999975949
Globe,C1CO00I00,2031,93.9999992889
Globe,C1CO00I00,2032,90.999998244
Globe,C1CO00I00,2033,87.9999996117
Globe,C1CO00I00,2034,85.00000032300001
Globe,C1CO00I00,2035,81.9999999705
Globe,C1CO00I00,2036,81.8000002831
Globe,C1CO00I00,2037,81.6000000992
Globe,C1CO00I00,2038,81.3999996108
Globe,C1CO00I00,2039,81.1999997607
Globe,C1CO00I00,2040,81.0000003118
Globe,C1CO00I00,2041,81.20000008999999
Globe,C1CO00I00,2042,81.4000001669686
Globe,C1CO00I00,2043,81.6000000806
Globe,C1CO00I00,2044,81.80000030965999
