REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.0402509652715815
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.0364592808315274
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.0876253137528675
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.1154907066323423
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.1356938586812384
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.1237123351137692
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.1271127682447335
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.1438131475431836
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.2000712269677383
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.3023344225805855
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.3288063402904795
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.2883629109512265
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.3583312102912517
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.3477433268828294
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.346998108279655
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.3675297304904992
Globe,ID,ALUPLANT,C1_F_CLS,2026,1.354484764765053
Globe,ID,ALUPLANT,C1_F_CLS,2027,1.3758038053152486
Globe,ID,ALUPLANT,C1_F_CLS,2028,1.396741492405358
Globe,ID,ALUPLANT,C1_F_CLS,2029,1.4172938978581802
Globe,ID,ALUPLANT,C1_F_CLS,2030,1.4374832489196323
Globe,ID,ALUPLANT,C1_F_CLS,2031,1.4573106698188176
Globe,ID,ALUPLANT,C1_F_CLS,2032,1.4767758355499994
Globe,ID,ALUPLANT,C1_F_CLS,2033,1.495896142634289
Globe,ID,ALUPLANT,C1_F_CLS,2034,1.514670923779369
Globe,ID,ALUPLANT,C1_F_CLS,2035,1.5331173200579051
Globe,ID,ALUPLANT,C1_F_CLS,2036,1.551234343288754
Globe,ID,ALUPLANT,C1_F_CLS,2037,1.5690212473470033
Globe,ID,ALUPLANT,C1_F_CLS,2038,1.5865001291504262
Globe,ID,ALUPLANT,C1_F_CLS,2039,1.6036640472060106
Globe,ID,ALUPLANT,C1_F_CLS,2040,1.6205289494460025
Globe,ID,ALUPLANT,C1_F_CLS,2041,1.63709322847472
Globe,ID,ALUPLANT,C1_F_CLS,2042,1.653361063026741
Globe,ID,ALUPLANT,C1_F_CLS,2043,1.6693484392963123
Globe,ID,ALUPLANT,C1_F_CLS,2044,1.685043694474657
Globe,ID,ALUPLANT,C1_F_CLS,2045,1.8551955578127692
Globe,ID,ALUPLANT,C1_F_CLS,2046,1.8717305978635916
Globe,ID,ALUPLANT,C1_F_CLS,2047,1.887968824802967
Globe,ID,ALUPLANT,C1_F_CLS,2048,1.9039269516421038
Globe,ID,ALUPLANT,C1_F_CLS,2049,1.919594860493962
Globe,ID,ALUPLANT,C1_F_CLS,2050,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2051,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2052,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2053,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2054,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2055,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2056,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2057,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2058,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2059,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2060,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2061,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2062,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2063,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2064,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2065,2.0573862179115068
Globe,ID,ALUPLANT,C1_F_CLS,2066,1.9969907194152847
Globe,ID,ALUPLANT,C1_F_CLS,2067,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2068,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2069,1.93499656583326
Globe,ID,ALUPLANT,C1_F_CLS,2070,1.93499656583326
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,0.47521805201964296
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,0.4747573942534502
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,0.4995344394698845
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,0.5137099273983997
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,0.5244191472819758
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,0.5202808850938092
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,0.5232599609580215
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,0.5324415027705174
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,0.5601314012721726
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,0.6094971978124469
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,0.6235612848042126
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,0.6062101768395047
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,0.6408518722206724
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,0.6375677924720785
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,0.6389304776672592
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,0.6504196155018375
Globe,ID,ALUPLANT,C1_F_HEA_I,2026,0.6459500018792015
Globe,ID,ALUPLANT,C1_F_HEA_I,2027,0.6578842081933716
Globe,ID,ALUPLANT,C1_F_HEA_I,2028,0.6696955616927582
Globe,ID,ALUPLANT,C1_F_HEA_I,2029,0.681384958644332
Globe,ID,ALUPLANT,C1_F_HEA_I,2030,0.6929539414014262
Globe,ID,ALUPLANT,C1_F_HEA_I,2031,0.704405828007782
Globe,ID,ALUPLANT,C1_F_HEA_I,2032,0.7157421272944703
Globe,ID,ALUPLANT,C1_F_HEA_I,2033,0.7269659042888476
Globe,ID,ALUPLANT,C1_F_HEA_I,2034,0.7380757479636287
Globe,ID,ALUPLANT,C1_F_HEA_I,2035,0.7490802870618816
Globe,ID,ALUPLANT,C1_F_HEA_I,2036,0.7599809694143058
Globe,ID,ALUPLANT,C1_F_HEA_I,2037,0.7707719133022773
Globe,ID,ALUPLANT,C1_F_HEA_I,2038,0.7814629259957465
Globe,ID,ALUPLANT,C1_F_HEA_I,2039,0.792051049634442
Globe,ID,ALUPLANT,C1_F_HEA_I,2040,0.8025462948518812
Globe,ID,ALUPLANT,C1_F_HEA_I,2041,0.8129422299081657
Globe,ID,ALUPLANT,C1_F_HEA_I,2042,0.8232399244770989
Globe,ID,ALUPLANT,C1_F_HEA_I,2043,0.8334479446634133
Globe,ID,ALUPLANT,C1_F_HEA_I,2044,0.8435644686595299
Globe,ID,ALUPLANT,C1_F_HEA_I,2045,0.93125844864042
Globe,ID,ALUPLANT,C1_F_HEA_I,2046,0.9421013399169748
