REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.76786274794622
Globe,CO2EQ,2011,36.02670058078477
Globe,CO2EQ,2012,36.285656824241386
Globe,CO2EQ,2013,36.543814965894356
Globe,CO2EQ,2014,36.70068348156246
Globe,CO2EQ,2015,36.88575901942938
Globe,CO2EQ,2016,36.9555169238432
Globe,CO2EQ,2017,36.93617962967191
Globe,CO2EQ,2018,36.91684909914134
Globe,CO2EQ,2019,36.89761189639446
Globe,CO2EQ,2020,37.05173896412865
Globe,CO2EQ,2021,37.36923851170739
Globe,CO2EQ,2022,37.41807155127445
Globe,CO2EQ,2023,37.735630516389776
Globe,CO2EQ,2024,38.14338809018072
Globe,CO2EQ,2025,38.85515199633249
Globe,CO2EQ,2026,39.41323359880858
Globe,CO2EQ,2027,39.7807390359155
Globe,CO2EQ,2028,40.16046833319832
Globe,CO2EQ,2029,41.16788985100579
Globe,CO2EQ,2030,41.90459693464495
Globe,CO2EQ,2031,42.41554029999998
Globe,CO2EQ,2032,42.68937063276577
Globe,CO2EQ,2033,43.015627661129145
Globe,CO2EQ,2034,43.33487619999998
Globe,CO2EQ,2035,43.6413215
Globe,CO2EQ,2036,43.94776680000001
Globe,CO2EQ,2037,44.25421209999999
Globe,CO2EQ,2038,44.560657399999954
Globe,CO2EQ,2039,44.86710269999999
Globe,CO2EQ,2040,45.17354800000001
Globe,CO2EQ,2041,45.40643002
Globe,CO2EQ,2042,45.63931204000001
Globe,CO2EQ,2043,45.86906490296796
Globe,CO2EQ,2044,46.10507608000002
Globe,CO2EQ,2045,46.33795809999999
Globe,CO2EQ,2046,46.57084012000001
Globe,CO2EQ,2047,46.80372214000002
Globe,CO2EQ,2048,47.03660416000001
Globe,CO2EQ,2049,47.26948618000001
Globe,CO2EQ,2050,47.502368199999985
Globe,CO2EQ,2051,47.597823403546855
Globe,CO2EQ,2052,47.665255001922034
Globe,CO2EQ,2053,47.65547064688384
Globe,CO2EQ,2054,47.61310689412965
Globe,CO2EQ,2055,47.562250746909
Globe,CO2EQ,2056,47.54662126414198
Globe,CO2EQ,2057,47.546621264142
Globe,CO2EQ,2058,47.546643207260445
Globe,CO2EQ,2059,47.54664320726043
Globe,CO2EQ,2060,44.46835406577889
Globe,WATER,2010,21.8062283320071
Globe,WATER,2011,21.869598256578666
Globe,WATER,2012,21.90103009125682
Globe,WATER,2013,21.93365210094387
Globe,WATER,2014,21.98039792135284
Globe,WATER,2015,22.01505450928905
Globe,WATER,2016,22.055632198431443
Globe,WATER,2017,22.127459554104806
Globe,WATER,2018,22.128191487922468
Globe,WATER,2019,22.12333926528751
Globe,WATER,2020,22.10504863761022
Globe,WATER,2021,22.834174677602864
Globe,WATER,2022,23.92640010718979
Globe,WATER,2023,25.18110546838931
Globe,WATER,2024,26.25487514158663
Globe,WATER,2025,27.352491796076926
Globe,WATER,2026,28.848510134880847
Globe,WATER,2027,30.311196265622026
Globe,WATER,2028,31.583448599980528
Globe,WATER,2029,32.83820624687749
Globe,WATER,2030,34.15829162657026
Globe,WATER,2031,35.529010171969794
Globe,WATER,2032,36.95630734116689
Globe,WATER,2033,38.45197143291995
Globe,WATER,2034,40.020131193341406
Globe,WATER,2035,41.649619538730036
Globe,WATER,2036,43.33755108536047
Globe,WATER,2037,45.10880143955198
Globe,WATER,2038,46.96525630304316
Globe,WATER,2039,48.88962084282466
Globe,WATER,2040,50.89863168629986
Globe,WATER,2041,52.993879470376655
Globe,WATER,2042,55.188565679460325
Globe,WATER,2043,57.452631666685534
Globe,WATER,2044,59.834220429579474
Globe,WATER,2045,62.33583293812546
Globe,WATER,2046,64.93575306721176
Globe,WATER,2047,67.66038126823724
Globe,WATER,2048,70.52476517548332
Globe,WATER,2049,73.51887605396811
Globe,WATER,2050,76.66247561987696
Globe,WATER,2051,79.89124644346768
Globe,WATER,2052,83.27648018162976
Globe,WATER,2053,86.82061562430653
Globe,WATER,2054,90.53954664950025
Globe,WATER,2055,94.44522100918675
Globe,WATER,2056,95.74949880778107
Globe,WATER,2057,95.74949880778108
Globe,WATER,2058,95.74949824324895
Globe,WATER,2059,95.74949824324895
Globe,WATER,2060,95.53375998686262
