REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.52872
Globe,C1BMBRFH1,2022,2.6465399999999994
Globe,C1BMBRFH1,2023,1.76436
Globe,C1BMBRFH1,2024,1.69
Globe,C1BMBRFH1,2025,1.69
Globe,C1BMBRFH1,2026,1.69
Globe,C1BMBRFH1,2027,1.69
Globe,C1BMBRFH1,2028,1.69
Globe,C1BMBRFH1,2029,1.69
Globe,C1BMBRFH1,2030,1.69
Globe,C1BMBRFH1,2031,1.69
Globe,C1BMBRFH1,2032,1.69
Globe,C1BMBRFH1,2033,1.69
Globe,C1BMBRFH1,2034,1.69
Globe,C1BMBRFH1,2035,1.69
Globe,C1BMBRFH1,2036,1.69
Globe,C1BMBRFH1,2037,1.69
Globe,C1BMBRFH1,2038,1.69
Globe,C1BMBRFH1,2039,1.69
Globe,C1BMBRFH1,2040,1.69
Globe,C1BMBRFH1,2041,1.69
Globe,C1BMBRFH1,2042,1.69
Globe,C1BMBRFH1,2043,1.69
Globe,C1BMBRFH1,2044,1.69
Globe,C1BMBRFH1,2045,1.69
Globe,C1BMBRFH1,2046,1.69
Globe,C1BMBRFH1,2047,1.69
Globe,C1BMBRFH1,2048,1.69
Globe,C1BMBRFH1,2049,1.69
Globe,C1BMBRFH1,2050,1.69
Globe,C1BMBRFH1,2051,1.69
Globe,C1BMBRFH1,2052,1.69
Globe,C1BMBRFH1,2053,1.69
Globe,C1BMBRFH1,2054,1.69
Globe,C1BMBRFH1,2055,1.69
Globe,C1BMBRFH1,2056,1.69
Globe,C1BMBRFH1,2057,1.69
Globe,C1BMBRFH1,2058,1.69
Globe,C1BMBRFH1,2059,1.69
Globe,C1BMBRFH1,2060,1.69
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.2032
Globe,C1BMCHP00,2017,2.1222000000000003
Globe,C1BMCHP00,2018,4.499016993628371
Globe,C1BMCHP00,2019,7.547343615061183
Globe,C1BMCHP00,2020,12.10540119533819
Globe,C1BMCHP00,2021,16.88440119533819
Globe,C1BMCHP00,2022,21.671501195338188
Globe,C1BMCHP00,2023,24.809302885536304
Globe,C1BMCHP00,2024,24.728302885536305
Globe,C1BMCHP00,2025,24.655402885536308
Globe,C1BMCHP00,2026,26.167485021684477
Globe,C1BMCHP00,2027,26.086485021684478
Globe,C1BMCHP00,2028,26.00548502168448
Globe,C1BMCHP00,2029,25.932585021684478
Globe,C1BMCHP00,2030,25.85158502168448
Globe,C1BMCHP00,2031,25.77058502168448
Globe,C1BMCHP00,2032,25.697685021684478
Globe,C1BMCHP00,2033,28.736592758921756
Globe,C1BMCHP00,2034,29.5997047979749
Globe,C1BMCHP00,2035,29.518704797974898
Globe,C1BMCHP00,2036,29.445804797974898
Globe,C1BMCHP00,2037,29.364804797974898
Globe,C1BMCHP00,2038,29.283804797974902
Globe,C1BMCHP00,2039,29.2109047979749
Globe,C1BMCHP00,2040,29.129904797974902
Globe,C1BMCHP00,2041,29.048904797974902
Globe,C1BMCHP00,2042,28.967904797974903
Globe,C1BMCHP00,2043,28.895004797974902
Globe,C1BMCHP00,2044,28.8140047979749
Globe,C1BMCHP00,2045,28.8140047979749
Globe,C1BMCHP00,2046,28.8140047979749
Globe,C1BMCHP00,2047,28.8140047979749
Globe,C1BMCHP00,2048,28.8140047979749
Globe,C1BMCHP00,2049,28.99291579047473
Globe,C1BMCHP00,2050,28.99291579047473
Globe,C1BMCHP00,2051,29.04248908283231
Globe,C1BMCHP00,2052,29.341956674175847
Globe,C1BMCHP00,2053,29.656397647598457
Globe,C1BMCHP00,2054,30.228022664055576
Globe,C1BMCHP00,2055,30.448965083778567
Globe,C1BMCHP00,2056,30.448965083778567
Globe,C1BMCHP00,2057,30.448965083778567
Globe,C1BMCHP00,2058,30.44896508377865
Globe,C1BMCHP00,2059,30.44896508377865
Globe,C1BMCHP00,2060,30.44896508377865
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53246
Globe,C1BMHTF03,2015,7.06121
Globe,C1BMHTF03,2016,6.5899600000000005
Globe,C1BMHTF03,2017,6.11871
Globe,C1BMHTF03,2018,5.64746
Globe,C1BMHTF03,2019,5.17621
Globe,C1BMHTF03,2020,4.70873
Globe,C1BMHTF03,2021,4.237480000000001
Globe,C1BMHTF03,2022,3.76623
Globe,C1BMHTF03,2023,3.2949800000000002
Globe,C1BMHTF03,2024,2.82373
Globe,C1BMHTF03,2025,2.35248
Globe,C1BMHTF03,2026,2.0209381289859767
Globe,C1BMHTF03,2027,1.8850000000000002
Globe,C1BMHTF03,2028,1.8849999999999998
Globe,C1BMHTF03,2029,1.8850000000000002
Globe,C1BMHTF03,2030,1.8849999999999996
Globe,C1BMHTF03,2031,1.8849999999999996
Globe,C1BMHTF03,2032,1.8849999999999996
Globe,C1BMHTF03,2033,1.8849999999999996
Globe,C1BMHTF03,2034,1.8849999999999996
Globe,C1BMHTF03,2035,1.8849999999999996
Globe,C1BMHTF03,2036,1.8849999999999996
Globe,C1BMHTF03,2037,1.8849999999999996
Globe,C1BMHTF03,2038,1.8849999999999996
Globe,C1BMHTF03,2039,1.8849999999999996
Globe,C1BMHTF03,2040,1.8849999999999996
Globe,C1BMHTF03,2041,1.8849999999999996
Globe,C1BMHTF03,2042,1.8849999999999996
Globe,C1BMHTF03,2043,1.8849999999999996
Globe,C1BMHTF03,2044,1.8849999999999996
Globe,C1BMHTF03,2045,1.8849999999999996
Globe,C1BMHTF03,2046,1.8850000000000002
Globe,C1BMHTF03,2047,1.8850000000000005
Globe,C1BMHTF03,2048,1.8850000000000002
Globe,C1BMHTF03,2049,1.8850000000000002
Globe,C1BMHTF03,2050,1.8850000000000002
Globe,C1BMHTF03,2051,1.8850000000000002
Globe,C1BMHTF03,2052,1.8850000000000002
Globe,C1BMHTF03,2053,1.8850000000000002
Globe,C1BMHTF03,2054,1.8850000000000002
Globe,C1BMHTF03,2055,1.8850000000000002
Globe,C1BMHTF03,2056,1.8850000000000002
Globe,C1BMHTF03,2057,1.8850000000000002
Globe,C1BMHTF03,2058,1.8850000000000002
Globe,C1BMHTF03,2059,1.8850000000000002
Globe,C1BMHTF03,2060,1.8850000000000002
Globe,C1BMSCP00,2010,5.9163
Globe,C1BMSCP00,2011,5.6452725
Globe,C1BMSCP00,2012,5.38755
Globe,C1BMSCP00,2013,5.132032499999999
Globe,C1BMSCP00,2014,4.86783
Globe,C1BMSCP00,2015,4.616775
Globe,C1BMSCP00,2016,4.367925
Globe,C1BMSCP00,2017,4.1105475
Globe,C1BMSCP00,2018,3.8661600000000003
Globe,C1BMSCP00,2019,3.6239775
Globe,C1BMSCP00,2020,3.384
Globe,C1BMSCP00,2021,3.1357049999999997
Globe,C1BMSCP00,2022,2.90019
Globe,C1BMSCP00,2023,2.66688
Globe,C1BMSCP00,2024,2.4254100000000003
Globe,C1BMSCP00,2025,2.1965624999999998
Globe,C1BMSCP00,2026,1.9699199999999997
Globe,C1BMSCP00,2027,1.7352750000000001
Globe,C1BMSCP00,2028,1.5130949999999999
Globe,C1BMSCP00,2029,1.29312
Globe,C1BMSCP00,2030,1.07535
Globe,C1BMSCP00,2031,0.8497875
Globe,C1BMSCP00,2032,0.63648
Globe,C1BMSCP00,2033,0.42537749999999996
Globe,C1BMSCP00,2034,0.20664
Globe,C1COBRFH1,2010,1.4735500000000001
Globe,C1COBRFH1,2011,1.92985
Globe,C1COBRFH1,2012,2.3868
Globe,C1COBRFH1,2013,2.8431
Globe,C1COBRFH1,2014,3.2994000000000003
Globe,C1COBRFH1,2015,3.7557000000000005
Globe,C1COBRFH1,2016,3.692
Globe,C1COBRFH1,2017,4.148300000000001
Globe,C1COBRFH1,2018,4.60525
Globe,C1COBRFH1,2019,5.0615499999999995
Globe,C1COBRFH1,2020,5.51785
Globe,C1COBRFH1,2021,5.97415
Globe,C1COBRFH1,2022,6.430449999999999
Globe,C1COBRFH1,2023,6.8873999999999995
Globe,C1COBRFH1,2024,7.343699999999999
Globe,C1COBRFH1,2025,7.279999999999999
Globe,C1COBRFH1,2026,7.279999999999999
Globe,C1COBRFH1,2027,7.279999999999999
Globe,C1COBRFH1,2028,7.279999999999999
Globe,C1COBRFH1,2029,6.759999999999999
Globe,C1COBRFH1,2030,6.640585652357573
Globe,C1COBRFH1,2031,7.1605856523575735
Globe,C1COBRFH1,2032,7.1605856523575735
Globe,C1COBRFH1,2033,7.020775146244867
Globe,C1COBRFH1,2034,6.7499165401510535
Globe,C1COBRFH1,2035,6.5307810982548515
Globe,C1COBRFH1,2036,6.280884589829239
Globe,C1COBRFH1,2037,6.000124467413324
Globe,C1COBRFH1,2038,5.712536101328262
Globe,C1COBRFH1,2039,5.417938735687726
Globe,C1COBRFH1,2040,5.096228529147434
Globe,C1COBRFH1,2041,4.724813038306028
Globe,C1COBRFH1,2042,4.3486679749269745
Globe,C1COBRFH1,2043,3.972654093308508
Globe,C1COBRFH1,2044,3.972654093308508
Globe,C1COBRFH1,2045,3.5720684409509342
Globe,C1COBRFH1,2046,3.052068440950934
Globe,C1COBRFH1,2047,3.0520684409509347
Globe,C1COBRFH1,2048,3.191878947063641
Globe,C1COBRFH1,2049,3.4627375531574547
Globe,C1COBRFH1,2050,3.6818729950536557
Globe,C1COBRFH1,2051,3.4704635100230035
Globe,C1COBRFH1,2052,3.231223632438919
Globe,C1COBRFH1,2053,2.9988119985239803
Globe,C1COBRFH1,2054,2.7734093641645168
Globe,C1COBRFH1,2055,2.5751195707048082
Globe,C1COBRFH1,2056,2.426535061546216
Globe,C1COBRFH1,2057,2.282680124925269
Globe,C1COBRFH1,2058,2.1386940065437354
Globe,C1COBRFH1,2059,2.1386940065437354
Globe,C1COBRFH1,2060,2.1386940065437354
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.384500000000001
Globe,C1COCHP00,2012,10.1325
Globe,C1COCHP00,2013,9.87
Globe,C1COCHP00,2014,9.6075
Globe,C1COCHP00,2015,9.344999999999999
Globe,C1COCHP00,2016,9.093
Globe,C1COCHP00,2017,8.830499999999999
Globe,C1COCHP00,2018,8.568000000000001
Globe,C1COCHP00,2019,8.316
Globe,C1COCHP00,2020,8.0535
Globe,C1COCHP00,2021,7.791
Globe,C1COCHP00,2022,7.5285
Globe,C1COCHP00,2023,7.2765
Globe,C1COCHP00,2024,7.014
Globe,C1COCHP00,2025,6.751499999999999
Globe,C1COCHP00,2026,6.489
Globe,C1COCHP00,2027,6.237
Globe,C1COCHP00,2028,5.9745
Globe,C1COCHP00,2029,5.712
Globe,C1COCHP00,2030,5.4495000000000005
Globe,C1COCHP00,2031,5.197500000000001
Globe,C1COCHP00,2032,4.935
Globe,C1COCHP00,2033,4.672499999999999
Globe,C1COCHP00,2034,4.41
Globe,C1COCHP00,2035,4.158
Globe,C1COCHP00,2036,3.8955
Globe,C1COCHP00,2037,3.633
Globe,C1COCHP00,2038,3.381
Globe,C1COCHP00,2039,3.1185
Globe,C1COCHP00,2040,2.856
Globe,C1COCHP00,2041,2.5935
Globe,C1COCHP00,2042,2.3415
Globe,C1COCHP00,2043,2.079
Globe,C1COCHP00,2044,1.8165
Globe,C1COCHP00,2045,1.554
Globe,C1COCHP00,2046,1.302
Globe,C1COCHP00,2047,1.0395
Globe,C1COCHP00,2048,0.777
Globe,C1COCHP00,2049,0.5145
Globe,C1COCHP00,2050,0.2625
Globe,C1COCHP00,2051,0.2625
Globe,C1COCHP00,2052,0.2625
Globe,C1COCHP00,2053,0.2625
Globe,C1COCHP00,2054,0.2625
Globe,C1COCHP00,2055,0.2625
Globe,C1COCHP00,2056,0.2625
Globe,C1COCHP00,2057,0.2625
Globe,C1COCHP00,2058,0.2625
Globe,C1COCHP00,2059,0.2625
Globe,C1COCHP00,2060,0.2625
Globe,C1COHTF03,2010,7.134036
Globe,C1COHTF03,2011,7.637448
Globe,C1COHTF03,2012,8.140314
Globe,C1COHTF03,2013,8.643726
Globe,C1COHTF03,2014,9.147138
Globe,C1COHTF03,2015,9.65055
Globe,C1COHTF03,2016,10.153416
Globe,C1COHTF03,2017,10.656827999999999
Globe,C1COHTF03,2018,11.160239999999998
Globe,C1COHTF03,2019,11.663105999999999
Globe,C1COHTF03,2020,12.166518
Globe,C1COHTF03,2021,12.669929999999997
Globe,C1COHTF03,2022,13.172795999999996
Globe,C1COHTF03,2023,13.676207999999997
Globe,C1COHTF03,2024,14.179619999999998
Globe,C1COHTF03,2025,14.683032
Globe,C1COHTF03,2026,13.922999999999998
Globe,C1COHTF03,2027,14.741999999999999
Globe,C1COHTF03,2028,15.560999999999998
Globe,C1COHTF03,2029,16.38
Globe,C1COHTF03,2030,16.38
Globe,C1COHTF03,2031,16.38
Globe,C1COHTF03,2032,16.38
Globe,C1COHTF03,2033,16.38
Globe,C1COHTF03,2034,16.38
Globe,C1COHTF03,2035,16.38
Globe,C1COHTF03,2036,16.38
Globe,C1COHTF03,2037,16.38
Globe,C1COHTF03,2038,16.38
Globe,C1COHTF03,2039,16.38
Globe,C1COHTF03,2040,16.38
Globe,C1COHTF03,2041,16.38
Globe,C1COHTF03,2042,16.38
Globe,C1COHTF03,2043,16.38
Globe,C1COHTF03,2044,16.38
Globe,C1COHTF03,2045,16.38
Globe,C1COHTF03,2046,16.38
Globe,C1COHTF03,2047,16.38
Globe,C1COHTF03,2048,16.38
Globe,C1COHTF03,2049,16.38
Globe,C1COHTF03,2050,16.38
Globe,C1COHTF03,2051,16.38
Globe,C1COHTF03,2052,16.38
Globe,C1COHTF03,2053,16.38
Globe,C1COHTF03,2054,16.38
Globe,C1COHTF03,2055,16.38
Globe,C1COHTF03,2056,16.38
Globe,C1COHTF03,2057,16.38
Globe,C1COHTF03,2058,16.38
Globe,C1COHTF03,2059,16.38
Globe,C1COHTF03,2060,15.560999999999998
Globe,C1COIGP00,2010,0.148
Globe,C1COIGP00,2011,0.148
Globe,C1COIGP00,2012,0.148
Globe,C1COIGP00,2013,0.148
Globe,C1COIGP00,2014,0.148
Globe,C1COIGP00,2015,0.148
Globe,C1COIGP00,2016,0.148
Globe,C1COIGP00,2017,0.148
Globe,C1COIGP00,2018,0.148
Globe,C1COIGP00,2019,0.148
Globe,C1COIGP00,2020,0.148
Globe,C1COIGP00,2021,0.148
Globe,C1COIGP00,2022,0.148
Globe,C1COIGP00,2023,0.148
Globe,C1COIGP00,2024,0.148
Globe,C1COIGP00,2025,0.148
Globe,C1COIGP00,2026,0.148
Globe,C1COIGP00,2027,0.148
Globe,C1COIGP00,2028,0.148
Globe,C1COIGP00,2029,0.148
Globe,C1COIGP00,2030,0.148
Globe,C1COIGP00,2031,0.148
Globe,C1COIGP00,2032,0.148
Globe,C1COIGP00,2033,0.148
Globe,C1COIGP00,2034,0.148
Globe,C1COIGP00,2035,0.148
Globe,C1COIGP00,2036,0.148
Globe,C1COIGP00,2037,0.148
Globe,C1COIGP00,2038,0.148
Globe,C1COIGP00,2039,0.148
Globe,C1COIGP00,2040,0.148
Globe,C1COIGP00,2041,0.148
Globe,C1COIGP00,2042,0.148
Globe,C1COIGP00,2043,0.148
Globe,C1COIGP00,2044,0.148
Globe,C1COIGP00,2045,0.148
Globe,C1COIGP00,2046,0.148
Globe,C1COIGP00,2047,0.148
Globe,C1COIGP00,2048,0.148
Globe,C1COIGP00,2049,0.148
Globe,C1COLP000,2025,2.612
Globe,C1COLP000,2026,5.0848
Globe,C1COLP000,2027,7.4184
Globe,C1COLP000,2028,9.6128
Globe,C1COLP000,2029,11.668000000000001
