REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.443637186157
Globe,ALUPLANT,2011,137.81655969700233
Globe,ALUPLANT,2012,143.19569238504403
Globe,ALUPLANT,2013,148.5825227096272
Globe,ALUPLANT,2014,153.97524936871562
Globe,ALUPLANT,2015,159.37520892916856
Globe,ALUPLANT,2016,164.78175363899982
Globe,ALUPLANT,2017,170.19380825030777
Globe,ALUPLANT,2018,175.61261288253954
Globe,ALUPLANT,2019,181.03682250665764
Globe,ALUPLANT,2020,186.46750721587625
Globe,ALUPLANT,2021,191.9040542688465
Globe,ALUPLANT,2022,197.3453121203096
Globe,ALUPLANT,2023,202.79288368534543
Globe,ALUPLANT,2024,208.24516073179382
Globe,ALUPLANT,2025,213.703500818416
Globe,ALUPLANT,2026,219.16691316602314
Globe,ALUPLANT,2027,224.634653708226
Globe,ALUPLANT,2028,230.10808294689573
Globe,ALUPLANT,2029,235.5855457337263
Globe,ALUPLANT,2030,241.0685869714093
Globe,ALUPLANT,2031,246.55645506367043
Globe,ALUPLANT,2032,252.04776834377788
Globe,ALUPLANT,2033,257.54462062529007
Globe,ALUPLANT,2034,263.04477149324026
Globe,ALUPLANT,2035,268.550379299364
Globe,ALUPLANT,2036,274.0600563565314
Globe,ALUPLANT,2037,279.57292638521125
Globe,ALUPLANT,2038,285.09080028032207
Globe,ALUPLANT,2039,290.6117489063226
Globe,ALUPLANT,2040,296.1375107402614
Globe,ALUPLANT,2041,301.66720112638706
Globe,ALUPLANT,2042,307.19945682562775
Globe,ALUPLANT,2043,312.7366676641183
Globe,ALUPLANT,2044,318.2762109246282
Globe,ALUPLANT,2045,323.82052832930594
Globe,ALUPLANT,2046,329.36825602236445
Globe,ALUPLANT,2047,334.9184009728176
Globe,ALUPLANT,2048,340.4729223707763
Globe,ALUPLANT,2049,346.02963899577526
Globe,ALUPLANT,2050,351.5907119016915
Globe,ALUPLANT,2051,351.5907119016915
Globe,ALUPLANT,2052,351.5907119016915
Globe,ALUPLANT,2053,351.5907119016915
Globe,ALUPLANT,2054,351.5907119016915
Globe,ALUPLANT,2055,351.5907119016915
Globe,ALUPLANT,2056,351.5907119016915
Globe,ALUPLANT,2057,351.5907119016915
Globe,ALUPLANT,2058,351.5907119016915
Globe,ALUPLANT,2059,351.5907119016915
Globe,ALUPLANT,2060,351.5907119016915
Globe,C1BFRDF00,2010,29.898664797999995
Globe,C1BFRDF00,2011,31.125331388000003
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331444
Globe,C1BFRDF00,2014,28.202664904000002
Globe,C1BFRDF00,2015,26.277331691
Globe,C1BFRDF00,2016,24.261331817
Globe,C1BFRDF00,2017,29.35980553170156
Globe,C1BFRDF00,2018,29.660443866279476
Globe,C1BFRDF00,2019,26.751572941423667
Globe,C1BFRDF00,2020,17.530665570999997
Globe,C1BFRDF00,2021,7.299400604670139
Globe,C1BMBRFH1,2010,0.00013287987602414512
Globe,C1BMBRFH1,2011,0.00013566565831303346
Globe,C1BMBRFH1,2012,0.00013852481422021561
Globe,C1BMBRFH1,2013,0.00014575604012198555
Globe,C1BMBRFH1,2014,0.0001516927815987844
Globe,C1BMBRFH1,2015,0.00015528848888364432
Globe,C1BMBRFH1,2016,0.00014812459200000004
Globe,C1BMBRFH1,2017,0.00013166279999999998
Globe,C1BMBRFH1,2018,0.000115201008
Globe,C1BMBRFH1,2019,9.873921600000001e-05
Globe,C1BMBRFH1,2020,8.227742400000001e-05
Globe,C1BMBRFH1,2021,6.5847168e-05
Globe,C1BMBRFH1,2022,4.9385376000000004e-05
Globe,C1BMBRFH1,2023,3.292358400000001e-05
Globe,C1BMBRFH1,2024,3.1536e-05
Globe,C1BMBRFH1,2025,3.1535999999999916e-05
Globe,C1BMBRFH1,2026,3.1536000000000004e-05
Globe,C1BMBRFH1,2027,3.1536000000000004e-05
Globe,C1BMBRFH1,2028,3.076307230872884e-05
Globe,C1BMBRFH1,2029,2.9959133415186456e-05
Globe,C1BMBRFH1,2030,2.8905897600000002e-05
Globe,C1BMBRFH1,2031,2.872941272644061e-05
Globe,C1BMBRFH1,2032,2.6694635356158993e-05
Globe,C1BMBRFH1,2033,5.149568901367303e-06
Globe,C1BMBRFH1,2036,2.6301024000000007e-06
Globe,C1BMBRFH1,2037,2.6301024000000007e-06
Globe,C1BMBRFH1,2038,2.6301024000000007e-06
Globe,C1BMBRFH1,2039,2.6301024000000007e-06
Globe,C1BMBRFH1,2040,2.6301024000000007e-06
Globe,C1BMBRFH1,2041,2.6301024000000007e-06
Globe,C1BMBRFH1,2042,2.6301024000000007e-06
Globe,C1BMBRFH1,2043,2.6301024000000007e-06
Globe,C1BMBRFH1,2044,2.6301024000000007e-06
Globe,C1BMBRFH1,2045,4.966119630064903e-07
Globe,C1BMBRFH1,2046,2.6301024000000007e-06
Globe,C1BMBRFH1,2047,2.6301024000000007e-06
Globe,C1BMBRFH1,2048,2.6301024000000007e-06
Globe,C1BMBRFH1,2049,2.6301024000000007e-06
Globe,C1BMBRFH1,2050,1.0598318645597344e-06
Globe,C1BMBRFH1,2051,2.6301024000000007e-06
Globe,C1BMBRFH1,2052,2.6301024000000007e-06
Globe,C1BMBRFH1,2053,2.6301024000000007e-06
Globe,C1BMBRFH1,2054,2.6301024000000007e-06
Globe,C1BMBRFH1,2055,2.6301024000000007e-06
Globe,C1BMBRFH1,2056,2.6301024000000007e-06
Globe,C1BMBRFH1,2057,2.6301024000000007e-06
Globe,C1BMBRFH1,2058,2.6301024000000007e-06
Globe,C1BMBRFH1,2059,2.6301024000000007e-06
Globe,C1BMBRFH1,2060,2.6301024000000007e-06
Globe,C1BMCHP00,2010,8.13818016e-06
Globe,C1BMCHP00,2011,7.916229792e-06
Globe,C1BMCHP00,2012,7.669618272e-06
Globe,C1BMCHP00,2013,7.4230067520000015e-06
Globe,C1BMCHP00,2014,7.176395232e-06
Globe,C1BMCHP00,2015,6.954444864e-06
Globe,C1BMCHP00,2016,6.707833344000001e-06
Globe,C1BMCHP00,2017,6.461221824000001e-06
Globe,C1BMCHP00,2018,1.3697647151907611e-05
Globe,C1BMCHP00,2019,2.297854173916708e-05
Globe,C1BMCHP00,2020,3.6855943073977416e-05
Globe,C1BMCHP00,2021,5.1406022753977226e-05
Globe,C1BMCHP00,2022,6.598076358597738e-05
Globe,C1BMCHP00,2023,7.553407277459871e-05
Globe,C1BMCHP00,2024,7.52874612545987e-05
Globe,C1BMCHP00,2025,7.506551088659872e-05
Globe,C1BMCHP00,2026,7.966917599722027e-05
Globe,C1BMCHP00,2027,7.942256447722027e-05
Globe,C1BMCHP00,2028,7.917595295722027e-05
Globe,C1BMCHP00,2029,7.895400258922029e-05
Globe,C1BMCHP00,2030,7.870739106922029e-05
Globe,C1BMCHP00,2031,7.846077954922026e-05
Globe,C1BMCHP00,2032,7.823882918122027e-05
Globe,C1BMCHP00,2033,8.749104715924307e-05
Globe,C1BMCHP00,2034,9.011886656518377e-05
Globe,C1BMCHP00,2035,8.987225504518369e-05
Globe,C1BMCHP00,2036,8.965030467718353e-05
Globe,C1BMCHP00,2037,8.940369315718376e-05
Globe,C1BMCHP00,2038,8.91570816371838e-05
Globe,C1BMCHP00,2039,8.893513126918378e-05
Globe,C1BMCHP00,2040,8.868851974918374e-05
Globe,C1BMCHP00,2041,8.844190822918374e-05
Globe,C1BMCHP00,2042,8.819529670918381e-05
Globe,C1BMCHP00,2043,8.797334634118375e-05
Globe,C1BMCHP00,2044,8.772673482118377e-05
Globe,C1BMCHP00,2045,8.772673482118377e-05
Globe,C1BMCHP00,2046,8.772673482118347e-05
Globe,C1BMCHP00,2047,8.772673482118358e-05
Globe,C1BMCHP00,2048,8.772673482118377e-05
Globe,C1BMCHP00,2049,8.827144484346885e-05
Globe,C1BMCHP00,2050,8.827144484346882e-05
Globe,C1BMCHP00,2051,8.84223750284035e-05
Globe,C1BMCHP00,2052,8.93341300641068e-05
Globe,C1BMCHP00,2053,9.029147285924295e-05
Globe,C1BMCHP00,2054,9.203183476268142e-05
Globe,C1BMCHP00,2055,9.27045131078711e-05
Globe,C1BMCHP00,2056,9.270451310787109e-05
Globe,C1BMCHP00,2057,9.270451310787116e-05
Globe,C1BMCHP00,2058,9.270451310787134e-05
Globe,C1BMCHP00,2059,9.270451310787134e-05
Globe,C1BMCHP00,2060,9.270451310787112e-05
Globe,C1BMHTF03,2010,7.638303024000002e-05
Globe,C1BMHTF03,2011,7.255929024000001e-05
Globe,C1BMHTF03,2012,6.873555024e-05
Globe,C1BMHTF03,2013,6.494240016e-05
Globe,C1BMHTF03,2014,6.111866016000001e-05
Globe,C1BMHTF03,2015,5.7294920160000005e-05
Globe,C1BMHTF03,2016,5.347118016e-05
Globe,C1BMHTF03,2017,4.964744016e-05
Globe,C1BMHTF03,2018,4.5823700160000004e-05
Globe,C1BMHTF03,2019,4.199996016000001e-05
Globe,C1BMHTF03,2020,3.820681007999999e-05
Globe,C1BMHTF03,2021,3.438307008e-05
Globe,C1BMHTF03,2022,3.055933008e-05
Globe,C1BMHTF03,2023,2.673559008e-05
Globe,C1BMHTF03,2024,2.2911850080000002e-05
Globe,C1BMHTF03,2025,1.9088110080000004e-05
Globe,C1BMHTF03,2026,1.6397967026692506e-05
Globe,C1BMHTF03,2027,1.529496e-05
Globe,C1BMHTF03,2028,1.529496e-05
Globe,C1BMHTF03,2029,1.529496e-05
Globe,C1BMHTF03,2030,1.5294959999999996e-05
Globe,C1BMHTF03,2031,1.529495999999994e-05
Globe,C1BMHTF03,2032,1.5294959999999945e-05
Globe,C1BMHTF03,2033,1.529495999999994e-05
Globe,C1BMHTF03,2034,1.4452948799999993e-05
Globe,C1BMHTF03,2035,1.519036667932325e-05
Globe,C1BMHTF03,2036,1.092504575455552e-05
Globe,C1BMHTF03,2037,1.0449631255081005e-05
Globe,C1BMHTF03,2038,1.0116097046912062e-05
Globe,C1BMHTF03,2039,9.699327312274384e-06
Globe,C1BMHTF03,2040,9.506209337800036e-06
Globe,C1BMHTF03,2041,1.0067936177443212e-05
Globe,C1BMHTF03,2042,1.0710660767439878e-05
Globe,C1BMHTF03,2043,1.1360471784175899e-05
Globe,C1BMHTF03,2044,1.2174524025596708e-05
Globe,C1BMHTF03,2045,1.5294959999999982e-05
Globe,C1BMHTF03,2046,1.2589788450802935e-05
Globe,C1BMHTF03,2047,1.2947003185380609e-05
Globe,C1BMHTF03,2048,1.3491025958190977e-05
Globe,C1BMHTF03,2049,1.2415473590475857e-05
Globe,C1BMHTF03,2050,1.5294959999999982e-05
Globe,C1BMHTF03,2051,1.529496000000018e-05
Globe,C1BMHTF03,2052,1.529495999999994e-05
Globe,C1BMHTF03,2053,1.529496e-05
Globe,C1BMHTF03,2054,1.306095448011203e-05
Globe,C1BMHTF03,2055,1.4224196432129072e-05
Globe,C1BMHTF03,2056,1.529495999999991e-05
Globe,C1BMHTF03,2057,1.529495999999991e-05
Globe,C1BMHTF03,2058,1.5294960000000002e-05
Globe,C1BMHTF03,2059,1.5294959999999376e-05
Globe,C1BMHTF03,2060,1.5294960000000002e-05
Globe,C1BMLP000,2010,6.472425191489361e-05
Globe,C1BMLP000,2011,6.687437632340425e-05
Globe,C1BMLP000,2012,6.899604099574468e-05
Globe,C1BMLP000,2013,6.396767320851063e-05
Globe,C1BMLP000,2014,5.9221189582978725e-05
Globe,C1BMLP000,2015,5.475165440425532e-05
Globe,C1BMLP000,2016,5.0157196570212765e-05
Globe,C1BMLP000,2017,6.022095503183669e-05
Globe,C1BMLP000,2018,6.035604099574469e-05
Globe,C1BMLP000,2019,5.4002443176699585e-05
Globe,C1BMLP000,2020,3.510390114893614e-05
Globe,C1BMLP000,2021,1.4498014088553223e-05
Globe,C1BMSCP00,2010,1.19156789232e-06
Globe,C1BMSCP00,2011,1.14238497744e-06
Globe,C1BMSCP00,2012,1.0954376495999998e-06
Globe,C1BMSCP00,2013,1.04849032176e-06
Globe,C1BMSCP00,2014,9.993074068800002e-07
Globe,C1BMSCP00,2015,9.523600790400001e-07
Globe,C1BMSCP00,2016,5.4700100167100085e-06
Globe,C1BMSCP00,2017,9.547886664e-06
Globe,C1BMSCP00,2018,9.024373296000001e-06
Globe,C1BMSCP00,2019,8.500859928e-06
Globe,C1BMSCP00,2020,7.977346560000002e-06
Globe,C1BMSCP00,2021,7.428903984000001e-06
Globe,C1BMSCP00,2022,4.845673234291192e-06
Globe,C1BMSCP00,2023,2.9228816096647753e-06
Globe,C1BMSCP00,2024,4.472594088118794e-06
Globe,C1BMSCP00,2025,5.309921304000002e-06
Globe,C1BMSCP00,2026,4.2923271168000004e-07
Globe,C1BMSCP00,2027,3.8004979680000003e-07
Globe,C1BMSCP00,2028,3.3310246896000003e-07
Globe,C1BMSCP00,2029,2.8615514112e-07
