REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.2698035376848527
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.254045510712755
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.2048624809019195
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.265279306401206
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.3245465127572955
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.38270830962416
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.439781924860413
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738197073622
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.550735706359514
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.604668825290612
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.790733134134723
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.9561174644754944
Globe,ID,ALUPLANT,C1_F_CLS,2022,3.011758393352906
Globe,ID,ALUPLANT,C1_F_CLS,2023,3.066391382836891
Globe,ID,ALUPLANT,C1_F_CLS,2024,3.1200152642404677
Globe,ID,ALUPLANT,C1_F_CLS,2025,3.1726678793029603
Globe,ID,ALUPLANT,C1_F_CLS,2026,3.2243665801177257
Globe,ID,ALUPLANT,C1_F_CLS,2027,3.2751168043205903
Globe,ID,ALUPLANT,C1_F_CLS,2028,3.32495924028272
Globe,ID,ALUPLANT,C1_F_CLS,2029,3.3738844782729136
Globe,ID,ALUPLANT,C1_F_CLS,2030,3.42194544866725
Globe,ID,ALUPLANT,C1_F_CLS,2031,3.4077667215330982
Globe,ID,ALUPLANT,C1_F_CLS,2032,3.3515393590943843
Globe,ID,ALUPLANT,C1_F_CLS,2033,3.2640108042698626
Globe,ID,ALUPLANT,C1_F_CLS,2034,3.304976911094515
Globe,ID,ALUPLANT,C1_F_CLS,2035,3.6496034864440228
Globe,ID,ALUPLANT,C1_F_CLS,2036,3.692731272232617
Globe,ID,ALUPLANT,C1_F_CLS,2037,3.7350731772393537
Globe,ID,ALUPLANT,C1_F_CLS,2038,3.7766818487833085
Globe,ID,ALUPLANT,C1_F_CLS,2039,3.8175407650357793
Globe,ID,ALUPLANT,C1_F_CLS,2040,3.7888868550546673
