REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2037,1.7330531486726246
Globe,ALUPLANT,2038,7.5978034556661775
Globe,ALUPLANT,2039,11.113819704566252
Globe,ALUPLANT,2040,9.130045224908077
Globe,ALUPLANT,2041,1.2709874614367207
Globe,ALUPLANT,2042,20.158468884886087
Globe,ALUPLANT,2043,12.221439932235512
Globe,ALUPLANT,2044,42.952545117694015
Globe,ALUPLANT,2045,84.50924535143827
Globe,ALUPLANT,2046,50.710167530558955
Globe,ALUPLANT,2047,34.59202350109204
Globe,ALUPLANT,2048,36.87568725717862
Globe,ALUPLANT,2049,39.05876295683312
Globe,ALUPLANT,2050,41.135563090691456
Globe,ALUPLANT,2051,33.130613662210564
Globe,ALUPLANT,2052,34.411241056592495
Globe,ALUPLANT,2053,35.60367050944811
Globe,ALUPLANT,2054,36.700171004772095
Globe,ALUPLANT,2055,37.75891861439889
Globe,ALUPLANT,2056,21.115182113550826
Globe,ALUPLANT,2057,9.305569949064669
Globe,ALUPLANT,2059,39.97009451740406
Globe,ALUPLANT,2060,179.61845969128362
Globe,C1BMBRFH1,2054,23.06125379838848
Globe,C1BMBRFH1,2055,27.69577949219954
Globe,C1BMCHP00,2033,60.40150100962949
Globe,C1BMCHP00,2034,20.416040228447248
Globe,C1BMCHP00,2049,8.074257297871116
Globe,C1BMCHP00,2051,2.3376519317854583
Globe,C1BMCHP00,2052,14.40332650667
Globe,C1BMCHP00,2053,135.42331567271344
Globe,C1BMCHP00,2054,184.4780138608444
Globe,C1BMCHP00,2055,246.20250298147255
Globe,C1BMCHP00,2056,249.9648324291318
Globe,C1BMCHP00,2057,253.5480033316644
Globe,C1BMCHP00,2058,170.18622287109488
Globe,C1BMHTF03,2046,1.1715532825369452
Globe,C1BMHTF03,2047,3.2594071608132054
Globe,C1BMHTF03,2048,5.281566879891241
Globe,C1BMHTF03,2049,5.899358389700355
Globe,C1BMHTF03,2050,6.487731256185191
Globe,C1CO00I00,2012,2.712752614531716e-05
Globe,C1CO00I00,2013,5.296326533133324e-05
Globe,C1CO00I00,2014,7.756873122277759e-05
Globe,C1CO00I00,2015,0.00010100250826224832
Globe,C1CO00I00,2016,0.00012332039115698224
Globe,C1CO00I00,2017,0.0001445755177233952
Globe,C1CO00I00,2018,0.00016481849540569347
Globe,C1CO00I00,2019,0.0001840975217697871
Globe,C1CO00I00,2020,0.00020245849925940027
Globe,C1CO00I00,2021,0.00021994514448760307
Globe,C1CO00I00,2022,0.00023659909232398663
Globe,C1CO00I00,2023,0.0002524599950253045
Globe,C1CO00I00,2024,0.0002675656166456068
Globe,C1CO00I00,2025,0.00028195192295065694
Globe,C1CO00I00,2026,0.00029565316705070486
Globe,C1CO00I00,2027,0.00030870197095551216
