TIMESLICE,YEAR,MODE_OF_OPERATION,REGION,TECHNOLOGY,VALUE
ID,2010,1,Globe,ALUPLANT,1.929427731282515
ID,2010,1,Globe,C1BFRDF00,0.25692297999999997
ID,2010,1,Globe,C1BMBRFH1,6.451571761658433
ID,2010,1,Globe,C1BMCHP00,0.33463842984
ID,2010,1,Globe,C1BMHTF03,3.6089013153600003
ID,2010,1,Globe,C1BMLP000,2.966312465259574
ID,2010,1,Globe,C1CO00I00,65.6810615140043
ID,2010,1,Globe,C1COBRFH1,3.27648349296
ID,2010,1,Globe,C1COCHP00,0.7424388184524419
ID,2010,1,Globe,C1COHTF03,18.88422290208
ID,2010,1,Globe,C1COIGP00,0.007291911599999999
ID,2010,1,Globe,C1COSCP00,12.84546070343897
ID,2010,1,Globe,C1ELEFF00,34.91346609841031
ID,2010,1,Globe,C1GOCVP00,0.130654657152
ID,2010,1,Globe,C1GOHTF03,0.25003601424
ID,2010,1,Globe,C1HFGCPCH,0.22113011664000004
ID,2010,1,Globe,C1HFMRF00,40.862027999999995
ID,2010,1,Globe,C1HTOOTFI,34.82072756418199
ID,2010,1,Globe,C1HTOOTFR,11.196575082119356
ID,2010,1,Globe,C1HYDMP00,5.4574334668799995
ID,2010,1,Globe,C1HYMIP00,0.4168519492896
ID,2010,1,Globe,C1LFAVF00,0.17479561999999968
ID,2010,1,Globe,C1LFBRFH1,1.8770986157404648
ID,2010,1,Globe,C1LFCCP00,0.23335214572800003
ID,2010,1,Globe,C1LFRDF00,8.30870402
ID,2010,1,Globe,C1LFRLF00,6.919999999999999
ID,2010,1,Globe,C1NG00I00,49.512623819999995
ID,2010,1,Globe,C1NGBRFH1,8.891454101759999
ID,2010,1,Globe,C1NGBRFN1,3.5410136323537422
ID,2010,1,Globe,C1NGCCP00,3.95307717768
ID,2010,1,Globe,C1NGCCPCH,1.2507480054628977
ID,2010,1,Globe,C1NGGCP00,1.159993670688
ID,2010,1,Globe,C1NGGCPCH,2.1094078773600002
ID,2010,1,Globe,C1NGHTF03,10.013002928639999
ID,2010,1,Globe,C1NU00I00,14.538280165951102
ID,2010,1,Globe,C1NULWP00,5.229597181996799
ID,2010,1,Globe,C1OI00I00,76.78614848
ID,2010,1,Globe,C1OIHTF03,7.427370388319999
ID,2010,1,Globe,C1OIRFP00,28.609716652574267
ID,2010,2,Globe,C1OIRFP00,32.46780625810019
ID,2010,1,Globe,C1SOC1P00,0.007804592351999999
ID,2010,1,Globe,C1SOTHF00,0.464806833408
ID,2010,1,Globe,C1SOV1P00,0.12140476992000002
ID,2010,1,Globe,C1SOV2P00,0.09249887232
ID,2010,1,Globe,C1WDOFP00,0.0052030615680000005
ID,2010,1,Globe,C1WDONP00,0.5944786900415999
ID,2010,1,Globe,CEMPLANT,4.974638248479999
ID,2010,1,Globe,FERTPLANT,0.00018934517722125267
ID,2010,1,Globe,LA,2523.635010835379
ID,2010,1,Globe,LA1,739.735010835379
ID,2010,1,Globe,LA1_i,183.9
ID,2010,1,Globe,LA1_i_PROD,183.9
ID,2010,1,Globe,LA1_PROD,739.7350108353785
ID,2010,1,Globe,LA2,1600.0
ID,2010,1,Globe,LA2_PROD,1600.0
ID,2010,1,Globe,LandRes,6140.660510835379
ID,2010,1,Globe,LF,1833.2
ID,2010,1,Globe,LF1,588.9154999999998
ID,2010,1,Globe,LF2,1244.2845
ID,2010,1,Globe,LF2_PROD,1244.2845
ID,2010,1,Globe,LO,1783.8254999999997
ID,2010,1,Globe,MFOOFACTOR,2.7444611993968224
ID,2010,1,Globe,PAPPLANT,3.037274524075636
ID,2010,1,Globe,PETAPLANT,4.666217881222669e-06
ID,2010,1,Globe,PETBPLANT,18.331562167906483
ID,2010,1,Globe,STEPLANT,13.090302198976481
ID,2010,1,Globe,VFOOFACTOR,32.0274042121289
ID,2010,1,Globe,XALUMINE,1.6627808188192714
ID,2010,1,Globe,XCEMMINE,20.644748731192
ID,2010,1,Globe,XPHOMINE,6.059045671080085e-07
ID,2010,1,Globe,XPOTMINE,1.3254162405487684e-07
ID,2010,1,Globe,XSTEMINE,20.14512421458187
ID,2011,1,Globe,ALUPLANT,1.918755272824569
ID,2011,1,Globe,C1BFRDF00,0.26746388000000004
ID,2011,1,Globe,C1BMBRFH1,6.579085715454889
ID,2011,1,Globe,C1BMCHP00,0.32551192720800004
ID,2011,1,Globe,C1BMHTF03,3.42823945536
ID,2011,1,Globe,C1BMLP000,3.0648526669016167
ID,2011,1,Globe,C1CO00I00,68.0642215140043
ID,2011,1,Globe,C1COBRFH1,4.29108049872
ID,2011,1,Globe,C1COCHP00,0.9607208016613089
ID,2011,1,Globe,C1COHTF03,20.21678478144
ID,2011,1,Globe,C1COIGP00,0.007291911599999999
ID,2011,1,Globe,C1COSCP00,15.239793487226907
ID,2011,1,Globe,C1ELEFF00,36.20890564930217
ID,2011,1,Globe,C1ELRLF00,3.0300000000000002
ID,2011,1,Globe,C1GOCVP00,0.09943426944
ID,2011,1,Globe,C1GOHTF03,0.23991895008
ID,2011,1,Globe,C1HFGCPCH,0.403454065752
ID,2011,1,Globe,C1HFMRF00,42.36351046
ID,2011,1,Globe,C1HTOOTFI,35.25748038890666
ID,2011,1,Globe,C1HTOOTFR,12.973010551135372
ID,2011,1,Globe,C1HYDMP00,5.505083682837696
ID,2011,1,Globe,C1HYMIP00,0.4115332641312
ID,2011,1,Globe,C1LFCCP00,0.23889425918904003
ID,2011,1,Globe,C1LFRDF00,8.64647112
ID,2011,1,Globe,C1LFRLF00,4.327000656987592
ID,2011,1,Globe,C1NG00I00,50.2833011
ID,2011,1,Globe,C1NGBRFH1,8.29888320096
ID,2011,1,Globe,C1NGBRFN1,3.5410136323537382
ID,2011,1,Globe,C1NGCCP00,5.376786012576
ID,2011,1,Globe,C1NGCCPCH,1.2044985693029022
ID,2011,1,Globe,C1NGGCP00,0.21461992204805494
ID,2011,1,Globe,C1NGGCPCH,2.462693070960001
ID,2011,1,Globe,C1NGHTF03,9.58375034928
ID,2011,1,Globe,C1NU00I00,9.164294457083505
ID,2011,1,Globe,C1NULWP00,3.3012588101885814
ID,2011,1,Globe,C1OI00I00,77.06144929000001
ID,2011,1,Globe,C1OIHTF03,7.892518864713116
ID,2011,1,Globe,C1OIRFP00,40.18209746422234
ID,2011,2,Globe,C1OIRFP00,18.341658777665497
ID,2011,1,Globe,C1SOC1P00,0.007804592351999999
ID,2011,1,Globe,C1SOTHF00,0.513368741376
ID,2011,1,Globe,C1SOV1P00,0.21245834736
ID,2011,1,Globe,C1SOV2P00,0.16187302656
ID,2011,1,Globe,C1WDOFP00,0.0052464204143999995
ID,2011,1,Globe,C1WDONP00,0.57481689849408
ID,2011,1,Globe,CEMPLANT,4.988814245022969
ID,2011,1,Globe,FERTPLANT,0.00019172345732166695
ID,2011,1,Globe,LA,2535.236377178863
ID,2011,1,Globe,LA1,751.3363771788631
ID,2011,1,Globe,LA1_i,183.9
ID,2011,1,Globe,LA1_i_PROD,183.9
ID,2011,1,Globe,LA1_PROD,751.3363771788631
ID,2011,1,Globe,LA2,1600.0
ID,2011,1,Globe,LA2_PROD,1600.0
ID,2011,1,Globe,LandRes,6152.261877178862
ID,2011,1,Globe,LF,1833.2000000000005
ID,2011,1,Globe,LF1,588.9154999999998
ID,2011,1,Globe,LF2,1244.2845000000002
ID,2011,1,Globe,LF2_PROD,1244.2845000000002
ID,2011,1,Globe,LO,1783.8254999999997
ID,2011,1,Globe,MFOOFACTOR,2.775780071917411
ID,2011,1,Globe,PAPPLANT,3.055469900101171
ID,2011,1,Globe,PETAPLANT,4.68371028066772e-06
ID,2011,1,Globe,PETBPLANT,18.961098482070838
ID,2011,1,Globe,STEPLANT,13.183952503817803
ID,2011,1,Globe,VFOOFACTOR,32.52220248667851
ID,2011,1,Globe,XALUMINE,1.667892411567303
ID,2011,1,Globe,XCEMMINE,20.82331065872588
ID,2011,1,Globe,XPHOMINE,6.135150634293343e-07
ID,2011,1,Globe,XPOTMINE,1.342064201251669e-07
ID,2011,1,Globe,XSTEMINE,20.289245946462852
ID,2012,1,Globe,ALUPLANT,1.8795589356745463
ID,2012,1,Globe,C1BFRDF00,0.27805061
ID,2012,1,Globe,C1BMBRFH1,6.7099506695983155
ID,2012,1,Globe,C1BMCHP00,0.3153713687279999
ID,2012,1,Globe,C1BMHTF03,3.24757759536
ID,2012,1,Globe,C1BMLP000,3.1620885588349785
ID,2012,1,Globe,C1CO00I00,70.4473815140043
ID,2012,1,Globe,C1COBRFH1,5.307122799360001
ID,2012,1,Globe,C1COCHP00,1.0859208627931198
ID,2012,1,Globe,C1COHTF03,20.425350176901386
ID,2012,1,Globe,C1COIGP00,0.007291911599999999
ID,2012,1,Globe,C1COSCP00,15.778551177528414
ID,2012,1,Globe,C1ELEFF00,37.39685988916786
ID,2012,1,Globe,C1ELRLF00,3.0999999999999996
ID,2012,1,Globe,C1GOCVP00,0.123717241728
ID,2012,1,Globe,C1GOHTF03,0.08884132703999997
ID,2012,1,Globe,C1HFGCPCH,0.6194627799847201
ID,2012,1,Globe,C1HFMRF00,43.69212216
ID,2012,1,Globe,C1HTOOTFI,35.41344799652589
ID,2012,1,Globe,C1HTOOTFR,14.843757309884484
ID,2012,1,Globe,C1HYDMP00,5.548470278899392
ID,2012,1,Globe,C1HYMIP00,0.4068794146176
ID,2012,1,Globe,C1LFCCP00,0.24349938504652793
ID,2012,1,Globe,C1LFRDF00,8.988775389999999
ID,2012,1,Globe,C1LFRLF00,5.067831263831049
ID,2012,1,Globe,C1NG00I00,51.05397838000002
ID,2012,1,Globe,C1NGBRFH1,5.730060269459456
ID,2012,1,Globe,C1NGBRFN1,3.5410136323537422
ID,2012,1,Globe,C1NGCCP00,5.446237461023836
ID,2012,1,Globe,C1NGCCPCH,1.1594053690468975
ID,2012,1,Globe,C1NGGCPCH,4.02251851910103
ID,2012,1,Globe,C1NGHTF03,9.155943064799999
ID,2012,1,Globe,C1NU00I00,5.686772735591637
ID,2012,1,Globe,C1NULWP00,2.0515053158699996
ID,2012,1,Globe,C1OI00I00,77.3367501
ID,2012,1,Globe,C1OIHTF03,7.945710654506705
ID,2012,1,Globe,C1OIRFP00,42.684245837369936
ID,2012,2,Globe,C1OIRFP00,18.244331365200452
ID,2012,1,Globe,C1SOC1P00,0.00650382696
ID,2012,1,Globe,C1SOTHF00,0.561930649344
ID,2012,1,Globe,C1SOV1P00,0.3035119248
ID,2012,1,Globe,C1SOV2P00,0.2312471808
ID,2012,1,Globe,C1WDOFP00,0.004760801334719999
ID,2012,1,Globe,C1WDONP00,0.5551666693056
ID,2012,1,Globe,CEMPLANT,5.002830761218458
ID,2012,1,Globe,FERTPLANT,0.00019411393373028844
ID,2012,1,Globe,LA,2546.897237708725
ID,2012,1,Globe,LA1,762.997237708724
ID,2012,1,Globe,LA1_i,183.9
ID,2012,1,Globe,LA1_i_PROD,183.9
ID,2012,1,Globe,LA1_PROD,762.997237708724
ID,2012,1,Globe,LA2,1600.0
ID,2012,1,Globe,LA2_PROD,1600.0
ID,2012,1,Globe,LandRes,6163.9227377087245
ID,2012,1,Globe,LF,1833.2000000000005
ID,2012,1,Globe,LF1,588.9155
ID,2012,1,Globe,LF2,1244.2845000000002
ID,2012,1,Globe,LF2_PROD,1244.2845000000002
ID,2012,1,Globe,LO,1783.8254999999986
ID,2012,1,Globe,MFOOFACTOR,2.807678923558752
ID,2012,1,Globe,PAPPLANT,3.073475511928811
ID,2012,1,Globe,PETAPLANT,4.701196230430496e-06
ID,2012,1,Globe,PETBPLANT,19.573062721098974
ID,2012,1,Globe,STEPLANT,12.960429414543094
ID,2012,1,Globe,VFOOFACTOR,33.01953818827708
ID,2012,1,Globe,XALUMINE,1.64783751228991
ID,2012,1,Globe,XCEMMINE,21.001883535595088
ID,2012,1,Globe,XPHOMINE,6.211645879369231e-07
ID,2012,1,Globe,XPOTMINE,1.3587975361120188e-07
ID,2012,1,Globe,XSTEMINE,19.945258441069875
ID,2013,1,Globe,ALUPLANT,1.933817213103884
ID,2013,1,Globe,C1BFRDF00,0.27433633705378985
ID,2013,1,Globe,C1BMBRFH1,6.7772399639149725
ID,2013,1,Globe,C1BMCHP00,0.369778695048
ID,2013,1,Globe,C1BMHTF03,3.06836103024
ID,2013,1,Globe,C1BMLP000,3.0960933588349784
ID,2013,1,Globe,C1CO00I00,72.8305415140043
ID,2013,1,Globe,C1COBRFH1,6.32171980512
ID,2013,1,Globe,C1COCHP00,0.7951606428988801
ID,2013,1,Globe,C1COHTF03,22.88046324528
ID,2013,1,Globe,C1COIGP00,0.010140558479999997
ID,2013,1,Globe,C1COSCP00,14.763829218809377
ID,2013,1,Globe,C1ELEFF00,38.608914357910564
ID,2013,1,Globe,C1ELRLF00,3.16
ID,2013,1,Globe,C1GOCVP00,0.12024853401599998
ID,2013,1,Globe,C1GOHTF03,0.21823952687999998
ID,2013,1,Globe,C1HFGCPCH,0.8682608991600002
ID,2013,1,Globe,C1HFMRF00,45.022750380000005
ID,2013,1,Globe,C1HTOOTFI,35.603286495480624
ID,2013,1,Globe,C1HTOOTFR,15.174781591041505
ID,2013,1,Globe,C1HYDMP00,5.590270808359775
ID,2013,1,Globe,C1HYMIP00,0.4015607294592
ID,2013,1,Globe,C1LFCCP00,0.24716752330046396
ID,2013,1,Globe,C1LFRDF00,9.35995256
ID,2013,1,Globe,C1NG00I00,51.82465566
ID,2013,1,Globe,C1NGBRFH1,4.766026600257775
ID,2013,1,Globe,C1NGBRFN1,3.5410136323537422
ID,2013,1,Globe,C1NGCCP00,7.736366783231482
ID,2013,1,Globe,C1NGCCPCH,1.1143121687908972
ID,2013,1,Globe,C1NGGCPCH,3.9533735602476248
ID,2013,1,Globe,C1NGHTF03,8.728135780319999
ID,2013,1,Globe,C1NU00I00,5.772429642400081
ID,2013,1,Globe,C1NULWP00,2.085415333237023
ID,2013,1,Globe,C1OI00I00,77.61205091000002
ID,2013,1,Globe,C1OIHTF03,6.965960638660672
