REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.0402509613209678
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.0330290575596555
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.0104884749973497
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.0381775061236727
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.0653396667966686
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.0919952183007526
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.1181520561635272
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.143813141571884
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.1690021742245653
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.1937197226306875
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.2789929953739434
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.354788633969119
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.3802888716736368
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.405327170754147
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.4299029956014062
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.4540336890845467
Globe,ID,ALUPLANT,C1_F_CLS,2026,1.4777272036679536
Globe,ID,ALUPLANT,C1_F_CLS,2027,1.5009860314201264
Globe,ID,ALUPLANT,C1_F_CLS,2028,1.5238288198215706
Globe,ID,ALUPLANT,C1_F_CLS,2029,1.5462512563924762
Globe,ID,ALUPLANT,C1_F_CLS,2030,1.5682775991242006
Globe,ID,ALUPLANT,C1_F_CLS,2031,1.561779488478619
Globe,ID,ALUPLANT,C1_F_CLS,2032,1.5360104882729562
Globe,ID,ALUPLANT,C1_F_CLS,2033,1.495896151596878
Globe,ID,ALUPLANT,C1_F_CLS,2034,1.514670918354616
Globe,ID,ALUPLANT,C1_F_CLS,2035,1.6726132778372955
Globe,ID,ALUPLANT,C1_F_CLS,2036,1.6923787420642085
Globe,ID,ALUPLANT,C1_F_CLS,2037,1.7117840371287958
Globe,ID,ALUPLANT,C1_F_CLS,2038,1.7308532912973902
Globe,ID,ALUPLANT,C1_F_CLS,2039,1.7495789326158977
Globe,ID,ALUPLANT,C1_F_CLS,2040,1.736446845671554
Globe,ID,ALUPLANT,C1_F_CLS,2041,1.6758417163190362
Globe,ID,ALUPLANT,C1_F_CLS,2042,1.6917656589406027
Globe,ID,ALUPLANT,C1_F_CLS,2043,1.6693484354422419
Globe,ID,ALUPLANT,C1_F_CLS,2044,1.7391961890375534
Globe,ID,ALUPLANT,C1_F_CLS,2045,1.8551955635101136
Globe,ID,ALUPLANT,C1_F_CLS,2046,1.8717305877377017
