REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.64999999999999
Globe,ID,ALUPLANT,ALU,2011,42.74487871482205
Globe,ID,ALUPLANT,ALU,2012,42.195910149999996
Globe,ID,ALUPLANT,ALU,2013,43.74739313999999
Globe,ID,ALUPLANT,ALU,2014,45.29883029999999
Globe,ID,ALUPLANT,ALU,2015,46.85026746
Globe,ID,ALUPLANT,ALU,2016,48.40175045000001
Globe,ID,ALUPLANT,ALU,2017,49.953233440000005
Globe,ID,ALUPLANT,ALU,2018,51.50467060000001
Globe,ID,ALUPLANT,ALU,2019,53.05615359
Globe,ID,ALUPLANT,ALU,2020,57.34289815571055
Globe,ID,ALUPLANT,ALU,2021,61.2689
Globe,ID,ALUPLANT,ALU,2022,62.9615
Globe,ID,ALUPLANT,ALU,2023,64.65409999999999
Globe,ID,ALUPLANT,ALU,2024,66.34675
Globe,ID,ALUPLANT,ALU,2025,68.03939999999999
Globe,ID,ALUPLANT,ALU,2026,69.732
Globe,ID,ALUPLANT,ALU,2027,71.42465
Globe,ID,ALUPLANT,ALU,2028,73.11725
Globe,ID,ALUPLANT,ALU,2029,74.8099
Globe,ID,ALUPLANT,ALU,2030,76.50249999999998
Globe,ID,ALUPLANT,ALU,2031,76.81167598932983
Globe,ID,ALUPLANT,ALU,2032,76.1622293685512
Globe,ID,ALUPLANT,ALU,2033,74.77659464
Globe,ID,ALUPLANT,ALU,2034,76.3280318
Globe,ID,ALUPLANT,ALU,2035,84.96565
Globe,ID,ALUPLANT,ALU,2036,86.65825
Globe,ID,ALUPLANT,ALU,2037,88.35089999999998
Globe,ID,ALUPLANT,ALU,2038,90.0435
Globe,ID,ALUPLANT,ALU,2039,91.73614999999998
Globe,ID,ALUPLANT,ALU,2040,91.76246935854957
Globe,ID,ALUPLANT,ALU,2041,89.2519418229688
Globe,ID,ALUPLANT,ALU,2042,90.80097612312969
Globe,ID,ALUPLANT,ALU,2043,90.29119539000001
Globe,ID,ALUPLANT,ALU,2044,94.7941929351419
Globe,ID,ALUPLANT,ALU,2045,101.8919
Globe,ID,ALUPLANT,ALU,2046,103.58449999999999
Globe,ID,ALUPLANT,ALU,2047,105.27715
Globe,ID,ALUPLANT,ALU,2048,106.96974999999996
Globe,ID,ALUPLANT,ALU,2049,108.6624
Globe,ID,ALUPLANT,ALU,2050,110.355
Globe,ID,ALUPLANT,ALU,2051,110.355
Globe,ID,ALUPLANT,ALU,2052,110.355
Globe,ID,ALUPLANT,ALU,2053,110.355
Globe,ID,ALUPLANT,ALU,2054,110.355
Globe,ID,ALUPLANT,ALU,2055,110.355
Globe,ID,ALUPLANT,ALU,2056,110.355
Globe,ID,ALUPLANT,ALU,2057,110.355
Globe,ID,ALUPLANT,ALU,2058,110.355
Globe,ID,ALUPLANT,ALU,2059,110.355
Globe,ID,ALUPLANT,ALU,2060,110.355
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.25692297999999997
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.26746388000000004
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.27805061
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.27433633705378985
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.2582353731029287
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.22596586315819345
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.2628434820212759
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.2588912337207368
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.25487591762816775
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.25079601200059765
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.24656005825153587
Globe,ID,C1BFRDF00,C1_F_RD,2021,0.12882291751152572
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,6.451571761658433
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2011,6.579085715454889
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2012,6.7099506695983155
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2013,6.7772399639149725
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2014,7.044978003338108
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2015,7.338011212257795
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2016,6.788550051360001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2017,6.034106123999999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2018,5.2796621966399995
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2019,4.52521826928
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2020,3.77077434192
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2021,3.017775709440001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2022,2.26333178208
