REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.209966684011597
Globe,IN,ALUPLANT,1,2010,4.209966684011598
Globe,ID,ALUPLANT,1,2011,4.186679626499169
Globe,IN,ALUPLANT,1,2011,4.186679626499169
Globe,IP,ALUPLANT,1,2011,1.7199429986328931
Globe,ID,ALUPLANT,1,2012,4.101154125408131
Globe,IN,ALUPLANT,1,2012,4.101154125408131
Globe,IP,ALUPLANT,1,2012,4.101154125408129
Globe,ID,ALUPLANT,1,2013,4.2195444318216975
Globe,IN,ALUPLANT,1,2013,4.2195444318216975
Globe,IP,ALUPLANT,1,2013,4.2195444318216975
Globe,ID,ALUPLANT,1,2014,4.336120518714794
Globe,IN,ALUPLANT,1,2014,4.336120518714794
Globe,IP,ALUPLANT,1,2014,4.336120518714794
Globe,ID,ALUPLANT,1,2015,4.450964854226898
Globe,IN,ALUPLANT,1,2015,4.450964854226897
Globe,IP,ALUPLANT,1,2015,4.450964854226897
Globe,ID,ALUPLANT,1,2016,4.564102231672113
Globe,IN,ALUPLANT,1,2016,4.564102231672111
Globe,IP,ALUPLANT,1,2016,4.564102231672112
Globe,ID,ALUPLANT,1,2017,4.675546175591217
Globe,IN,ALUPLANT,1,2017,4.675546175591216
Globe,IP,ALUPLANT,1,2017,4.675546175591217
Globe,ID,ALUPLANT,1,2018,4.785369073218507
Globe,IN,ALUPLANT,1,2018,4.785369073218505
Globe,IP,ALUPLANT,1,2018,4.785369073218505
Globe,ID,ALUPLANT,1,2019,4.893574840427781
Globe,IN,ALUPLANT,1,2019,4.893574840427781
Globe,IP,ALUPLANT,1,2019,4.8935748404277835
Globe,ID,ALUPLANT,1,2020,5.250693575770224
Globe,IN,ALUPLANT,1,2020,5.250693575770224
Globe,IP,ALUPLANT,1,2020,2.247542874952768
Globe,ID,ALUPLANT,1,2021,5.569887371546269
Globe,IN,ALUPLANT,1,2021,5.569887371546269
Globe,ID,ALUPLANT,1,2022,5.682916848318681
Globe,IN,ALUPLANT,1,2022,5.682916848318679
Globe,ID,ALUPLANT,1,2023,5.794368469576629
Globe,IN,ALUPLANT,1,2023,5.7943684695766295
Globe,ID,ALUPLANT,1,2024,5.904233171107374
Globe,IN,ALUPLANT,1,2024,5.904233171107374
Globe,ID,ALUPLANT,1,2025,6.012587159997348
Globe,IN,ALUPLANT,1,2025,6.0125871599973495
Globe,ID,ALUPLANT,1,2026,6.119434168746846
Globe,IN,ALUPLANT,1,2026,6.119434168746846
Globe,ID,ALUPLANT,1,2027,6.224789180696031
Globe,IN,ALUPLANT,1,2027,6.224789180696031
Globe,ID,ALUPLANT,1,2028,6.328723124548363
Globe,IN,ALUPLANT,1,2028,6.328723124548363
Globe,ID,ALUPLANT,1,2029,6.431224106046232
Globe,IN,ALUPLANT,1,2029,6.4312241060462325
Globe,ID,ALUPLANT,1,2030,6.532362528357147
Globe,IN,ALUPLANT,1,2030,6.532362528357147
Globe,ID,ALUPLANT,1,2031,6.514809821696678
Globe,IN,ALUPLANT,1,2031,6.514809821696678
Globe,IP,ALUPLANT,1,2031,1.28961272120458
Globe,ID,ALUPLANT,1,2032,6.416701337496309
Globe,IN,ALUPLANT,1,2032,6.416701337496309
Globe,IP,ALUPLANT,1,2032,3.4496334695139805
Globe,ID,ALUPLANT,1,2033,6.258301337496309
Globe,IN,ALUPLANT,1,2033,6.258301337496309
Globe,IP,ALUPLANT,1,2033,6.258301337496309
Globe,ID,ALUPLANT,1,2034,6.346156777271411
Globe,IN,ALUPLANT,1,2034,6.346156777271411
Globe,IP,ALUPLANT,1,2034,6.346156777271417
Globe,ID,ALUPLANT,1,2035,7.018211808499348
Globe,IN,ALUPLANT,1,2035,7.018211808499348
Globe,ID,ALUPLANT,1,2036,7.111608716028412
Globe,IN,ALUPLANT,1,2036,7.111608716028412
Globe,ID,ALUPLANT,1,2037,7.203779407121002
Globe,IN,ALUPLANT,1,2037,7.203779407121002
Globe,ID,ALUPLANT,1,2038,7.294792483206866
Globe,IN,ALUPLANT,1,2038,7.294792483206866
Globe,ID,ALUPLANT,1,2039,7.3846246020678254
Globe,IN,ALUPLANT,1,2039,7.3846246020678254
Globe,ID,ALUPLANT,1,2040,7.3400585731590064
Globe,IN,ALUPLANT,1,2040,7.3400585731590064
Globe,IP,ALUPLANT,1,2040,1.4648608918515795
Globe,ID,ALUPLANT,1,2041,7.094404958492228
Globe,IN,ALUPLANT,1,2041,7.094404958492228
Globe,IP,ALUPLANT,1,2041,5.127552502843686
Globe,ID,ALUPLANT,1,2042,7.172461808015517
Globe,IN,ALUPLANT,1,2042,7.172461808015517
Globe,IP,ALUPLANT,1,2042,5.220167731813926
Globe,ID,ALUPLANT,1,2043,7.0879566836358405
Globe,IN,ALUPLANT,1,2043,7.0879566836358405
Globe,IP,ALUPLANT,1,2043,7.0879566836358405
Globe,ID,ALUPLANT,1,2044,7.395549788825543
Globe,IN,ALUPLANT,1,2044,7.395549788825543
Globe,IP,ALUPLANT,1,2044,4.634499264025369
Globe,ID,ALUPLANT,1,2045,7.900590224262877
Globe,IN,ALUPLANT,1,2045,7.900590224262877
Globe,ID,ALUPLANT,1,2046,7.982925856813106
Globe,IN,ALUPLANT,1,2046,7.982925856813106
Globe,ID,ALUPLANT,1,2047,8.064240374844314
Globe,IN,ALUPLANT,1,2047,8.064240374844314
Globe,ID,ALUPLANT,1,2048,8.144600592562686
Globe,IN,ALUPLANT,1,2048,8.144600592562686
Globe,ID,ALUPLANT,1,2049,8.223974982908837
Globe,IN,ALUPLANT,1,2049,8.223974982908837
Globe,ID,ALUPLANT,1,2050,8.302430044347382
Globe,IN,ALUPLANT,1,2050,8.302430044347382
Globe,ID,ALUPLANT,1,2051,8.302430044347382
Globe,IN,ALUPLANT,1,2051,8.302430044347382
Globe,ID,ALUPLANT,1,2052,8.302430044347382
Globe,IN,ALUPLANT,1,2052,8.302430044347382
Globe,ID,ALUPLANT,1,2053,8.302430044347382
Globe,IN,ALUPLANT,1,2053,8.302430044347382
Globe,ID,ALUPLANT,1,2054,8.302430044347382
Globe,IN,ALUPLANT,1,2054,8.302430044347382
Globe,ID,ALUPLANT,1,2055,8.302430044347382
Globe,IN,ALUPLANT,1,2055,8.302430044347382
Globe,ID,ALUPLANT,1,2056,8.302430044347382
Globe,IN,ALUPLANT,1,2056,8.302430044347382
Globe,ID,ALUPLANT,1,2057,8.302430044347382
Globe,IN,ALUPLANT,1,2057,8.302430044347382
Globe,ID,ALUPLANT,1,2058,8.302430044347382
Globe,IN,ALUPLANT,1,2058,8.302430044347382
Globe,ID,ALUPLANT,1,2059,8.302430044347382
Globe,IN,ALUPLANT,1,2059,8.302430044347382
Globe,ID,ALUPLANT,1,2060,8.302430044347382
Globe,IN,ALUPLANT,1,2060,8.302430044347382
Globe,ID,C1BFRDF00,1,2010,0.5606
Globe,IN,C1BFRDF00,1,2010,0.5606
Globe,IP,C1BFRDF00,1,2010,0.5606
Globe,ID,C1BFRDF00,1,2011,0.5836000000000001
Globe,IN,C1BFRDF00,1,2011,0.5836000000000001
Globe,IP,C1BFRDF00,1,2011,0.5836
Globe,ID,C1BFRDF00,1,2012,0.6067
Globe,IN,C1BFRDF00,1,2012,0.6067000000000001
Globe,IP,C1BFRDF00,1,2012,0.6066999999999998
Globe,ID,C1BFRDF00,1,2013,0.5985955423386207
Globe,IN,C1BFRDF00,1,2013,0.5985955423386207
Globe,IP,C1BFRDF00,1,2013,0.21735402748705368
Globe,ID,C1BFRDF00,1,2014,0.5634636113963096
Globe,IN,C1BFRDF00,1,2014,0.5903657580123748
Globe,ID,C1BFRDF00,1,2015,0.4930522870569353
Globe,IN,C1BFRDF00,1,2015,0.5820077173070185
Globe,ID,C1BFRDF00,1,2016,0.5735183984754002
Globe,IN,C1BFRDF00,1,2016,0.4190628801630464
Globe,ID,C1BFRDF00,1,2017,0.5648946840949963
Globe,IN,C1BFRDF00,1,2017,0.5648946840949963
Globe,IP,C1BFRDF00,1,2017,0.3922532456109703
Globe,ID,C1BFRDF00,1,2018,0.5561333572510752
Globe,IN,C1BFRDF00,1,2018,0.5561333572510749
Globe,IP,C1BFRDF00,1,2018,0.5561333572510752
Globe,ID,C1BFRDF00,1,2019,0.5472310975356702
Globe,IN,C1BFRDF00,1,2019,0.5472310975356702
Globe,ID,C1BFRDF00,1,2020,0.5379883444284004
Globe,IN,C1BFRDF00,1,2020,0.17922745308414598
Globe,ID,C1BFRDF00,1,2021,0.28108862647070854
Globe,IN,C1BFRDF00,1,2021,0.017544953916703087
Globe,ID,C1BMBRFH1,1,2010,14.077180365826823
Globe,IN,C1BMBRFH1,1,2010,13.717606765732837
Globe,IP,C1BMBRFH1,1,2010,6.590367626147699
Globe,ID,C1BMBRFH1,1,2011,14.355412863746214
Globe,IN,C1BMBRFH1,1,2011,14.006696167875635
Globe,IP,C1BMBRFH1,1,2011,6.813084677590579
Globe,ID,C1BMBRFH1,1,2012,14.640957166917556
Globe,IN,C1BMBRFH1,1,2012,14.304121549779728
Globe,IP,C1BMBRFH1,1,2012,7.0377919203740404
Globe,ID,C1BMBRFH1,1,2013,14.787780850785452
Globe,IN,C1BMBRFH1,1,2013,15.42846783378279
Globe,IP,C1BMBRFH1,1,2013,8.72298848993917
Globe,ID,C1BMBRFH1,1,2014,15.371979060305712
Globe,IN,C1BMBRFH1,1,2014,15.771643272711113
Globe,IP,C1BMBRFH1,1,2014,10.74527631483008
Globe,ID,C1BMBRFH1,1,2015,16.011370744616617
Globe,IN,C1BMBRFH1,1,2015,15.622753621993446
Globe,IP,C1BMBRFH1,1,2015,12.361267279940515
Globe,ID,C1BMBRFH1,1,2016,14.812459200000001
Globe,IN,C1BMBRFH1,1,2016,14.812459200000001
Globe,IP,C1BMBRFH1,1,2016,14.812459200000001
Globe,ID,C1BMBRFH1,1,2017,13.166279999999999
