REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,93.06131355007636
Globe,ID,ALUPLANT,ALU,2011,93.26833671137258
Globe,ID,ALUPLANT,ALU,2012,92.0705
Globe,ID,ALUPLANT,ALU,2013,95.45579999999998
Globe,ID,ALUPLANT,ALU,2014,98.84099999999998
Globe,ID,ALUPLANT,ALU,2015,102.2262
Globe,ID,ALUPLANT,ALU,2016,105.61150000000002
Globe,ID,ALUPLANT,ALU,2017,108.99680000000001
Globe,ID,ALUPLANT,ALU,2018,112.38200000000003
Globe,ID,ALUPLANT,ALU,2019,115.7673
Globe,ID,ALUPLANT,ALU,2020,125.12087749445898
Globe,ID,ALUPLANT,ALU,2021,133.68732271437923
Globe,ID,ALUPLANT,ALU,2022,137.38053676631029
Globe,ID,ALUPLANT,ALU,2023,141.0737508182413
Globe,ID,ALUPLANT,ALU,2024,144.76707396901594
Globe,ID,ALUPLANT,ALU,2025,148.4603971197905
Globe,ID,ALUPLANT,ALU,2026,152.1536111717216
Globe,ID,ALUPLANT,ALU,2027,155.84693432249617
Globe,ID,ALUPLANT,ALU,2028,159.54014837442722
Globe,ID,ALUPLANT,ALU,2029,163.23347152520182
Globe,ID,ALUPLANT,ALU,2030,166.92668557713287
Globe,ID,ALUPLANT,ALU,2031,167.60130043493308
Globe,ID,ALUPLANT,ALU,2032,166.18422292941565
Globe,ID,ALUPLANT,ALU,2033,163.16080000000002
Globe,ID,ALUPLANT,ALU,2034,166.54600000000002
Globe,ID,ALUPLANT,ALU,2035,185.39308313331878
Globe,ID,ALUPLANT,ALU,2036,189.08629718524983
Globe,ID,ALUPLANT,ALU,2037,192.7796203360244
Globe,ID,ALUPLANT,ALU,2038,196.47283438795546
Globe,ID,ALUPLANT,ALU,2039,200.16615753873006
Globe,ID,ALUPLANT,ALU,2040,200.223585770346
Globe,ID,ALUPLANT,ALU,2041,194.74567275358675
Globe,ID,ALUPLANT,ALU,2042,198.12562976899343
Globe,ID,ALUPLANT,ALU,2043,197.01330000000002
Globe,ID,ALUPLANT,ALU,2044,206.83873649387277
Globe,ID,ALUPLANT,ALU,2045,222.32576914684705
Globe,ID,ALUPLANT,ALU,2046,226.0189831987781
Globe,ID,ALUPLANT,ALU,2047,229.7123063495527
Globe,ID,ALUPLANT,ALU,2048,233.40552040148367
Globe,ID,ALUPLANT,ALU,2049,237.09884355225836
Globe,ID,ALUPLANT,ALU,2050,240.79205760418938
Globe,ID,ALUPLANT,ALU,2051,240.79205760418938
Globe,ID,ALUPLANT,ALU,2052,240.79205760418938
Globe,ID,ALUPLANT,ALU,2053,240.79205760418938
Globe,ID,ALUPLANT,ALU,2054,240.79205760418938
Globe,ID,ALUPLANT,ALU,2055,240.79205760418938
Globe,ID,ALUPLANT,ALU,2056,240.79205760418938
Globe,ID,ALUPLANT,ALU,2057,240.79205760418938
Globe,ID,ALUPLANT,ALU,2058,240.79205760418938
Globe,ID,ALUPLANT,ALU,2059,240.79205760418938
Globe,ID,ALUPLANT,ALU,2060,240.79205760418938
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.5606
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836000000000001
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.6067
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.5985955423386207
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.5634636113963096
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.4930522870569353
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.5735183984754002
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.5648946840949963
