REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_F_CLS,ID,2.2698035376848527
Globe,ALUPLANT,1,2010,C1_F_CLS,IN,2.269803537684853
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,1.0369147942720565
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,1.0369147942720567
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.8710000072551594
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.8710000072551595
Globe,ALUPLANT,1,2010,XALU,ID,362.8149288281195
Globe,ALUPLANT,1,2010,XALU,IN,362.81492882811955
Globe,ALUPLANT,1,2011,C1_F_CLS,ID,2.254045510712755
Globe,ALUPLANT,1,2011,C1_F_CLS,IN,2.254045510712755
Globe,ALUPLANT,1,2011,C1_F_CLS,IP,0.9259915113189702
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,1.0324812493705866
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,1.0324812493705866
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.4241568628358564
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.8679991668843137
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.8679991668843137
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.35658546224856597
Globe,ALUPLANT,1,2011,XALU,ID,363.9302665431601
Globe,ALUPLANT,1,2011,XALU,IN,363.9302665431601
Globe,ALUPLANT,1,2011,XALU,IP,149.5073351134132
Globe,ALUPLANT,1,2012,C1_F_CLS,ID,2.2048624809019195
Globe,ALUPLANT,1,2012,C1_F_CLS,IN,2.2048624809019195
Globe,ALUPLANT,1,2012,C1_F_CLS,IP,2.2048624809019186
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,1.012669280108152
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IN,1.012669280108152
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IP,1.0126692801081516
Globe,ALUPLANT,1,2012,C1_P_HCO,ID,0.8520516799406679
Globe,ALUPLANT,1,2012,C1_P_HCO,IN,0.8520516799406679
Globe,ALUPLANT,1,2012,C1_P_HCO,IP,0.8520516799406676
Globe,ALUPLANT,1,2012,XALU,ID,359.554333905719
Globe,ALUPLANT,1,2012,XALU,IN,359.554333905719
Globe,ALUPLANT,1,2012,XALU,IP,359.5543339057188
Globe,ALUPLANT,1,2013,C1_F_CLS,ID,2.265279306401206
Globe,ALUPLANT,1,2013,C1_F_CLS,IN,2.265279306401206
Globe,ALUPLANT,1,2013,C1_F_CLS,IP,2.265279306401206
Globe,ALUPLANT,1,2013,C1_F_HEA_I,ID,1.0432148480570056
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IN,1.0432148480570056
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IP,1.0432148480570056
Globe,ALUPLANT,1,2013,C1_P_HCO,ID,0.8784796138942547
Globe,ALUPLANT,1,2013,C1_P_HCO,IN,0.8784796138942547
Globe,ALUPLANT,1,2013,C1_P_HCO,IP,0.8784796138942547
Globe,ALUPLANT,1,2013,XALU,ID,373.08051491448697
Globe,ALUPLANT,1,2013,XALU,IN,373.08051491448697
Globe,ALUPLANT,1,2013,XALU,IP,373.08051491448697
Globe,ALUPLANT,1,2014,C1_F_CLS,ID,2.3245465127572955
Globe,ALUPLANT,1,2014,C1_F_CLS,IN,2.3245465127572955
Globe,ALUPLANT,1,2014,C1_F_CLS,IP,2.3245465127572955
Globe,ALUPLANT,1,2014,C1_F_HEA_I,ID,1.0733849538052536
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IN,1.0733849538052536
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IP,1.0733849538052536
Globe,ALUPLANT,1,2014,C1_P_HCO,ID,0.90463615157843
Globe,ALUPLANT,1,2014,C1_P_HCO,IN,0.90463615157843
Globe,ALUPLANT,1,2014,C1_P_HCO,IP,0.90463615157843
Globe,ALUPLANT,1,2014,XALU,ID,386.6215138101672
Globe,ALUPLANT,1,2014,XALU,IN,386.6215138101672
Globe,ALUPLANT,1,2014,XALU,IP,386.6215138101672
Globe,ALUPLANT,1,2015,C1_F_CLS,ID,2.38270830962416
Globe,ALUPLANT,1,2015,C1_F_CLS,IN,2.3827083096241597
Globe,ALUPLANT,1,2015,C1_F_CLS,IP,2.3827083096241597
Globe,ALUPLANT,1,2015,C1_F_HEA_I,ID,1.103198344909262
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IN,1.1031983449092617
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IP,1.1031983449092617
Globe,ALUPLANT,1,2015,C1_P_HCO,ID,0.9305276143543837
Globe,ALUPLANT,1,2015,C1_P_HCO,IN,0.9305276143543836
Globe,ALUPLANT,1,2015,C1_P_HCO,IP,0.9305276143543836
Globe,ALUPLANT,1,2015,XALU,ID,400.1806863374726
Globe,ALUPLANT,1,2015,XALU,IN,400.18068633747254
Globe,ALUPLANT,1,2015,XALU,IP,400.18068633747254
Globe,ALUPLANT,1,2016,C1_F_CLS,ID,2.439781924860413
Globe,ALUPLANT,1,2016,C1_F_CLS,IN,2.439781924860412
Globe,ALUPLANT,1,2016,C1_F_CLS,IP,2.4397819248604122
Globe,ALUPLANT,1,2016,C1_F_HEA_I,ID,1.1326641226296048
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IN,1.1326641226296044
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IP,1.1326641226296046
Globe,ALUPLANT,1,2016,C1_P_HCO,ID,0.9561611611263808
