REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.209966684011597
Globe,ALUPLANT,2011,4.186679626499169
Globe,ALUPLANT,2012,4.101154125408131
Globe,ALUPLANT,2013,4.219544431821698
Globe,ALUPLANT,2014,4.336120518714794
Globe,ALUPLANT,2015,4.450964854226898
Globe,ALUPLANT,2016,4.564102231672111
Globe,ALUPLANT,2017,4.675546175591217
Globe,ALUPLANT,2018,4.785369073218507
Globe,ALUPLANT,2019,4.893574840427781
Globe,ALUPLANT,2020,5.250693575770224
Globe,ALUPLANT,2021,5.569887371546269
Globe,ALUPLANT,2022,5.682916848318681
Globe,ALUPLANT,2023,5.794368469576629
Globe,ALUPLANT,2024,5.904233171107374
Globe,ALUPLANT,2025,6.012587159997348
Globe,ALUPLANT,2026,6.119434168746846
Globe,ALUPLANT,2027,6.224789180696032
Globe,ALUPLANT,2028,6.328723124548364
Globe,ALUPLANT,2029,6.431224106046231
Globe,ALUPLANT,2030,6.532362528357148
Globe,ALUPLANT,2031,6.5148098216966766
Globe,ALUPLANT,2032,6.416701337496307
Globe,ALUPLANT,2033,6.258301337496307
Globe,ALUPLANT,2034,6.3461567772714105
Globe,ALUPLANT,2035,7.0182118084993474
Globe,ALUPLANT,2036,7.111608716028411
Globe,ALUPLANT,2037,7.203779407121002
Globe,ALUPLANT,2038,7.294792483206866
Globe,ALUPLANT,2039,7.3846246020678254
Globe,ALUPLANT,2040,7.340058573159007
Globe,ALUPLANT,2041,7.09440495849223
Globe,ALUPLANT,2042,7.172461808015516
Globe,ALUPLANT,2043,7.08795668363584
Globe,ALUPLANT,2044,7.395549788825543
Globe,ALUPLANT,2045,7.900590224262876
Globe,ALUPLANT,2046,7.982925856813106
Globe,ALUPLANT,2047,8.064240374844314
Globe,ALUPLANT,2048,8.144600592562687
Globe,ALUPLANT,2049,8.223974982908835
Globe,ALUPLANT,2050,8.302430044347384
Globe,ALUPLANT,2051,8.302430044347384
Globe,ALUPLANT,2052,8.302430044347384
Globe,ALUPLANT,2053,8.302430044347384
Globe,ALUPLANT,2054,8.302430044347384
Globe,ALUPLANT,2055,8.302430044347384
Globe,ALUPLANT,2056,8.302430044347382
Globe,ALUPLANT,2057,8.302430044347382
Globe,ALUPLANT,2058,8.302430044347382
Globe,ALUPLANT,2059,8.302430044347384
Globe,ALUPLANT,2060,8.302430044347384
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836000000000001
Globe,C1BFRDF00,2012,0.6067000000000001
Globe,C1BFRDF00,2013,0.6067000000000001
Globe,C1BFRDF00,2014,0.6067000000000001
Globe,C1BFRDF00,2015,0.6067000000000001
Globe,C1BFRDF00,2016,0.6067000000000001
Globe,C1BFRDF00,2017,0.6067000000000001
Globe,C1BFRDF00,2018,0.6067000000000001
Globe,C1BFRDF00,2019,0.6067000000000001
Globe,C1BFRDF00,2020,0.6067000000000001
Globe,C1BFRDF00,2021,0.6067000000000001
Globe,C1BFRDF00,2022,0.04610000000000014
Globe,C1BFRDF00,2023,0.02310000000000001
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2088
Globe,C1BMBRFH1,2022,0.1566
Globe,C1BMBRFH1,2023,0.1044
Globe,C1BMBRFH1,2024,0.1
Globe,C1BMBRFH1,2025,0.1
Globe,C1BMBRFH1,2026,0.1
Globe,C1BMBRFH1,2027,0.1
Globe,C1BMBRFH1,2028,0.1
Globe,C1BMBRFH1,2029,0.1
Globe,C1BMBRFH1,2030,0.1
Globe,C1BMBRFH1,2031,0.1
Globe,C1BMBRFH1,2032,0.1
Globe,C1BMBRFH1,2033,0.1
Globe,C1BMBRFH1,2034,0.1
Globe,C1BMBRFH1,2035,0.1
Globe,C1BMBRFH1,2036,0.1
Globe,C1BMBRFH1,2037,0.1
Globe,C1BMBRFH1,2038,0.1
Globe,C1BMBRFH1,2039,0.1
Globe,C1BMBRFH1,2040,0.1
Globe,C1BMBRFH1,2041,0.1
Globe,C1BMBRFH1,2042,0.1
Globe,C1BMBRFH1,2043,0.1
Globe,C1BMBRFH1,2044,0.1
Globe,C1BMBRFH1,2045,0.1
Globe,C1BMBRFH1,2046,0.1
Globe,C1BMBRFH1,2047,0.1
Globe,C1BMBRFH1,2048,0.1
Globe,C1BMBRFH1,2049,0.1
Globe,C1BMBRFH1,2050,0.1
Globe,C1BMBRFH1,2051,0.1
Globe,C1BMBRFH1,2052,0.1
Globe,C1BMBRFH1,2053,0.1
Globe,C1BMBRFH1,2054,0.1
Globe,C1BMBRFH1,2055,0.1
Globe,C1BMBRFH1,2056,0.1
Globe,C1BMBRFH1,2057,0.1
Globe,C1BMBRFH1,2058,0.1
Globe,C1BMBRFH1,2059,0.1
Globe,C1BMBRFH1,2060,0.1
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
