REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,317.9824673318855
Globe,C1BFRDF00,5.86788553926925
Globe,C1BMBRFH1,192.2363346497257
Globe,C1BMCHP00,353.72924949749415
Globe,C1BMHTF03,124.36548403843848
Globe,C1BMLP000,65.28737374417703
Globe,C1BMSCP00,7.655407810377583
Globe,C1CO00I00,12113.33716745189
Globe,C1COBRFH1,969.424701896716
Globe,C1COCHP00,39.995625077914
Globe,C1COHTF03,4113.945845318634
Globe,C1COIGP00,0.7485195743999996
Globe,C1COLP000,1760.8972918087438
Globe,C1COSCP00,1997.7966522213048
Globe,C1COSF000,615.864134077228
Globe,C1ELEFF00,7350.665998945788
Globe,C1ELRDF00,52.72695777677488
Globe,C1ELRLF00,431.64999999999986
Globe,C1GOCVP00,82.34811509759999
Globe,C1GOHTF03,23.869881726377546
Globe,C1HFGCP00,16.05589475545743
Globe,C1HFGCPCH,66.85270570050537
Globe,C1HFMRF00,11211.444500000007
Globe,C1HPASF01,2960.755666699999
Globe,C1HTOOTFI,4707.319759212295
Globe,C1HTOOTFR,956.9998079022795
Globe,C1HYDMP00,1054.5395221886497
Globe,C1HYMIP00,31.881763226879993
Globe,C1LFAVF00,104.88380000000026
Globe,C1LFBRFH1,42.11010549857076
Globe,C1LFCCP00,15.870165944785297
Globe,C1LFRDF00,1648.275156683957
Globe,C1LFRLF00,479.3399999999998
Globe,C1NG00I00,3902.7139794962213
Globe,C1NGBRFH1,81.25596475522028
Globe,C1NGBRFN1,111.43161308853429
Globe,C1NGCCP00,996.7800104479279
Globe,C1NGCCPCH,34.65385712105366
Globe,C1NGGCP00,16.94832446383199
Globe,C1NGGCPCH,168.56940575710234
Globe,C1NGHTF03,198.08450245085825
Globe,C1NGLP000,1287.2931430740339
Globe,C1NU00I00,2916.361305554549
Globe,C1NULWP00,1078.1318820781203
Globe,C1OI00I00,7568.027004594249
Globe,C1OIHTF03,204.40043179570716
Globe,C1OIRFP00,7308.745091026004
Globe,C1SOC1P00,240.91283165681847
Globe,C1SOTHF00,94.59400550895352
Globe,C1SOV1P00,51.73066137763664
Globe,C1SOV2P00,217.63794094826824
Globe,C1WDOFP00,392.85478497867604
Globe,C1WDONP00,590.7288325824001
Globe,CEMPLANT,585.8258581377974
Globe,FERTPLANT,0.022565034573960533
Globe,LA,295965.3343844644
Globe,LA1,60841.52701624877
Globe,LA1_PROD,60841.52701624878
Globe,LA1_i,49231.81236892457
Globe,LA1_i_PROD,49231.81236892457
Globe,LA2,185891.9949992911
Globe,LA2_PROD,185891.9949992911
Globe,LF,168478.2028669815
Globe,LF1,65535.0
Globe,LF2,102943.20286698148
Globe,LF2_PROD,102943.20286698148
Globe,LO,198900.0
Globe,LandRes,663456.0
Globe,MFOOFACTOR,333.8812202760704
Globe,PAPPLANT,348.08132324516544
Globe,PETAPLANT,0.0004624901273801031
Globe,PETBPLANT,2955.337610140408
Globe,STEPLANT,1563.7174223907787
Globe,VFOOFACTOR,4225.927429586399
Globe,XALUMINE,336.8016967784006
Globe,XCEMMINE,2772.79999350165
Globe,XPHOMINE,7.220811063667369e-05
Globe,XPOTMINE,1.5795524201772366e-05
Globe,XSTEMINE,2406.4594714269547
