REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.619311607204
Globe,ALUPLANT,2011,27.873091315862002
Globe,ALUPLANT,2012,44.81669159154
Globe,ALUPLANT,2013,26.565747072725998
Globe,ALUPLANT,2014,25.015868083008005
Globe,ALUPLANT,2015,14.143727279084002
Globe,ALUPLANT,2016,30.59062371424
Globe,ALUPLANT,2017,36.057913281924
Globe,ALUPLANT,2018,71.478962101108
Globe,ALUPLANT,2019,61.093189112489995
Globe,ALUPLANT,2020,37.613784576994995
Globe,ALUPLANT,2021,25.275171385449003
Globe,ALUPLANT,2022,50.283349685436
Globe,ALUPLANT,2023,32.072464076371
Globe,ALUPLANT,2024,43.704574762155
Globe,ALUPLANT,2025,31.731654737887997
Globe,ALUPLANT,2026,23.469729194758
Globe,ALUPLANT,2027,59.170768081152
Globe,ALUPLANT,2028,38.214552307316
Globe,ALUPLANT,2029,38.27567342676
Globe,ALUPLANT,2030,38.373456150734
Globe,ALUPLANT,2031,38.440350319162
Globe,ALUPLANT,2032,28.061874050571
Globe,ALUPLANT,2033,43.164788721735
Globe,ALUPLANT,2034,44.731918737357006
Globe,ALUPLANT,2035,77.249951172588
Globe,ALUPLANT,2036,39.752387069259996
Globe,ALUPLANT,2037,65.11193203362001
Globe,ALUPLANT,2038,58.647914104208
Globe,ALUPLANT,2039,44.41000457013601
Globe,ALUPLANT,2040,31.161436040844002
Globe,ALUPLANT,2041,50.885711499302005
Globe,ALUPLANT,2042,57.331323270171
Globe,ALUPLANT,2043,99.78472055765201
Globe,ALUPLANT,2044,87.11459586633501
Globe,ALUPLANT,2045,58.79032666273801
Globe,ALUPLANT,2046,43.87786584555
Globe,ALUPLANT,2047,73.667747956989
Globe,ALUPLANT,2048,51.768001525042
Globe,ALUPLANT,2049,65.517846470496
Globe,ALUPLANT,2050,51.1184255361
Globe,ALUPLANT,2051,27.750965597849998
Globe,ALUPLANT,2052,69.43666355759999
Globe,ALUPLANT,2053,44.508887930099995
Globe,ALUPLANT,2054,44.248798271700004
Globe,ALUPLANT,2055,44.034586029299994
Globe,ALUPLANT,2056,43.78835460809999
Globe,ALUPLANT,2057,31.73361394185
Globe,ALUPLANT,2058,48.46040104994999
Globe,ALUPLANT,2059,49.85997442155
Globe,ALUPLANT,2060,85.49331802859999
Globe,ALUPLANT,2061,43.683588167249994
Globe,ALUPLANT,2062,71.0491291779
Globe,ALUPLANT,2063,63.54994805445
Globe,ALUPLANT,2064,47.7891129942
Globe,ALUPLANT,2065,33.30212275395
Globe,ALUPLANT,2066,54.010363764450005
Globe,ALUPLANT,2067,60.43937441714999
Globe,ALUPLANT,2068,104.4862153494
Globe,ALUPLANT,2069,90.60924543675
Globe,ALUPLANT,2070,60.7426183683
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.1266053
Globe,C1BFRDF00,2012,2.13585141
Globe,C1BFRDF00,2022,43.784388043068
Globe,C1BMBRFH1,2021,8.1587036596
Globe,C1BMBRFH1,2023,0.575758513304
Globe,C1BMBRFN1,2010,54.236000000000004
Globe,C1BMBRFN1,2015,27.118000000000002
Globe,C1BMBRFN1,2016,30.991999999999997
Globe,C1BMBRFN1,2017,30.991999999999997
Globe,C1BMBRFN1,2018,30.991999999999997
Globe,C1BMBRFN1,2019,38.74
Globe,C1BMBRFN1,2020,38.74
Globe,C1BMBRFN1,2021,38.74
Globe,C1BMBRFN1,2022,38.74
Globe,C1BMBRFN1,2023,38.74
Globe,C1BMBRFN1,2024,38.74
Globe,C1BMBRFN1,2025,38.74
Globe,C1BMBRFN1,2026,38.74
Globe,C1BMBRFN1,2027,38.74
Globe,C1BMBRFN1,2028,23.7457046944
Globe,C1BMBRFN1,2029,11.073215358399999
Globe,C1BMBRFN1,2030,32.043182782
Globe,C1BMBRFN1,2031,30.244314126
Globe,C1BMBRFN1,2032,35.863049055599994
Globe,C1BMBRFN1,2033,32.863614628
Globe,C1BMBRFN1,2034,37.600594615999995
Globe,C1BMBRFN1,2035,38.079232739599995
Globe,C1BMBRFN1,2036,36.7258857056
Globe,C1BMBRFN1,2037,37.7204453288
Globe,C1BMBRFN1,2038,38.7224569784
Globe,C1BMBRFN1,2039,38.74
Globe,C1BMBRFN1,2040,38.74
Globe,C1BMBRFN1,2041,38.74
Globe,C1BMBRFN1,2042,37.0768987732
Globe,C1BMBRFN1,2043,25.139263073600002
Globe,C1BMBRFN1,2044,12.8189993672
Globe,C1BMBRFN1,2045,32.3828930672
Globe,C1BMBRFN1,2046,30.7951636096
Globe,C1BMBRFN1,2047,36.6291178344
Globe,C1BMBRFN1,2048,34.973310574799996
Globe,C1BMBRFN1,2049,38.74
Globe,C1BMBRFN1,2050,38.74
Globe,C1BMBRFN1,2051,38.74
Globe,C1BMBRFN1,2052,38.74
Globe,C1BMBRFN1,2053,38.74
Globe,C1BMBRFN1,2054,38.74
Globe,C1BMBRFN1,2055,38.74
Globe,C1BMBRFN1,2056,38.74
Globe,C1BMBRFN1,2057,38.74
Globe,C1BMBRFN1,2058,38.74
Globe,C1BMBRFN1,2059,28.6765435164
Globe,C1BMBRFN1,2060,38.74
Globe,C1BMBRFN1,2061,29.9183433692
Globe,C1BMBRFN1,2062,35.9119110428
Globe,C1BMBRFN1,2063,38.74
Globe,C1BMBRFN1,2064,38.74
Globe,C1BMBRFN1,2065,38.74
Globe,C1BMBRFN1,2066,38.74
Globe,C1BMBRFN1,2067,30.7488220468
Globe,C1BMBRFN1,2068,37.8664610376
Globe,C1BMBRFN1,2069,37.8631797596
Globe,C1BMBRFN1,2070,37.8664610376
Globe,C1BMCHP00,2020,44.375625
Globe,C1BMCHP00,2021,44.375625
Globe,C1BMCHP00,2022,44.375625
Globe,C1BMCHP00,2023,44.375625
Globe,C1BMCHP00,2024,44.375625
Globe,C1BMCHP00,2025,31.02898792809375
Globe,C1BMCHP00,2042,8.11267321764375
Globe,C1BMCHP00,2051,6.915185883112501
Globe,C1BMCHP00,2052,1.206514712300625
Globe,C1BMCHP00,2053,9.402575453775
Globe,C1BMCHP00,2054,9.866796854512499
Globe,C1BMCHP00,2055,55.6102419193125
Globe,C1BMCHP00,2056,48.65613328800001
Globe,C1BMCHP00,2057,32.97034342074375
Globe,C1BMLP000,2011,289.8502584072
Globe,C1BMLP000,2012,31.947063859590003
Globe,C1BMSCP00,2010,8.272688129999999
Globe,C1COBRFH1,2010,5.98
Globe,C1COBRFH1,2011,2.99
Globe,C1COBRFH1,2012,2.99
Globe,C1COBRFH1,2013,2.99
Globe,C1COBRFH1,2014,2.99
Globe,C1COBRFH1,2015,5.98
Globe,C1COBRFH1,2016,5.98
Globe,C1COBRFH1,2017,5.98
Globe,C1COBRFH1,2018,5.98
Globe,C1COBRFH1,2019,5.98
Globe,C1COBRFH1,2020,8.969999999999999
Globe,C1COBRFH1,2021,8.969999999999999
Globe,C1COBRFH1,2022,8.969999999999999
Globe,C1COBRFH1,2023,8.969999999999999
Globe,C1COBRFH1,2024,8.969999999999999
Globe,C1COBRFH1,2025,8.969999999999999
Globe,C1COBRFH1,2026,8.969999999999999
Globe,C1COBRFH1,2027,8.969999999999999
Globe,C1COBRFH1,2028,8.969999999999999
Globe,C1COBRFH1,2029,8.969999999999999
Globe,C1COBRFH1,2030,11.96
Globe,C1COBRFH1,2031,11.96
Globe,C1COBRFH1,2032,11.96
Globe,C1COBRFH1,2033,11.96
Globe,C1COBRFH1,2034,11.96
Globe,C1COBRFH1,2035,11.96
Globe,C1COBRFH1,2036,11.96
Globe,C1COBRFH1,2037,11.96
Globe,C1COBRFH1,2038,11.96
Globe,C1COBRFH1,2039,11.96
Globe,C1COBRFH1,2040,11.96
Globe,C1COBRFH1,2041,11.96
Globe,C1COBRFH1,2042,11.96
Globe,C1COBRFH1,2043,11.96
Globe,C1COBRFH1,2044,11.96
Globe,C1COBRFH1,2045,11.96
Globe,C1COBRFH1,2046,11.96
Globe,C1COBRFH1,2047,11.96
Globe,C1COBRFH1,2048,11.96
Globe,C1COBRFH1,2049,11.96
Globe,C1COBRFH1,2050,11.96
Globe,C1COBRFH1,2051,11.96
Globe,C1COBRFH1,2052,11.96
Globe,C1COBRFH1,2053,11.96
Globe,C1COBRFH1,2054,11.96
Globe,C1COBRFH1,2055,11.96
Globe,C1COBRFH1,2056,11.96
Globe,C1COBRFH1,2057,11.96
Globe,C1COBRFH1,2058,11.96
Globe,C1COBRFH1,2059,11.96
Globe,C1COBRFH1,2060,11.96
Globe,C1COBRFH1,2061,11.96
Globe,C1COBRFH1,2062,11.96
Globe,C1COBRFH1,2063,11.96
Globe,C1COBRFH1,2064,11.96
Globe,C1COBRFH1,2065,11.96
Globe,C1COBRFH1,2066,11.96
Globe,C1COBRFH1,2067,11.96
Globe,C1COBRFH1,2068,11.96
Globe,C1COBRFH1,2069,11.96
Globe,C1COBRFH1,2070,11.96
Globe,C1COHTF03,2010,10.920000000000002
Globe,C1COHTF03,2011,10.920000000000002
Globe,C1COHTF03,2012,10.920000000000002
Globe,C1COHTF03,2013,10.920000000000002
Globe,C1COHTF03,2014,10.920000000000002
Globe,C1COHTF03,2015,10.920000000000002
Globe,C1COHTF03,2016,14.04
Globe,C1COHTF03,2017,14.04
Globe,C1COHTF03,2018,14.04
Globe,C1COHTF03,2019,14.04
Globe,C1COHTF03,2020,14.04
Globe,C1COHTF03,2021,15.600000000000001
Globe,C1COHTF03,2022,15.600000000000001
Globe,C1COHTF03,2023,15.600000000000001
Globe,C1COHTF03,2024,15.600000000000001
Globe,C1COHTF03,2025,15.600000000000001
Globe,C1COHTF03,2026,23.4
Globe,C1COHTF03,2027,23.4
Globe,C1COHTF03,2028,23.4
Globe,C1COHTF03,2029,23.4
Globe,C1COHTF03,2030,23.4
Globe,C1COHTF03,2031,23.4
Globe,C1COHTF03,2032,23.4
Globe,C1COHTF03,2033,23.4
Globe,C1COHTF03,2034,23.4
Globe,C1COHTF03,2035,23.4
Globe,C1COHTF03,2036,23.4
Globe,C1COHTF03,2037,23.4
Globe,C1COHTF03,2038,23.4
Globe,C1COHTF03,2039,23.4
Globe,C1COHTF03,2040,23.4
Globe,C1COHTF03,2041,23.4
Globe,C1COHTF03,2042,23.4
Globe,C1COHTF03,2043,23.4
Globe,C1COHTF03,2044,23.4
Globe,C1COHTF03,2045,23.4
Globe,C1COHTF03,2046,23.4
Globe,C1COHTF03,2047,23.4
Globe,C1COHTF03,2048,23.4
Globe,C1COHTF03,2049,23.4
Globe,C1COHTF03,2050,23.4
Globe,C1COHTF03,2051,23.4
Globe,C1COHTF03,2052,23.4
Globe,C1COHTF03,2053,23.4
Globe,C1COHTF03,2054,23.4
Globe,C1COHTF03,2055,23.4
Globe,C1COHTF03,2056,23.4
Globe,C1COHTF03,2057,23.4
Globe,C1COHTF03,2058,23.4
Globe,C1COHTF03,2059,23.4
Globe,C1COHTF03,2060,23.4
Globe,C1COHTF03,2061,23.4
Globe,C1COHTF03,2062,23.4
Globe,C1COHTF03,2063,23.4
Globe,C1COHTF03,2064,23.4
Globe,C1COHTF03,2065,23.4
Globe,C1COHTF03,2066,23.4
Globe,C1COHTF03,2067,23.4
Globe,C1COHTF03,2068,23.4
Globe,C1COHTF03,2069,23.4
Globe,C1COHTF03,2070,23.4
Globe,C1COIGP00,2010,13.492119299999999
Globe,C1COLP000,2039,20.344710834
Globe,C1COLP000,2040,4.791244304999999
Globe,C1COLP000,2042,48.44
Globe,C1COLP000,2043,47.76
Globe,C1COLP000,2044,47.08
Globe,C1COLP000,2045,46.4
Globe,C1COLP000,2046,45.72
Globe,C1COLP000,2047,45.04
Globe,C1COLP000,2048,44.36
Globe,C1COLP000,2049,43.68
Globe,C1COLP000,2050,43.0
Globe,C1COLP000,2051,43.0
Globe,C1COLP000,2052,19.3994586
Globe,C1COLP000,2065,16.561632749999998
Globe,C1COLP000,2066,43.0
Globe,C1COLP000,2067,43.0
Globe,C1COLP000,2068,43.0
Globe,C1COLP000,2069,43.0
Globe,C1COLP000,2070,43.0
Globe,C1COSCP00,2011,111.826576
Globe,C1COSCP00,2012,111.826576
Globe,C1COSCP00,2013,167.739864
Globe,C1COSCP00,2014,167.739864
Globe,C1COSCP00,2015,167.739864
Globe,C1COSCP00,2016,167.739864
Globe,C1COSCP00,2017,167.739864
Globe,C1COSCP00,2018,223.653152
Globe,C1COSCP00,2019,220.20394513321202
Globe,C1COSCP00,2022,223.653152
Globe,C1COSCP00,2024,147.7196527426384
Globe,C1COSCP00,2025,223.653152
Globe,C1COSCP00,2026,223.653152
Globe,C1COSCP00,2027,107.61803033853481
Globe,C1COSCP00,2028,219.8281463332352
Globe,C1COSCP00,2029,223.653152
Globe,C1COSCP00,2030,118.5470904251464
Globe,C1COSCP00,2031,172.5405872946732
Globe,C1COSCP00,2032,140.0527192524956
Globe,C1COSCP00,2033,140.36422895393
Globe,C1COSCP00,2034,133.064064267752
Globe,C1COSCP00,2035,198.4916719760724
Globe,C1COSCP00,2036,249.23028301992642
Globe,C1COSCP00,2037,250.4992714347236
Globe,C1COSCP00,2038,251.6857737713988
Globe,C1COSCP00,2039,173.420989540528
Globe,C1COSCP00,2040,234.67116733215522
Globe,C1COSCP00,2041,249.41947122120322
Globe,C1COSCP00,2042,245.6823891998184
Globe,C1COSCP00,2044,212.4634241647324
Globe,C1COSCP00,2045,59.2882056766868
Globe,C1COSCP00,2046,72.4444457858804
Globe,C1COSCP00,2048,146.9184488735712
Globe,C1COSCP00,2049,171.7251087631796
Globe,C1COSCP00,2067,40.7734317420812
Globe,C1COSCP00,2068,178.76876005800003
Globe,C1COSCP00,2069,185.5932256725316
Globe,C1COSCP00,2070,198.4758093762668
Globe,C1ELRDF00,2020,55.864365758477
Globe,C1ELRDF00,2021,416.0666
Globe,C1ELRDF00,2022,416.0666
Globe,C1ELRDF00,2026,151.17148737967798
Globe,C1ELRDF00,2027,147.088141116289
Globe,C1ELRDF00,2028,116.171544760412
Globe,C1ELRDF00,2029,125.16176414956901
Globe,C1ELRDF00,2030,118.02020147586701
Globe,C1ELRDF00,2031,147.525250284584
Globe,C1ELRDF00,2032,253.23529550725002
Globe,C1ELRDF00,2033,867.24406181416
Globe,C1ELRDF00,2034,870.09472132073
Globe,C1ELRDF00,2035,457.2130903404
Globe,C1ELRDF00,2036,494.56128788607
Globe,C1ELRDF00,2037,441.98218192086
Globe,C1ELRDF00,2038,593.93817119617
Globe,C1ELRDF00,2039,594.8247883174399
Globe,C1ELRDF00,2040,610.1819313434199
Globe,C1ELRDF00,2041,606.81281124659
Globe,C1ELRDF00,2042,705.8515780342
Globe,C1ELRDF00,2043,735.35662892325
Globe,C1ELRDF00,2044,791.2209967620599
Globe,C1ELRDF00,2045,1151.42322892325
Globe,C1ELRDF00,2046,1144.6143822275699
Globe,C1ELRDF00,2047,737.02095773324
Globe,C1ELRDF00,2048,840.7886958897899
Globe,C1ELRDF00,2049,850.2589333957
Globe,C1ELRDF00,2050,984.1989476443899
Globe,C1ELRDF00,2051,594.8247883174399
Globe,C1ELRDF00,2052,610.1819313434199
Globe,C1ELRDF00,2053,606.81281124659
Globe,C1ELRDF00,2054,705.8515780342
Globe,C1ELRDF00,2055,735.35662892325
Globe,C1ELRDF00,2056,751.10782862609
Globe,C1ELRDF00,2057,1165.12284582815
Globe,C1ELRDF00,2058,1169.72512491739
Globe,C1ELRDF00,2059,738.3237870778199
Globe,C1ELRDF00,2060,840.7886958897899
Globe,C1ELRDF00,2061,792.72355887797
Globe,C1ELRDF00,2062,1041.73432216212
Globe,C1ELRDF00,2063,581.43181249674
Globe,C1ELRDF00,2064,623.57490716412
