REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.21924718
Globe,ALUPLANT,2012,0.34952556
Globe,ALUPLANT,2013,0.20543883
Globe,ALUPLANT,2014,0.19183536
Globe,ALUPLANT,2015,0.10756226
Globe,ALUPLANT,2016,0.23072636
Globe,ALUPLANT,2017,0.26974394
Globe,ALUPLANT,2018,0.53039629
Globe,ALUPLANT,2019,0.4496911
Globe,ALUPLANT,2020,0.27466043
Globe,ALUPLANT,2021,0.18310419
Globe,ALUPLANT,2022,0.36141868
Globe,ALUPLANT,2023,0.22873237
Globe,ALUPLANT,2024,0.30928395
Globe,ALUPLANT,2025,0.22283528
Globe,ALUPLANT,2026,0.16356329
Globe,ALUPLANT,2027,0.40925744
Globe,ALUPLANT,2028,0.26233394
Globe,ALUPLANT,2029,0.26080098
Globe,ALUPLANT,2030,0.25953842
Globe,ALUPLANT,2031,0.25808714
Globe,ALUPLANT,2032,0.18703689
Globe,ALUPLANT,2033,0.28562403
Globe,ALUPLANT,2034,0.29387307
Globe,ALUPLANT,2035,0.50389484
Globe,ALUPLANT,2036,0.25746965
Globe,ALUPLANT,2037,0.41876126
Globe,ALUPLANT,2038,0.37456133
Globe,ALUPLANT,2039,0.28166748
Globe,ALUPLANT,2040,0.19628163
Globe,ALUPLANT,2041,0.31833533
Globe,ALUPLANT,2042,0.35622771
Globe,ALUPLANT,2043,0.61583836
Globe,ALUPLANT,2044,0.53404795
Globe,ALUPLANT,2045,0.35801502
Globe,ALUPLANT,2046,0.26543982
Globe,ALUPLANT,2047,0.44273319
Globe,ALUPLANT,2048,0.30909259
Globe,ALUPLANT,2049,0.38865834
Globe,ALUPLANT,2050,0.30129034
Globe,ALUPLANT,2051,0.16356329
Globe,ALUPLANT,2052,0.40925744
Globe,ALUPLANT,2053,0.26233394
Globe,ALUPLANT,2054,0.26080098
Globe,ALUPLANT,2055,0.25953842
Globe,ALUPLANT,2056,0.25808714
Globe,ALUPLANT,2057,0.18703689
Globe,ALUPLANT,2058,0.28562403
Globe,ALUPLANT,2059,0.29387307
Globe,ALUPLANT,2060,0.50389484
Globe,ALUPLANT,2061,0.25746965
Globe,ALUPLANT,2062,0.41876126
Globe,ALUPLANT,2063,0.37456133
Globe,ALUPLANT,2064,0.28166748
Globe,ALUPLANT,2065,0.19628163
Globe,ALUPLANT,2066,0.31833533
Globe,ALUPLANT,2067,0.35622771
Globe,ALUPLANT,2068,0.61583836
Globe,ALUPLANT,2069,0.53404795
Globe,ALUPLANT,2070,0.35801502
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354388
Globe,C1BMBRFH1,2021,0.010530077
Globe,C1BMBRFH1,2023,0.00074310598
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2015,0.035
Globe,C1BMBRFN1,2016,0.04
Globe,C1BMBRFN1,2017,0.04
Globe,C1BMBRFN1,2018,0.04
Globe,C1BMBRFN1,2019,0.05
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2021,0.05
Globe,C1BMBRFN1,2022,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.030647528
Globe,C1BMBRFN1,2029,0.014291708
Globe,C1BMBRFN1,2030,0.041356715
Globe,C1BMBRFN1,2031,0.039034995
Globe,C1BMBRFN1,2032,0.046286847
Globe,C1BMBRFN1,2033,0.04241561
Globe,C1BMBRFN1,2034,0.04852942
Globe,C1BMBRFN1,2035,0.049147177
Globe,C1BMBRFN1,2036,0.047400472
Globe,C1BMBRFN1,2037,0.048684106
Globe,C1BMBRFN1,2038,0.049977358
Globe,C1BMBRFN1,2039,0.05
Globe,C1BMBRFN1,2040,0.05
Globe,C1BMBRFN1,2041,0.05
Globe,C1BMBRFN1,2042,0.047853509
Globe,C1BMBRFN1,2043,0.032446132
Globe,C1BMBRFN1,2044,0.016544914
Globe,C1BMBRFN1,2045,0.041795164
