REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.65000016197405
Globe,ID,ALUPLANT,ALU,2011,43.603867134616635
Globe,ID,ALUPLANT,ALU,2012,45.908982654833295
Globe,ID,ALUPLANT,ALU,2013,46.74922136777704
Globe,ID,ALUPLANT,ALU,2014,47.45498927295302
Globe,ID,ALUPLANT,ALU,2015,47.27983913095498
Globe,ID,ALUPLANT,ALU,2016,48.40175011412109
Globe,ID,ALUPLANT,ALU,2017,49.95323370078187
Globe,ID,ALUPLANT,ALU,2018,54.32642912684487
Globe,ID,ALUPLANT,ALU,2019,57.88365044158416
Globe,ID,ALUPLANT,ALU,2020,59.57625015581988
Globe,ID,ALUPLANT,ALU,2021,60.27901686866111
Globe,ID,ALUPLANT,ALU,2022,62.96149946467339
Globe,ID,ALUPLANT,ALU,2023,64.19640319126941
Globe,ID,ALUPLANT,ALU,2024,66.34675032467075
Globe,ID,ALUPLANT,ALU,2025,67.54240940418718
Globe,ID,ALUPLANT,ALU,2026,68.07397445860704
Globe,ID,ALUPLANT,ALU,2027,71.42465022149814
Globe,ID,ALUPLANT,ALU,2028,73.1172497163869
Globe,ID,ALUPLANT,ALU,2029,74.80989992966843
Globe,ID,ALUPLANT,ALU,2030,76.50249966790074
Globe,ID,ALUPLANT,ALU,2031,78.19515040524375
Globe,ID,ALUPLANT,ALU,2032,79.05936868835359
Globe,ID,ALUPLANT,ALU,2033,81.10576491532237
Globe,ID,ALUPLANT,ALU,2034,83.27300055306536
Globe,ID,ALUPLANT,ALU,2035,84.96564989710303
Globe,ID,ALUPLANT,ALU,2036,85.9859241552136
Globe,ID,ALUPLANT,ALU,2037,87.39292557746491
Globe,ID,ALUPLANT,ALU,2038,90.04350020728657
Globe,ID,ALUPLANT,ALU,2039,91.73614997431224
Globe,ID,ALUPLANT,ALU,2040,93.42875032545663
Globe,ID,ALUPLANT,ALU,2041,95.12139951204995
Globe,ID,ALUPLANT,ALU,2042,96.81399996077099
Globe,ID,ALUPLANT,ALU,2043,98.50665033971882
Globe,ID,ALUPLANT,ALU,2044,100.19924966302464
Globe,ID,ALUPLANT,ALU,2045,101.89189968708786
Globe,ID,ALUPLANT,ALU,2046,103.58450056038261
Globe,ID,ALUPLANT,ALU,2047,105.27715032840278
Globe,ID,ALUPLANT,ALU,2048,106.96975009768035
Globe,ID,ALUPLANT,ALU,2049,108.6624002258235
Globe,ID,ALUPLANT,ALU,2050,110.35499941053939
Globe,ID,ALUPLANT,ALU,2051,110.35499941053939
Globe,ID,ALUPLANT,ALU,2052,110.35499941053939
Globe,ID,ALUPLANT,ALU,2053,110.35499941053939
Globe,ID,ALUPLANT,ALU,2054,110.35499941053939
Globe,ID,ALUPLANT,ALU,2055,110.35499941053939
Globe,ID,ALUPLANT,ALU,2056,110.35499941053939
Globe,ID,ALUPLANT,ALU,2057,110.35499941053939
Globe,ID,ALUPLANT,ALU,2058,110.35499941053939
Globe,ID,ALUPLANT,ALU,2059,110.35499941053939
Globe,ID,ALUPLANT,ALU,2060,110.35499941053939
Globe,ID,ALUPLANT,ALU,2061,110.35499941053939
Globe,ID,ALUPLANT,ALU,2062,110.35499941053939
Globe,ID,ALUPLANT,ALU,2063,110.35499941053939
Globe,ID,ALUPLANT,ALU,2064,110.35499941053939
Globe,ID,ALUPLANT,ALU,2065,110.35499941053939
Globe,ID,ALUPLANT,ALU,2066,110.35499941053939
Globe,ID,ALUPLANT,ALU,2067,110.35499941053939
Globe,ID,ALUPLANT,ALU,2068,110.35499941053939
Globe,ID,ALUPLANT,ALU,2069,110.35499941053939
Globe,ID,ALUPLANT,ALU,2070,110.35499941053939
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.097727337457
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.26746388
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.27805061
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.274336335982
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.20899886981
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.266734138076
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.14422508514000001
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.14162499800099998
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.174588417987
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.24715110281699998
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.16888686809200001
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.23815279020399996
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.00161420354484
Globe,ID,C1BFRDF00,C1_F_RD,2024,0.0062468576917
Globe,ID,C1BFRDF00,C1_F_RD,2025,0.16248719439
Globe,ID,C1BFRDF00,C1_F_RD,2026,0.0399133868721
Globe,ID,C1BFRDF00,C1_F_RD,2027,0.013320689777099999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,10.394512563800001
