REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.3000003239481
Globe,ALUPLANT,ALU,2011,88.68530077380277
Globe,ALUPLANT,ALU,2012,92.07049954287218
Globe,ALUPLANT,ALU,2013,95.45579908647312
Globe,ALUPLANT,ALU,2014,98.84099978265625
Globe,ALUPLANT,ALU,2015,102.22620072101166
Globe,ALUPLANT,ALU,2016,105.61149926712
Globe,ALUPLANT,ALU,2017,108.99680056902001
Globe,ALUPLANT,ALU,2018,112.38200072147892
Globe,ALUPLANT,ALU,2019,115.76730088316832
Globe,ALUPLANT,ALU,2020,119.15250031163976
Globe,ALUPLANT,ALU,2021,122.53780063750438
Globe,ALUPLANT,ALU,2022,125.92299892934678
Globe,ALUPLANT,ALU,2023,129.30819954286784
Globe,ALUPLANT,ALU,2024,132.6935006493415
Globe,ALUPLANT,ALU,2025,136.07880107523104
Globe,ALUPLANT,ALU,2026,139.46399906875968
Globe,ALUPLANT,ALU,2027,142.84930044299628
Globe,ALUPLANT,ALU,2028,146.2344994327738
Globe,ALUPLANT,ALU,2029,149.61979985933687
Globe,ALUPLANT,ALU,2030,153.00499933580147
Globe,ALUPLANT,ALU,2031,156.3903008104875
Globe,ALUPLANT,ALU,2032,159.7755010639553
Globe,ALUPLANT,ALU,2033,163.16080036102454
Globe,ALUPLANT,ALU,2034,166.54600110613072
Globe,ALUPLANT,ALU,2035,169.93129979420607
Globe,ALUPLANT,ALU,2036,173.31650056474712
Globe,ALUPLANT,ALU,2037,176.70180049675963
Globe,ALUPLANT,ALU,2038,180.08700041457314
Globe,ALUPLANT,ALU,2039,183.47229994862448
Globe,ALUPLANT,ALU,2040,186.85750065091327
Globe,ALUPLANT,ALU,2041,190.2427990240999
Globe,ALUPLANT,ALU,2042,193.62799992154197
Globe,ALUPLANT,ALU,2043,197.01330067943763
Globe,ALUPLANT,ALU,2044,200.3984993260493
Globe,ALUPLANT,ALU,2045,203.78379937417571
Globe,ALUPLANT,ALU,2046,207.16900112076522
Globe,ALUPLANT,ALU,2047,210.55430065680557
Globe,ALUPLANT,ALU,2048,213.9395001953607
Globe,ALUPLANT,ALU,2049,217.324800451647
Globe,ALUPLANT,ALU,2050,220.70999882107878
Globe,ALUPLANT,ALU,2051,220.70999882107878
Globe,ALUPLANT,ALU,2052,220.70999882107878
Globe,ALUPLANT,ALU,2053,220.70999882107878
Globe,ALUPLANT,ALU,2054,220.70999882107878
Globe,ALUPLANT,ALU,2055,220.70999882107878
Globe,ALUPLANT,ALU,2056,220.70999882107878
Globe,ALUPLANT,ALU,2057,220.70999882107878
Globe,ALUPLANT,ALU,2058,220.70999882107878
Globe,ALUPLANT,ALU,2059,220.70999882107878
Globe,ALUPLANT,ALU,2060,220.70999882107878
Globe,ALUPLANT,ALU,2061,220.70999882107878
Globe,ALUPLANT,ALU,2062,220.70999882107878
Globe,ALUPLANT,ALU,2063,220.70999882107878
Globe,ALUPLANT,ALU,2064,220.70999882107878
Globe,ALUPLANT,ALU,2065,220.70999882107878
Globe,ALUPLANT,ALU,2066,220.70999882107878
Globe,ALUPLANT,ALU,2067,220.70999882107878
Globe,ALUPLANT,ALU,2068,220.70999882107878
Globe,ALUPLANT,ALU,2069,220.70999882107878
Globe,ALUPLANT,ALU,2070,220.70999882107878
Globe,C1BFRDF00,C1_F_RD,2010,0.12395882017107901
Globe,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,C1BFRDF00,C1_F_RD,2012,0.6066999999999999
Globe,C1BFRDF00,C1_F_RD,2013,0.566799996738
Globe,C1BFRDF00,C1_F_RD,2014,0.528800002002
Globe,C1BFRDF00,C1_F_RD,2015,0.492699999746
Globe,C1BFRDF00,C1_F_RD,2016,0.45490000242
Globe,C1BFRDF00,C1_F_RD,2017,0.419800002691
Globe,C1BFRDF00,C1_F_RD,2018,0.387100000896
