TIMESLICE,YEAR,REGION,TECHNOLOGY,MODE_OF_OPERATION,VALUE
ID,2010,Globe,ALUPLANT,1,1.9294277386099998
ID,2010,Globe,C1BFRDF00,1,0.097727337457
ID,2010,Globe,C1BFRDF00,2,0.15919564254299998
ID,2010,Globe,C1BMBRFH1,1,10.394512563800001
ID,2010,Globe,C1BMBRFN1,1,1.011706416
ID,2010,Globe,C1BMLP000,1,1.12831411399
ID,2010,Globe,C1CO00I00,1,63.81717508
ID,2010,Globe,C1COBRFH1,1,2.6983655409600003
ID,2010,Globe,C1COCHP00,1,0.7211700641200001
ID,2010,Globe,C1COHTF03,1,17.7279871814
ID,2010,Globe,C1COIGP00,1,0.029167646479
ID,2010,Globe,C1COSCP00,1,14.4985986881
ID,2010,Globe,C1ELEFF00,1,34.9874955198
ID,2010,Globe,C1ELRLF00,1,1.4850000213099999
ID,2010,Globe,C1GOCVP00,1,0.11118559193699999
ID,2010,Globe,C1GOHTF03,1,3.73365020872
ID,2010,Globe,C1HFGCPCH,1,0.06824358771899999
ID,2010,Globe,C1HFMRF00,1,40.862027999999995
ID,2010,Globe,C1HTOOTFI,1,38.341666270699996
ID,2010,Globe,C1HTOOTFR,1,2.53434789955
ID,2010,Globe,C1HYDMP00,1,5.5649632043
ID,2010,Globe,C1HYMIP00,1,0.46097133904
ID,2010,Globe,C1LFAVF00,1,0.17479562
ID,2010,Globe,C1LFBRFH1,1,7.242372827
ID,2010,Globe,C1LFBRFN1,1,0.7226474399999999
ID,2010,Globe,C1LFCCP00,1,0.282699678528
ID,2010,Globe,C1LFRDF00,1,8.508816590299999
ID,2010,Globe,C1LFRLF00,1,3.171436
ID,2010,Globe,C1NG00I00,1,49.512623819999995
ID,2010,Globe,C1NGBRFH1,1,9.6141014501
ID,2010,Globe,C1NGBRFN1,1,0.7226474399999999
ID,2010,Globe,C1NGCCP00,1,3.9530771908999998
ID,2010,Globe,C1NGCCPCH,1,0.85513472886
ID,2010,Globe,C1NGGCP00,1,0.9575073080400001
ID,2010,Globe,C1NGGCPCH,1,0.84406137592
ID,2010,Globe,C1NGHTF03,1,9.1458260923
ID,2010,Globe,C1NU00I00,1,16.268235686199997
ID,2010,Globe,C1NULWP00,1,5.8518832942
ID,2010,Globe,C1OCCVP00,1,0.0019077892415999998
ID,2010,Globe,C1OI00I00,1,76.78614848
ID,2010,Globe,C1OIHTF03,1,6.7423006152
ID,2010,Globe,C1OIRFP00,1,13.1739132442
ID,2010,Globe,C1OIRFP00,2,53.638519982999995
ID,2010,Globe,C1SOC1P00,1,0.042925257935999994
ID,2010,Globe,C1SOTHF00,1,0.46480685174
ID,2010,Globe,C1SOV1P00,1,0.121910623128
ID,2010,Globe,C1SOV2P00,1,0.09307699027199999
ID,2010,Globe,C1WDOFP00,1,0.022373164742399997
ID,2010,Globe,C1WDONP00,1,0.75568688279
ID,2010,Globe,CEMPLANT,1,5.4272729272
ID,2010,Globe,FERTPLANT,1,0.000195487328789
ID,2010,Globe,LA,1,2554.49999217
