REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.20996668
Globe,ALUPLANT,2011,4.27081386
Globe,ALUPLANT,2012,4.46203942
Globe,ALUPLANT,2013,4.50907825
Globe,ALUPLANT,2014,4.54251361
Globe,ALUPLANT,2015,4.49177587
Globe,ALUPLANT,2016,4.56410223
Globe,ALUPLANT,2017,4.6755461700000005
Globe,ALUPLANT,2018,5.047542460000001
Globe,ALUPLANT,2019,5.338833559999999
Globe,ALUPLANT,2020,5.45519399
Globe,ALUPLANT,2021,5.479898179999999
Globe,ALUPLANT,2022,5.68291686
Globe,ALUPLANT,2023,5.7533492299999995
Globe,ALUPLANT,2024,5.904233179999999
Globe,ALUPLANT,2025,5.96866846
Globe,ALUPLANT,2026,5.97393175
Globe,ALUPLANT,2027,6.22478919
Globe,ALUPLANT,2028,6.328723130000001
Globe,ALUPLANT,2029,6.4312241100000005
Globe,ALUPLANT,2030,6.532362530000001
Globe,ALUPLANT,2031,6.63214967
Globe,ALUPLANT,2032,6.660786560000001
Globe,ALUPLANT,2033,6.78801059
Globe,ALUPLANT,2034,6.92358366
Globe,ALUPLANT,2035,7.01821182
Globe,ALUPLANT,2036,7.056434289999999
Globe,ALUPLANT,2037,7.1256699900000005
Globe,ALUPLANT,2038,7.294792489999999
Globe,ALUPLANT,2039,7.38462461
Globe,ALUPLANT,2040,7.473343979999999
Globe,ALUPLANT,2041,7.56095295
Globe,ALUPLANT,2042,7.647436719999999
Globe,ALUPLANT,2043,7.73287879
Globe,ALUPLANT,2044,7.81723564
Globe,ALUPLANT,2045,7.90059023
Globe,ALUPLANT,2046,7.98292586
Globe,ALUPLANT,2047,8.06424037
Globe,ALUPLANT,2048,8.14460059
Globe,ALUPLANT,2049,8.22397498
Globe,ALUPLANT,2050,8.302430039999999
Globe,ALUPLANT,2051,8.302430040000003
Globe,ALUPLANT,2052,8.302430039999999
Globe,ALUPLANT,2053,8.302430039999999
Globe,ALUPLANT,2054,8.30243004
Globe,ALUPLANT,2055,8.302430039999999
Globe,ALUPLANT,2056,8.30243004
Globe,ALUPLANT,2057,8.302430039999999
Globe,ALUPLANT,2058,8.302430039999999
Globe,ALUPLANT,2059,8.30243004
Globe,ALUPLANT,2060,8.302430039999999
Globe,ALUPLANT,2061,8.30243004
Globe,ALUPLANT,2062,8.30243004
Globe,ALUPLANT,2063,8.30243004
Globe,ALUPLANT,2064,8.30243004
Globe,ALUPLANT,2065,8.302430039999999
Globe,ALUPLANT,2066,8.30243004
Globe,ALUPLANT,2067,8.30243004
Globe,ALUPLANT,2068,8.30243004
Globe,ALUPLANT,2069,8.302430039999999
Globe,ALUPLANT,2070,8.30243004
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.219330077
Globe,C1BMBRFH1,2022,0.167130077
Globe,C1BMBRFH1,2023,0.11567318298000001
Globe,C1BMBRFH1,2024,0.06347318298
Globe,C1BMBRFH1,2025,0.011273182980000001
Globe,C1BMBRFH1,2026,0.011273182980000001
Globe,C1BMBRFH1,2027,0.011273182980000001
Globe,C1BMBRFH1,2028,0.011273182980000001
Globe,C1BMBRFH1,2029,0.011273182980000001
Globe,C1BMBRFH1,2030,0.011273182980000001
Globe,C1BMBRFH1,2031,0.011273182980000001
Globe,C1BMBRFH1,2032,0.011273182980000001
Globe,C1BMBRFH1,2033,0.011273182980000001
Globe,C1BMBRFH1,2034,0.011273182980000001
Globe,C1BMBRFH1,2035,0.011273182980000001
Globe,C1BMBRFH1,2036,0.00074310598
Globe,C1BMBRFH1,2037,0.00074310598
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.10500000000000001
Globe,C1BMBRFN1,2016,0.14500000000000002
Globe,C1BMBRFN1,2017,0.18500000000000003
Globe,C1BMBRFN1,2018,0.22500000000000003
Globe,C1BMBRFN1,2019,0.275
Globe,C1BMBRFN1,2020,0.325
Globe,C1BMBRFN1,2021,0.375
Globe,C1BMBRFN1,2022,0.425
Globe,C1BMBRFN1,2023,0.475
Globe,C1BMBRFN1,2024,0.525
Globe,C1BMBRFN1,2025,0.505
Globe,C1BMBRFN1,2026,0.555
Globe,C1BMBRFN1,2027,0.6050000000000001
Globe,C1BMBRFN1,2028,0.6356475280000001
Globe,C1BMBRFN1,2029,0.6499392360000001
Globe,C1BMBRFN1,2030,0.6562959510000002
Globe,C1BMBRFN1,2031,0.6553309460000001
Globe,C1BMBRFN1,2032,0.661617793
Globe,C1BMBRFN1,2033,0.664033403
Globe,C1BMBRFN1,2034,0.662562823
Globe,C1BMBRFN1,2035,0.6617100000000001
Globe,C1BMBRFN1,2036,0.6591104720000001
Globe,C1BMBRFN1,2037,0.657794578
Globe,C1BMBRFN1,2038,0.657771936
Globe,C1BMBRFN1,2039,0.6577719360000001
Globe,C1BMBRFN1,2040,0.6577719360000001
Globe,C1BMBRFN1,2041,0.6577719360000002
Globe,C1BMBRFN1,2042,0.6556254450000001
Globe,C1BMBRFN1,2043,0.657424049
Globe,C1BMBRFN1,2044,0.6596772550000001
Globe,C1BMBRFN1,2045,0.6601157040000001
Globe,C1BMBRFN1,2046,0.660826661
Globe,C1BMBRFN1,2047,0.6618153920000001
Globe,C1BMBRFN1,2048,0.6645382830000002
Globe,C1BMBRFN1,2049,0.6660088630000001
Globe,C1BMBRFN1,2050,0.6668616860000001
Globe,C1BMBRFN1,2051,0.6694612140000001
Globe,C1BMBRFN1,2052,0.6707771080000001
Globe,C1BMBRFN1,2053,0.6707997500000001
Globe,C1BMBRFN1,2054,0.6707997500000001
Globe,C1BMBRFN1,2055,0.6707997500000001
Globe,C1BMBRFN1,2056,0.6707997500000001
Globe,C1BMBRFN1,2057,0.6729462410000001
Globe,C1BMBRFN1,2058,0.6905001090000001
Globe,C1BMBRFN1,2059,0.7109667380000001
Globe,C1BMBRFN1,2060,0.7191715740000001
Globe,C1BMBRFN1,2061,0.7180399010000001
Globe,C1BMBRFN1,2062,0.7171142340000001
Globe,C1BMBRFN1,2063,0.7219757330000001
Globe,C1BMBRFN1,2064,0.7219757330000001
Globe,C1BMBRFN1,2065,0.7219757330000001
Globe,C1BMBRFN1,2066,0.7219757330000002
Globe,C1BMBRFN1,2067,0.7116618740000001
Globe,C1BMBRFN1,2068,0.7105344360000001
Globe,C1BMBRFN1,2069,0.709402763
Globe,C1BMBRFN1,2070,0.708275325
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
Globe,C1BMCHP00,2017,0.0262
Globe,C1BMCHP00,2018,0.0253
Globe,C1BMCHP00,2019,0.0243
Globe,C1BMCHP00,2020,0.0333
Globe,C1BMCHP00,2021,0.042300000000000004
Globe,C1BMCHP00,2022,0.0514
Globe,C1BMCHP00,2023,0.0604
Globe,C1BMCHP00,2024,0.0694
Globe,C1BMCHP00,2025,0.0754923495
Globe,C1BMCHP00,2026,0.0744923495
Globe,C1BMCHP00,2027,0.0734923495
Globe,C1BMCHP00,2028,0.0724923495
Globe,C1BMCHP00,2029,0.0715923495
Globe,C1BMCHP00,2030,0.0705923495
Globe,C1BMCHP00,2031,0.06959234950000001
Globe,C1BMCHP00,2032,0.0686923495
Globe,C1BMCHP00,2033,0.0676923495
