REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554772199997
Globe,ALUPLANT,2011,3.98095382647
Globe,ALUPLANT,2012,4.1011541050460005
Globe,ALUPLANT,2013,4.21954439144
Globe,ALUPLANT,2014,4.336120509180001
Globe,ALUPLANT,2015,4.4509648856199995
Globe,ALUPLANT,2016,4.5641022
Globe,ALUPLANT,2017,4.6755462
Globe,ALUPLANT,2018,4.78536910394
Globe,ALUPLANT,2019,4.89357487776
Globe,ALUPLANT,2020,5.0002308204
Globe,ALUPLANT,2021,5.1053587913200005
Globe,ALUPLANT,2022,5.20896153888
Globe,ALUPLANT,2023,5.311118120438
Globe,ALUPLANT,2024,5.41182015112
Globe,ALUPLANT,2025,5.511137434399999
Globe,ALUPLANT,2026,5.6090733216199995
Globe,ALUPLANT,2027,5.70564178072
Globe,ALUPLANT,2028,5.80090759346
Globe,ALUPLANT,2029,5.8948600100599995
Globe,ALUPLANT,2030,5.987563467499999
Globe,ALUPLANT,2031,6.07902841502
Globe,ALUPLANT,2032,6.169247918388
Globe,ALUPLANT,2033,6.258301351344
Globe,ALUPLANT,2034,6.34615681942
Globe,ALUPLANT,2035,6.432892935879999
Globe,ALUPLANT,2036,6.518500570352
Globe,ALUPLANT,2037,6.60298422313
Globe,ALUPLANT,2038,6.6864068055
Globe,ALUPLANT,2039,6.76874690836
Globe,ALUPLANT,2040,6.8500671103999995
Globe,ALUPLANT,2041,6.93036942814
Globe,ALUPLANT,2042,7.00964047922
Globe,ALUPLANT,2043,7.08795670808
Globe,ALUPLANT,2044,7.16527815096
Globe,ALUPLANT,2045,7.24168097732
Globe,ALUPLANT,2046,7.31714987994
Globe,ALUPLANT,2047,7.391682750639999
Globe,ALUPLANT,2048,7.46534090996
Globe,ALUPLANT,2049,7.5380954849999995
Globe,ALUPLANT,2050,7.610007337999999
Globe,ALUPLANT,2051,7.610007337999999
Globe,ALUPLANT,2052,7.610007337999999
Globe,ALUPLANT,2053,7.610007337999999
Globe,ALUPLANT,2054,7.610007337999999
Globe,ALUPLANT,2055,7.610007337999999
Globe,ALUPLANT,2056,7.610007337999999
Globe,ALUPLANT,2057,7.610007337999999
Globe,ALUPLANT,2058,7.610007337999999
Globe,ALUPLANT,2059,7.610007337999999
Globe,ALUPLANT,2060,7.610007337999999
Globe,ALUPLANT,2061,7.610007337999999
Globe,ALUPLANT,2062,7.610007337999999
Globe,ALUPLANT,2063,7.610007337999999
Globe,ALUPLANT,2064,7.610007337999999
Globe,ALUPLANT,2065,7.610007337999999
Globe,ALUPLANT,2066,7.610007337999999
Globe,ALUPLANT,2067,7.610007337999999
Globe,ALUPLANT,2068,7.610007337999999
Globe,ALUPLANT,2069,7.610007337999999
Globe,ALUPLANT,2070,7.610007337999999
Globe,C1BFRDF00,2010,0.560599997768079
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.566799996738
Globe,C1BFRDF00,2014,0.528800002002
Globe,C1BFRDF00,2015,0.492699999746
Globe,C1BFRDF00,2016,0.45490000242
Globe,C1BFRDF00,2017,0.419800002691
Globe,C1BFRDF00,2018,0.387100000896
Globe,C1BFRDF00,2019,0.356800001105
Globe,C1BFRDF00,2020,0.328699999415
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.00161420354484
Globe,C1BFRDF00,2024,0.0062468576917
Globe,C1BFRDF00,2025,0.287460191867
Globe,C1BFRDF00,2026,0.1413947787871
Globe,C1BFRDF00,2027,0.013320689777099999
Globe,C1BFRDF00,2028,0.031465910986999995
Globe,C1BMBRFH1,2010,22.601453982600002
Globe,C1BMBRFH1,2011,17.429385275379996
Globe,C1BMBRFH1,2012,16.66268887662
Globe,C1BMBRFH1,2013,15.61024654416
Globe,C1BMBRFH1,2014,14.27741162838
Globe,C1BMBRFH1,2015,12.78177750926
Globe,C1BMBRFH1,2016,12.023583072880001
Globe,C1BMBRFH1,2017,11.23964843312
Globe,C1BMBRFH1,2018,10.426373948579998
Globe,C1BMBRFH1,2019,9.33546768647
