REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,394.082540531648
Globe,C1BFRDF00,6.287646515435818
Globe,C1BMBRFH1,168.10859465054594
Globe,C1BMBRFN1,1078.29664962744
Globe,C1BMCHP00,77.50136671065225
Globe,C1BMHTF03,55.391685318501
Globe,C1BMLP000,64.34472594605613
Globe,C1BMSCP00,5.147680306048
Globe,C1CO00I00,13172.702856428994
Globe,C1COBRFH1,1757.406203036801
Globe,C1COCHP00,51.66975234999596
Globe,C1COHTF03,4403.394569758599
Globe,C1COIGP00,3.5322918530754
Globe,C1COLP000,770.60141567097
Globe,C1COSCP00,2601.1858001537007
Globe,C1ELEFF00,8431.576407683
Globe,C1ELRDF00,1414.5500091653
Globe,C1ELRLF00,1018.5200002534747
Globe,C1GOCVP00,116.57976192385807
Globe,C1GOHTF03,845.7137351034454
Globe,C1HFGCP00,11.266958022996002
Globe,C1HFGCPCH,31.430840568388998
Globe,C1HFMRF00,14203.640002102196
Globe,C1HTOOTFI,6952.923192577199
Globe,C1HTOOTFR,464.67408225532995
Globe,C1HYDMP00,1341.6271560943987
Globe,C1HYMIP00,44.84430307868702
Globe,C1LFAVF00,333.34719970022
Globe,C1LFBRFH1,141.89723784259
Globe,C1LFBRFN1,127.33716189261001
Globe,C1LFCCP00,31.814842136091997
Globe,C1LFRDF00,716.16898776154
Globe,C1LFRLF00,145.37000012662003
Globe,C1NG00I00,7704.8907384278
Globe,C1NGBRFH1,339.2007513025127
Globe,C1NGBRFN1,968.852390623114
Globe,C1NGCCP00,1115.4002060874259
Globe,C1NGCCPCH,1072.2811039842697
Globe,C1NGGCP00,49.58074829666003
Globe,C1NGGCPCH,246.6703989581882
Globe,C1NGHTF03,617.1502446402171
Globe,C1NGLP000,117.974264639447
Globe,C1NU00I00,1077.2129529867036
Globe,C1NULWP00,396.4793177100038
Globe,C1OCCVP00,0.09886536033450005
Globe,C1OI00I00,8567.345464304
Globe,C1OIHTF03,201.67853351978
Globe,C1OIRFP00,8457.564032818524
Globe,C1SOC1P00,365.00786572251025
Globe,C1SOTHF00,117.30895115348787
Globe,C1SOV1P00,329.2324004968053
Globe,C1SOV2P00,341.7745691847191
Globe,C1WDOFP00,552.3942780849999
Globe,C1WDONP00,795.7155287
Globe,CEMPLANT,704.4856916837805
Globe,DUMMYM,109.47009999999992
Globe,FERTPLANT,0.026954356336429997
Globe,LA,358093.30106498
Globe,LA1,60999.567046852004
Globe,LA1_PROD,60999.567046852004
Globe,LA1_i,70609.64523707399
Globe,LA1_i_PROD,70609.64523707399
Globe,LA2,226484.08915686002
Globe,LA2_PROD,226484.08915686002
Globe,LF,197501.96564762996
Globe,LF1,78385.00001337599
Globe,LF2,119116.96570427
Globe,LF2_PROD,119116.96570427
Globe,LO,237900.0001716
Globe,LandRes,793547.0035495599
Globe,MFOOFACTOR,406.9469899443401
Globe,PAPPLANT,420.8639688101395
Globe,PETAPLANT,0.0005425797868484801
Globe,PETBPLANT,3645.8461959724996
Globe,STEPLANT,1904.1896730513786
Globe,VFOOFACTOR,5189.699514356402
Globe,XALUMINE,440.309611532292
Globe,XCEMMINE,3379.151696102798
Globe,XPHOMINE,9.254813578984998e-05
Globe,XPOTMINE,2.0355495527699993e-05
Globe,XSTEMINE,3015.2682557174962
