REGION,_REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,Globe,ID,ALU,2010,-0.0
Globe,Globe,ID,ALU,2011,-0.0
Globe,Globe,ID,ALU,2012,-0.0
Globe,Globe,ID,ALU,2013,-0.0
Globe,Globe,ID,ALU,2014,-0.0
Globe,Globe,ID,ALU,2015,-0.0
Globe,Globe,ID,ALU,2016,-0.0
Globe,Globe,ID,ALU,2017,-0.0
Globe,Globe,ID,ALU,2018,-0.0
Globe,Globe,ID,ALU,2019,-0.0
Globe,Globe,ID,ALU,2020,-0.0
Globe,Globe,ID,ALU,2021,-0.0
Globe,Globe,ID,ALU,2022,-0.0
Globe,Globe,ID,ALU,2023,-0.0
Globe,Globe,ID,ALU,2024,-0.0
Globe,Globe,ID,ALU,2025,-0.0
Globe,Globe,ID,ALU,2026,-0.0
Globe,Globe,ID,ALU,2027,-0.0
Globe,Globe,ID,ALU,2028,-0.0
Globe,Globe,ID,ALU,2029,-0.0
Globe,Globe,ID,ALU,2030,-0.0
Globe,Globe,ID,ALU,2031,-0.0
Globe,Globe,ID,ALU,2032,-0.0
Globe,Globe,ID,ALU,2033,-0.0
Globe,Globe,ID,ALU,2034,-0.0
Globe,Globe,ID,ALU,2035,-0.0
Globe,Globe,ID,ALU,2036,-0.0
Globe,Globe,ID,ALU,2037,-0.0
Globe,Globe,ID,ALU,2038,-0.0
Globe,Globe,ID,ALU,2039,-0.0
Globe,Globe,ID,ALU,2040,-0.0
Globe,Globe,ID,ALU,2041,-0.0
Globe,Globe,ID,ALU,2042,-0.0
Globe,Globe,ID,ALU,2043,-0.0
Globe,Globe,ID,ALU,2044,-0.0
Globe,Globe,ID,ALU,2045,-0.0
Globe,Globe,ID,ALU,2046,-0.0
Globe,Globe,ID,ALU,2047,-0.0
Globe,Globe,ID,ALU,2048,-0.0
Globe,Globe,ID,ALU,2049,-0.0
Globe,Globe,ID,ALU,2050,-0.0
Globe,Globe,ID,ALU,2051,-0.0
Globe,Globe,ID,ALU,2052,-0.0
Globe,Globe,ID,ALU,2053,-0.0
Globe,Globe,ID,ALU,2054,-0.0
Globe,Globe,ID,ALU,2055,-0.0
Globe,Globe,ID,ALU,2056,-0.0
Globe,Globe,ID,ALU,2057,-0.0
Globe,Globe,ID,ALU,2058,-0.0
Globe,Globe,ID,ALU,2059,-0.0
Globe,Globe,ID,ALU,2060,-0.0
Globe,Globe,ID,ALU,2061,-0.0
Globe,Globe,ID,ALU,2062,-0.0
Globe,Globe,ID,ALU,2063,-0.0
Globe,Globe,ID,ALU,2064,-0.0
Globe,Globe,ID,ALU,2065,-0.0
Globe,Globe,ID,ALU,2066,-0.0
Globe,Globe,ID,ALU,2067,-0.0
Globe,Globe,ID,ALU,2068,-0.0
Globe,Globe,ID,ALU,2069,-0.0
Globe,Globe,ID,ALU,2070,-0.0
Globe,Globe,ID,AMM,2010,-0.0
Globe,Globe,ID,AMM,2011,-0.0
Globe,Globe,ID,AMM,2012,-0.0
Globe,Globe,ID,AMM,2013,-0.0
Globe,Globe,ID,AMM,2014,-0.0
Globe,Globe,ID,AMM,2015,-0.0
Globe,Globe,ID,AMM,2016,-0.0
Globe,Globe,ID,AMM,2017,-0.0
Globe,Globe,ID,AMM,2018,-0.0
Globe,Globe,ID,AMM,2019,-0.0
Globe,Globe,ID,AMM,2020,-0.0
Globe,Globe,ID,AMM,2021,-0.0
Globe,Globe,ID,AMM,2022,-0.0
Globe,Globe,ID,AMM,2023,-0.0
Globe,Globe,ID,AMM,2024,-0.0
Globe,Globe,ID,AMM,2025,-0.0
Globe,Globe,ID,AMM,2026,-0.0
Globe,Globe,ID,AMM,2027,-0.0
Globe,Globe,ID,AMM,2028,-0.0
Globe,Globe,ID,AMM,2029,-0.0
Globe,Globe,ID,AMM,2030,-0.0
Globe,Globe,ID,AMM,2031,-0.0
Globe,Globe,ID,AMM,2032,-0.0
Globe,Globe,ID,AMM,2033,-0.0
Globe,Globe,ID,AMM,2034,-0.0
Globe,Globe,ID,AMM,2035,-0.0
Globe,Globe,ID,AMM,2036,-0.0
Globe,Globe,ID,AMM,2037,-0.0
Globe,Globe,ID,AMM,2038,-0.0
Globe,Globe,ID,AMM,2039,-0.0
Globe,Globe,ID,AMM,2040,-0.0
Globe,Globe,ID,AMM,2041,-0.0
Globe,Globe,ID,AMM,2042,-0.0
Globe,Globe,ID,AMM,2043,-0.0
Globe,Globe,ID,AMM,2044,-0.0
Globe,Globe,ID,AMM,2045,-0.0
Globe,Globe,ID,AMM,2046,-0.0
Globe,Globe,ID,AMM,2047,-0.0
Globe,Globe,ID,AMM,2048,-0.0
Globe,Globe,ID,AMM,2049,-0.0
Globe,Globe,ID,AMM,2050,-0.0
Globe,Globe,ID,AMM,2051,-0.0
Globe,Globe,ID,AMM,2052,-0.0
Globe,Globe,ID,AMM,2053,-0.0
Globe,Globe,ID,AMM,2054,-0.0
Globe,Globe,ID,AMM,2055,-0.0
Globe,Globe,ID,AMM,2056,-0.0
Globe,Globe,ID,AMM,2057,-0.0
Globe,Globe,ID,AMM,2058,-0.0
Globe,Globe,ID,AMM,2059,-0.0
Globe,Globe,ID,AMM,2060,-0.0
Globe,Globe,ID,AMM,2061,-0.0
Globe,Globe,ID,AMM,2062,-0.0
Globe,Globe,ID,AMM,2063,-0.0
Globe,Globe,ID,AMM,2064,-0.0
Globe,Globe,ID,AMM,2065,-0.0
Globe,Globe,ID,AMM,2066,-0.0
Globe,Globe,ID,AMM,2067,-0.0
Globe,Globe,ID,AMM,2068,-0.0
Globe,Globe,ID,AMM,2069,-0.0
Globe,Globe,ID,AMM,2070,-0.0
Globe,Globe,ID,C1_F_CLS,2010,-0.0
Globe,Globe,ID,C1_F_CLS,2011,-0.0
Globe,Globe,ID,C1_F_CLS,2012,-0.0
Globe,Globe,ID,C1_F_CLS,2013,-0.0
Globe,Globe,ID,C1_F_CLS,2014,-0.0
Globe,Globe,ID,C1_F_CLS,2015,-0.0
Globe,Globe,ID,C1_F_CLS,2016,-0.0
Globe,Globe,ID,C1_F_CLS,2017,-0.0
Globe,Globe,ID,C1_F_CLS,2018,-0.0
Globe,Globe,ID,C1_F_CLS,2019,-0.0
Globe,Globe,ID,C1_F_CLS,2020,-0.0
