REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.0402509652715815
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.0537885034730525
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.0994074474670923
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.1094144489365174
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.116048298048156
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.1020077590189203
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.1181520484042273
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.1438131475431836
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.233047663975127
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.3023344225805853
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.32880634029048
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.3329001650183838
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.3802888599378083
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.3953786328999884
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.4299030025986998
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.4434127684199018
Globe,ID,ALUPLANT,C1_F_CLS,2026,1.4425911191315477
Globe,ID,ALUPLANT,C1_F_CLS,2027,1.5009860360749008
Globe,ID,ALUPLANT,C1_F_CLS,2028,1.5238288139108205
Globe,ID,ALUPLANT,C1_F_CLS,2029,1.5462512549387881
Globe,ID,ALUPLANT,C1_F_CLS,2030,1.5682775923162686
Globe,ID,ALUPLANT,C1_F_CLS,2031,1.5899090916643308
Globe,ID,ALUPLANT,C1_F_CLS,2032,1.5944388774902756
Globe,ID,ALUPLANT,C1_F_CLS,2033,1.6225103883542111
Globe,ID,ALUPLANT,C1_F_CLS,2034,1.6524884665224127
Globe,ID,ALUPLANT,C1_F_CLS,2035,1.672613275811691
Globe,ID,ALUPLANT,C1_F_CLS,2036,1.679248659614391
Globe,ID,ALUPLANT,C1_F_CLS,2037,1.6932234415437677
