REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.5196438751210001
Globe,C1BFRDF00,2023,0.49664387512100006
Globe,C1BFRDF00,2024,0.47354387512100005
Globe,C1BFRDF00,2025,0.47354387512100005
Globe,C1BFRDF00,2026,0.47354387512100005
Globe,C1BFRDF00,2027,0.47354387512100005
Globe,C1BFRDF00,2028,0.47354387512100005
Globe,C1BFRDF00,2029,0.47354387512100005
Globe,C1BFRDF00,2030,0.47354387512100005
Globe,C1BFRDF00,2031,0.47354387512100005
Globe,C1BFRDF00,2032,0.47354387512100005
Globe,C1BFRDF00,2033,0.47354387512100005
Globe,C1BMBRFH1,2021,0.010530076727200001
Globe,C1BMBRFH1,2022,0.010530076727200001
Globe,C1BMBRFH1,2023,0.011273182699454001
Globe,C1BMBRFH1,2024,0.011273182699454001
Globe,C1BMBRFH1,2025,0.011273182699454001
Globe,C1BMBRFH1,2026,0.011273182699454001
Globe,C1BMBRFH1,2027,0.011273182699454001
Globe,C1BMBRFH1,2028,0.011273182699454001
Globe,C1BMBRFH1,2029,0.011273182699454001
Globe,C1BMBRFH1,2030,0.011273182699454001
Globe,C1BMBRFH1,2031,0.011273182699454001
Globe,C1BMBRFH1,2032,0.011273182699454001
Globe,C1BMBRFH1,2033,0.011273182699454001
Globe,C1BMBRFH1,2034,0.011273182699454001
Globe,C1BMBRFH1,2035,0.011273182699454001
Globe,C1BMBRFH1,2036,0.000743105972254
Globe,C1BMBRFH1,2037,0.000743105972254
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.10500000000000001
Globe,C1BMBRFN1,2016,0.14500000000000002
Globe,C1BMBRFN1,2017,0.18500000000000003
Globe,C1BMBRFN1,2018,0.22500000000000003
Globe,C1BMBRFN1,2019,0.275
Globe,C1BMBRFN1,2020,0.325
Globe,C1BMBRFN1,2021,0.375
Globe,C1BMBRFN1,2022,0.425
Globe,C1BMBRFN1,2023,0.475
Globe,C1BMBRFN1,2024,0.525
Globe,C1BMBRFN1,2025,0.505
Globe,C1BMBRFN1,2026,0.555
Globe,C1BMBRFN1,2027,0.6050000000000001
Globe,C1BMBRFN1,2028,0.6356475278220001
Globe,C1BMBRFN1,2029,0.6499392356693001
Globe,C1BMBRFN1,2030,0.6562959506502001
Globe,C1BMBRFN1,2031,0.6553309459322001
Globe,C1BMBRFN1,2032,0.6616177934111
Globe,C1BMBRFN1,2033,0.6640334032773
Globe,C1BMBRFN1,2034,0.6625628235805999
Globe,C1BMBRFN1,2035,0.6617100009601
Globe,C1BMBRFN1,2036,0.6591104731762
Globe,C1BMBRFN1,2037,0.6577945787922
Globe,C1BMBRFN1,2038,0.6577719369305
Globe,C1BMBRFN1,2039,0.6577719369305
Globe,C1BMBRFN1,2040,0.6577719369305001
Globe,C1BMBRFN1,2041,0.6577719369305001
Globe,C1BMBRFN1,2042,0.6556254463443001
Globe,C1BMBRFN1,2043,0.6574240508642
Globe,C1BMBRFN1,2044,0.6596772568012
Globe,C1BMBRFN1,2045,0.6601157057535999
Globe,C1BMBRFN1,2046,0.6608266624789999
Globe,C1BMBRFN1,2047,0.6618153930785
Globe,C1BMBRFN1,2048,0.6645382844325001
Globe,C1BMBRFN1,2049,0.6660088641292001
Globe,C1BMBRFN1,2050,0.6668616867497001
Globe,C1BMBRFN1,2051,0.6694612145336002
Globe,C1BMBRFN1,2052,0.6707771089176001
Globe,C1BMBRFN1,2053,0.6707997507793001
Globe,C1BMBRFN1,2054,0.6707997507793002
Globe,C1BMBRFN1,2055,0.6707997507793001
Globe,C1BMBRFN1,2056,0.6707997507793001
Globe,C1BMBRFN1,2057,0.6729462413655001
Globe,C1BMBRFN1,2058,0.6905001090236002
Globe,C1BMBRFN1,2059,0.7109667383604001
Globe,C1BMBRFN1,2060,0.7191715744271001
Globe,C1BMBRFN1,2061,0.7180399010923001
Globe,C1BMBRFN1,2062,0.7171142340641001
Globe,C1BMBRFN1,2063,0.7219757328439002
Globe,C1BMBRFN1,2064,0.7219757328439002
Globe,C1BMBRFN1,2065,0.7219757328439002
Globe,C1BMBRFN1,2066,0.7219757328439002
Globe,C1BMBRFN1,2067,0.7116618736967001
Globe,C1BMBRFN1,2068,0.710534435437
Globe,C1BMBRFN1,2069,0.7094027621022
Globe,C1BMBRFN1,2070,0.7082753238424
Globe,C1BMCHP00,2020,0.01
Globe,C1BMCHP00,2021,0.02
Globe,C1BMCHP00,2022,0.03
Globe,C1BMCHP00,2023,0.04
Globe,C1BMCHP00,2024,0.05
Globe,C1BMCHP00,2025,0.056992349496110005
Globe,C1BMCHP00,2026,0.056992349496110005
Globe,C1BMCHP00,2027,0.056992349496110005
Globe,C1BMCHP00,2028,0.056992349496110005
Globe,C1BMCHP00,2029,0.056992349496110005
Globe,C1BMCHP00,2030,0.056992349496110005
Globe,C1BMCHP00,2031,0.056992349496110005
