REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.829088600812625
Globe,CO2EQ,2011,36.026700580771326
Globe,CO2EQ,2012,36.28565682426069
Globe,CO2EQ,2013,36.543814965879946
Globe,CO2EQ,2014,36.799345321542944
Globe,CO2EQ,2015,37.08308269944472
Globe,CO2EQ,2016,37.37866761383736
Globe,CO2EQ,2017,37.67442329575037
Globe,CO2EQ,2018,37.970281150624054
Globe,CO2EQ,2019,38.26629852025202
Globe,CO2EQ,2020,38.576321221528175
Globe,CO2EQ,2021,38.26129532410191
Globe,CO2EQ,2022,38.36725232369926
Globe,CO2EQ,2023,38.89550221670338
Globe,CO2EQ,2024,39.393985152357295
Globe,CO2EQ,2025,40.08589661331334
Globe,CO2EQ,2026,39.94798657238045
Globe,CO2EQ,2027,40.42951848055044
Globe,CO2EQ,2028,41.08945771781288
Globe,CO2EQ,2029,41.75440093380144
Globe,CO2EQ,2030,42.05641462511049
Globe,CO2EQ,2031,42.415540300036874
Globe,CO2EQ,2032,42.72198559997768
Globe,CO2EQ,2033,43.028430900012815
Globe,CO2EQ,2034,43.32131335242986
Globe,CO2EQ,2035,43.641321500016865
Globe,CO2EQ,2036,43.94776680000582
Globe,CO2EQ,2037,44.254212100037
Globe,CO2EQ,2038,44.560657400024084
Globe,CO2EQ,2039,44.86710270000466
Globe,CO2EQ,2040,45.1735479999844
Globe,CO2EQ,2041,45.405993940327996
Globe,CO2EQ,2042,45.571182601571714
Globe,CO2EQ,2043,45.359511076834536
Globe,CO2EQ,2044,45.71325470731603
Globe,CO2EQ,2045,46.138516458864295
Globe,CO2EQ,2046,46.53243223107292
Globe,CO2EQ,2047,46.80372213999377
Globe,CO2EQ,2048,47.036604159979674
Globe,CO2EQ,2049,47.26948618000613
Globe,CO2EQ,2050,47.4162509093939
Globe,CO2EQ,2051,47.632028570023465
Globe,CO2EQ,2052,47.39633896687636
Globe,CO2EQ,2053,47.04770786453527
Globe,CO2EQ,2054,46.64366890870962
Globe,CO2EQ,2055,46.3793420382471
Globe,CO2EQ,2056,46.25590552672647
Globe,CO2EQ,2057,46.01497643954264
Globe,CO2EQ,2058,45.68942745843593
Globe,CO2EQ,2059,45.247241004794084
Globe,CO2EQ,2060,43.64869801875201
Globe,CO2EQ,2061,43.41067129619072
Globe,CO2EQ,2062,43.28315596205217
Globe,CO2EQ,2063,43.1854667312873
Globe,CO2EQ,2064,43.094324777201976
Globe,CO2EQ,2065,42.99862660822785
Globe,CO2EQ,2066,42.91855744019342
Globe,CO2EQ,2067,42.82230694084102
Globe,CO2EQ,2068,42.76470267740158
Globe,CO2EQ,2069,42.71168087883352
Globe,CO2EQ,2070,42.83726998114315
Globe,WATER,2010,21.893382333278442
Globe,WATER,2011,21.986832159028836
Globe,WATER,2012,22.065057036681313
Globe,WATER,2013,22.119106495115442
Globe,WATER,2014,22.190250499511688
Globe,WATER,2015,22.24636691420097
Globe,WATER,2016,22.30493484774298
Globe,WATER,2017,22.36663866077125
Globe,WATER,2018,22.393327735149068
Globe,WATER,2019,22.41431427399479
Globe,WATER,2020,22.86936308643134
Globe,WATER,2021,24.06907668586605
Globe,WATER,2022,25.34121884205887
Globe,WATER,2023,26.140357397234496
Globe,WATER,2024,27.00368759210611
Globe,WATER,2025,28.395984651817912
Globe,WATER,2026,29.491065168230584
Globe,WATER,2027,30.603235177912094
Globe,WATER,2028,31.781989308759673
Globe,WATER,2029,33.01754207769331
Globe,WATER,2030,34.29515102501338
Globe,WATER,2031,35.6081762089259
Globe,WATER,2032,36.97717838281583
Globe,WATER,2033,38.41321749518896
Globe,WATER,2034,39.91830369991551
Globe,WATER,2035,41.4973828220083
Globe,WATER,2036,43.141417367817496
Globe,WATER,2037,44.86343715271829
Globe,WATER,2038,46.6719840253418
Globe,WATER,2039,48.552605681692704
Globe,WATER,2040,50.53312395229892
Globe,WATER,2041,52.60414402798715
Globe,WATER,2042,54.77419637732239
Globe,WATER,2043,57.01623394815266
Globe,WATER,2044,59.39166826052769
Globe,WATER,2045,61.8672778977985
Globe,WATER,2046,64.44488825398525
Globe,WATER,2047,67.14493276308373
Globe,WATER,2048,69.99334172175492
Globe,WATER,2049,72.97497564905933
Globe,WATER,2050,76.08584997140157
Globe,WATER,2051,79.28966087977317
Globe,WATER,2052,82.64358180284759
Globe,WATER,2053,86.16150520372543
Globe,WATER,2054,89.85830324719421
Globe,WATER,2055,93.74584749939604
Globe,WATER,2056,96.2033018741089
Globe,WATER,2057,96.3780928913873
Globe,WATER,2058,96.55999612204566
Globe,WATER,2059,96.7559647491449
Globe,WATER,2060,96.85175317547488
Globe,WATER,2061,96.9380018343219
Globe,WATER,2062,97.00536130925985
Globe,WATER,2063,97.08190803852034
Globe,WATER,2064,97.15841582669259
Globe,WATER,2065,97.22656815042613
Globe,WATER,2066,97.28352675658665
Globe,WATER,2067,97.34211571376729
Globe,WATER,2068,97.40194121571645
Globe,WATER,2069,97.46544066763046
Globe,WATER,2070,97.542942544348
