REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,1,2010,0.0034729699163072087
Globe,ALUPLANT,CO2EQ,1,2011,0.0035828584125643837
Globe,ALUPLANT,CO2EQ,1,2012,0.003691038712866445
Globe,ALUPLANT,CO2EQ,1,2013,0.0037975899886388722
Globe,ALUPLANT,CO2EQ,1,2014,0.003902508466839909
Globe,ALUPLANT,CO2EQ,1,2015,0.004005868368807288
Globe,ALUPLANT,CO2EQ,1,2016,0.004107692008502999
Globe,ALUPLANT,CO2EQ,1,2017,0.004207991558031
Globe,ALUPLANT,CO2EQ,1,2018,0.004306832165895636
Globe,ALUPLANT,CO2EQ,1,2019,0.004404217356384193
Globe,ALUPLANT,CO2EQ,1,2020,0.0045002077265881065
Globe,ALUPLANT,CO2EQ,1,2021,0.004594822888283564
Globe,ALUPLANT,CO2EQ,1,2022,0.0046880654248531006
Globe,ALUPLANT,CO2EQ,1,2023,0.004780006325292091
Globe,ALUPLANT,CO2EQ,1,2024,0.0048706381121754825
Globe,ALUPLANT,CO2EQ,1,2025,0.0049600236517644445
Globe,ALUPLANT,CO2EQ,1,2026,0.005048166023166256
Globe,ALUPLANT,CO2EQ,1,2027,0.005135077586726658
Globe,ALUPLANT,CO2EQ,1,2028,0.005220816854366277
Globe,ALUPLANT,CO2EQ,1,2029,0.005305374014044887
Globe,ALUPLANT,CO2EQ,1,2030,0.005388807144145297
Globe,ALUPLANT,CO2EQ,1,2031,0.005471125545164812
Globe,ALUPLANT,CO2EQ,1,2032,0.005552323089577543
Globe,ALUPLANT,CO2EQ,1,2033,0.005632471203742944
Globe,ALUPLANT,CO2EQ,1,2034,0.005711541099547258
Globe,ALUPLANT,CO2EQ,1,2035,0.00578960364930399
Globe,ALUPLANT,CO2EQ,1,2036,0.005866650494196457
Globe,ALUPLANT,CO2EQ,1,2037,0.005942685784109443
Globe,ALUPLANT,CO2EQ,1,2038,0.006017766111099257
Globe,ALUPLANT,CO2EQ,1,2039,0.006091872219231626
Globe,ALUPLANT,CO2EQ,1,2040,0.006165060377886811
Globe,ALUPLANT,CO2EQ,1,2041,0.006237332517325422
Globe,ALUPLANT,CO2EQ,1,2042,0.006308676433855313
Globe,ALUPLANT,CO2EQ,1,2043,0.00637916101527085
Globe,ALUPLANT,CO2EQ,1,2044,0.006448750357551672
Globe,ALUPLANT,CO2EQ,1,2045,0.006517512899601044
Globe,ALUPLANT,CO2EQ,1,2046,0.006585434856316842
Globe,ALUPLANT,CO2EQ,1,2047,0.006652514454820508
Globe,ALUPLANT,CO2EQ,1,2048,0.006718806812826446
Globe,ALUPLANT,CO2EQ,1,2049,0.006784285922401775
Globe,ALUPLANT,CO2EQ,1,2050,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2051,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2052,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2053,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2054,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2055,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2056,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2057,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2058,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2059,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2060,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2061,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2062,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2063,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2064,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2065,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2066,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2067,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2068,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2069,0.006849006640786089
Globe,ALUPLANT,CO2EQ,1,2070,0.006849006640786089
Globe,ALUPLANT,WATER,1,2010,0.03087084370050852
Globe,ALUPLANT,WATER,1,2011,0.03224572571307945
Globe,ALUPLANT,WATER,1,2012,0.033219348415798
Globe,ALUPLANT,WATER,1,2013,0.03460026434093195
Globe,ALUPLANT,WATER,1,2014,0.035556188253430286
Globe,ALUPLANT,WATER,1,2015,0.03694300829011165
Globe,ALUPLANT,WATER,1,2016,0.038338458746027995
Globe,ALUPLANT,WATER,1,2017,0.039274587874955996
Globe,ALUPLANT,WATER,1,2018,0.04067563712234768
Globe,ALUPLANT,WATER,1,2019,0.0415953861436285
Globe,ALUPLANT,WATER,1,2020,0.04300198494295302
Globe,ALUPLANT,WATER,1,2021,0.04441662125340778
Globe,ALUPLANT,WATER,1,2022,0.04531796577357997
Globe,ALUPLANT,WATER,1,2023,0.04673783962507823
Globe,ALUPLANT,WATER,1,2024,0.04762401709682695
Globe,ALUPLANT,WATER,1,2025,0.04904912277855951
Globe,ALUPLANT,WATER,1,2026,0.050481660231662555
Globe,ALUPLANT,WATER,1,2027,0.05135077586726657
Globe,ALUPLANT,WATER,1,2028,0.05278825930525903
Globe,ALUPLANT,WATER,1,2029,0.05364322614200942
Globe,ALUPLANT,WATER,1,2030,0.05508558414015193
Globe,ALUPLANT,WATER,1,2031,0.056534963966703065
Globe,ALUPLANT,WATER,1,2032,0.05737400525896794
Globe,ALUPLANT,WATER,1,2033,0.058828032572426324
Globe,ALUPLANT,WATER,1,2034,0.059653873706382476
Globe,ALUPLANT,WATER,1,2035,0.061112482964875446
Globe,ALUPLANT,WATER,1,2036,0.06257760527142889
Globe,ALUPLANT,WATER,1,2037,0.06338864836383405
Globe,ALUPLANT,WATER,1,2038,0.06485814586406978
Globe,ALUPLANT,WATER,1,2039,0.06565684502949641
Globe,ALUPLANT,WATER,1,2040,0.06713065744810083
Globe,ALUPLANT,WATER,1,2041,0.06861065769057965
Globe,ALUPLANT,WATER,1,2042,0.06939544077240845
Globe,ALUPLANT,WATER,1,2043,0.07087956683634279
Globe,ALUPLANT,WATER,1,2044,0.07165278175057414
Globe,ALUPLANT,WATER,1,2045,0.07314097809552284
Globe,ALUPLANT,WATER,1,2046,0.07463492837159087
Globe,ALUPLANT,WATER,1,2047,0.0753951638212991
Globe,ALUPLANT,WATER,1,2048,0.0768930113023471
Globe,ALUPLANT,WATER,1,2049,0.07764238333415366
Globe,ALUPLANT,WATER,1,2050,0.07914407673797258
Globe,ALUPLANT,WATER,1,2051,0.07914407673797258
Globe,ALUPLANT,WATER,1,2052,0.07914407673797258
Globe,ALUPLANT,WATER,1,2053,0.07914407673797258
Globe,ALUPLANT,WATER,1,2054,0.07914407673797258
Globe,ALUPLANT,WATER,1,2055,0.07914407673797258
Globe,ALUPLANT,WATER,1,2056,0.07914407673797258
Globe,ALUPLANT,WATER,1,2057,0.07914407673797258
Globe,ALUPLANT,WATER,1,2058,0.07914407673797258
Globe,ALUPLANT,WATER,1,2059,0.07914407673797258
Globe,ALUPLANT,WATER,1,2060,0.07914407673797258
Globe,ALUPLANT,WATER,1,2061,0.07914407673797258
Globe,ALUPLANT,WATER,1,2062,0.07914407673797258
Globe,ALUPLANT,WATER,1,2063,0.07914407673797258
Globe,ALUPLANT,WATER,1,2064,0.07914407673797258
Globe,ALUPLANT,WATER,1,2065,0.07914407673797258
Globe,ALUPLANT,WATER,1,2066,0.07914407673797258
Globe,ALUPLANT,WATER,1,2067,0.07914407673797258
Globe,ALUPLANT,WATER,1,2068,0.07914407673797258
Globe,ALUPLANT,WATER,1,2069,0.07914407673797258
Globe,ALUPLANT,WATER,1,2070,0.07914407673797258
