REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.4436371861067
Globe,ALUPLANT,2011,137.81655969710908
Globe,ALUPLANT,2012,143.1956923850102
Globe,ALUPLANT,2013,148.5825227096016
Globe,ALUPLANT,2014,153.97524936858127
Globe,ALUPLANT,2015,159.3752089292911
Globe,ALUPLANT,2016,164.78175363892353
Globe,ALUPLANT,2017,170.19380825026352
Globe,ALUPLANT,2018,175.612612882498
Globe,ALUPLANT,2019,181.0368225066244
Globe,ALUPLANT,2020,186.46750721580426
Globe,ALUPLANT,2021,191.9040542688542
Globe,ALUPLANT,2022,197.34531212035543
Globe,ALUPLANT,2023,202.7928836853262
Globe,ALUPLANT,2024,208.24516073188644
Globe,ALUPLANT,2025,213.70350081825364
Globe,ALUPLANT,2026,219.16691316603328
Globe,ALUPLANT,2027,224.63465370836923
Globe,ALUPLANT,2028,230.10808294695528
Globe,ALUPLANT,2029,235.5855457338643
Globe,ALUPLANT,2030,241.06858697151458
Globe,ALUPLANT,2031,246.5564550637038
Globe,ALUPLANT,2032,252.04776834385135
Globe,ALUPLANT,2033,257.54462062511936
Globe,ALUPLANT,2034,263.0447714933779
Globe,ALUPLANT,2035,268.55037929938896
Globe,ALUPLANT,2036,274.06005635634364
Globe,ALUPLANT,2037,279.5729263851663
Globe,ALUPLANT,2038,285.0908002804446
Globe,ALUPLANT,2039,290.6117489064082
Globe,ALUPLANT,2040,296.1375107403883
Globe,ALUPLANT,2041,301.66720112655133
Globe,ALUPLANT,2042,307.19945682567845
Globe,ALUPLANT,2043,312.7366676640493
Globe,ALUPLANT,2044,318.27621092463727
Globe,ALUPLANT,2045,323.82052832918805
Globe,ALUPLANT,2046,329.3682560222364
Globe,ALUPLANT,2047,334.9184009726384
Globe,ALUPLANT,2048,340.47292237066404
Globe,ALUPLANT,2049,346.0296389958242
Globe,ALUPLANT,2050,351.5907119018024
Globe,ALUPLANT,2051,351.5907119018024
Globe,ALUPLANT,2052,351.5907119018024
Globe,ALUPLANT,2053,351.5907119018024
Globe,ALUPLANT,2054,351.5907119018024
Globe,ALUPLANT,2055,351.5907119018024
Globe,ALUPLANT,2056,351.5907119018024
Globe,ALUPLANT,2057,351.5907119018024
Globe,ALUPLANT,2058,351.5907119018024
Globe,ALUPLANT,2059,351.5907119018024
Globe,ALUPLANT,2060,351.5907119018024
Globe,ALUPLANT,2061,351.5907119018024
Globe,ALUPLANT,2062,351.5907119018024
Globe,ALUPLANT,2063,351.5907119018024
Globe,ALUPLANT,2064,351.5907119018024
Globe,ALUPLANT,2065,351.5907119018024
Globe,ALUPLANT,2066,351.5907119018024
Globe,ALUPLANT,2067,351.5907119018024
Globe,ALUPLANT,2068,351.5907119018024
Globe,ALUPLANT,2069,351.5907119018024
Globe,ALUPLANT,2070,351.5907119018024
Globe,C1BFRDF00,2010,4366417.968494546
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331444000863
Globe,C1BFRDF00,2014,28.202664903988946
Globe,C1BFRDF00,2015,26.27733169099301
Globe,C1BFRDF00,2016,24.2613318169968
Globe,C1BFRDF00,2017,22.38933193399743
Globe,C1BFRDF00,2018,20.645332043017046
Globe,C1BFRDF00,2019,19.029332144002062
Globe,C1BFRDF00,2020,17.530665571011085
Globe,C1BFRDF00,2022,27.71433827430708
Globe,C1BFRDF00,2023,0.08609085045704662
Globe,C1BFRDF00,2024,0.3331657316487143
Globe,C1BFRDF00,2025,15.331209235182238
Globe,C1BFRDF00,2026,7.541054270054001
Globe,C1BFRDF00,2027,0.710436744474756
Globe,C1BFRDF00,2028,1.6781818190961784
Globe,C1BMBRFH1,2010,0.00022601454085045852
Globe,C1BMBRFH1,2011,0.00017429385276033233
Globe,C1BMBRFH1,2012,0.0001666268926701692
Globe,C1BMBRFH1,2013,0.000156102468580264
Globe,C1BMBRFH1,2014,0.00014277411649001222
Globe,C1BMBRFH1,2015,0.00012781777168184146
Globe,C1BMBRFH1,2016,0.00012023583105051924
Globe,C1BMBRFH1,2017,0.000112396482399443
Globe,C1BMBRFH1,2018,0.00010426373931002264
Globe,C1BMBRFH1,2019,9.33546769183433e-05
Globe,C1BMBRFH1,2020,7.679221059580146e-05
Globe,C1BMBRFH1,2021,6.91679329967e-05
Globe,C1BMBRFH1,2022,2.858495148929968e-05
Globe,C1BMBRFH1,2023,3.64786948961e-05
Globe,C1BMBRFH1,2024,2.00169028961e-05
Globe,C1BMBRFH1,2025,3.5551108960999996e-06
Globe,C1BMBRFH1,2026,3.5551108960999996e-06
Globe,C1BMBRFH1,2027,3.5551108960999996e-06
Globe,C1BMBRFH1,2028,3.5551108960999996e-06
Globe,C1BMBRFH1,2029,3.5551108960999996e-06
Globe,C1BMBRFH1,2030,3.5551108960999996e-06
Globe,C1BMBRFH1,2031,3.2586146473652596e-06
Globe,C1BMBRFH1,2032,1.106911998967749e-06
Globe,C1BMBRFH1,2036,2.3434589941e-07
Globe,C1BMBRFH1,2037,2.3434589941e-07
Globe,C1BMBRFN1,2010,2.20752e-05
Globe,C1BMBRFN1,2011,2.20752e-05
Globe,C1BMBRFN1,2012,2.20752e-05
Globe,C1BMBRFN1,2013,2.20752e-05
Globe,C1BMBRFN1,2014,2.20752e-05
Globe,C1BMBRFN1,2015,3.3112800000000006e-05
Globe,C1BMBRFN1,2016,4.572719999999999e-05
Globe,C1BMBRFN1,2017,5.83416e-05
Globe,C1BMBRFN1,2018,7.095599999999999e-05
Globe,C1BMBRFN1,2019,8.6724e-05
Globe,C1BMBRFN1,2020,0.00010249200000000002
Globe,C1BMBRFN1,2021,0.00011826
Globe,C1BMBRFN1,2022,0.00013402799999999998
Globe,C1BMBRFN1,2023,0.000149796
Globe,C1BMBRFN1,2024,0.000165564
Globe,C1BMBRFN1,2025,0.0001592568
Globe,C1BMBRFN1,2026,0.00017502479999999997
Globe,C1BMBRFN1,2027,0.00019079279999999996
Globe,C1BMBRFN1,2028,0.00020045780437400005
Globe,C1BMBRFN1,2029,0.00020496483736100004
Globe,C1BMBRFN1,2030,0.000206969490997
Globe,C1BMBRFN1,2031,0.00020666516710899998
Globe,C1BMBRFN1,2032,0.00020864778732999998
Globe,C1BMBRFN1,2033,0.000209409574058
Globe,C1BMBRFN1,2034,0.00020894581204400004
Globe,C1BMBRFN1,2035,0.00020867686590300002
Globe,C1BMBRFN1,2036,0.000207857078821
Globe,C1BMBRFN1,2037,0.00020744209836799998
Globe,C1BMBRFN1,2038,0.00020743495803
Globe,C1BMBRFN1,2039,0.000207071167498965
Globe,C1BMBRFN1,2040,0.0002069025984194994
