REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.1266053
Globe,C1BFRDF00,2012,2.13585141
Globe,C1BFRDF00,2022,43.7843875919503
Globe,C1BMBRFH1,2021,8.15870344823456
Globe,C1BMBRFH1,2023,0.5757585073023991
Globe,C1BMBRFN1,2010,54.236000000000004
Globe,C1BMBRFN1,2015,27.118000000000002
Globe,C1BMBRFN1,2016,30.991999999999997
Globe,C1BMBRFN1,2017,30.991999999999997
Globe,C1BMBRFN1,2018,30.991999999999997
Globe,C1BMBRFN1,2019,38.74
Globe,C1BMBRFN1,2020,38.74
Globe,C1BMBRFN1,2021,38.74
Globe,C1BMBRFN1,2022,38.74
Globe,C1BMBRFN1,2023,38.74
Globe,C1BMBRFN1,2024,38.74
Globe,C1BMBRFN1,2025,38.74
Globe,C1BMBRFN1,2026,38.74
Globe,C1BMBRFN1,2027,38.74
Globe,C1BMBRFN1,2028,23.745704556485595
Globe,C1BMBRFN1,2029,11.07321524008804
Globe,C1BMBRFN1,2030,32.04318276720132
Globe,C1BMBRFN1,2031,30.2443143444936
Globe,C1BMBRFN1,2032,35.86304942665172
Globe,C1BMBRFN1,2033,32.86361452433175
Globe,C1BMBRFN1,2034,37.60059485099684
Globe,C1BMBRFN1,2035,38.0792330336366
Globe,C1BMBRFN1,2036,36.72588587303427
Globe,C1BMBRFN1,2037,37.720445031276796
Globe,C1BMBRFN1,2038,38.72245708555484
Globe,C1BMBRFN1,2039,38.74
Globe,C1BMBRFN1,2040,38.74
Globe,C1BMBRFN1,2041,38.74
Globe,C1BMBRFN1,2042,37.07689909381224
Globe,C1BMBRFN1,2043,25.139263338504122
Globe,C1BMBRFN1,2044,12.818999200075638
Globe,C1BMBRFN1,2045,32.38289301552084
Globe,C1BMBRFN1,2046,30.79516361533352
Globe,C1BMBRFN1,2047,36.62911789514432
Globe,C1BMBRFN1,2048,34.973310745410956
Globe,C1BMBRFN1,2049,38.74
Globe,C1BMBRFN1,2050,38.74
Globe,C1BMBRFN1,2051,38.74
Globe,C1BMBRFN1,2052,38.74
Globe,C1BMBRFN1,2053,38.74
Globe,C1BMBRFN1,2054,38.74
Globe,C1BMBRFN1,2055,38.74
Globe,C1BMBRFN1,2056,38.74
Globe,C1BMBRFN1,2057,38.74
Globe,C1BMBRFN1,2058,38.74
Globe,C1BMBRFN1,2059,28.67654361022828
Globe,C1BMBRFN1,2060,38.74
Globe,C1BMBRFN1,2061,29.918343115530476
Globe,C1BMBRFN1,2062,35.91191108169495
Globe,C1BMBRFN1,2063,38.74
Globe,C1BMBRFN1,2064,38.74
Globe,C1BMBRFN1,2065,38.74
Globe,C1BMBRFN1,2066,38.74
Globe,C1BMBRFN1,2067,30.748821932749436
Globe,C1BMBRFN1,2068,37.86646083638444
Globe,C1BMBRFN1,2069,37.863179500196956
Globe,C1BMBRFN1,2070,37.866460836306956
Globe,C1BMCHP00,2020,44.375625
Globe,C1BMCHP00,2021,44.375625
Globe,C1BMCHP00,2022,44.375625
Globe,C1BMCHP00,2023,44.375625
Globe,C1BMCHP00,2024,44.375625
Globe,C1BMCHP00,2025,31.028987910831635
Globe,C1BMCHP00,2042,8.11267298001228
Globe,C1BMCHP00,2051,6.915185978031962
Globe,C1BMCHP00,2052,1.2065147334766733
Globe,C1BMCHP00,2053,9.402575449293062
Globe,C1BMCHP00,2054,9.866796639556972
Globe,C1BMCHP00,2055,55.610243807495344
Globe,C1BMCHP00,2056,48.65613287930049
Globe,C1BMCHP00,2057,32.970343393630245
Globe,C1BMLP000,2011,289.85026130800105
Globe,C1BMLP000,2012,31.947063611488097
Globe,C1BMSCP00,2010,8.272688023278
Globe,C1COBRFH1,2010,5.98
Globe,C1COBRFH1,2011,2.99
Globe,C1COBRFH1,2012,2.99
Globe,C1COBRFH1,2013,2.99
Globe,C1COBRFH1,2014,2.99
Globe,C1COBRFH1,2015,5.98
Globe,C1COBRFH1,2016,5.98
Globe,C1COBRFH1,2017,5.98
Globe,C1COBRFH1,2018,5.98
Globe,C1COBRFH1,2019,5.98
Globe,C1COBRFH1,2020,8.969999999999999
Globe,C1COBRFH1,2021,8.969999999999999
Globe,C1COBRFH1,2022,8.969999999999999
Globe,C1COBRFH1,2023,8.969999999999999
Globe,C1COBRFH1,2024,8.969999999999999
Globe,C1COBRFH1,2025,8.969999999999999
Globe,C1COBRFH1,2026,8.969999999999999
Globe,C1COBRFH1,2027,8.969999999999999
Globe,C1COBRFH1,2028,8.969999999999999
Globe,C1COBRFH1,2029,8.969999999999999
