REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2011,-0.0
Globe,ALUPLANT,2012,-0.0
Globe,ALUPLANT,2013,-0.0
Globe,ALUPLANT,2014,-0.0
Globe,ALUPLANT,2015,-0.0
Globe,ALUPLANT,2016,-0.0
Globe,ALUPLANT,2017,-0.0
Globe,ALUPLANT,2018,-0.0
Globe,ALUPLANT,2019,-0.0
Globe,ALUPLANT,2020,-0.0
Globe,ALUPLANT,2021,-0.0
Globe,ALUPLANT,2022,-0.0
Globe,ALUPLANT,2023,-0.0
Globe,ALUPLANT,2024,-0.0
Globe,ALUPLANT,2025,-0.0
Globe,ALUPLANT,2026,-0.0
Globe,ALUPLANT,2027,-0.0
Globe,ALUPLANT,2028,-0.0
Globe,ALUPLANT,2029,-0.0
Globe,ALUPLANT,2030,-0.0
Globe,ALUPLANT,2031,-0.0
Globe,ALUPLANT,2032,-0.0
Globe,ALUPLANT,2033,-0.0
Globe,ALUPLANT,2034,-0.0
Globe,ALUPLANT,2035,-0.0
Globe,ALUPLANT,2036,-0.0
Globe,ALUPLANT,2037,-0.0
Globe,ALUPLANT,2038,-0.0
Globe,ALUPLANT,2039,-0.0
Globe,ALUPLANT,2040,-0.0
Globe,ALUPLANT,2041,-0.0
Globe,ALUPLANT,2042,-0.0
Globe,ALUPLANT,2043,-0.0
Globe,ALUPLANT,2044,-0.0
Globe,ALUPLANT,2045,-0.0
Globe,ALUPLANT,2046,-0.0
Globe,ALUPLANT,2047,0.253809747488
Globe,ALUPLANT,2048,0.34822252498499995
Globe,ALUPLANT,2049,0.645456547575
Globe,ALUPLANT,2050,0.655737982334
Globe,ALUPLANT,2051,0.434644000067
Globe,ALUPLANT,2052,1.27498275763
Globe,ALUPLANT,2053,0.9316942237010001
Globe,ALUPLANT,2054,1.03459442333
Globe,ALUPLANT,2055,1.1322716746200001
Globe,ALUPLANT,2056,1.22318939952
Globe,ALUPLANT,2057,0.953571616515
Globe,ALUPLANT,2058,1.55381847551
Globe,ALUPLANT,2059,1.69434974375
Globe,ALUPLANT,2060,3.0614554221900003
Globe,ALUPLANT,2061,1.6402934156
Globe,ALUPLANT,2062,2.78560076394
Globe,ALUPLANT,2063,2.5918864998299997
Globe,ALUPLANT,2064,2.02091631878
Globe,ALUPLANT,2065,1.45596287764
Globe,ALUPLANT,2066,2.43496304772
Globe,ALUPLANT,2067,2.8032848437299998
Globe,ALUPLANT,2068,4.975470564069999
Globe,ALUPLANT,2069,4.42138919781
Globe,ALUPLANT,2070,3.03214560514
Globe,BACKSTOP,2010,-0.0
Globe,BACKSTOP,2011,-0.0
Globe,BACKSTOP,2012,-0.0
Globe,BACKSTOP,2013,-0.0
Globe,BACKSTOP,2014,-0.0
Globe,BACKSTOP,2015,-0.0
Globe,BACKSTOP,2016,-0.0
Globe,BACKSTOP,2017,-0.0
Globe,BACKSTOP,2018,-0.0
Globe,BACKSTOP,2019,-0.0
Globe,BACKSTOP,2020,-0.0
Globe,BACKSTOP,2021,-0.0
Globe,BACKSTOP,2022,-0.0
Globe,BACKSTOP,2023,-0.0
Globe,BACKSTOP,2024,-0.0
Globe,BACKSTOP,2025,-0.0
Globe,BACKSTOP,2026,-0.0
Globe,BACKSTOP,2027,-0.0
Globe,BACKSTOP,2028,-0.0
Globe,BACKSTOP,2029,-0.0
Globe,BACKSTOP,2030,-0.0
Globe,BACKSTOP,2031,-0.0
Globe,BACKSTOP,2032,-0.0
Globe,BACKSTOP,2033,-0.0
Globe,BACKSTOP,2034,-0.0
Globe,BACKSTOP,2035,-0.0
Globe,BACKSTOP,2036,-0.0
Globe,BACKSTOP,2037,-0.0
Globe,BACKSTOP,2038,-0.0
Globe,BACKSTOP,2039,-0.0
Globe,BACKSTOP,2040,-0.0
Globe,BACKSTOP,2041,-0.0
Globe,BACKSTOP,2042,-0.0
Globe,BACKSTOP,2043,-0.0
Globe,BACKSTOP,2044,-0.0
Globe,BACKSTOP,2045,-0.0
Globe,BACKSTOP,2046,-0.0
Globe,BACKSTOP,2047,-0.0
Globe,BACKSTOP,2048,-0.0
Globe,BACKSTOP,2049,-0.0
Globe,BACKSTOP,2050,-0.0
Globe,BACKSTOP,2051,-0.0
Globe,BACKSTOP,2052,-0.0
Globe,BACKSTOP,2053,-0.0
Globe,BACKSTOP,2054,-0.0
Globe,BACKSTOP,2055,-0.0
Globe,BACKSTOP,2056,-0.0
Globe,BACKSTOP,2057,-0.0
Globe,BACKSTOP,2058,-0.0
Globe,BACKSTOP,2059,-0.0
Globe,BACKSTOP,2060,-0.0
Globe,BACKSTOP,2061,-0.0
Globe,BACKSTOP,2062,-0.0
Globe,BACKSTOP,2063,-0.0
Globe,BACKSTOP,2064,-0.0
Globe,BACKSTOP,2065,-0.0
Globe,BACKSTOP,2066,-0.0
Globe,BACKSTOP,2067,-0.0
Globe,BACKSTOP,2068,-0.0
Globe,BACKSTOP,2069,-0.0
Globe,BACKSTOP,2070,-0.0
Globe,C1BFRDF00,2010,-0.0
Globe,C1BFRDF00,2011,-0.0
Globe,C1BFRDF00,2012,-0.0
Globe,C1BFRDF00,2013,-0.0
Globe,C1BFRDF00,2014,-0.0
Globe,C1BFRDF00,2015,-0.0
Globe,C1BFRDF00,2016,-0.0
Globe,C1BFRDF00,2017,-0.0
Globe,C1BFRDF00,2018,-0.0
Globe,C1BFRDF00,2019,-0.0
Globe,C1BFRDF00,2020,-0.0
Globe,C1BFRDF00,2021,-0.0
Globe,C1BFRDF00,2022,-0.0
Globe,C1BFRDF00,2023,-0.0
Globe,C1BFRDF00,2024,-0.0
Globe,C1BFRDF00,2025,-0.0
Globe,C1BFRDF00,2026,-0.0
Globe,C1BFRDF00,2027,-0.0
Globe,C1BFRDF00,2028,-0.0
Globe,C1BFRDF00,2029,-0.0
Globe,C1BFRDF00,2030,-0.0
Globe,C1BFRDF00,2031,-0.0
Globe,C1BFRDF00,2032,-0.0
Globe,C1BFRDF00,2033,-0.0
Globe,C1BFRDF00,2034,-0.0
Globe,C1BFRDF00,2035,-0.0
Globe,C1BFRDF00,2036,-0.0
Globe,C1BFRDF00,2037,-0.0
Globe,C1BFRDF00,2038,-0.0
Globe,C1BFRDF00,2039,-0.0
Globe,C1BFRDF00,2040,-0.0
Globe,C1BFRDF00,2041,-0.0
Globe,C1BFRDF00,2042,-0.0
Globe,C1BFRDF00,2043,-0.0
Globe,C1BFRDF00,2044,-0.0
Globe,C1BFRDF00,2045,-0.0
Globe,C1BFRDF00,2046,-0.0
Globe,C1BFRDF00,2047,-0.0
Globe,C1BFRDF00,2048,-0.0
Globe,C1BFRDF00,2049,-0.0
Globe,C1BFRDF00,2050,-0.0
Globe,C1BFRDF00,2051,-0.0
Globe,C1BFRDF00,2052,-0.0
Globe,C1BFRDF00,2053,-0.0
Globe,C1BFRDF00,2054,-0.0
Globe,C1BFRDF00,2055,-0.0
Globe,C1BFRDF00,2056,-0.0
Globe,C1BFRDF00,2057,-0.0
Globe,C1BFRDF00,2058,-0.0
Globe,C1BFRDF00,2059,-0.0
Globe,C1BFRDF00,2060,-0.0
Globe,C1BFRDF00,2061,-0.0
Globe,C1BFRDF00,2062,-0.0
Globe,C1BFRDF00,2063,-0.0
Globe,C1BFRDF00,2064,-0.0
Globe,C1BFRDF00,2065,-0.0
Globe,C1BFRDF00,2066,-0.0
Globe,C1BFRDF00,2067,-0.0
Globe,C1BFRDF00,2068,-0.0
Globe,C1BFRDF00,2069,-0.0
Globe,C1BFRDF00,2070,-0.0
Globe,C1BMBRFH1,2010,-0.0
Globe,C1BMBRFH1,2011,-0.0
Globe,C1BMBRFH1,2012,-0.0
Globe,C1BMBRFH1,2013,-0.0
Globe,C1BMBRFH1,2014,-0.0
Globe,C1BMBRFH1,2015,-0.0
Globe,C1BMBRFH1,2016,-0.0
Globe,C1BMBRFH1,2017,-0.0
Globe,C1BMBRFH1,2018,-0.0
Globe,C1BMBRFH1,2019,-0.0
Globe,C1BMBRFH1,2020,-0.0
Globe,C1BMBRFH1,2021,-0.0
Globe,C1BMBRFH1,2022,-0.0
Globe,C1BMBRFH1,2023,-0.0
Globe,C1BMBRFH1,2024,-0.0
Globe,C1BMBRFH1,2025,-0.0
Globe,C1BMBRFH1,2026,-0.0
Globe,C1BMBRFH1,2027,-0.0
Globe,C1BMBRFH1,2028,-0.0
Globe,C1BMBRFH1,2029,-0.0
Globe,C1BMBRFH1,2030,-0.0
Globe,C1BMBRFH1,2031,-0.0
Globe,C1BMBRFH1,2032,-0.0
Globe,C1BMBRFH1,2033,-0.0
Globe,C1BMBRFH1,2034,-0.0
Globe,C1BMBRFH1,2035,-0.0
Globe,C1BMBRFH1,2036,-0.0
Globe,C1BMBRFH1,2037,-0.0
Globe,C1BMBRFH1,2038,-0.0
Globe,C1BMBRFH1,2039,-0.0
Globe,C1BMBRFH1,2040,-0.0
Globe,C1BMBRFH1,2041,-0.0
Globe,C1BMBRFH1,2042,-0.0
Globe,C1BMBRFH1,2043,-0.0
Globe,C1BMBRFH1,2044,-0.0
Globe,C1BMBRFH1,2045,-0.0
Globe,C1BMBRFH1,2046,-0.0
Globe,C1BMBRFH1,2047,-0.0
Globe,C1BMBRFH1,2048,-0.0
Globe,C1BMBRFH1,2049,-0.0
Globe,C1BMBRFH1,2050,-0.0
Globe,C1BMBRFH1,2051,-0.0
Globe,C1BMBRFH1,2052,-0.0
Globe,C1BMBRFH1,2053,-0.0
Globe,C1BMBRFH1,2054,-0.0
Globe,C1BMBRFH1,2055,-0.0
Globe,C1BMBRFH1,2056,-0.0
Globe,C1BMBRFH1,2057,-0.0
Globe,C1BMBRFH1,2058,-0.0
Globe,C1BMBRFH1,2059,-0.0
Globe,C1BMBRFH1,2060,-0.0
Globe,C1BMBRFH1,2061,-0.0
Globe,C1BMBRFH1,2062,-0.0
Globe,C1BMBRFH1,2063,-0.0
Globe,C1BMBRFH1,2064,-0.0
Globe,C1BMBRFH1,2065,-0.0
Globe,C1BMBRFH1,2066,-0.0
Globe,C1BMBRFH1,2067,-0.0
Globe,C1BMBRFH1,2068,-0.0
Globe,C1BMBRFH1,2069,-0.0
Globe,C1BMBRFH1,2070,-0.0
Globe,C1BMBRFN1,2010,-0.0
Globe,C1BMBRFN1,2011,-0.0
Globe,C1BMBRFN1,2012,-0.0
Globe,C1BMBRFN1,2013,-0.0
Globe,C1BMBRFN1,2014,-0.0
Globe,C1BMBRFN1,2015,-0.0
Globe,C1BMBRFN1,2016,-0.0
Globe,C1BMBRFN1,2017,-0.0
Globe,C1BMBRFN1,2018,-0.0
Globe,C1BMBRFN1,2019,-0.0
Globe,C1BMBRFN1,2020,-0.0
Globe,C1BMBRFN1,2021,-0.0
Globe,C1BMBRFN1,2022,-0.0
Globe,C1BMBRFN1,2023,-0.0
Globe,C1BMBRFN1,2024,-0.0
Globe,C1BMBRFN1,2025,-0.0
