REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2070,0.0
Globe,BACKSTOP,2070,0.0
Globe,C1BFRDF00,2070,0.0
Globe,C1BMBRFH1,2070,0.0
Globe,C1BMBRFN1,2070,0.0
Globe,C1BMCHP00,2070,0.0
Globe,C1BMHTF03,2070,0.0
Globe,C1BMIGPCS,2070,0.0
Globe,C1BMLP000,2070,0.0
Globe,C1BMSCP00,2070,0.0
Globe,C1CO00I00,2070,0.0
Globe,C1COBRFH1,2070,0.0
Globe,C1COCHP00,2070,0.0
Globe,C1COHTF03,2070,0.0
Globe,C1COIGP00,2070,0.0
Globe,C1COLP000,2070,0.0
Globe,C1COSCP00,2070,0.0
Globe,C1COSCPCS,2070,0.0
Globe,C1COSF000,2070,0.0
Globe,C1ELEFF00,2070,0.0
Globe,C1ELRDF00,2070,0.0
Globe,C1ELRLF00,2070,0.0
Globe,C1GOCVP00,2070,0.0
Globe,C1GOHTF03,2070,0.0
Globe,C1HFGCP00,2070,0.0
Globe,C1HFGCPCH,2070,0.0
Globe,C1HFMRF00,2070,0.0
Globe,C1HTOOTFI,2070,0.0
Globe,C1HTOOTFR,2070,0.0
Globe,C1HYDMP00,2070,0.0
Globe,C1HYMIP00,2070,0.0
Globe,C1LFAVF00,2070,0.0
Globe,C1LFBRFH1,2070,0.0
Globe,C1LFBRFN1,2070,0.0
Globe,C1LFCCP00,2070,0.0
Globe,C1LFRDF00,2070,0.0
Globe,C1LFRLF00,2070,0.0
Globe,C1NG00I00,2070,0.0
Globe,C1NGBRFH1,2070,0.0
Globe,C1NGBRFN1,2070,0.0
Globe,C1NGCCP00,2070,0.0
Globe,C1NGCCPCH,2070,0.0
Globe,C1NGCCPCS,2070,0.0
Globe,C1NGGCP00,2070,0.0
Globe,C1NGGCPCH,2070,0.0
Globe,C1NGHTF03,2070,0.0
Globe,C1NGLP000,2070,0.0
Globe,C1NU00I00,2070,0.0
Globe,C1NULWP00,2070,0.0
Globe,C1OCCVP00,2070,0.0
Globe,C1OI00I00,2070,0.0
Globe,C1OIHTF03,2070,0.0
Globe,C1OIRFP00,2070,0.0
Globe,C1SOC1P00,2070,0.0
Globe,C1SOTHF00,2070,0.0
Globe,C1SOV1P00,2070,0.0
Globe,C1SOV2P00,2070,0.0
Globe,C1WDOFP00,2070,0.0
Globe,C1WDONP00,2070,0.0
Globe,CEMPLANT,2070,0.0
Globe,DUMMYALU,2070,0.0
Globe,DUMMYC,2070,0.0
Globe,DUMMYCEM,2070,0.0
Globe,DUMMYH_I,2070,0.0
Globe,DUMMYH_R,2070,0.0
Globe,DUMMYM,2070,0.0
Globe,DUMMYMFOO,2070,0.0
Globe,DUMMYPAP,2070,0.0
Globe,DUMMYPETB,2070,0.0
Globe,DUMMYRD,2070,0.0
Globe,DUMMYRL,2070,0.0
Globe,DUMMYSTE,2070,0.0
Globe,DUMMYVFOO,2070,0.0
Globe,FERTPLANT,2070,0.0
Globe,FRSTFACTOR,2070,0.0
Globe,LA,2070,0.0
Globe,LA1,2070,0.0
Globe,LA1_PROD,2070,0.0
Globe,LA1_i,2070,0.0
Globe,LA1_i_PROD,2070,0.0
Globe,LA2,2070,0.0
Globe,LA2_PROD,2070,0.0
Globe,LA3,2070,0.0
Globe,LA4,2070,0.0
Globe,LA5,2070,0.0
Globe,LF,2070,0.0
Globe,LF1,2070,0.0
Globe,LF2,2070,0.0
Globe,LF2_PROD,2070,0.0
Globe,LO,2070,0.0
Globe,LandRes,2070,0.0
Globe,MFOOFACTOR,2070,0.0
Globe,PAPPLANT,2070,0.0
Globe,PETAPLANT,2070,0.0
Globe,PETBPLANT,2070,0.0
Globe,STEPLANT,2070,0.0
Globe,TECHBIOCONV,2070,0.0
Globe,VFOOFACTOR,2070,0.0
Globe,XALUMINE,2070,0.0
Globe,XCEMMINE,2070,0.0
Globe,XPHOMINE,2070,0.0
Globe,XPOTMINE,2070,0.0
Globe,XSTEMINE,2070,0.0
