REGION,TECHNOLOGY,YEAR,VALUE
Globe,BACKSTOP,2070,0.0
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354387512100005
Globe,C1BFRDF00,2070,0.0
Globe,C1BMBRFH1,2021,0.010530076727200001
Globe,C1BMBRFH1,2023,0.000743105972254
Globe,C1BMBRFH1,2070,0.0
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2015,0.035
Globe,C1BMBRFN1,2016,0.04
Globe,C1BMBRFN1,2017,0.04
Globe,C1BMBRFN1,2018,0.04
Globe,C1BMBRFN1,2019,0.05
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2021,0.05
Globe,C1BMBRFN1,2022,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.030647527821999997
Globe,C1BMBRFN1,2029,0.0142917078473
Globe,C1BMBRFN1,2030,0.0413567149809
Globe,C1BMBRFN1,2031,0.039034995282
Globe,C1BMBRFN1,2032,0.0462868474789
Globe,C1BMBRFN1,2033,0.042415609866199994
Globe,C1BMBRFN1,2034,0.04852942030330001
Globe,C1BMBRFN1,2035,0.0491471773795
Globe,C1BMBRFN1,2036,0.04740047221609999
Globe,C1BMBRFN1,2037,0.048684105616
Globe,C1BMBRFN1,2038,0.0499773581383
Globe,C1BMBRFN1,2039,0.05
Globe,C1BMBRFN1,2040,0.05
Globe,C1BMBRFN1,2041,0.05
Globe,C1BMBRFN1,2042,0.047853509413800004
Globe,C1BMBRFN1,2043,0.032446132341900004
Globe,C1BMBRFN1,2044,0.016544913784299998
Globe,C1BMBRFN1,2045,0.0417951639333
Globe,C1BMBRFN1,2046,0.039745952007400005
Globe,C1BMBRFN1,2047,0.0472755780784
Globe,C1BMBRFN1,2048,0.045138501220199995
Globe,C1BMBRFN1,2049,0.05
Globe,C1BMBRFN1,2050,0.05
Globe,C1BMBRFN1,2051,0.05
Globe,C1BMBRFN1,2052,0.05
Globe,C1BMBRFN1,2053,0.05
Globe,C1BMBRFN1,2054,0.05
Globe,C1BMBRFN1,2055,0.05
Globe,C1BMBRFN1,2056,0.05
Globe,C1BMBRFN1,2057,0.05
Globe,C1BMBRFN1,2058,0.05
Globe,C1BMBRFN1,2059,0.0370115431211
Globe,C1BMBRFN1,2060,0.05
Globe,C1BMBRFN1,2061,0.0386142786726
Globe,C1BMBRFN1,2062,0.0463499110502
Globe,C1BMBRFN1,2063,0.05
Globe,C1BMBRFN1,2064,0.05
Globe,C1BMBRFN1,2065,0.05
Globe,C1BMBRFN1,2066,0.05
Globe,C1BMBRFN1,2067,0.0396861408528
Globe,C1BMBRFN1,2068,0.048872561740300004
Globe,C1BMBRFN1,2069,0.048868326665199996
Globe,C1BMBRFN1,2070,0.0488725617402
Globe,C1BMCHP00,2020,0.01
Globe,C1BMCHP00,2021,0.01
Globe,C1BMCHP00,2022,0.01
Globe,C1BMCHP00,2023,0.01
Globe,C1BMCHP00,2024,0.01
Globe,C1BMCHP00,2025,0.0069923494961100004
Globe,C1BMCHP00,2042,0.0018281822464500002
Globe,C1BMCHP00,2051,0.00155832982139
Globe,C1BMCHP00,2052,0.000271886814772
Globe,C1BMCHP00,2053,0.00211886039899
Globe,C1BMCHP00,2054,0.00222347215156
Globe,C1BMCHP00,2055,0.0125317094255
Globe,C1BMCHP00,2056,0.0109646079079
Globe,C1BMCHP00,2057,0.007429831893890001
Globe,C1BMCHP00,2070,0.0
Globe,C1BMHTF03,2070,0.0
Globe,C1BMIGPCS,2070,0.0
Globe,C1BMLP000,2011,3.2314376323400005
Globe,C1BMLP000,2012,0.356166467234
Globe,C1BMLP000,2070,0.0
Globe,C1BMSCP00,2010,0.0030014287612800004
Globe,C1BMSCP00,2070,0.0
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,5.85
Globe,C1CO00I00,2012,5.85
Globe,C1CO00I00,2013,5.85
Globe,C1CO00I00,2014,5.85
Globe,C1CO00I00,2015,5.85
Globe,C1CO00I00,2016,5.85
Globe,C1CO00I00,2017,5.85
Globe,C1CO00I00,2018,5.85
Globe,C1CO00I00,2019,5.85
Globe,C1CO00I00,2020,3.9
Globe,C1CO00I00,2021,3.9
Globe,C1CO00I00,2022,3.9
Globe,C1CO00I00,2023,3.9
Globe,C1CO00I00,2024,3.9
Globe,C1CO00I00,2025,3.9
Globe,C1CO00I00,2026,3.9
Globe,C1CO00I00,2027,3.9
Globe,C1CO00I00,2028,3.9
Globe,C1CO00I00,2029,3.9
Globe,C1CO00I00,2030,3.9
Globe,C1CO00I00,2031,3.9
Globe,C1CO00I00,2032,3.9
Globe,C1CO00I00,2033,3.9
Globe,C1CO00I00,2034,3.9
Globe,C1CO00I00,2035,3.9
Globe,C1CO00I00,2036,3.9
Globe,C1CO00I00,2037,3.9
Globe,C1CO00I00,2038,3.9
Globe,C1CO00I00,2039,3.9
Globe,C1CO00I00,2040,5.2
Globe,C1CO00I00,2041,5.2
Globe,C1CO00I00,2042,5.2
Globe,C1CO00I00,2043,5.2
Globe,C1CO00I00,2044,5.2
Globe,C1CO00I00,2045,5.2
Globe,C1CO00I00,2046,5.2
Globe,C1CO00I00,2047,5.2
Globe,C1CO00I00,2048,5.2
Globe,C1CO00I00,2049,5.2
Globe,C1CO00I00,2050,5.2
Globe,C1CO00I00,2051,5.2
Globe,C1CO00I00,2052,5.2
Globe,C1CO00I00,2053,5.2
Globe,C1CO00I00,2054,5.2
Globe,C1CO00I00,2055,5.2
Globe,C1CO00I00,2056,5.2
Globe,C1CO00I00,2057,5.2
Globe,C1CO00I00,2058,5.2
Globe,C1CO00I00,2059,5.2
Globe,C1CO00I00,2060,5.2
Globe,C1CO00I00,2061,5.2
Globe,C1CO00I00,2062,5.2
Globe,C1CO00I00,2063,5.2
Globe,C1CO00I00,2064,5.2
Globe,C1CO00I00,2065,5.2
Globe,C1CO00I00,2066,5.2
Globe,C1CO00I00,2067,5.2
Globe,C1CO00I00,2068,5.2
Globe,C1CO00I00,2069,5.2
Globe,C1CO00I00,2070,5.2
Globe,C1COBRFH1,2010,0.04
Globe,C1COBRFH1,2011,0.02
Globe,C1COBRFH1,2012,0.02
Globe,C1COBRFH1,2013,0.02
Globe,C1COBRFH1,2014,0.02
Globe,C1COBRFH1,2015,0.04
Globe,C1COBRFH1,2016,0.04
Globe,C1COBRFH1,2017,0.04
Globe,C1COBRFH1,2018,0.04
Globe,C1COBRFH1,2019,0.04
Globe,C1COBRFH1,2020,0.06
Globe,C1COBRFH1,2021,0.06
Globe,C1COBRFH1,2022,0.06
Globe,C1COBRFH1,2023,0.06
Globe,C1COBRFH1,2024,0.06
Globe,C1COBRFH1,2025,0.06
Globe,C1COBRFH1,2026,0.06
Globe,C1COBRFH1,2027,0.06
Globe,C1COBRFH1,2028,0.06
Globe,C1COBRFH1,2029,0.06
Globe,C1COBRFH1,2030,0.08
Globe,C1COBRFH1,2031,0.08
Globe,C1COBRFH1,2032,0.08
Globe,C1COBRFH1,2033,0.08
Globe,C1COBRFH1,2034,0.08
Globe,C1COBRFH1,2035,0.08
Globe,C1COBRFH1,2036,0.08
Globe,C1COBRFH1,2037,0.08
Globe,C1COBRFH1,2038,0.08
Globe,C1COBRFH1,2039,0.08
Globe,C1COBRFH1,2040,0.08
Globe,C1COBRFH1,2041,0.08
Globe,C1COBRFH1,2042,0.08
Globe,C1COBRFH1,2043,0.08
Globe,C1COBRFH1,2044,0.08
Globe,C1COBRFH1,2045,0.08
Globe,C1COBRFH1,2046,0.08
Globe,C1COBRFH1,2047,0.08
Globe,C1COBRFH1,2048,0.08
Globe,C1COBRFH1,2049,0.08
Globe,C1COBRFH1,2050,0.08
Globe,C1COBRFH1,2051,0.08
Globe,C1COBRFH1,2052,0.08
Globe,C1COBRFH1,2053,0.08
Globe,C1COBRFH1,2054,0.08
Globe,C1COBRFH1,2055,0.08
Globe,C1COBRFH1,2056,0.08
Globe,C1COBRFH1,2057,0.08
Globe,C1COBRFH1,2058,0.08
Globe,C1COBRFH1,2059,0.08
Globe,C1COBRFH1,2060,0.08
Globe,C1COBRFH1,2061,0.08
Globe,C1COBRFH1,2062,0.08
Globe,C1COBRFH1,2063,0.08
Globe,C1COBRFH1,2064,0.08
Globe,C1COBRFH1,2065,0.08
Globe,C1COBRFH1,2066,0.08
Globe,C1COBRFH1,2067,0.08
Globe,C1COBRFH1,2068,0.08
Globe,C1COBRFH1,2069,0.08
Globe,C1COBRFH1,2070,0.08
Globe,C1COCHP00,2070,0.0
Globe,C1COHTF03,2010,0.07
Globe,C1COHTF03,2011,0.07
Globe,C1COHTF03,2012,0.07
Globe,C1COHTF03,2013,0.07
Globe,C1COHTF03,2014,0.07
Globe,C1COHTF03,2015,0.07
Globe,C1COHTF03,2016,0.09
Globe,C1COHTF03,2017,0.09
Globe,C1COHTF03,2018,0.09
Globe,C1COHTF03,2019,0.09
Globe,C1COHTF03,2020,0.09
Globe,C1COHTF03,2021,0.1
Globe,C1COHTF03,2022,0.1
Globe,C1COHTF03,2023,0.1
Globe,C1COHTF03,2024,0.1
Globe,C1COHTF03,2025,0.1
Globe,C1COHTF03,2026,0.15
Globe,C1COHTF03,2027,0.15
Globe,C1COHTF03,2028,0.15
Globe,C1COHTF03,2029,0.15
Globe,C1COHTF03,2030,0.15
Globe,C1COHTF03,2031,0.15
Globe,C1COHTF03,2032,0.15
Globe,C1COHTF03,2033,0.15
Globe,C1COHTF03,2034,0.15
Globe,C1COHTF03,2035,0.15
Globe,C1COHTF03,2036,0.15
Globe,C1COHTF03,2037,0.15
Globe,C1COHTF03,2038,0.15
Globe,C1COHTF03,2039,0.15
Globe,C1COHTF03,2040,0.15
Globe,C1COHTF03,2041,0.15
Globe,C1COHTF03,2042,0.15
Globe,C1COHTF03,2043,0.15
Globe,C1COHTF03,2044,0.15
Globe,C1COHTF03,2045,0.15
Globe,C1COHTF03,2046,0.15
Globe,C1COHTF03,2047,0.15
Globe,C1COHTF03,2048,0.15
Globe,C1COHTF03,2049,0.15
Globe,C1COHTF03,2050,0.15
