REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.2099667
Globe,IN,ALUPLANT,1,2010,4.2099667
Globe,ID,ALUPLANT,1,2011,4.2708139
Globe,IN,ALUPLANT,1,2011,4.2708139
Globe,IP,ALUPLANT,1,2011,0.79527345
Globe,ID,ALUPLANT,1,2012,4.4620394
Globe,IN,ALUPLANT,1,2012,4.4620394
Globe,IP,ALUPLANT,1,2012,0.13487759
Globe,ID,ALUPLANT,1,2013,4.5090782
Globe,IN,ALUPLANT,1,2013,4.5090782
Globe,IP,ALUPLANT,1,2013,1.0374497999999999
Globe,ID,ALUPLANT,1,2014,4.5425135999999995
Globe,IN,ALUPLANT,1,2014,4.5425135999999995
Globe,IP,ALUPLANT,1,2014,2.0677763
Globe,ID,ALUPLANT,1,2015,4.4917759
Globe,IN,ALUPLANT,1,2015,4.4917759
Globe,IP,ALUPLANT,1,2015,4.0024352
Globe,ID,ALUPLANT,1,2016,4.564102200000001
Globe,IN,ALUPLANT,1,2016,4.564102200000001
Globe,IP,ALUPLANT,1,2016,4.564102200000001
Globe,ID,ALUPLANT,1,2017,4.6755462
Globe,IN,ALUPLANT,1,2017,4.6755462
Globe,IP,ALUPLANT,1,2017,4.6755462
Globe,ID,ALUPLANT,1,2018,5.0475425000000005
Globe,IN,ALUPLANT,1,2018,5.0475425000000005
Globe,IP,ALUPLANT,1,2018,1.9039766
Globe,ID,ALUPLANT,1,2019,5.338833599999999
Globe,IN,ALUPLANT,1,2019,5.338833599999999
Globe,ID,ALUPLANT,1,2020,5.4551940000000005
Globe,IN,ALUPLANT,1,2020,5.4551940000000005
Globe,ID,ALUPLANT,1,2021,5.4798982
Globe,IN,ALUPLANT,1,2021,5.4798982
Globe,IP,ALUPLANT,1,2021,0.9890180000000001
Globe,ID,ALUPLANT,1,2022,5.6829168
Globe,IN,ALUPLANT,1,2022,5.6829168
Globe,ID,ALUPLANT,1,2023,5.7533492
Globe,IN,ALUPLANT,1,2023,5.7533492
Globe,IP,ALUPLANT,1,2023,0.45081827
Globe,ID,ALUPLANT,1,2024,5.9042332
Globe,IN,ALUPLANT,1,2024,5.9042332
Globe,ID,ALUPLANT,1,2025,5.9686685
Globe,IN,ALUPLANT,1,2025,5.9686685
Globe,IP,ALUPLANT,1,2025,0.4826845
Globe,ID,ALUPLANT,1,2026,5.9739317000000005
Globe,IN,ALUPLANT,1,2026,5.9739317000000005
Globe,IP,ALUPLANT,1,2026,1.5991309999999999
Globe,ID,ALUPLANT,1,2027,6.2247892
Globe,IN,ALUPLANT,1,2027,6.2247892
Globe,ID,ALUPLANT,1,2028,6.3287231
Globe,IN,ALUPLANT,1,2028,6.3287231
Globe,ID,ALUPLANT,1,2029,6.4312241
Globe,IN,ALUPLANT,1,2029,6.4312241
Globe,ID,ALUPLANT,1,2030,6.5323625
Globe,IN,ALUPLANT,1,2030,6.5323625
Globe,ID,ALUPLANT,1,2031,6.6321497
Globe,IN,ALUPLANT,1,2031,6.6321497
Globe,ID,ALUPLANT,1,2032,6.6607866
Globe,IN,ALUPLANT,1,2032,6.6607866
Globe,IP,ALUPLANT,1,2032,0.76703742
Globe,ID,ALUPLANT,1,2033,6.7880106
Globe,IN,ALUPLANT,1,2033,6.7880106
Globe,IP,ALUPLANT,1,2033,0.43658076
Globe,ID,ALUPLANT,1,2034,6.9235837
Globe,IN,ALUPLANT,1,2034,6.9235837
Globe,ID,ALUPLANT,1,2035,7.0182118000000004
Globe,IN,ALUPLANT,1,2035,7.0182118000000004
Globe,ID,ALUPLANT,1,2036,7.056434299999999
Globe,IN,ALUPLANT,1,2036,7.056434299999999
Globe,IP,ALUPLANT,1,2036,0.60638958
Globe,ID,ALUPLANT,1,2037,7.1256699999999995
Globe,IN,ALUPLANT,1,2037,7.1256699999999995
Globe,IP,ALUPLANT,1,2037,0.85845445
Globe,ID,ALUPLANT,1,2038,7.294792500000001
Globe,IN,ALUPLANT,1,2038,7.294792500000001
Globe,ID,ALUPLANT,1,2039,7.3846245999999995
Globe,IN,ALUPLANT,1,2039,7.3846245999999995
Globe,ID,ALUPLANT,1,2040,7.473344
Globe,IN,ALUPLANT,1,2040,7.473344
Globe,ID,ALUPLANT,1,2041,7.560952900000001
Globe,IN,ALUPLANT,1,2041,7.560952900000001
Globe,ID,ALUPLANT,1,2042,7.6474367
Globe,IN,ALUPLANT,1,2042,7.6474367
Globe,ID,ALUPLANT,1,2043,7.7328788
Globe,IN,ALUPLANT,1,2043,7.7328788
Globe,ID,ALUPLANT,1,2044,7.8172356
Globe,IN,ALUPLANT,1,2044,7.8172356
Globe,ID,ALUPLANT,1,2045,7.9005902
Globe,IN,ALUPLANT,1,2045,7.9005902
Globe,ID,ALUPLANT,1,2046,7.982925900000001
Globe,IN,ALUPLANT,1,2046,7.982925900000001
Globe,ID,ALUPLANT,1,2047,8.064240400000001
Globe,IN,ALUPLANT,1,2047,8.064240400000001
Globe,ID,ALUPLANT,1,2048,8.144600599999999
Globe,IN,ALUPLANT,1,2048,8.144600599999999
Globe,ID,ALUPLANT,1,2049,8.223975
Globe,IN,ALUPLANT,1,2049,8.223975
Globe,ID,ALUPLANT,1,2050,8.302430000000001
Globe,IN,ALUPLANT,1,2050,8.302430000000001
Globe,ID,ALUPLANT,1,2051,8.302430000000001
Globe,IN,ALUPLANT,1,2051,8.302430000000001
Globe,ID,ALUPLANT,1,2052,8.302430000000001
Globe,IN,ALUPLANT,1,2052,8.302430000000001
Globe,ID,ALUPLANT,1,2053,8.302430000000001
Globe,IN,ALUPLANT,1,2053,8.302430000000001
Globe,ID,ALUPLANT,1,2054,8.302430000000001
Globe,IN,ALUPLANT,1,2054,8.302430000000001
Globe,ID,ALUPLANT,1,2055,8.302430000000001
Globe,IN,ALUPLANT,1,2055,8.302430000000001
Globe,ID,ALUPLANT,1,2056,8.302430000000001
Globe,IN,ALUPLANT,1,2056,8.302430000000001
