REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,93.06131355004104
Globe,ID,ALUPLANT,ALU,2011,95.14262874068027
Globe,ID,ALUPLANT,ALU,2012,100.17233883477472
Globe,ID,ALUPLANT,ALU,2013,102.00572086217265
Globe,ID,ALUPLANT,ALU,2014,103.54568922149959
Globe,ID,ALUPLANT,ALU,2015,103.1635147203527
Globe,ID,ALUPLANT,ALU,2016,105.61149999995114
Globe,ID,ALUPLANT,ALU,2017,108.99679999997164
Globe,ID,ALUPLANT,ALU,2018,118.53901097655071
Globe,ID,ALUPLANT,ALU,2019,126.30078551165039
Globe,ID,ALUPLANT,ALU,2020,129.9939995635545
Globe,ID,ALUPLANT,ALU,2021,131.5274199312686
Globe,ID,ALUPLANT,ALU,2022,137.38053676634217
Globe,ID,ALUPLANT,ALU,2023,140.07506746991243
Globe,ID,ALUPLANT,ALU,2024,144.76707396908031
Globe,ID,ALUPLANT,ALU,2025,147.37597396248975
Globe,ID,ALUPLANT,ALU,2026,148.53583873711295
Globe,ID,ALUPLANT,ALU,2027,155.84693432259556
Globe,ID,ALUPLANT,ALU,2028,159.54014837446852
Globe,ID,ALUPLANT,ALU,2029,163.23347152529746
Globe,ID,ALUPLANT,ALU,2030,166.92668557720575
Globe,ID,ALUPLANT,ALU,2031,170.62000872793053
Globe,ID,ALUPLANT,ALU,2032,172.50571276285595
Globe,ID,ALUPLANT,ALU,2033,176.97090277093625
Globe,ID,ALUPLANT,ALU,2034,181.69975998263928
Globe,ID,ALUPLANT,ALU,2035,185.393083133336
Globe,ID,ALUPLANT,ALU,2036,187.61929711596318
Globe,ID,ALUPLANT,ALU,2037,190.68934175440157
Globe,ID,ALUPLANT,ALU,2038,196.47283438803993
Globe,ID,ALUPLANT,ALU,2039,200.166157538789
Globe,ID,ALUPLANT,ALU,2040,203.85937159074842
Globe,ID,ALUPLANT,ALU,2041,207.55269474154878
Globe,ID,ALUPLANT,ALU,2042,211.2459087934016
Globe,ID,ALUPLANT,ALU,2043,214.93923194409402
Globe,ID,ALUPLANT,ALU,2044,218.6324459960787
Globe,ID,ALUPLANT,ALU,2045,222.32576914676613
Globe,ID,ALUPLANT,ALU,2046,226.0189831986902
Globe,ID,ALUPLANT,ALU,2047,229.7123063494298
Globe,ID,ALUPLANT,ALU,2048,233.4055204014067
Globe,ID,ALUPLANT,ALU,2049,237.09884355229192
Globe,ID,ALUPLANT,ALU,2050,240.79205760426532
Globe,ID,ALUPLANT,ALU,2051,240.79205760426532
Globe,ID,ALUPLANT,ALU,2052,240.79205760426532
Globe,ID,ALUPLANT,ALU,2053,240.79205760426532
Globe,ID,ALUPLANT,ALU,2054,240.79205760426532
Globe,ID,ALUPLANT,ALU,2055,240.79205760426532
Globe,ID,ALUPLANT,ALU,2056,240.79205760426532
Globe,ID,ALUPLANT,ALU,2057,240.79205760426532
Globe,ID,ALUPLANT,ALU,2058,240.79205760426532
Globe,ID,ALUPLANT,ALU,2059,240.79205760426532
Globe,ID,ALUPLANT,ALU,2060,240.79205760426532
Globe,ID,ALUPLANT,ALU,2061,240.79205760426532
Globe,ID,ALUPLANT,ALU,2062,240.79205760426532
Globe,ID,ALUPLANT,ALU,2063,240.79205760426532
Globe,ID,ALUPLANT,ALU,2064,240.79205760426532
Globe,ID,ALUPLANT,ALU,2065,240.79205760426532
Globe,ID,ALUPLANT,ALU,2066,240.79205760426532
Globe,ID,ALUPLANT,ALU,2067,240.79205760426532
Globe,ID,ALUPLANT,ALU,2068,240.79205760426532
Globe,ID,ALUPLANT,ALU,2069,240.79205760426532
Globe,ID,ALUPLANT,ALU,2070,240.79205760426532
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836
