REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.269803537683991
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.299342121367446
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.398881634410469
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.4207166940470617
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.435191578301389
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.40455542487365
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.4397819248592834
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738197067125
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.6904814640639088
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.8416635667577284
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.8994246930275245
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.908357316324694
Globe,ID,ALUPLANT,C1_F_CLS,2022,3.0117583933536056
Globe,ID,ALUPLANT,C1_F_CLS,2023,3.0446839142558373
Globe,ID,ALUPLANT,C1_F_CLS,2024,3.120015264241855
Globe,ID,ALUPLANT,C1_F_CLS,2025,3.149493251014958
Globe,ID,ALUPLANT,C1_F_CLS,2026,3.1477004764163947
Globe,ID,ALUPLANT,C1_F_CLS,2027,3.275116804322679
Globe,ID,ALUPLANT,C1_F_CLS,2028,3.324959240283581
Globe,ID,ALUPLANT,C1_F_CLS,2029,3.3738844782748907
Globe,ID,ALUPLANT,C1_F_CLS,2030,3.421945448668744
Globe,ID,ALUPLANT,C1_F_CLS,2031,3.469144847097741
Globe,ID,ALUPLANT,C1_F_CLS,2032,3.479028729694197
Globe,ID,ALUPLANT,C1_F_CLS,2033,3.5402801327630606
Globe,ID,ALUPLANT,C1_F_CLS,2034,3.6056915896751516
Globe,ID,ALUPLANT,C1_F_CLS,2035,3.6496034864443616
Globe,ID,ALUPLANT,C1_F_CLS,2036,3.6640817237837684
Globe,ID,ALUPLANT,C1_F_CLS,2037,3.694574376330996
Globe,ID,ALUPLANT,C1_F_CLS,2038,3.7766818487849316
Globe,ID,ALUPLANT,C1_F_CLS,2039,3.8175407650369038
Globe,ID,ALUPLANT,C1_F_CLS,2040,3.857687845955496
Globe,ID,ALUPLANT,C1_F_CLS,2041,3.897119290381713
Globe,ID,ALUPLANT,C1_F_CLS,2042,3.9358450684908517
Globe,ID,ALUPLANT,C1_F_CLS,2043,3.9739032029779677
