TIMESLICE,YEAR,TECHNOLOGY,REGION,MODE_OF_OPERATION,VALUE
ID,2010,ALUPLANT,Globe,1,1.9294277386099998
ID,2010,C1BFRDF00,Globe,1,0.097727337457
ID,2010,C1BFRDF00,Globe,2,0.15919564254299998
ID,2010,C1BMBRFH1,Globe,1,10.3945125638
ID,2010,C1BMBRFN1,Globe,1,1.011706416
ID,2010,C1BMLP000,Globe,1,1.12831411399
ID,2010,C1CO00I00,Globe,1,63.81717508
ID,2010,C1COBRFH1,Globe,1,2.69836554096
ID,2010,C1COCHP00,Globe,1,0.72117006412
ID,2010,C1COHTF03,Globe,1,17.727987181400003
ID,2010,C1COIGP00,Globe,1,0.029167646479
ID,2010,C1COSCP00,Globe,1,14.4985986881
ID,2010,C1ELEFF00,Globe,1,34.9874955198
ID,2010,C1ELRLF00,Globe,1,1.48500002131
ID,2010,C1GOCVP00,Globe,1,0.11118559193699999
ID,2010,C1GOHTF03,Globe,1,3.73365020872
ID,2010,C1HFGCPCH,Globe,1,0.06824358771899999
ID,2010,C1HFMRF00,Globe,1,40.862027999999995
ID,2010,C1HTOOTFI,Globe,1,38.341666270699996
ID,2010,C1HTOOTFR,Globe,1,2.53434789955
ID,2010,C1HYDMP00,Globe,1,5.5649632043
ID,2010,C1HYMIP00,Globe,1,0.46097133904
ID,2010,C1LFAVF00,Globe,1,0.17479562
ID,2010,C1LFBRFH1,Globe,1,7.242372827
ID,2010,C1LFBRFN1,Globe,1,0.7226474399999999
ID,2010,C1LFCCP00,Globe,1,0.282699678528
ID,2010,C1LFRDF00,Globe,1,8.5088165903
ID,2010,C1LFRLF00,Globe,1,3.171436
ID,2010,C1NG00I00,Globe,1,49.512623819999995
ID,2010,C1NGBRFH1,Globe,1,9.6141014501
ID,2010,C1NGBRFN1,Globe,1,0.7226474399999999
ID,2010,C1NGCCP00,Globe,1,3.9530771908999998
ID,2010,C1NGCCPCH,Globe,1,0.85513472886
ID,2010,C1NGGCP00,Globe,1,0.9575073080400001
ID,2010,C1NGGCPCH,Globe,1,0.84406137592
ID,2010,C1NGHTF03,Globe,1,9.1458260923
ID,2010,C1NU00I00,Globe,1,16.2682356862
ID,2010,C1NULWP00,Globe,1,5.8518832942
ID,2010,C1OCCVP00,Globe,1,0.0019077892416000002
ID,2010,C1OI00I00,Globe,1,76.78614848
ID,2010,C1OIHTF03,Globe,1,6.7423006152
ID,2010,C1OIRFP00,Globe,1,13.1739132442
ID,2010,C1OIRFP00,Globe,2,53.638519983
ID,2010,C1SOC1P00,Globe,1,0.042925257935999994
ID,2010,C1SOTHF00,Globe,1,0.46480685174
ID,2010,C1SOV1P00,Globe,1,0.121910623128
ID,2010,C1SOV2P00,Globe,1,0.09307699027199999
ID,2010,C1WDOFP00,Globe,1,0.022373164742399997
ID,2010,C1WDONP00,Globe,1,0.75568688279
ID,2010,CEMPLANT,Globe,1,5.4272729272
ID,2010,FERTPLANT,Globe,1,0.000195487328789
ID,2010,LA,Globe,1,2554.49999217
ID,2010,LA1,Globe,1,770.6000106199999
ID,2010,LA1_i,Globe,1,183.900001565
ID,2010,LA1_i_PROD,Globe,1,183.900001565
ID,2010,LA1_PROD,Globe,1,770.6000106199999
ID,2010,LA2,Globe,1,1600.0000029
ID,2010,LA2_PROD,Globe,1,1600.0000029
ID,2010,LandRes,Globe,1,6171.5255458
ID,2010,LF,Globe,1,1833.2
ID,2010,LF1,Globe,1,588.9155
ID,2010,LF2,Globe,1,1244.2845
ID,2010,LF2_PROD,Globe,1,1244.2845
ID,2010,LO,Globe,1,1783.8255077999997
ID,2010,MFOOFACTOR,Globe,1,2.74446121747
ID,2010,PAPPLANT,Globe,1,3.0372745412399995
ID,2010,PETAPLANT,Globe,1,4.8175849797e-06
ID,2010,PETBPLANT,Globe,1,18.331562323500002
ID,2010,STEPLANT,Globe,1,13.0903023671
ID,2010,VFOOFACTOR,Globe,1,33.343796153599996
ID,2010,XALUMINE,Globe,1,1.6627808241899997
ID,2010,XCEMMINE,Globe,1,22.523181914600002
ID,2010,XPHOMINE,Globe,1,6.2555928897e-07
ID,2010,XPOTMINE,Globe,1,1.36841129694e-07
ID,2010,XSTEMINE,Globe,1,20.1451241685
ID,2011,ALUPLANT,Globe,1,1.95731401037
ID,2011,C1BFRDF00,Globe,1,0.26746388
ID,2011,C1BMBRFH1,Globe,1,8.053725606899999
ID,2011,C1BMBRFN1,Globe,1,1.011706416
ID,2011,C1BMCHP00,Globe,1,0.394348708008
ID,2011,C1BMLP000,Globe,1,3.0648526520799995
ID,2011,C1CO00I00,Globe,1,65.053150601
ID,2011,C1COBRFH1,Globe,1,2.8457856187200004
ID,2011,C1COCHP00,Globe,1,0.73492034736
ID,2011,C1COHTF03,Globe,1,17.9043130651
ID,2011,C1COIGP00,Globe,1,0.0433588464
ID,2011,C1COSCP00,Globe,1,16.3906315757
ID,2011,C1ELEFF00,Globe,1,36.266037028199996
ID,2011,C1ELRLF00,Globe,1,1.5150000184999999
ID,2011,C1GOCVP00,Globe,1,0.13874830847999997
ID,2011,C1GOHTF03,Globe,1,3.65073709337
ID,2011,C1HFGCPCH,Globe,1,0.12103621880899999
ID,2011,C1HFMRF00,Globe,1,42.168183
ID,2011,C1HTOOTFI,Globe,1,39.2482794554
ID,2011,C1HTOOTFR,Globe,1,2.5252769967999997
ID,2011,C1HYDMP00,Globe,1,5.3698928506
ID,2011,C1HYMIP00,Globe,1,0.47668717931999993
ID,2011,C1LFAVF00,Globe,1,0.19532746
ID,2011,C1LFBRFH1,Globe,1,7.2597162739
ID,2011,C1LFBRFN1,Globe,1,0.9394416720000001
ID,2011,C1LFCCP00,Globe,1,0.34454023320599997
ID,2011,C1LFRDF00,Globe,1,8.64647112
ID,2011,C1LFRLF00,Globe,1,3.377671
ID,2011,C1NG00I00,Globe,1,50.80227543699999
ID,2011,C1NGBRFH1,Globe,1,9.744177989299999
ID,2011,C1NGBRFN1,Globe,1,1.0839711600000002
ID,2011,C1NGCCP00,Globe,1,4.390022977379999
ID,2011,C1NGCCPCH,Globe,1,0.86417419223
ID,2011,C1NGGCP00,Globe,1,1.35579507705
ID,2011,C1NGGCPCH,Globe,1,0.8525358470499999
ID,2011,C1NGHTF03,Globe,1,8.974002089499999
ID,2011,C1NU00I00,Globe,1,10.720093925099999
ID,2011,C1NULWP00,Globe,1,3.86170532411
ID,2011,C1OCCVP00,Globe,1,0.0019077892416000002
ID,2011,C1OI00I00,Globe,1,77.06144929
ID,2011,C1OIHTF03,Globe,1,6.899837573799999
ID,2011,C1OIRFP00,Globe,1,14.174389477
ID,2011,C1OIRFP00,Globe,2,54.289580963
ID,2011,C1SOC1P00,Globe,1,0.042925257935999994
ID,2011,C1SOTHF00,Globe,1,0.51336873221
ID,2011,C1SOV1P00,Globe,1,0.21296420056799997
ID,2011,C1SOV2P00,Globe,1,0.162451144512
ID,2011,C1WDOFP00,Globe,1,0.022559607598600002
ID,2011,C1WDONP00,Globe,1,0.73726514765
ID,2011,CEMPLANT,Globe,1,5.228279067199999
ID,2011,FERTPLANT,Globe,1,0.000191542021158
ID,2011,LA,Globe,1,2535.23635993
ID,2011,LA1,Globe,1,751.3363783799999
ID,2011,LA1_i,Globe,1,183.900001565
ID,2011,LA1_i_PROD,Globe,1,183.900001565
ID,2011,LA1_PROD,Globe,1,751.3363783799999
ID,2011,LA2,Globe,1,1600.0000029
ID,2011,LA2_PROD,Globe,1,1600.0000029
ID,2011,LandRes,Globe,1,6152.2618219000005
ID,2011,LF,Globe,1,1833.2
ID,2011,LF1,Globe,1,588.9155
ID,2011,LF2,Globe,1,1244.2845
ID,2011,LF2_PROD,Globe,1,1244.2845
ID,2011,LO,Globe,1,1783.8255077999997
ID,2011,MFOOFACTOR,Globe,1,2.7757800645699997
ID,2011,PAPPLANT,Globe,1,3.0554699220099995
ID,2011,PETAPLANT,Globe,1,4.6792778308e-06
ID,2011,PETBPLANT,Globe,1,18.9610983274
ID,2011,STEPLANT,Globe,1,13.183952305699998
ID,2011,VFOOFACTOR,Globe,1,32.5222026602
ID,2011,XALUMINE,Globe,1,1.7014098771000001
ID,2011,XCEMMINE,Globe,1,21.8228362692
ID,2011,XPHOMINE,Globe,1,6.129343155499999e-07
ID,2011,XPOTMINE,Globe,1,1.3407941389399998e-07
ID,2011,XSTEMINE,Globe,1,20.2892457695
ID,2012,ALUPLANT,Globe,1,2.04495265702
ID,2012,C1BFRDF00,Globe,1,0.27805061
ID,2012,C1BMBRFH1,Globe,1,8.4195140855
ID,2012,C1BMBRFN1,Globe,1,1.011706416
ID,2012,C1BMCHP00,Globe,1,0.226705322391
ID,2012,C1BMLP000,Globe,1,3.16208855903
ID,2012,C1CO00I00,Globe,1,69.17928508
ID,2012,C1COBRFH1,Globe,1,2.99465099136
ID,2012,C1COCHP00,Globe,1,1.0150723086899998
ID,2012,C1COHTF03,Globe,1,18.0791934706
ID,2012,C1COIGP00,Globe,1,0.0433588464
ID,2012,C1COSCP00,Globe,1,12.221092878599999
ID,2012,C1ELEFF00,Globe,1,37.558033308
ID,2012,C1ELRLF00,Globe,1,1.55000002286
ID,2012,C1GOCVP00,Globe,1,0.135279600768
ID,2012,C1GOHTF03,Globe,1,2.1196219636299993
ID,2012,C1HFGCPCH,Globe,1,0.17380610447
ID,2012,C1HFMRF00,Globe,1,43.474337999999996
ID,2012,C1HTOOTFI,Globe,1,40.1484975219
ID,2012,C1HTOOTFR,Globe,1,1.8285669994699998
ID,2012,C1HYDMP00,Globe,1,5.6605971236
ID,2012,C1HYMIP00,Globe,1,0.47203332614
ID,2012,C1LFAVF00,Globe,1,0.21778416
ID,2012,C1LFBRFH1,Globe,1,6.844916734999999
ID,2012,C1LFBRFN1,Globe,1,1.1562359039999999
