REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,394.0825411184248
Globe,C1BFRDF00,6.287646504919667
Globe,C1BMBRFH1,168.10859494071593
Globe,C1BMBRFN1,1077.3331431682227
Globe,C1BMCHP00,77.50136662189182
Globe,C1BMHTF03,55.39168529758517
Globe,C1BMLP000,64.34472593389457
Globe,C1BMSCP00,5.147680300510065
Globe,C1CO00I00,13172.7028588224
Globe,C1COBRFH1,1757.4062026564795
Globe,C1COCHP00,51.6697522878402
Globe,C1COHTF03,4399.606509518226
Globe,C1COIGP00,3.5322918566405184
Globe,C1COLP000,762.3245702672266
Globe,C1COSCP00,2601.185800491997
Globe,C1ELEFF00,8431.576417307157
Globe,C1ELRDF00,1414.550008217833
Globe,C1ELRLF00,1018.5199999998581
Globe,C1GOCVP00,116.5797619200068
Globe,C1GOHTF03,845.7137360039735
Globe,C1HFGCP00,11.266958011800387
Globe,C1HFGCPCH,31.430840567012503
Globe,C1HFMRF00,14203.640000000307
Globe,C1HTOOTFI,6952.9231708214675
Globe,C1HTOOTFR,464.6740811513814
Globe,C1HYDMP00,1341.6271587909114
Globe,C1HYMIP00,44.84430300672189
Globe,C1LFAVF00,333.34720000002795
Globe,C1LFBRFH1,141.89723701887016
Globe,C1LFBRFN1,127.33716213920482
Globe,C1LFCCP00,31.8148421233173
Globe,C1LFRDF00,716.1689864567112
Globe,C1LFRLF00,145.3699999999565
Globe,C1NG00I00,7704.890735121878
Globe,C1NGBRFH1,338.95282812374677
Globe,C1NGBRFN1,957.1103996891615
Globe,C1NGCCP00,1115.4002061937665
Globe,C1NGCCPCH,1072.2811040451954
Globe,C1NGGCP00,49.580748399187456
Globe,C1NGGCPCH,246.67039870308824
Globe,C1NGHTF03,614.0796135777198
Globe,C1NGLP000,117.37663344805833
Globe,C1NU00I00,1077.2129559351854
Globe,C1NULWP00,396.4793175176563
Globe,C1OCCVP00,0.09886536000005554
Globe,C1OI00I00,8567.345481018054
Globe,C1OIHTF03,201.24052664985496
Globe,C1OIRFP00,8457.564062832304
Globe,C1SOC1P00,365.00786150174685
Globe,C1SOTHF00,117.30895111215347
Globe,C1SOV1P00,329.23240054404926
Globe,C1SOV2P00,341.7745674995335
Globe,C1WDOFP00,552.3942810195798
Globe,C1WDONP00,795.7155289104
Globe,CEMPLANT,704.4856847970448
Globe,DUMMYM,109.47009999999995
Globe,FERTPLANT,0.026954356309522292
Globe,LA,358093.3014184025
Globe,LA1,60999.56698385787
Globe,LA1_PROD,60999.566983857854
Globe,LA1_i,70609.64519508916
Globe,LA1_i_PROD,70609.64519508912
Globe,LA2,226484.0892394457
Globe,LA2_PROD,226484.08923944566
Globe,LF,197501.9658113612
Globe,LF1,78385.00000004053
Globe,LF2,119116.96581137314
Globe,LF2_PROD,119116.96581137314
Globe,LO,237899.99999999872
Globe,LandRes,793546.9999998142
Globe,MFOOFACTOR,406.9469899083544
Globe,PAPPLANT,420.8639696181785
Globe,PETAPLANT,0.0005425797871856147
Globe,PETBPLANT,3645.8461988912286
Globe,STEPLANT,1904.1896738650023
Globe,VFOOFACTOR,5189.699517908685
Globe,XALUMINE,425.08539237816996
Globe,XCEMMINE,3379.1517077297276
Globe,XPHOMINE,8.625394019047974e-05
Globe,XPOTMINE,1.8868049416664872e-05
Globe,XSTEMINE,2930.4241357490723
