REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2037,0.14393208914806835
Globe,ALUPLANT,2038,0.6310064553692589
Globe,ALUPLANT,2039,0.9230157134640544
Globe,ALUPLANT,2040,0.7582609247984471
Globe,ALUPLANT,2041,0.10555699387852063
Globe,ALUPLANT,2042,1.6741843969703163
Globe,ALUPLANT,2043,1.015004867676203
Globe,ALUPLANT,2044,3.5672590640116573
Globe,ALUPLANT,2045,7.018591579303555
Globe,ALUPLANT,2046,4.211538670531937
Globe,ALUPLANT,2047,2.8729079741060914
Globe,ALUPLANT,2048,3.0625689176132305
Globe,ALUPLANT,2049,3.243875905492001
Globe,ALUPLANT,2050,3.416356583443606
Globe,ALUPLANT,2051,2.751536179263644
Globe,ALUPLANT,2052,2.8578937808379616
Globe,ALUPLANT,2053,2.956926440305243
Globe,ALUPLANT,2054,3.047992087752207
Globe,ALUPLANT,2055,3.135922313926069
Globe,ALUPLANT,2056,1.7536405485735014
Globe,ALUPLANT,2057,0.7728384582482126
Globe,ALUPLANT,2059,3.31956305652947
Globe,ALUPLANT,2060,14.917522969636392
Globe,C1BMBRFH1,2054,1.9152640760718471
Globe,C1BMBRFH1,2055,2.3001668505952586
Globe,C1BMCHP00,2033,5.016415240729228
Globe,C1BMCHP00,2034,1.6955759980368088
Globe,C1BMCHP00,2049,0.6705765037221931
Globe,C1BMCHP00,2051,0.19414472458654927
Globe,C1BMCHP00,2052,1.1962130973159053
Globe,C1BMCHP00,2053,11.247064614874084
Globe,C1BMCHP00,2054,15.321114622026752
Globe,C1BMCHP00,2055,20.447405571345726
Globe,C1BMCHP00,2056,20.759871428425555
Globe,C1BMCHP00,2057,21.057457958977775
Globe,C1BMCHP00,2058,14.134164679725373
Globe,C1BMHTF03,2046,0.09729886912756937
Globe,C1BMHTF03,2047,0.2706975734698823
Globe,C1BMHTF03,2048,0.4386403011241933
Globe,C1BMHTF03,2049,0.4899486079310967
Globe,C1BMHTF03,2050,0.5388136620329066
Globe,C1CO00I00,2012,2.2529727461069988e-06
Globe,C1CO00I00,2013,4.3986610757326906e-06
Globe,C1CO00I00,2014,6.4421737706143406e-06
Globe,C1CO00I00,2015,8.388376337168285e-06
Globe,C1CO00I00,2016,1.0241902591029177e-05
Globe,C1CO00I00,2017,1.2007165689944285e-05
Globe,C1CO00I00,2018,1.3688368641292027e-05
Globe,C1CO00I00,2019,1.528951430924226e-05
Globe,C1CO00I00,2020,1.6814414945385356e-05
Globe,C1CO00I00,2021,1.8266701265521615e-05
Globe,C1CO00I00,2022,1.964983109422281e-05
Globe,C1CO00I00,2023,2.0967097597747793e-05
Globe,C1CO00I00,2024,2.222163712491438e-05
Globe,C1CO00I00,2025,2.3416436674596884e-05
Globe,C1CO00I00,2026,2.455434100762785e-05
Globe,C1CO00I00,2027,2.563805942003828e-05
Globe,C1CO00I00,2028,2.6670172193762504e-05
Globe,C1CO00I00,2029,2.7653136740166517e-05
Globe,C1CO00I00,2030,2.858929345102749e-05
Globe,C1CO00I00,2031,2.9480871270895104e-05
Globe,C1CO00I00,2032,3.0329993004102333e-05
Globe,C1CO00I00,2033,3.1138680369061606e-05
Globe,C1CO00I00,2034,3.190885881187993e-05
Globe,C1CO00I00,2035,3.264236209075457e-05
Globe,C1CO00I00,2036,3.334093664206372e-05
Globe,C1CO00I00,2037,3.400624573854863e-05
Globe,C1CO00I00,2038,3.4639873449486625e-05
Globe,C1CO00I00,2039,3.524332841228473e-05
Globe,C1CO00I00,2040,3.581804742447342e-05
Globe,C1CO00I00,2041,3.6365398864653134e-05
Globe,C1CO00I00,2042,3.688668595053853e-05
Globe,C1CO00I00,2043,3.7383149841857974e-05
Globe,C1CO00I00,2044,3.785597259549552e-05
Globe,C1CO00I00,2045,3.830627997991228e-05
Globe,C1CO00I00,2046,3.873514415554724e-05
Globe,C1CO00I00,2047,3.9143586227580586e-05
Globe,C1CO00I00,2048,3.953257867713613e-05
Globe,C1CO00I00,2049,3.9903047676712825e-05
Globe,C1CO00I00,2050,4.0255875295357306e-05
Globe,C1CO00I00,2051,4.059190159882823e-05
Globe,C1CO00I00,2052,4.091192664975294e-05
Globe,C1CO00I00,2053,4.121671241253837e-05
Globe,C1CO00I00,2054,4.1506984567572116e-05
Globe,C1CO00I00,2055,4.178343423903281e-05
Globe,C1CO00I00,2056,4.204671964042396e-05
Globe,C1CO00I00,2057,4.229746764174884e-05
Globe,C1CO00I00,2058,4.253627526205829e-05
Globe,C1CO00I00,2059,4.276371109092439e-05
Globe,C1CO00I00,2060,4.2980316642225486e-05
Globe,C1COBRFH1,2047,0.09113906782137869
