REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.0402509613209678
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.0203670575596557
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.038503961164597
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.0381775061236727
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.0653396667966686
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.0919952183007526
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.1181520561635272
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.143813141571884
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.1690021742245653
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.2123821390215483
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.328806336815027
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.3075966268011119
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.2861505083304436
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.2980626091611978
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.257824429149524
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.2246841691115489
Globe,ID,ALUPLANT,C1_F_CLS,2026,1.225871637410864
Globe,ID,ALUPLANT,C1_F_CLS,2027,1.2270048544137906
Globe,ID,ALUPLANT,C1_F_CLS,2028,1.2457079877376431
Globe,ID,ALUPLANT,C1_F_CLS,2029,1.2931079685414721
Globe,ID,ALUPLANT,C1_F_CLS,2030,1.2834250714125424
Globe,ID,ALUPLANT,C1_F_CLS,2031,1.2717551952064408
Globe,ID,ALUPLANT,C1_F_CLS,2032,1.2319779529974229
Globe,ID,ALUPLANT,C1_F_CLS,2033,1.2328380154191272
Globe,ID,ALUPLANT,C1_F_CLS,2034,1.233652925880425
Globe,ID,ALUPLANT,C1_F_CLS,2035,1.23443059319638
Globe,ID,ALUPLANT,C1_F_CLS,2036,1.2551651582374879
Globe,ID,ALUPLANT,C1_F_CLS,2037,1.2817578131544685
Globe,ID,ALUPLANT,C1_F_CLS,2038,1.258972261092888
Globe,ID,ALUPLANT,C1_F_CLS,2039,1.2371260396022175
Globe,ID,ALUPLANT,C1_F_CLS,2040,1.2377057320693612
Globe,ID,ALUPLANT,C1_F_CLS,2041,1.2382456460972606
Globe,ID,ALUPLANT,C1_F_CLS,2042,1.238746797205682
Globe,ID,ALUPLANT,C1_F_CLS,2043,1.2455783421619624
Globe,ID,ALUPLANT,C1_F_CLS,2044,1.320462712001947
Globe,ID,ALUPLANT,C1_F_CLS,2045,1.3528732691699479
Globe,ID,ALUPLANT,C1_F_CLS,2046,1.353272174147382
Globe,ID,ALUPLANT,C1_F_CLS,2047,1.3536298580636326
Globe,ID,ALUPLANT,C1_F_CLS,2048,1.3539565106358853
Globe,ID,ALUPLANT,C1_F_CLS,2049,1.3542406382760093
Globe,ID,ALUPLANT,C1_F_CLS,2050,1.3544976033183231
Globe,ID,ALUPLANT,C1_F_CLS,2051,1.3544976033183231
Globe,ID,ALUPLANT,C1_F_CLS,2052,1.3544976033183231
Globe,ID,ALUPLANT,C1_F_CLS,2053,1.3544976033183231
Globe,ID,ALUPLANT,C1_F_CLS,2054,1.3544976033183231
