REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.47011386
Globe,ALUPLANT,2012,0.81963942
Globe,ALUPLANT,2013,1.02507825
Globe,ALUPLANT,2014,1.21691361
Globe,ALUPLANT,2015,1.3244758699999999
Globe,ALUPLANT,2016,1.55520223
Globe,ALUPLANT,2017,1.82494617
Globe,ALUPLANT,2018,2.1649889
Globe,ALUPLANT,2019,2.70628447
Globe,ALUPLANT,2020,3.07969397
Globe,ALUPLANT,2021,3.26753334
Globe,ALUPLANT,2022,3.62421683
Globe,ALUPLANT,2023,3.85942964
Globe,ALUPLANT,2024,4.1622331500000005
Globe,ALUPLANT,2025,4.3972233
Globe,ALUPLANT,2026,4.3972233
Globe,ALUPLANT,2027,4.69698746
Globe,ALUPLANT,2028,5.16234032
Globe,ALUPLANT,2029,5.48102409
Globe,ALUPLANT,2030,5.74056251
Globe,ALUPLANT,2031,5.99864965
Globe,ALUPLANT,2032,6.2334211999999996
Globe,ALUPLANT,2033,6.51103437
Globe,ALUPLANT,2034,6.76518364
Globe,ALUPLANT,2035,6.94064268
Globe,ALUPLANT,2036,6.9922545
Globe,ALUPLANT,2037,7.203779389999999
Globe,ALUPLANT,2038,7.294792459999999
Globe,ALUPLANT,2039,7.38462458
Globe,ALUPLANT,2040,7.473343949999999
Globe,ALUPLANT,2041,7.56095292
Globe,ALUPLANT,2042,7.647436689999999
Globe,ALUPLANT,2043,7.73287876
Globe,ALUPLANT,2044,7.817235610000001
Globe,ALUPLANT,2045,7.900590210000001
Globe,ALUPLANT,2046,7.98292585
Globe,ALUPLANT,2047,8.06424037
Globe,ALUPLANT,2048,8.14460059
Globe,ALUPLANT,2049,8.223974980000001
Globe,ALUPLANT,2050,8.30243004
Globe,ALUPLANT,2051,8.30243004
Globe,ALUPLANT,2052,8.30243004
Globe,ALUPLANT,2053,8.30243004
Globe,ALUPLANT,2054,8.30243004
Globe,ALUPLANT,2055,8.302430039999999
Globe,ALUPLANT,2056,8.30243004
Globe,ALUPLANT,2057,8.30243004
Globe,ALUPLANT,2058,8.30243004
Globe,ALUPLANT,2059,8.302430039999999
Globe,ALUPLANT,2060,8.30243004
Globe,ALUPLANT,2061,8.30243004
Globe,ALUPLANT,2062,8.30243004
Globe,ALUPLANT,2063,8.30243004
Globe,ALUPLANT,2064,8.30243004
Globe,ALUPLANT,2065,8.30243004
Globe,ALUPLANT,2066,8.30243004
Globe,ALUPLANT,2067,8.30243004
Globe,ALUPLANT,2068,8.30243004
Globe,ALUPLANT,2069,8.30243004
Globe,ALUPLANT,2070,8.30243004
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2021,0.06490183599999999
Globe,C1BMBRFH1,2022,0.06490183599999999
Globe,C1BMBRFH1,2023,0.142581298
Globe,C1BMBRFH1,2024,0.17237150699999998
Globe,C1BMBRFH1,2025,0.18271149799999997
Globe,C1BMBRFH1,2026,0.20001715799999997
Globe,C1BMBRFH1,2027,0.20001715799999997
Globe,C1BMBRFH1,2028,0.20001715799999997
Globe,C1BMBRFH1,2029,0.20001715799999997
Globe,C1BMBRFH1,2030,0.20001715799999997
Globe,C1BMBRFH1,2031,0.20001715799999997
Globe,C1BMBRFH1,2032,0.20001715799999997
Globe,C1BMBRFH1,2033,0.20001715799999997
Globe,C1BMBRFH1,2034,0.20001715799999997
Globe,C1BMBRFH1,2035,0.20001715799999997
Globe,C1BMBRFH1,2036,0.135115322
Globe,C1BMBRFH1,2037,0.135115322
Globe,C1BMBRFH1,2038,0.05743586
Globe,C1BMBRFH1,2039,0.027645651
Globe,C1BMBRFH1,2040,0.01730566
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.0764057021
Globe,C1BMBRFN1,2016,0.11640570210000001
Globe,C1BMBRFN1,2017,0.15640570210000002
Globe,C1BMBRFN1,2018,0.19640570210000002
Globe,C1BMBRFN1,2019,0.2464057021
Globe,C1BMBRFN1,2020,0.2964057021
Globe,C1BMBRFN1,2021,0.3464057021
Globe,C1BMBRFN1,2022,0.3964057021
Globe,C1BMBRFN1,2023,0.44640570209999997
Globe,C1BMBRFN1,2024,0.49640570209999996
Globe,C1BMBRFN1,2025,0.4764057021
Globe,C1BMBRFN1,2026,0.5264057021
Globe,C1BMBRFN1,2027,0.5764057021000001
Globe,C1BMBRFN1,2028,0.6264057021000001
