REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.21924718
Globe,ALUPLANT,2012,0.34952556
Globe,ALUPLANT,2013,0.20543883
Globe,ALUPLANT,2014,0.19183536
Globe,ALUPLANT,2015,0.10756226
Globe,ALUPLANT,2016,0.23072636
Globe,ALUPLANT,2017,0.26974394
Globe,ALUPLANT,2018,0.34004273
Globe,ALUPLANT,2019,0.54129557
Globe,ALUPLANT,2020,0.3734095
Globe,ALUPLANT,2021,0.18783937
Globe,ALUPLANT,2022,0.35668349
Globe,ALUPLANT,2023,0.23521281
Globe,ALUPLANT,2024,0.30280351
Globe,ALUPLANT,2025,0.23499015
Globe,ALUPLANT,2027,0.29976416
Globe,ALUPLANT,2028,0.46535286
Globe,ALUPLANT,2029,0.31868377
Globe,ALUPLANT,2030,0.25953842
Globe,ALUPLANT,2031,0.25808714
Globe,ALUPLANT,2032,0.23477155
Globe,ALUPLANT,2033,0.27761317
Globe,ALUPLANT,2034,0.25414927
Globe,ALUPLANT,2035,0.42632572
Globe,ALUPLANT,2036,0.270859
Globe,ALUPLANT,2037,0.56105045
Globe,ALUPLANT,2038,0.29645190000000005
Globe,ALUPLANT,2039,0.28166748
Globe,ALUPLANT,2040,0.19628163
Globe,ALUPLANT,2041,0.31833533
Globe,ALUPLANT,2042,0.35622771
Globe,ALUPLANT,2043,0.4254848
Globe,ALUPLANT,2044,0.62565242
Globe,ALUPLANT,2045,0.45676409999999995
Globe,ALUPLANT,2046,0.27017501
Globe,ALUPLANT,2047,0.43799801
Globe,ALUPLANT,2048,0.31557303
Globe,ALUPLANT,2049,0.38217790000000007
Globe,ALUPLANT,2050,0.31344521
Globe,ALUPLANT,2052,0.29976416
Globe,ALUPLANT,2053,0.46535286
Globe,ALUPLANT,2054,0.31868377
Globe,ALUPLANT,2055,0.25953842
Globe,ALUPLANT,2056,0.25808714
Globe,ALUPLANT,2057,0.23477155
Globe,ALUPLANT,2058,0.27761317
Globe,ALUPLANT,2059,0.25414927
Globe,ALUPLANT,2060,0.42632572
Globe,ALUPLANT,2061,0.270859
Globe,ALUPLANT,2062,0.56105045
Globe,ALUPLANT,2063,0.29645190000000005
Globe,ALUPLANT,2064,0.28166748
Globe,ALUPLANT,2065,0.19628163
Globe,ALUPLANT,2066,0.31833533
Globe,ALUPLANT,2067,0.35622771
Globe,ALUPLANT,2068,0.4254848
Globe,ALUPLANT,2069,0.62565242
Globe,ALUPLANT,2070,0.45676409999999995
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354388
Globe,C1BMBRFH1,2021,0.06490183599999999
Globe,C1BMBRFH1,2023,0.077679462
Globe,C1BMBRFH1,2024,0.029790208999999998
Globe,C1BMBRFH1,2025,0.010339991
Globe,C1BMBRFH1,2026,0.01730566
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2015,0.0064057021
Globe,C1BMBRFN1,2016,0.04
Globe,C1BMBRFN1,2017,0.04
Globe,C1BMBRFN1,2018,0.04
Globe,C1BMBRFN1,2019,0.05
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2021,0.05
Globe,C1BMBRFN1,2022,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.05
Globe,C1BMBRFN1,2029,0.026202014
Globe,C1BMBRFN1,2030,0.037605836000000004
Globe,C1BMBRFN1,2031,0.05
Globe,C1BMBRFN1,2032,0.05
Globe,C1BMBRFN1,2033,0.05
Globe,C1BMBRFN1,2034,0.05
Globe,C1BMBRFN1,2035,0.05
Globe,C1BMBRFN1,2036,0.05
Globe,C1BMBRFN1,2037,0.05
Globe,C1BMBRFN1,2038,0.05
Globe,C1BMBRFN1,2039,0.05
Globe,C1BMBRFN1,2040,0.05
Globe,C1BMBRFN1,2041,0.05
Globe,C1BMBRFN1,2042,0.05
Globe,C1BMBRFN1,2043,0.03565779
