REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.2099667
Globe,IN,ALUPLANT,1,2010,4.2099667
Globe,ID,ALUPLANT,1,2011,4.2708139
Globe,IN,ALUPLANT,1,2011,4.2708139
Globe,IP,ALUPLANT,1,2011,0.79527345
Globe,ID,ALUPLANT,1,2012,4.4620394
Globe,IN,ALUPLANT,1,2012,4.4620394
Globe,IP,ALUPLANT,1,2012,0.13487759
Globe,ID,ALUPLANT,1,2013,4.5090782
Globe,IN,ALUPLANT,1,2013,4.5090782
Globe,IP,ALUPLANT,1,2013,1.0374497999999999
Globe,ID,ALUPLANT,1,2014,4.5425135999999995
Globe,IN,ALUPLANT,1,2014,4.5425135999999995
Globe,IP,ALUPLANT,1,2014,2.0677763
Globe,ID,ALUPLANT,1,2015,4.4917759
Globe,IN,ALUPLANT,1,2015,4.4917759
Globe,IP,ALUPLANT,1,2015,4.0024352
Globe,ID,ALUPLANT,1,2016,4.564102200000001
Globe,IN,ALUPLANT,1,2016,4.564102200000001
Globe,IP,ALUPLANT,1,2016,4.564102200000001
Globe,ID,ALUPLANT,1,2017,4.6755462
Globe,IN,ALUPLANT,1,2017,4.6755462
Globe,IP,ALUPLANT,1,2017,4.6755462
Globe,ID,ALUPLANT,1,2018,4.857188900000001
Globe,IN,ALUPLANT,1,2018,4.857188900000001
Globe,IP,ALUPLANT,1,2018,3.9960398
Globe,ID,ALUPLANT,1,2019,5.2400845
Globe,IN,ALUPLANT,1,2019,5.2400845
Globe,IP,ALUPLANT,1,2019,1.0852926
Globe,ID,ALUPLANT,1,2020,5.4551940000000005
Globe,IN,ALUPLANT,1,2020,5.4551940000000005
Globe,ID,ALUPLANT,1,2021,5.4846334
Globe,IN,ALUPLANT,1,2021,5.4846334
Globe,IP,ALUPLANT,1,2021,0.93697635
Globe,ID,ALUPLANT,1,2022,5.6829168
Globe,IN,ALUPLANT,1,2022,5.6829168
Globe,ID,ALUPLANT,1,2023,5.7598297
Globe,IN,ALUPLANT,1,2023,5.7598297
Globe,IP,ALUPLANT,1,2023,0.37959561
Globe,ID,ALUPLANT,1,2024,5.9042332
Globe,IN,ALUPLANT,1,2024,5.9042332
Globe,ID,ALUPLANT,1,2025,5.9808233
Globe,IN,ALUPLANT,1,2025,5.9808233
Globe,IP,ALUPLANT,1,2025,0.34909755
Globe,ID,ALUPLANT,1,2026,5.8225233
Globe,IN,ALUPLANT,1,2026,5.8225233
Globe,IP,ALUPLANT,1,2026,3.2631712999999998
Globe,ID,ALUPLANT,1,2027,5.9638875
Globe,IN,ALUPLANT,1,2027,5.9638875
Globe,IP,ALUPLANT,1,2027,2.8674161
Globe,ID,ALUPLANT,1,2028,6.2708403
Globe,IN,ALUPLANT,1,2028,6.2708403
Globe,IP,ALUPLANT,1,2028,0.63615547
Globe,ID,ALUPLANT,1,2029,6.4312241
Globe,IN,ALUPLANT,1,2029,6.4312241
Globe,ID,ALUPLANT,1,2030,6.5323625
Globe,IN,ALUPLANT,1,2030,6.5323625
Globe,ID,ALUPLANT,1,2031,6.6321497
Globe,IN,ALUPLANT,1,2031,6.6321497
Globe,ID,ALUPLANT,1,2032,6.7085212
Globe,IN,ALUPLANT,1,2032,6.7085212
Globe,IP,ALUPLANT,1,2032,0.24241407
Globe,ID,ALUPLANT,1,2033,6.8277344
Globe,IN,ALUPLANT,1,2033,6.8277344
Globe,ID,ALUPLANT,1,2034,6.9235837
Globe,IN,ALUPLANT,1,2034,6.9235837
Globe,ID,ALUPLANT,1,2035,6.9406427
Globe,IN,ALUPLANT,1,2035,6.9406427
Globe,IP,ALUPLANT,1,2035,0.85251618
Globe,ID,ALUPLANT,1,2036,6.9922545
Globe,IN,ALUPLANT,1,2036,6.9922545
Globe,IP,ALUPLANT,1,2036,1.3117513
Globe,ID,ALUPLANT,1,2037,7.203779400000001
Globe,IN,ALUPLANT,1,2037,7.203779400000001
Globe,ID,ALUPLANT,1,2038,7.294792500000001
Globe,IN,ALUPLANT,1,2038,7.294792500000001
Globe,ID,ALUPLANT,1,2039,7.3846245999999995
Globe,IN,ALUPLANT,1,2039,7.3846245999999995
Globe,ID,ALUPLANT,1,2040,7.473344
Globe,IN,ALUPLANT,1,2040,7.473344
Globe,ID,ALUPLANT,1,2041,7.560952900000001
Globe,IN,ALUPLANT,1,2041,7.560952900000001
Globe,ID,ALUPLANT,1,2042,7.6474367
Globe,IN,ALUPLANT,1,2042,7.6474367
Globe,ID,ALUPLANT,1,2043,7.7328788
Globe,IN,ALUPLANT,1,2043,7.7328788
Globe,ID,ALUPLANT,1,2044,7.8172356
Globe,IN,ALUPLANT,1,2044,7.8172356
Globe,ID,ALUPLANT,1,2045,7.9005902
Globe,IN,ALUPLANT,1,2045,7.9005902
Globe,ID,ALUPLANT,1,2046,7.982925900000001
Globe,IN,ALUPLANT,1,2046,7.982925900000001
Globe,ID,ALUPLANT,1,2047,8.064240400000001
Globe,IN,ALUPLANT,1,2047,8.064240400000001
Globe,ID,ALUPLANT,1,2048,8.144600599999999
Globe,IN,ALUPLANT,1,2048,8.144600599999999
Globe,ID,ALUPLANT,1,2049,8.223975
Globe,IN,ALUPLANT,1,2049,8.223975
Globe,ID,ALUPLANT,1,2050,8.302430000000001
Globe,IN,ALUPLANT,1,2050,8.302430000000001
Globe,ID,ALUPLANT,1,2051,8.302430000000001
Globe,IN,ALUPLANT,1,2051,8.302430000000001
Globe,ID,ALUPLANT,1,2052,8.302430000000001
Globe,IN,ALUPLANT,1,2052,8.302430000000001
Globe,ID,ALUPLANT,1,2053,8.302430000000001
Globe,IN,ALUPLANT,1,2053,8.302430000000001
Globe,ID,ALUPLANT,1,2054,8.302430000000001
Globe,IN,ALUPLANT,1,2054,8.302430000000001
Globe,ID,ALUPLANT,1,2055,8.302430000000001
Globe,IN,ALUPLANT,1,2055,8.302430000000001
Globe,ID,ALUPLANT,1,2056,8.302430000000001
