TIMESLICE,YEAR,TECHNOLOGY,MODE_OF_OPERATION,REGION,VALUE
ID,2010,ALUPLANT,1,Globe,1.9294277386099998
ID,2010,C1BFRDF00,1,Globe,0.098621416595
ID,2010,C1BFRDF00,2,Globe,0.15830156340499998
ID,2010,C1BMBRFH1,1,Globe,10.3899882262
ID,2010,C1BMBRFN1,1,Globe,1.011706416
ID,2010,C1BMLP000,1,Globe,1.1386367256999999
ID,2010,C1CO00I00,1,Globe,63.81717508
ID,2010,C1COBRFH1,1,Globe,2.69836554096
ID,2010,C1COCHP00,1,Globe,1.0720474772399997
ID,2010,C1COHTF03,1,Globe,17.727987181400003
ID,2010,C1COIGP00,1,Globe,0.0433588464
ID,2010,C1COSCP00,1,Globe,14.6371436947
ID,2010,C1ELEFF00,1,Globe,34.9874955198
ID,2010,C1ELRLF00,1,Globe,2.96999999679
ID,2010,C1GOCVP00,1,Globe,0.11118559193699999
ID,2010,C1GOHTF03,1,Globe,2.3624143172200003
ID,2010,C1HFGCPCH,1,Globe,0.06824358771899999
ID,2010,C1HFMRF00,1,Globe,40.862027999999995
ID,2010,C1HTOOTFI,1,Globe,38.341666270699996
ID,2010,C1HTOOTFR,1,Globe,2.5388720538299996
ID,2010,C1HYDMP00,1,Globe,5.322110950899999
ID,2010,C1HYMIP00,1,Globe,0.46097133904
ID,2010,C1LFAVF00,1,Globe,0.17479562
ID,2010,C1LFBRFH1,1,Globe,7.242372827
ID,2010,C1LFBRFN1,1,Globe,0.7226474399999999
ID,2010,C1LFCCP00,1,Globe,0.233352143534
ID,2010,C1LFRDF00,1,Globe,8.5085109042
ID,2010,C1LFRLF00,1,Globe,3.171436
ID,2010,C1NG00I00,1,Globe,49.512623819999995
ID,2010,C1NGBRFH1,1,Globe,9.6141014501
ID,2010,C1NGBRFN1,1,Globe,0.7226474399999999
ID,2010,C1NGCCP00,1,Globe,5.056364320999999
ID,2010,C1NGCCPCH,1,Globe,1.09379917435
ID,2010,C1NGGCP00,1,Globe,1.15999368902
ID,2010,C1NGGCPCH,1,Globe,1.07963527536
ID,2010,C1NGHTF03,1,Globe,9.1458260923
