REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554772199997
Globe,ALUPLANT,2011,3.98095382647
Globe,ALUPLANT,2012,4.1011541050460005
Globe,ALUPLANT,2013,4.21954439144
Globe,ALUPLANT,2014,4.33612050918
Globe,ALUPLANT,2015,4.4509648856199995
Globe,ALUPLANT,2016,4.564102200000001
Globe,ALUPLANT,2017,4.6755462
Globe,ALUPLANT,2018,4.785369065060001
Globe,ALUPLANT,2019,4.89357485554
Globe,ALUPLANT,2020,5.0002308204000006
Globe,ALUPLANT,2021,5.10535880203
Globe,ALUPLANT,2022,5.20896153888
Globe,ALUPLANT,2023,5.311118176894
Globe,ALUPLANT,2024,5.41182015112
Globe,ALUPLANT,2025,5.51113737245
Globe,ALUPLANT,2026,5.6090733432
Globe,ALUPLANT,2027,5.70564178524
Globe,ALUPLANT,2028,5.800907585177999
Globe,ALUPLANT,2029,5.8948600100599995
Globe,ALUPLANT,2030,5.987563467499999
Globe,ALUPLANT,2031,6.07902841502
Globe,ALUPLANT,2032,6.169247865357999
Globe,ALUPLANT,2033,6.258301351039999
Globe,ALUPLANT,2034,6.34615681942
Globe,ALUPLANT,2035,6.432892948231999
Globe,ALUPLANT,2036,6.51850053312
Globe,ALUPLANT,2037,6.602984198040001
Globe,ALUPLANT,2038,6.686406805500001
Globe,ALUPLANT,2039,6.768746908359999
Globe,ALUPLANT,2040,6.8500671103999995
Globe,ALUPLANT,2041,6.930369428140001
Globe,ALUPLANT,2042,7.00964047922
Globe,ALUPLANT,2043,7.08795670808
Globe,ALUPLANT,2044,7.16527815096
Globe,ALUPLANT,2045,7.24168097732
Globe,ALUPLANT,2046,7.3171498799400005
Globe,ALUPLANT,2047,7.39168275064
Globe,ALUPLANT,2048,7.465340909959998
Globe,ALUPLANT,2049,7.5380954849999995
Globe,ALUPLANT,2050,7.610007338000001
Globe,ALUPLANT,2051,7.610007338000001
Globe,ALUPLANT,2052,7.610007338000001
Globe,ALUPLANT,2053,7.610007338000001
Globe,ALUPLANT,2054,7.610007338000001
Globe,ALUPLANT,2055,7.610007338000001
Globe,ALUPLANT,2056,7.610007338000001
Globe,ALUPLANT,2057,7.610007338000001
Globe,ALUPLANT,2058,7.610007338000001
Globe,ALUPLANT,2059,7.610007338000001
Globe,ALUPLANT,2060,7.610007338000001
Globe,ALUPLANT,2061,7.610007338000001
Globe,ALUPLANT,2062,7.610007338000001
Globe,ALUPLANT,2063,7.610007338000001
Globe,ALUPLANT,2064,7.610007338000001
Globe,ALUPLANT,2065,7.610007338000001
Globe,ALUPLANT,2066,7.610007338000001
Globe,ALUPLANT,2067,7.610007338000001
Globe,ALUPLANT,2068,7.610007338000001
Globe,ALUPLANT,2069,7.610007338000001
Globe,ALUPLANT,2070,7.610007338000001
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.566799996738
Globe,C1BFRDF00,2014,0.5288000020019998
Globe,C1BFRDF00,2015,0.492699999746
Globe,C1BFRDF00,2016,0.4548999978369999
Globe,C1BFRDF00,2017,0.419799998108
Globe,C1BFRDF00,2018,0.38710000098499997
Globe,C1BFRDF00,2019,0.356799996522
Globe,C1BFRDF00,2020,0.32870000114
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2024,0.0376527524605
Globe,C1BFRDF00,2025,0.407582248832
Globe,C1BFRDF00,2026,0.25662540581
Globe,C1BFRDF00,2027,0.310840870497
Globe,C1BFRDF00,2028,0.18989841116029998
Globe,C1BFRDF00,2029,0.213125068451
Globe,C1BFRDF00,2030,0.188830997921
Globe,C1BFRDF00,2031,0.0354853793491
Globe,C1BFRDF00,2032,0.0031856439874500004
Globe,C1BFRDF00,2033,0.0316181683296
Globe,C1BMBRFH1,2010,22.6014539826
Globe,C1BMBRFH1,2011,17.42938527538
Globe,C1BMBRFH1,2012,16.66268933492
Globe,C1BMBRFH1,2013,15.610246735859999
Globe,C1BMBRFH1,2014,14.277411628379998
