REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,394.082540390278
Globe,C1BFRDF00,7.480988819875949
Globe,C1BMBRFH1,258.7076190939299
Globe,C1BMBRFN1,1115.0642664870597
Globe,C1BMCHP00,415.563677794052
Globe,C1BMHTF03,55.421621268577
Globe,C1BMLP000,76.2821391212159
Globe,C1BMSCP00,4.868952548632
Globe,C1CO00I00,13495.986122867003
Globe,C1COBRFH1,1751.574379488541
Globe,C1COCHP00,51.78188008299196
Globe,C1COHTF03,4403.456305644438
Globe,C1COIGP00,3.3528873336258
Globe,C1COLP000,944.9929775651788
Globe,C1COSCP00,2688.9978328551
Globe,C1ELEFF00,8405.7343601535
Globe,C1ELRDF00,1352.0828347879399
Globe,C1ELRLF00,1018.5200035028222
Globe,C1GOCVP00,116.42657263041107
Globe,C1GOHTF03,207.62445323384412
Globe,C1HFGCP00,11.266958022996002
Globe,C1HFGCPCH,35.5977784945664
Globe,C1HFMRF00,14203.639999999996
Globe,C1HTOOTFI,6952.923062006396
Globe,C1HTOOTFR,457.8211291920698
Globe,C1HYDMP00,1338.6278371840983
Globe,C1HYMIP00,44.84430307868702
Globe,C1LFAVF00,333.34720010305983
Globe,C1LFBRFH1,140.4009729655463
Globe,C1LFBRFN1,116.82946691508
Globe,C1LFCCP00,34.74232791504999
Globe,C1LFRDF00,777.4421466730599
Globe,C1LFRLF00,145.36999991177802
Globe,C1NG00I00,7708.333455519501
Globe,C1NGBRFH1,273.03280890161534
Globe,C1NGBRFN1,949.7740349431424
Globe,C1NGCCP00,1204.295429957373
Globe,C1NGCCPCH,1032.6624743855698
Globe,C1NGGCP00,53.533505589179995
Globe,C1NGGCPCH,249.38508826328984
Globe,C1NGHTF03,636.7840155543407
Globe,C1NGLP000,149.993927009195
Globe,C1NU00I00,961.5783860709455
Globe,C1NULWP00,353.62684028337964
Globe,C1OCCVP00,0.09886536033450005
Globe,C1OI00I00,8565.486684395999
Globe,C1OIHTF03,203.55954414567995
Globe,C1OIRFP00,8456.697220532382
Globe,C1SOC1P00,334.15394912748684
Globe,C1SOTHF00,117.30895115348787
Globe,C1SOV1P00,217.31523899458747
Globe,C1SOV2P00,255.96039610096847
Globe,C1WDOFP00,311.492733198
Globe,C1WDONP00,751.4674284000001
Globe,CEMPLANT,704.4856916837805
Globe,DUMMYM,109.47009999999992
Globe,FERTPLANT,0.015946234756986
Globe,LA,233230.22070176
Globe,LA1,34661.8289706126
Globe,LA1_PROD,34661.8289706126
Globe,LA1_i,43198.364717243996
Globe,LA1_i_PROD,43198.364717243996
Globe,LA2,155370.02673984
Globe,LA2_PROD,155370.02673984
Globe,LF,322362.18932437996
Globe,LF1,78385.00010866461
Globe,LF2,243977.18922563997
Globe,LF2_PROD,243977.18922563997
Globe,LO,237900.00012577
Globe,LandRes,793547.0012598804
Globe,MFOOFACTOR,351.06136163262
Globe,PAPPLANT,420.8639688101395
Globe,PETAPLANT,0.00033327326538143995
Globe,PETBPLANT,3645.846199180598
Globe,STEPLANT,1904.1896728951185
Globe,VFOOFACTOR,4600.573841642799
Globe,XALUMINE,440.7211466215041
Globe,XCEMMINE,3379.151696102798
Globe,XPHOMINE,5.567088624460699e-05
Globe,XPOTMINE,1.1296905090695001e-05
Globe,XSTEMINE,3028.705189336756
