REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.829089427814225
Globe,CO2EQ,2011,36.0250481169686
Globe,CO2EQ,2012,36.28445213554239
Globe,CO2EQ,2013,36.54245073123542
Globe,CO2EQ,2014,36.7981155254747
Globe,CO2EQ,2015,37.079010688445564
Globe,CO2EQ,2016,37.37797611527194
Globe,CO2EQ,2017,37.67044892936393
Globe,CO2EQ,2018,37.96942283480371
Globe,CO2EQ,2019,38.261891618558856
Globe,CO2EQ,2020,38.57529441843439
Globe,CO2EQ,2021,38.221875269161174
Globe,CO2EQ,2022,38.030420309939686
Globe,CO2EQ,2023,38.23777325505411
Globe,CO2EQ,2024,38.416193430753694
Globe,CO2EQ,2025,39.04738905803071
Globe,CO2EQ,2026,39.01001732196965
Globe,CO2EQ,2027,39.29633075014843
Globe,CO2EQ,2028,39.529131492515816
Globe,CO2EQ,2029,39.93056071443342
Globe,CO2EQ,2030,40.148760235554825
Globe,CO2EQ,2031,40.52615400444868
Globe,CO2EQ,2032,40.938741982229466
Globe,CO2EQ,2033,41.35877636815322
Globe,CO2EQ,2034,41.88363276041902
Globe,CO2EQ,2035,42.743561656551215
Globe,CO2EQ,2036,43.27592919422543
Globe,CO2EQ,2037,43.77375521990257
Globe,CO2EQ,2038,44.0944431407804
Globe,CO2EQ,2039,44.30287667994997
Globe,CO2EQ,2040,44.41589502293796
Globe,CO2EQ,2041,44.4209112315343
Globe,CO2EQ,2042,44.66912412176721
Globe,CO2EQ,2043,44.77235867689805
Globe,CO2EQ,2044,44.75558023398856
Globe,CO2EQ,2045,45.05134822883536
Globe,CO2EQ,2046,45.34942073660423
Globe,CO2EQ,2047,45.58124395437002
Globe,CO2EQ,2048,45.77427440430799
Globe,CO2EQ,2049,45.91758688496013
Globe,CO2EQ,2050,45.94697173907495
Globe,CO2EQ,2051,45.694468402775435
Globe,CO2EQ,2052,45.51149005647166
Globe,CO2EQ,2053,45.0955667829692
Globe,CO2EQ,2054,44.5079691495817
Globe,CO2EQ,2055,43.849601451863236
Globe,CO2EQ,2056,43.4271733881287
Globe,CO2EQ,2057,43.05524061442461
Globe,CO2EQ,2058,42.654131636768454
Globe,CO2EQ,2059,42.26989828440199
Globe,CO2EQ,2060,40.82870701869546
Globe,CO2EQ,2061,40.62772579344665
Globe,CO2EQ,2062,40.412030181630065
Globe,CO2EQ,2063,40.20927264068311
Globe,CO2EQ,2064,40.057550118562496
Globe,CO2EQ,2065,39.94730704267612
Globe,CO2EQ,2066,39.82634627686787
Globe,CO2EQ,2067,39.713885005162076
Globe,CO2EQ,2068,39.66031411446951
Globe,CO2EQ,2069,39.60425305718714
Globe,CO2EQ,2070,39.66510294061888
Globe,WATER,2010,21.8934163495357
Globe,WATER,2011,21.9868356448987
Globe,WATER,2012,22.065032807525128
Globe,WATER,2013,22.119095400597466
Globe,WATER,2014,22.190240492064444
Globe,WATER,2015,22.246384669158907
Globe,WATER,2016,22.3049549584777
Globe,WATER,2017,22.36684689123999
Globe,WATER,2018,22.39217245669546
Globe,WATER,2019,22.4288604749377
Globe,WATER,2020,22.896996493506908
Globe,WATER,2021,24.086943314177944
Globe,WATER,2022,25.363303683520577
Globe,WATER,2023,26.15448148902496
Globe,WATER,2024,27.005826012974413
Globe,WATER,2025,28.0718740871391
Globe,WATER,2026,29.500030474349394
Globe,WATER,2027,30.611348345331862
Globe,WATER,2028,31.76885844399552
Globe,WATER,2029,32.99543282715854
Globe,WATER,2030,34.271886860387525
Globe,WATER,2031,35.59086500080917
Globe,WATER,2032,36.9769598597865
Globe,WATER,2033,38.34319329060161
Globe,WATER,2034,39.74984121279256
Globe,WATER,2035,41.53695328720475
Globe,WATER,2036,43.18596020398546
Globe,WATER,2037,44.90981150972361
Globe,WATER,2038,46.72397422682628
Globe,WATER,2039,48.61081428101211
Globe,WATER,2040,50.585498283627274
Globe,WATER,2041,51.387574821794416
Globe,WATER,2042,50.69653655463972
Globe,WATER,2043,49.927700441455215
Globe,WATER,2044,49.38074243487237
Globe,WATER,2045,48.76015091162563
Globe,WATER,2046,48.17410958369028
Globe,WATER,2047,47.60521272593272
Globe,WATER,2048,47.05700398308318
Globe,WATER,2049,46.51495861529446
Globe,WATER,2050,45.98943517507855
Globe,WATER,2051,46.08281666763865
Globe,WATER,2052,46.14308275942309
Globe,WATER,2053,46.1992606600075
Globe,WATER,2054,46.25472396993438
Globe,WATER,2055,46.30868338319301
Globe,WATER,2056,46.372361970646054
Globe,WATER,2057,46.426289990115535
Globe,WATER,2058,46.477301954240176
Globe,WATER,2059,46.52899723765361
Globe,WATER,2060,46.504479315540145
Globe,WATER,2061,46.520956582515694
Globe,WATER,2062,46.55312236812654
Globe,WATER,2063,46.58789837654741
Globe,WATER,2064,46.62286746506317
Globe,WATER,2065,46.64904010876603
Globe,WATER,2066,46.66796777647463
Globe,WATER,2067,46.68799680318226
Globe,WATER,2068,46.71254206046624
Globe,WATER,2069,46.73745833564167
Globe,WATER,2070,46.76286238712997
