REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,4.625561028399999
Globe,C1BMBRFH1,2022,3.7433810283999995
Globe,C1BMBRFH1,2023,4.1739839362
Globe,C1BMBRFH1,2024,3.7952584682999992
Globe,C1BMBRFH1,2025,3.0878243161999994
Globe,C1BMBRFH1,2026,3.3802899701999993
Globe,C1BMBRFH1,2027,3.3802899701999993
Globe,C1BMBRFH1,2028,3.3802899701999993
Globe,C1BMBRFH1,2029,3.3802899701999993
Globe,C1BMBRFH1,2030,3.3802899701999993
Globe,C1BMBRFH1,2031,3.3802899701999993
Globe,C1BMBRFH1,2032,3.3802899701999993
Globe,C1BMBRFH1,2033,3.3802899701999993
Globe,C1BMBRFH1,2034,3.3802899701999993
Globe,C1BMBRFH1,2035,3.3802899701999993
Globe,C1BMBRFH1,2036,2.2834489418
Globe,C1BMBRFH1,2037,2.2834489418
Globe,C1BMBRFH1,2038,0.9706660339999998
Globe,C1BMBRFH1,2039,0.4672115019
Globe,C1BMBRFH1,2040,0.29246565399999996
Globe,C1BMBRFN1,2010,1.183
Globe,C1BMBRFN1,2011,1.183
Globe,C1BMBRFN1,2012,1.183
Globe,C1BMBRFN1,2013,1.183
Globe,C1BMBRFN1,2014,1.183
Globe,C1BMBRFN1,2015,1.29125636549
Globe,C1BMBRFN1,2016,1.96725636549
Globe,C1BMBRFN1,2017,2.64325636549
Globe,C1BMBRFN1,2018,3.3192563654900002
Globe,C1BMBRFN1,2019,4.16425636549
Globe,C1BMBRFN1,2020,5.00925636549
Globe,C1BMBRFN1,2021,5.8542563654899995
Globe,C1BMBRFN1,2022,6.699256365489999
Globe,C1BMBRFN1,2023,7.544256365489999
Globe,C1BMBRFN1,2024,8.389256365489999
Globe,C1BMBRFN1,2025,8.05125636549
Globe,C1BMBRFN1,2026,8.89625636549
Globe,C1BMBRFN1,2027,9.74125636549
Globe,C1BMBRFN1,2028,10.586256365490001
Globe,C1BMBRFN1,2029,11.029070402090001
Globe,C1BMBRFN1,2030,11.556352665
Globe,C1BMBRFN1,2031,11.725352665
Globe,C1BMBRFN1,2032,11.894352665000001
Globe,C1BMBRFN1,2033,12.063352665000002
Globe,C1BMBRFN1,2034,12.063352665000004
Globe,C1BMBRFN1,2035,12.063352665000004
Globe,C1BMBRFN1,2036,12.063352665000004
Globe,C1BMBRFN1,2037,12.063352665000004
Globe,C1BMBRFN1,2038,12.063352665000004
Globe,C1BMBRFN1,2039,12.063352665000004
Globe,C1BMBRFN1,2040,12.063352665000004
Globe,C1BMBRFN1,2041,12.063352665000004
Globe,C1BMBRFN1,2042,12.063352665000004
Globe,C1BMBRFN1,2043,11.820969316000003
Globe,C1BMBRFN1,2044,11.8303622853
Globe,C1BMBRFN1,2045,12.039823656900001
Globe,C1BMBRFN1,2046,12.039823656900001
Globe,C1BMBRFN1,2047,12.039823656900001
Globe,C1BMBRFN1,2048,12.039823656900003
Globe,C1BMBRFN1,2049,12.039823656900003
Globe,C1BMBRFN1,2050,12.039823656900003
Globe,C1BMBRFN1,2051,12.039823656900003
Globe,C1BMBRFN1,2052,12.039823656900003
Globe,C1BMBRFN1,2053,12.039823656900003
Globe,C1BMBRFN1,2054,12.039823656900003
Globe,C1BMBRFN1,2055,12.039823656900003
Globe,C1BMBRFN1,2056,12.039823656900003
Globe,C1BMBRFN1,2057,12.039823656900003
Globe,C1BMBRFN1,2058,12.282207005900004
Globe,C1BMBRFN1,2059,12.675000000000002
Globe,C1BMBRFN1,2060,12.675000000000002
Globe,C1BMBRFN1,2061,12.675000000000002
Globe,C1BMBRFN1,2062,12.675000000000002
Globe,C1BMBRFN1,2063,12.675000000000002
Globe,C1BMBRFN1,2064,12.675000000000002
Globe,C1BMBRFN1,2065,12.667055800100002
Globe,C1BMBRFN1,2066,12.439021210200002
Globe,C1BMBRFN1,2067,12.140694450300002
Globe,C1BMBRFN1,2068,12.140694450300002
Globe,C1BMBRFN1,2069,12.140694450300002
Globe,C1BMBRFN1,2070,11.829541519900001
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.2032
Globe,C1BMCHP00,2017,2.2842000000000002
Globe,C1BMCHP00,2018,2.3733
Globe,C1BMCHP00,2019,2.4543
Globe,C1BMCHP00,2020,3.1833
Globe,C1BMCHP00,2021,3.9123
Globe,C1BMCHP00,2022,4.649400000000001
Globe,C1BMCHP00,2023,5.378400000000001
Globe,C1BMCHP00,2024,6.107399999999999
Globe,C1BMCHP00,2025,6.8445
Globe,C1BMCHP00,2026,7.5735
Globe,C1BMCHP00,2027,8.3025
Globe,C1BMCHP00,2028,9.0315
Globe,C1BMCHP00,2029,9.7686
Globe,C1BMCHP00,2030,10.3767288273
Globe,C1BMCHP00,2031,12.7257288273
Globe,C1BMCHP00,2032,13.7875871493
Globe,C1BMCHP00,2033,14.433382394099999
Globe,C1BMCHP00,2034,16.782382394099997
Globe,C1BMCHP00,2035,19.1313823941
Globe,C1BMCHP00,2036,21.488482394099996
Globe,C1BMCHP00,2037,23.8374823941
Globe,C1BMCHP00,2038,26.186482394100008
Globe,C1BMCHP00,2039,28.543582394100007
Globe,C1BMCHP00,2040,29.904850250099997
Globe,C1BMCHP00,2041,31.516983611099995
Globe,C1BMCHP00,2042,32.16699053999999
Globe,C1BMCHP00,2043,33.347413016999994
Globe,C1BMCHP00,2044,33.88582554119999
Globe,C1BMCHP00,2045,33.998894332199995
Globe,C1BMCHP00,2046,34.5703169889
Globe,C1BMCHP00,2047,35.08398474209999
Globe,C1BMCHP00,2048,35.6354605737
Globe,C1BMCHP00,2049,36.16301087640001
Globe,C1BMCHP00,2050,36.6865547976
Globe,C1BMCHP00,2051,36.6865547976
Globe,C1BMCHP00,2052,36.54644411124001
Globe,C1BMCHP00,2053,36.50126611014
Globe,C1BMCHP00,2054,36.45608810904
Globe,C1BMCHP00,2055,36.41091010794
Globe,C1BMCHP00,2056,36.366385922640006
Globe,C1BMCHP00,2057,36.32120792154
Globe,C1BMCHP00,2058,35.71597319184
Globe,C1BMCHP00,2059,35.20214735094
Globe,C1BMCHP00,2060,35.90284473594
Globe,C1BMCHP00,2061,35.69992504254
Globe,C1BMCHP00,2062,35.906113782540004
Globe,C1BMCHP00,2063,35.85766671864
Globe,C1BMCHP00,2064,35.85962813364
Globe,C1BMCHP00,2065,35.86093575714
Globe,C1BMCHP00,2066,35.812488685139996
Globe,C1BMCHP00,2067,35.81445010014
Globe,C1BMCHP00,2068,35.76600303624
Globe,C1BMCHP00,2069,35.76796445124
Globe,C1BMCHP00,2070,36.48822941124
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53246
Globe,C1BMHTF03,2015,7.06121
Globe,C1BMHTF03,2016,6.5899600000000005
Globe,C1BMHTF03,2017,6.11871
Globe,C1BMHTF03,2018,5.64746
Globe,C1BMHTF03,2019,5.17621
Globe,C1BMHTF03,2020,4.70873
Globe,C1BMHTF03,2021,4.237480000000001
Globe,C1BMHTF03,2022,3.76623
Globe,C1BMHTF03,2023,3.2949800000000002
Globe,C1BMHTF03,2024,2.82373
Globe,C1BMHTF03,2025,2.35248
Globe,C1BMHTF03,2026,1.8812300000000002
Globe,C1BMHTF03,2027,1.41375
Globe,C1BMHTF03,2028,0.9425000000000001
Globe,C1BMHTF03,2029,0.47125000000000006
Globe,C1BMSCP00,2010,6.249458596799999
Globe,C1BMSCP00,2011,5.976855346679999
Globe,C1BMSCP00,2012,5.71755709656
Globe,C1BMSCP00,2013,5.460463846439999
Globe,C1BMSCP00,2014,5.194685596319999
Globe,C1BMSCP00,2015,4.9420548462
Globe,C1BMSCP00,2016,4.69162909608
Globe,C1BMSCP00,2017,4.4326758459599995
Globe,C1BMSCP00,2018,4.1867125958399996
Globe,C1BMSCP00,2019,3.9429543457199996
Globe,C1BMSCP00,2020,3.7014010955999996
Globe,C1BMSCP00,2021,3.4515303454799997
Globe,C1BMSCP00,2022,3.21443959536
Globe,C1BMSCP00,2023,2.9795538452400003
Globe,C1BMSCP00,2024,2.7365080951200005
Globe,C1BMSCP00,2025,2.506084845
Globe,C1BMSCP00,2026,2.27786659488
Globe,C1BMSCP00,2027,2.04164584476
Globe,C1BMSCP00,2028,1.81789009464
Globe,C1BMSCP00,2029,1.59633934452
Globe,C1BMSCP00,2030,1.3769935943999998
Globe,C1BMSCP00,2031,1.1498553442800001
Globe,C1BMSCP00,2032,0.93497209416
Globe,C1BMSCP00,2033,0.72229384404
Globe,C1BMSCP00,2034,0.50198059392
Globe,C1COBRFH1,2010,1.2135500000000001
Globe,C1COBRFH1,2011,1.27985
Globe,C1COBRFH1,2012,1.3468
Globe,C1COBRFH1,2013,1.4131
Globe,C1COBRFH1,2014,1.4794
Globe,C1COBRFH1,2015,1.6757000000000002
Globe,C1COBRFH1,2016,1.8720000000000003
Globe,C1COBRFH1,2017,2.0683000000000002
Globe,C1COBRFH1,2018,2.26525
Globe,C1COBRFH1,2019,2.4615500000000003
Globe,C1COBRFH1,2020,2.78785
Globe,C1COBRFH1,2021,3.11415
Globe,C1COBRFH1,2022,3.44045
Globe,C1COBRFH1,2023,3.7674
Globe,C1COBRFH1,2024,4.093700000000001
Globe,C1COBRFH1,2025,4.160000000000001
Globe,C1COBRFH1,2026,4.420000000000001
Globe,C1COBRFH1,2027,4.6800000000000015
Globe,C1COBRFH1,2028,4.940000000000001
Globe,C1COBRFH1,2029,5.200000000000002
Globe,C1COBRFH1,2030,5.460000000000001
Globe,C1COBRFH1,2031,5.720000000000001
Globe,C1COBRFH1,2032,5.98
Globe,C1COBRFH1,2033,6.24
Globe,C1COBRFH1,2034,6.499999999999999
Globe,C1COBRFH1,2035,6.629999999999999
Globe,C1COBRFH1,2036,6.759999999999999
Globe,C1COBRFH1,2037,6.889999999999999
Globe,C1COBRFH1,2038,7.019999999999999
Globe,C1COBRFH1,2039,7.1499999999999995
Globe,C1COBRFH1,2040,7.279999999999999
Globe,C1COBRFH1,2041,7.409999999999999
Globe,C1COBRFH1,2042,7.539999999999999
Globe,C1COBRFH1,2043,7.670000000000001
Globe,C1COBRFH1,2044,7.8
Globe,C1COBRFH1,2045,7.8
Globe,C1COBRFH1,2046,7.8
Globe,C1COBRFH1,2047,7.8
Globe,C1COBRFH1,2048,7.8
Globe,C1COBRFH1,2049,7.8
Globe,C1COBRFH1,2050,7.8
Globe,C1COBRFH1,2051,7.8
Globe,C1COBRFH1,2052,7.8
Globe,C1COBRFH1,2053,7.8
Globe,C1COBRFH1,2054,7.8
Globe,C1COBRFH1,2055,7.8
Globe,C1COBRFH1,2056,7.8
Globe,C1COBRFH1,2057,7.8
Globe,C1COBRFH1,2058,7.8
Globe,C1COBRFH1,2059,7.8
Globe,C1COBRFH1,2060,7.8
Globe,C1COBRFH1,2061,7.8
Globe,C1COBRFH1,2062,7.8
Globe,C1COBRFH1,2063,7.8
Globe,C1COBRFH1,2064,7.8
Globe,C1COBRFH1,2065,7.8
Globe,C1COBRFH1,2066,7.8
Globe,C1COBRFH1,2067,7.8
Globe,C1COBRFH1,2068,7.8
Globe,C1COBRFH1,2069,7.8
Globe,C1COBRFH1,2070,7.8
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.384500000000001
Globe,C1COCHP00,2012,10.1325
Globe,C1COCHP00,2013,9.87
Globe,C1COCHP00,2014,9.6075
Globe,C1COCHP00,2015,9.344999999999999
Globe,C1COCHP00,2016,9.093
Globe,C1COCHP00,2017,8.830499999999999
Globe,C1COCHP00,2018,8.568000000000001
Globe,C1COCHP00,2019,8.316
Globe,C1COCHP00,2020,8.0535
Globe,C1COCHP00,2021,7.791
Globe,C1COCHP00,2022,7.5285
Globe,C1COCHP00,2023,7.2765
Globe,C1COCHP00,2024,7.014
Globe,C1COCHP00,2025,6.751499999999999
Globe,C1COCHP00,2026,6.489
Globe,C1COCHP00,2027,6.237
Globe,C1COCHP00,2028,5.9745
Globe,C1COCHP00,2029,5.712
Globe,C1COCHP00,2030,5.4495000000000005
Globe,C1COCHP00,2031,5.197500000000001
Globe,C1COCHP00,2032,4.935
Globe,C1COCHP00,2033,4.672499999999999
Globe,C1COCHP00,2034,4.41
Globe,C1COCHP00,2035,4.158
Globe,C1COCHP00,2036,3.8955
Globe,C1COCHP00,2037,3.633
Globe,C1COCHP00,2038,3.381
Globe,C1COCHP00,2039,3.1185
Globe,C1COCHP00,2040,2.856
Globe,C1COCHP00,2041,2.5935
Globe,C1COCHP00,2042,2.3415
Globe,C1COCHP00,2043,2.079
Globe,C1COCHP00,2044,1.8165
Globe,C1COCHP00,2045,1.554
Globe,C1COCHP00,2046,1.302
Globe,C1COCHP00,2047,1.0395
Globe,C1COCHP00,2048,0.777
Globe,C1COCHP00,2049,0.5145
Globe,C1COCHP00,2050,0.2625
Globe,C1COCHP00,2051,0.2625
Globe,C1COCHP00,2052,0.2625
Globe,C1COCHP00,2053,0.2625
Globe,C1COCHP00,2054,0.2625
Globe,C1COCHP00,2055,0.2625
Globe,C1COCHP00,2056,0.2625
Globe,C1COCHP00,2057,0.2625
Globe,C1COCHP00,2058,0.2625
Globe,C1COCHP00,2059,0.2625
Globe,C1COCHP00,2060,0.2625
Globe,C1COCHP00,2061,0.2625
Globe,C1COCHP00,2062,0.2625
Globe,C1COCHP00,2063,0.2625
Globe,C1COCHP00,2064,0.2625
Globe,C1COCHP00,2065,0.2625
Globe,C1COCHP00,2066,0.2625
Globe,C1COCHP00,2067,0.2625
Globe,C1COCHP00,2068,0.2625
Globe,C1COCHP00,2069,0.2625
Globe,C1COCHP00,2070,0.2625
Globe,C1COHTF03,2010,6.697236000000001
Globe,C1COHTF03,2011,6.763847999999999
Globe,C1COHTF03,2012,6.829914
Globe,C1COHTF03,2013,6.896526000000001
Globe,C1COHTF03,2014,6.963138000000001
Globe,C1COHTF03,2015,7.029750000000001
Globe,C1COHTF03,2016,7.205016
Globe,C1COHTF03,2017,7.380828
Globe,C1COHTF03,2018,7.55664
Globe,C1COHTF03,2019,7.731906
Globe,C1COHTF03,2020,7.907718000000001
Globe,C1COHTF03,2021,8.13813
Globe,C1COHTF03,2022,8.367996
Globe,C1COHTF03,2023,8.598408000000001
Globe,C1COHTF03,2024,8.82882
Globe,C1COHTF03,2025,9.059232000000002
Globe,C1COHTF03,2026,8.2992
Globe,C1COHTF03,2027,9.1182
Globe,C1COHTF03,2028,9.937199999999999
Globe,C1COHTF03,2029,10.756199999999998
Globe,C1COHTF03,2030,11.193
Globe,C1COHTF03,2031,11.6298
Globe,C1COHTF03,2032,12.066599999999998
Globe,C1COHTF03,2033,12.503399999999997
Globe,C1COHTF03,2034,12.940199999999997
Globe,C1COHTF03,2035,13.376999999999999
Globe,C1COHTF03,2036,13.7046
Globe,C1COHTF03,2037,14.0322
Globe,C1COHTF03,2038,14.3598
Globe,C1COHTF03,2039,14.687399999999997
Globe,C1COHTF03,2040,15.014999999999997
Globe,C1COHTF03,2041,15.287999999999998
Globe,C1COHTF03,2042,15.560999999999998
Globe,C1COHTF03,2043,15.833999999999998
Globe,C1COHTF03,2044,16.106999999999996
Globe,C1COHTF03,2045,16.38
Globe,C1COHTF03,2046,16.38
Globe,C1COHTF03,2047,16.38
Globe,C1COHTF03,2048,16.38
Globe,C1COHTF03,2049,16.38
Globe,C1COHTF03,2050,16.38
Globe,C1COHTF03,2051,16.38
Globe,C1COHTF03,2052,16.38
Globe,C1COHTF03,2053,16.38
Globe,C1COHTF03,2054,16.38
Globe,C1COHTF03,2055,16.38
