REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,2010,0.0034729699294979996
Globe,ALUPLANT,CO2EQ,2011,0.0035828584438229996
Globe,ALUPLANT,CO2EQ,2012,0.0036910386945414
Globe,ALUPLANT,CO2EQ,2013,0.0037975899522959995
Globe,ALUPLANT,CO2EQ,2014,0.003902508458261999
Globe,ALUPLANT,CO2EQ,2015,0.004005868397058
Globe,ALUPLANT,CO2EQ,2016,0.0041076919800000005
Globe,ALUPLANT,CO2EQ,2017,0.00420799158
Globe,ALUPLANT,CO2EQ,2018,0.004306832158554
Globe,ALUPLANT,CO2EQ,2019,0.0044042173699859995
Globe,ALUPLANT,CO2EQ,2020,0.00450020773836
Globe,ALUPLANT,CO2EQ,2021,0.004594822921826999
Globe,ALUPLANT,CO2EQ,2022,0.004688065384992
Globe,ALUPLANT,CO2EQ,2023,0.0047800063592046
Globe,ALUPLANT,CO2EQ,2024,0.004870638136008
Globe,ALUPLANT,CO2EQ,2025,0.004960023635204999
Globe,ALUPLANT,CO2EQ,2026,0.00504816600888
Globe,ALUPLANT,CO2EQ,2027,0.0051350776067159995
Globe,ALUPLANT,CO2EQ,2028,0.005220816826660199
Globe,ALUPLANT,CO2EQ,2029,0.005305374009054
Globe,ALUPLANT,CO2EQ,2030,0.005388807120749999
Globe,ALUPLANT,CO2EQ,2031,0.005471125573518
Globe,ALUPLANT,CO2EQ,2032,0.0055523230788222
Globe,ALUPLANT,CO2EQ,2033,0.005632471215935999
Globe,ALUPLANT,CO2EQ,2034,0.005711541137477999
Globe,ALUPLANT,CO2EQ,2035,0.005789603653408799
Globe,ALUPLANT,CO2EQ,2036,0.005866650479807999
Globe,ALUPLANT,CO2EQ,2037,0.0059426857782360005
Globe,ALUPLANT,CO2EQ,2038,0.00601776612495
Globe,ALUPLANT,CO2EQ,2039,0.006091872217523999
Globe,ALUPLANT,CO2EQ,2040,0.006165060399359999
Globe,ALUPLANT,CO2EQ,2041,0.006237332485326001
Globe,ALUPLANT,CO2EQ,2042,0.006308676431297999
Globe,ALUPLANT,CO2EQ,2043,0.006379161037271999
Globe,ALUPLANT,CO2EQ,2044,0.006448750335863999
Globe,ALUPLANT,CO2EQ,2045,0.006517512879587999
Globe,ALUPLANT,CO2EQ,2046,0.006585434891946
Globe,ALUPLANT,CO2EQ,2047,0.0066525144755760005
Globe,ALUPLANT,CO2EQ,2048,0.006718806818963998
Globe,ALUPLANT,CO2EQ,2049,0.006784285936499999
Globe,ALUPLANT,CO2EQ,2050,0.0068490066042
Globe,ALUPLANT,CO2EQ,2051,0.0068490066042
Globe,ALUPLANT,CO2EQ,2052,0.0068490066042
Globe,ALUPLANT,CO2EQ,2053,0.0068490066042
Globe,ALUPLANT,CO2EQ,2054,0.0068490066042
Globe,ALUPLANT,CO2EQ,2055,0.0068490066042
Globe,ALUPLANT,CO2EQ,2056,0.0068490066042
Globe,ALUPLANT,CO2EQ,2057,0.0068490066042
Globe,ALUPLANT,CO2EQ,2058,0.0068490066042
Globe,ALUPLANT,CO2EQ,2059,0.0068490066042
Globe,ALUPLANT,CO2EQ,2060,0.0068490066042
Globe,ALUPLANT,CO2EQ,2061,0.0068490066042
Globe,ALUPLANT,CO2EQ,2062,0.0068490066042
Globe,ALUPLANT,CO2EQ,2063,0.0068490066042
Globe,ALUPLANT,CO2EQ,2064,0.0068490066042
Globe,ALUPLANT,CO2EQ,2065,0.0068490066042
Globe,ALUPLANT,CO2EQ,2066,0.0068490066042
Globe,ALUPLANT,CO2EQ,2067,0.0068490066042
Globe,ALUPLANT,CO2EQ,2068,0.0068490066042
Globe,ALUPLANT,CO2EQ,2069,0.0068490066042
Globe,ALUPLANT,CO2EQ,2070,0.0068490066042
Globe,ALUPLANT,WATER,2010,0.030870843817759997
Globe,ALUPLANT,WATER,2011,0.032245725994407
Globe,ALUPLANT,WATER,2012,0.033219348250872596
Globe,ALUPLANT,WATER,2013,0.03460026400980801
Globe,ALUPLANT,WATER,2014,0.035556188175276
Globe,ALUPLANT,WATER,2015,0.036943008550646
Globe,ALUPLANT,WATER,2016,0.038338458480000004
Globe,ALUPLANT,WATER,2017,0.03927458808
Globe,ALUPLANT,WATER,2018,0.04067563705301001
Globe,ALUPLANT,WATER,2019,0.04159538627209001
Globe,ALUPLANT,WATER,2020,0.04300198505544
Globe,ALUPLANT,WATER,2021,0.044416621577661
Globe,ALUPLANT,WATER,2022,0.045317965388256
Globe,ALUPLANT,WATER,2023,0.04673783995666719
Globe,ALUPLANT,WATER,2024,0.047624017329856
Globe,ALUPLANT,WATER,2025,0.049049122614805
Globe,ALUPLANT,WATER,2026,0.05048166008879999
Globe,ALUPLANT,WATER,2027,0.051350776067159994
Globe,ALUPLANT,WATER,2028,0.0527882590251198
Globe,ALUPLANT,WATER,2029,0.053643226091546
