REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.619311607204
Globe,ALUPLANT,2011,27.873091315862002
Globe,ALUPLANT,2012,44.81669159154
Globe,ALUPLANT,2013,26.565747072725998
Globe,ALUPLANT,2014,25.015868083008005
Globe,ALUPLANT,2015,14.143727279084002
Globe,ALUPLANT,2016,30.59062371424
Globe,ALUPLANT,2017,36.057913281924
Globe,ALUPLANT,2018,45.825926516996
Globe,ALUPLANT,2019,73.53819682836298
Globe,ALUPLANT,2020,51.137124091749996
Globe,ALUPLANT,2021,25.928801900627004
Globe,ALUPLANT,2022,49.624553591673
Globe,ALUPLANT,2023,32.981140356423
Globe,ALUPLANT,2024,42.788830914239
Globe,ALUPLANT,2025,33.46250336394
Globe,ALUPLANT,2027,43.340142064128
Globe,ALUPLANT,2028,67.788602610204
Globe,ALUPLANT,2029,46.77066745274
Globe,ALUPLANT,2030,38.373456150734
Globe,ALUPLANT,2031,38.440350319162
Globe,ALUPLANT,2032,35.223691255545
Globe,ALUPLANT,2033,41.954151509665
Globe,ALUPLANT,2034,38.685356547977
Globe,ALUPLANT,2035,65.358162932604
Globe,ALUPLANT,2036,41.8196545076
Globe,ALUPLANT,2037,87.23605131915
Globe,ALUPLANT,2038,46.41772701744
Globe,ALUPLANT,2039,44.41000457013601
Globe,ALUPLANT,2040,31.161436040844002
Globe,ALUPLANT,2041,50.885711499302005
Globe,ALUPLANT,2042,57.331323270171
Globe,ALUPLANT,2043,68.94159998335999
Globe,ALUPLANT,2044,102.05723609854599
Globe,ALUPLANT,2045,75.00610071279
Globe,ALUPLANT,2046,44.660604590525004
Globe,ALUPLANT,2047,72.879846677731
Globe,ALUPLANT,2048,52.853370241914
Globe,ALUPLANT,2049,64.42541018576001
Globe,ALUPLANT,2050,53.18068155464999
Globe,ALUPLANT,2052,50.8594862064
Globe,ALUPLANT,2053,78.9540929919
Globe,ALUPLANT,2054,54.06948183704999
Globe,ALUPLANT,2055,44.034586029299994
Globe,ALUPLANT,2056,43.78835460809999
Globe,ALUPLANT,2057,39.832515030749995
Globe,ALUPLANT,2058,47.10123848805
Globe,ALUPLANT,2059,43.12023589454999
Globe,ALUPLANT,2060,72.3325532838
Globe,ALUPLANT,2061,45.955292235
Globe,ALUPLANT,2062,95.19062459924999
Globe,ALUPLANT,2063,50.297511613500006
Globe,ALUPLANT,2064,47.7891129942
Globe,ALUPLANT,2065,33.30212275395
Globe,ALUPLANT,2066,54.010363764450005
Globe,ALUPLANT,2067,60.43937441714999
Globe,ALUPLANT,2068,72.189878592
Globe,ALUPLANT,2069,106.15131783929999
Globe,ALUPLANT,2070,77.49688102649999
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.1266053
Globe,C1BFRDF00,2012,2.13585141
Globe,C1BFRDF00,2022,43.784388043068
Globe,C1BMBRFH1,2021,50.28594253279999
Globe,C1BMBRFH1,2023,60.1860471576
Globe,C1BMBRFH1,2024,23.0814539332
Globe,C1BMBRFH1,2025,8.0114250268
Globe,C1BMBRFH1,2026,13.408425368
Globe,C1BMBRFN1,2010,54.236000000000004
Globe,C1BMBRFN1,2015,4.96313798708
Globe,C1BMBRFN1,2016,30.991999999999997
Globe,C1BMBRFN1,2017,30.991999999999997
Globe,C1BMBRFN1,2018,30.991999999999997
Globe,C1BMBRFN1,2019,38.74
Globe,C1BMBRFN1,2020,38.74
Globe,C1BMBRFN1,2021,38.74
Globe,C1BMBRFN1,2022,38.74
Globe,C1BMBRFN1,2023,38.74
Globe,C1BMBRFN1,2024,38.74
Globe,C1BMBRFN1,2025,38.74
Globe,C1BMBRFN1,2026,38.74
Globe,C1BMBRFN1,2027,38.74
Globe,C1BMBRFN1,2028,38.74
Globe,C1BMBRFN1,2029,20.3013204472
Globe,C1BMBRFN1,2030,29.1370017328
Globe,C1BMBRFN1,2031,38.74
Globe,C1BMBRFN1,2032,38.74
Globe,C1BMBRFN1,2033,38.74
Globe,C1BMBRFN1,2034,38.74
Globe,C1BMBRFN1,2035,38.74
Globe,C1BMBRFN1,2036,38.74
Globe,C1BMBRFN1,2037,38.74
Globe,C1BMBRFN1,2038,38.74
Globe,C1BMBRFN1,2039,38.74
Globe,C1BMBRFN1,2040,38.74
Globe,C1BMBRFN1,2041,38.74
Globe,C1BMBRFN1,2042,38.74
Globe,C1BMBRFN1,2043,27.627655692
Globe,C1BMBRFN1,2044,20.731951962799997
Globe,C1BMBRFN1,2045,38.74
Globe,C1BMBRFN1,2046,38.74
Globe,C1BMBRFN1,2047,38.74
Globe,C1BMBRFN1,2048,38.74
Globe,C1BMBRFN1,2049,38.74
Globe,C1BMBRFN1,2050,38.74
Globe,C1BMBRFN1,2051,38.74
Globe,C1BMBRFN1,2052,38.74
Globe,C1BMBRFN1,2053,38.74
Globe,C1BMBRFN1,2054,38.74
Globe,C1BMBRFN1,2055,38.74
Globe,C1BMBRFN1,2056,38.74
Globe,C1BMBRFN1,2057,38.74
Globe,C1BMBRFN1,2058,38.74
Globe,C1BMBRFN1,2059,38.74
Globe,C1BMBRFN1,2060,38.74
Globe,C1BMBRFN1,2061,38.74
Globe,C1BMBRFN1,2062,38.74
Globe,C1BMBRFN1,2063,38.74
Globe,C1BMBRFN1,2064,38.74
Globe,C1BMBRFN1,2065,38.3757889892
Globe,C1BMBRFN1,2066,28.285491109199995
Globe,C1BMBRFN1,2067,25.0628654692
Globe,C1BMBRFN1,2068,38.74
Globe,C1BMBRFN1,2069,38.74
Globe,C1BMBRFN1,2070,24.474834883199996
Globe,C1BMCHP00,2017,8.875125
Globe,C1BMCHP00,2018,8.875125
Globe,C1BMCHP00,2019,8.875125
Globe,C1BMCHP00,2020,44.375625
Globe,C1BMCHP00,2021,44.375625
Globe,C1BMCHP00,2022,44.375625
Globe,C1BMCHP00,2023,44.375625
Globe,C1BMCHP00,2024,44.375625
Globe,C1BMCHP00,2025,44.375625
Globe,C1BMCHP00,2026,44.375625
Globe,C1BMCHP00,2027,44.375625
Globe,C1BMCHP00,2028,44.375625
Globe,C1BMCHP00,2029,44.375625
Globe,C1BMCHP00,2030,37.75373137895625
Globe,C1BMCHP00,2031,133.12687499999998
Globe,C1BMCHP00,2032,62.167419460125
Globe,C1BMCHP00,2033,39.8172755988
Globe,C1BMCHP00,2034,133.12687499999998
Globe,C1BMCHP00,2035,133.12687499999998
Globe,C1BMCHP00,2036,133.12687499999998
Globe,C1BMCHP00,2037,133.12687499999998
Globe,C1BMCHP00,2038,133.12687499999998
Globe,C1BMCHP00,2039,133.12687499999998
Globe,C1BMCHP00,2040,79.01424386100001
Globe,C1BMCHP00,2041,92.7578408675625
Globe,C1BMCHP00,2042,40.04801154230625
Globe,C1BMCHP00,2043,68.6629237573125
Globe,C1BMCHP00,2044,33.9343430792625
Globe,C1BMCHP00,2045,6.194442306937501
Globe,C1BMCHP00,2046,31.305231518793747
Globe,C1BMCHP00,2047,28.141145173574998
Globe,C1BMCHP00,2048,30.212450246475
Globe,C1BMCHP00,2049,28.90169679166875
Globe,C1BMCHP00,2050,28.682208294075004
Globe,C1BMCHP00,2052,1.1991999674025
Globe,C1BMCHP00,2053,6.40006075918125
Globe,C1BMCHP00,2054,6.40006075918125
Globe,C1BMCHP00,2055,41.900560759181246
Globe,C1BMCHP00,2056,41.93637987616875
Globe,C1BMCHP00,2057,41.900560759181246
Globe,C1BMCHP00,2058,11.218008454143751
Globe,C1BMCHP00,2059,16.22581903569375
Globe,C1BMCHP00,2060,82.7631365990625
Globe,C1BMCHP00,2061,33.2587259636625
Globe,C1BMCHP00,2062,55.67161784625
Globe,C1BMCHP00,2063,41.72146606175625
Globe,C1BMCHP00,2064,44.4830805759375
Globe,C1BMCHP00,2065,37.825369169175
Globe,C1BMCHP00,2066,130.472715618
Globe,C1BMCHP00,2067,62.274875036062504
Globe,C1BMCHP00,2068,37.16311666055625
Globe,C1BMCHP00,2069,133.2343305759375
Globe,C1BMCHP00,2070,172.58639076
Globe,C1BMLP000,2011,289.8502584072
Globe,C1BMLP000,2012,31.947063859590003
Globe,C1BMSCP00,2010,8.272688129999999
Globe,C1COBRFH1,2010,5.98
Globe,C1COBRFH1,2011,2.99
Globe,C1COBRFH1,2012,2.99
Globe,C1COBRFH1,2013,2.99
Globe,C1COBRFH1,2014,2.99
Globe,C1COBRFH1,2015,5.98
Globe,C1COBRFH1,2016,5.98
Globe,C1COBRFH1,2017,5.98
Globe,C1COBRFH1,2018,5.98
Globe,C1COBRFH1,2019,5.98
Globe,C1COBRFH1,2020,8.969999999999999
Globe,C1COBRFH1,2021,8.969999999999999
Globe,C1COBRFH1,2022,8.969999999999999
Globe,C1COBRFH1,2023,8.969999999999999
Globe,C1COBRFH1,2024,8.969999999999999
Globe,C1COBRFH1,2025,8.969999999999999
Globe,C1COBRFH1,2026,8.969999999999999
Globe,C1COBRFH1,2027,8.969999999999999
Globe,C1COBRFH1,2028,8.969999999999999
Globe,C1COBRFH1,2029,8.969999999999999
Globe,C1COBRFH1,2030,11.96
Globe,C1COBRFH1,2031,11.96
Globe,C1COBRFH1,2032,11.96
Globe,C1COBRFH1,2033,11.96
Globe,C1COBRFH1,2034,11.96
Globe,C1COBRFH1,2035,11.96
Globe,C1COBRFH1,2036,11.96
Globe,C1COBRFH1,2037,11.96
Globe,C1COBRFH1,2038,11.96
Globe,C1COBRFH1,2039,11.96
Globe,C1COBRFH1,2040,11.96
Globe,C1COBRFH1,2041,11.96
Globe,C1COBRFH1,2042,11.96
Globe,C1COBRFH1,2043,11.96
Globe,C1COBRFH1,2044,11.96
Globe,C1COBRFH1,2045,11.96
Globe,C1COBRFH1,2046,11.96
Globe,C1COBRFH1,2047,11.96
Globe,C1COBRFH1,2048,11.96
Globe,C1COBRFH1,2049,11.96
Globe,C1COBRFH1,2050,11.96
Globe,C1COBRFH1,2051,11.96
Globe,C1COBRFH1,2052,11.96
Globe,C1COBRFH1,2053,11.96
Globe,C1COBRFH1,2054,11.96
Globe,C1COBRFH1,2055,11.96
Globe,C1COBRFH1,2056,11.96
Globe,C1COBRFH1,2057,11.96
Globe,C1COBRFH1,2058,11.96
Globe,C1COBRFH1,2059,11.96
Globe,C1COBRFH1,2060,11.96
Globe,C1COBRFH1,2061,11.96
Globe,C1COBRFH1,2062,11.96
Globe,C1COBRFH1,2063,11.96
Globe,C1COBRFH1,2064,11.96
Globe,C1COBRFH1,2065,11.96
Globe,C1COBRFH1,2066,11.96
Globe,C1COBRFH1,2067,11.96
Globe,C1COBRFH1,2068,11.96
Globe,C1COBRFH1,2069,11.96
Globe,C1COBRFH1,2070,11.96
Globe,C1COHTF03,2010,10.920000000000002
Globe,C1COHTF03,2011,10.920000000000002
Globe,C1COHTF03,2012,10.920000000000002
Globe,C1COHTF03,2013,10.920000000000002
Globe,C1COHTF03,2014,10.920000000000002
Globe,C1COHTF03,2015,10.920000000000002
Globe,C1COHTF03,2016,14.04
Globe,C1COHTF03,2017,14.04
Globe,C1COHTF03,2018,14.04
Globe,C1COHTF03,2019,14.04
Globe,C1COHTF03,2020,14.04
Globe,C1COHTF03,2021,15.600000000000001
Globe,C1COHTF03,2022,15.600000000000001
Globe,C1COHTF03,2023,15.600000000000001
Globe,C1COHTF03,2024,15.600000000000001
Globe,C1COHTF03,2025,15.600000000000001
Globe,C1COHTF03,2026,23.4
Globe,C1COHTF03,2027,23.4
Globe,C1COHTF03,2028,23.4
Globe,C1COHTF03,2029,23.4
Globe,C1COHTF03,2030,23.4
Globe,C1COHTF03,2031,23.4
Globe,C1COHTF03,2032,23.4
Globe,C1COHTF03,2033,23.4
Globe,C1COHTF03,2034,23.4
Globe,C1COHTF03,2035,23.4
Globe,C1COHTF03,2036,23.4
Globe,C1COHTF03,2037,23.4
Globe,C1COHTF03,2038,23.4
Globe,C1COHTF03,2039,23.4
Globe,C1COHTF03,2040,23.4
Globe,C1COHTF03,2041,23.4
Globe,C1COHTF03,2042,23.4
Globe,C1COHTF03,2043,23.4
Globe,C1COHTF03,2044,23.4
Globe,C1COHTF03,2045,23.4
Globe,C1COHTF03,2046,23.4
Globe,C1COHTF03,2047,23.4
Globe,C1COHTF03,2048,23.4
Globe,C1COHTF03,2049,23.4
Globe,C1COHTF03,2050,23.4
Globe,C1COHTF03,2051,23.4
Globe,C1COHTF03,2052,23.4
Globe,C1COHTF03,2053,23.4
Globe,C1COHTF03,2054,23.4
Globe,C1COHTF03,2055,23.4
Globe,C1COHTF03,2056,23.4
Globe,C1COHTF03,2057,23.4
Globe,C1COHTF03,2058,23.4
Globe,C1COHTF03,2059,23.4
Globe,C1COHTF03,2060,23.4
Globe,C1COHTF03,2061,23.4
Globe,C1COHTF03,2062,23.4
Globe,C1COHTF03,2063,23.4
Globe,C1COHTF03,2064,23.4
Globe,C1COHTF03,2065,23.4
Globe,C1COHTF03,2066,23.4
Globe,C1COHTF03,2067,23.4
Globe,C1COHTF03,2068,23.4
Globe,C1COHTF03,2069,23.4
Globe,C1COHTF03,2070,23.4
Globe,C1COIGP00,2010,13.492119299999999
Globe,C1COLP000,2034,53.88
Globe,C1COLP000,2035,53.2
Globe,C1COLP000,2036,52.52
Globe,C1COLP000,2037,51.84
Globe,C1COLP000,2038,11.499543996999998
Globe,C1COLP000,2039,9.40618449
Globe,C1COLP000,2042,42.642273317
Globe,C1COLP000,2043,47.76
Globe,C1COLP000,2044,47.08
Globe,C1COLP000,2045,46.4
Globe,C1COLP000,2046,45.72
Globe,C1COLP000,2047,45.04
Globe,C1COLP000,2048,44.36
Globe,C1COLP000,2049,43.68
Globe,C1COLP000,2050,43.0
Globe,C1COLP000,2066,37.58643115
Globe,C1COLP000,2067,43.0
Globe,C1COLP000,2068,43.0
Globe,C1COLP000,2069,43.0
Globe,C1COLP000,2070,43.0
Globe,C1COSCP00,2011,111.826576
Globe,C1COSCP00,2012,111.826576
Globe,C1COSCP00,2013,167.739864
Globe,C1COSCP00,2014,167.739864
Globe,C1COSCP00,2015,167.739864
Globe,C1COSCP00,2016,167.739864
Globe,C1COSCP00,2017,167.739864
Globe,C1COSCP00,2018,223.653152
Globe,C1COSCP00,2019,220.22466659774483
Globe,C1COSCP00,2022,223.653152
Globe,C1COSCP00,2024,153.0884941826932
Globe,C1COSCP00,2025,223.653152
Globe,C1COSCP00,2026,223.653152
Globe,C1COSCP00,2027,74.7054253910584
Globe,C1COSCP00,2028,38.528966126514
Globe,C1COSCP00,2029,142.50893967237639
Globe,C1COSCP00,2030,143.7364320404844
Globe,C1COSCP00,2031,258.59344394980326
Globe,C1COSCP00,2032,279.56644
Globe,C1COSCP00,2033,279.56644
Globe,C1COSCP00,2034,279.56644
Globe,C1COSCP00,2035,279.56644
Globe,C1COSCP00,2036,279.56644
Globe,C1COSCP00,2037,240.17328648115122
Globe,C1COSCP00,2038,279.56644
Globe,C1COSCP00,2039,215.6101625087556
Globe,C1COSCP00,2040,186.32672414115962
Globe,C1COSCP00,2041,171.5165326292888
Globe,C1COSCP00,2042,91.352485831634
Globe,C1COSCP00,2044,39.655985111750404
Globe,C1COSCP00,2045,58.9587841534416
Globe,C1COSCP00,2046,236.69812187040924
Globe,C1COSCP00,2047,200.3295417526324
Globe,C1COSCP00,2048,176.18696678026438
Globe,C1COSCP00,2049,142.8505474967412
Globe,C1COSCP00,2069,105.05237643138041
Globe,C1COSCP00,2070,183.63615156161998
Globe,C1ELRDF00,2020,28.601231494202995
Globe,C1ELRDF00,2021,416.0666
Globe,C1ELRDF00,2022,416.0666
Globe,C1ELRDF00,2026,145.61586240786
Globe,C1ELRDF00,2027,112.38114890974998
Globe,C1ELRDF00,2028,147.73915428431
