REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,0.25109516
Globe,ALUPLANT,2048,0.35552336
Globe,ALUPLANT,2049,0.63469429
Globe,ALUPLANT,2050,0.68219223
Globe,ALUPLANT,2052,0.93387216
Globe,ALUPLANT,2053,1.6527276999999998
Globe,ALUPLANT,2054,1.2642148000000002
Globe,ALUPLANT,2055,1.1322716999999998
Globe,ALUPLANT,2056,1.2231893999999999
Globe,ALUPLANT,2057,1.1969376
Globe,ALUPLANT,2058,1.5102387
Globe,ALUPLANT,2059,1.4653188999999998
Globe,ALUPLANT,2060,2.5901777999999998
Globe,ALUPLANT,2061,1.7255946
Globe,ALUPLANT,2062,3.7321087
Globe,ALUPLANT,2063,2.0513855
Globe,ALUPLANT,2064,2.0209163
Globe,ALUPLANT,2065,1.4559628999999998
Globe,ALUPLANT,2066,2.434963
Globe,ALUPLANT,2067,2.8032847999999997
Globe,ALUPLANT,2068,3.4375693999999997
Globe,ALUPLANT,2069,5.1797837
Globe,ALUPLANT,2070,3.8684836000000002
Globe,C1BMBRFN1,2057,0.18123415
Globe,C1BMBRFN1,2058,0.3538381
Globe,C1BMBRFN1,2059,0.51822281
Globe,C1BMBRFN1,2060,0.67477968
Globe,C1BMBRFN1,2061,0.82388146
Globe,C1BMBRFN1,2062,0.96588316
Globe,C1BMBRFN1,2063,1.1011229
Globe,C1BMBRFN1,2064,1.2299226
Globe,C1BMBRFN1,2065,1.3398728000000002
Globe,C1BMBRFN1,2066,1.072873
Globe,C1BMBRFN1,2067,1.0226194
Globe,C1BMBRFN1,2068,1.6866400000000001
Globe,C1BMBRFN1,2069,1.7875580000000002
Globe,C1BMBRFN1,2070,1.1900496
Globe,C1BMCHP00,2037,0.39479283
Globe,C1BMCHP00,2038,0.770786
Globe,C1BMCHP00,2039,1.1288747
Globe,C1BMCHP00,2040,0.87243056
Globe,C1BMCHP00,2041,1.250486
Globe,C1BMCHP00,2042,0.63294947
Globe,C1BMCHP00,2043,1.2371477
Globe,C1BMCHP00,2044,0.68293711
Globe,C1BMCHP00,2045,0.13709814
Globe,C1BMCHP00,2046,0.75270469
Globe,C1BMCHP00,2047,0.72786052
Globe,C1BMCHP00,2048,0.83381911
Globe,C1BMCHP00,2049,0.84537028
Globe,C1BMCHP00,2050,0.88405843
