REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.65000016197405
Globe,ID,ALUPLANT,ALU,2011,43.603867134616635
Globe,ID,ALUPLANT,ALU,2012,45.908982654833295
Globe,ID,ALUPLANT,ALU,2013,46.74922136777704
Globe,ID,ALUPLANT,ALU,2014,47.454989272953014
Globe,ID,ALUPLANT,ALU,2015,47.27983913095498
Globe,ID,ALUPLANT,ALU,2016,48.40175011412111
Globe,ID,ALUPLANT,ALU,2017,49.95323370078187
Globe,ID,ALUPLANT,ALU,2018,52.277663542515526
Globe,ID,ALUPLANT,ALU,2019,56.81301239326195
Globe,ID,ALUPLANT,ALU,2020,59.576250155819885
Globe,ID,ALUPLANT,ALU,2021,60.33110418675699
Globe,ID,ALUPLANT,ALU,2022,62.96149946467339
Globe,ID,ALUPLANT,ALU,2023,64.26871321042852
Globe,ID,ALUPLANT,ALU,2024,66.34675032467075
Globe,ID,ALUPLANT,ALU,2025,67.67995506915852
Globe,ID,ALUPLANT,ALU,2026,66.34864981948897
Globe,ID,ALUPLANT,ALU,2027,68.43100464315563
Globe,ID,ALUPLANT,ALU,2028,72.44851590152246
Globe,ID,ALUPLANT,ALU,2029,74.80989992966843
Globe,ID,ALUPLANT,ALU,2030,76.50249966790074
Globe,ID,ALUPLANT,ALU,2031,78.19515040524375
Globe,ID,ALUPLANT,ALU,2032,79.62594851851824
Globe,ID,ALUPLANT,ALU,2033,81.58040017654946
Globe,ID,ALUPLANT,ALU,2034,83.27300055306536
Globe,ID,ALUPLANT,ALU,2035,84.02656324921456
Globe,ID,ALUPLANT,ALU,2036,85.20386353075673
Globe,ID,ALUPLANT,ALU,2037,88.35089991266432
Globe,ID,ALUPLANT,ALU,2038,90.04350020728658
Globe,ID,ALUPLANT,ALU,2039,91.73614997431223
Globe,ID,ALUPLANT,ALU,2040,93.42875032545663
Globe,ID,ALUPLANT,ALU,2041,95.12139951204996
Globe,ID,ALUPLANT,ALU,2042,96.81399996077099
Globe,ID,ALUPLANT,ALU,2043,98.50665033971882
Globe,ID,ALUPLANT,ALU,2044,100.19924966302464
Globe,ID,ALUPLANT,ALU,2045,101.89189968708786
Globe,ID,ALUPLANT,ALU,2046,103.58450056038262
Globe,ID,ALUPLANT,ALU,2047,105.2771503284028
Globe,ID,ALUPLANT,ALU,2048,106.96975009768032
Globe,ID,ALUPLANT,ALU,2049,108.6624002258235
Globe,ID,ALUPLANT,ALU,2050,110.35499941053942
Globe,ID,ALUPLANT,ALU,2051,110.35499941053942
Globe,ID,ALUPLANT,ALU,2052,110.35499941053942
Globe,ID,ALUPLANT,ALU,2053,110.35499941053942
Globe,ID,ALUPLANT,ALU,2054,110.35499941053942
Globe,ID,ALUPLANT,ALU,2055,110.35499941053942
Globe,ID,ALUPLANT,ALU,2056,110.35499941053942
Globe,ID,ALUPLANT,ALU,2057,110.35499941053942
Globe,ID,ALUPLANT,ALU,2058,110.35499941053942
Globe,ID,ALUPLANT,ALU,2059,110.35499941053942
Globe,ID,ALUPLANT,ALU,2060,110.35499941053942
Globe,ID,ALUPLANT,ALU,2061,110.35499941053942
Globe,ID,ALUPLANT,ALU,2062,110.35499941053942
Globe,ID,ALUPLANT,ALU,2063,110.35499941053942
Globe,ID,ALUPLANT,ALU,2064,110.35499941053942
Globe,ID,ALUPLANT,ALU,2065,110.35499941053942
Globe,ID,ALUPLANT,ALU,2066,110.35499941053942
Globe,ID,ALUPLANT,ALU,2067,110.35499941053942
Globe,ID,ALUPLANT,ALU,2068,110.35499941053942
Globe,ID,ALUPLANT,ALU,2069,110.35499941053942
Globe,ID,ALUPLANT,ALU,2070,110.35499941053942
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.098621416595
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.26746388
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.27805061
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.274336335982
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.20899886980999996
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.177426417822
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.15338817493499998
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.173672317534
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.14184719558999997
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.12717375866
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.109820233743
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.23815279020399996
Globe,ID,C1BFRDF00,C1_F_RD,2024,0.0376527524605
Globe,ID,C1BFRDF00,C1_F_RD,2025,0.190557088628
Globe,ID,C1BFRDF00,C1_F_RD,2026,0.16545552557899998
Globe,ID,C1BFRDF00,C1_F_RD,2027,0.189896453761
Globe,ID,C1BFRDF00,C1_F_RD,2028,0.14774522786099997
Globe,ID,C1BFRDF00,C1_F_RD,2029,0.065550209032
Globe,ID,C1BFRDF00,C1_F_RD,2030,0.050605582243
