REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.269803546305
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.2993421415515
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.398881622228
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.4207166679828003
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.4351915733103997
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.4045554418916004
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.4397819079298
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738327366
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.5890176849892
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.7891030962235
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.8994247006120006
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.9108704536488
Globe,ID,ALUPLANT,C1_F_CLS,2022,3.0117583677455997
Globe,ID,ALUPLANT,C1_F_CLS,2023,3.0481133968994
Globe,ID,ALUPLANT,C1_F_CLS,2024,3.1200152795084004
Globe,ID,ALUPLANT,C1_F_CLS,2025,3.1559070115343
Globe,ID,ALUPLANT,C1_F_CLS,2026,3.0679224619098
Globe,ID,ALUPLANT,C1_F_CLS,2027,3.1378457331375
Globe,ID,ALUPLANT,C1_F_CLS,2028,3.2945489934527994
Globe,ID,ALUPLANT,C1_F_CLS,2029,3.3738844751009998
Globe,ID,ALUPLANT,C1_F_CLS,2030,3.4219454338124997
Globe,ID,ALUPLANT,C1_F_CLS,2031,3.469144865076
Globe,ID,ALUPLANT,C1_F_CLS,2032,3.5039612505779996
Globe,ID,ALUPLANT,C1_F_CLS,2033,3.5609980485856
Globe,ID,ALUPLANT,C1_F_CLS,2034,3.6056916136208
Globe,ID,ALUPLANT,C1_F_CLS,2035,3.6092660762113
Globe,ID,ALUPLANT,C1_F_CLS,2036,3.6307561181429997
Globe,ID,ALUPLANT,C1_F_CLS,2037,3.7350731735472
Globe,ID,ALUPLANT,C1_F_CLS,2038,3.7766818574775005
Globe,ID,ALUPLANT,C1_F_CLS,2039,3.8175407639667998
Globe,ID,ALUPLANT,C1_F_CLS,2040,3.857687859392
Globe,ID,ALUPLANT,C1_F_CLS,2041,3.8971192703883
Globe,ID,ALUPLANT,C1_F_CLS,2042,3.9358450668953995
Globe,ID,ALUPLANT,C1_F_CLS,2043,3.9739032166836004
Globe,ID,ALUPLANT,C1_F_CLS,2044,4.0112659206636
Globe,ID,ALUPLANT,C1_F_CLS,2045,4.0479937984131995
Globe,ID,ALUPLANT,C1_F_CLS,2046,4.0840728733659
Globe,ID,ALUPLANT,C1_F_CLS,2047,4.1195043089744
Globe,ID,ALUPLANT,C1_F_CLS,2048,4.1543245726426
Globe,ID,ALUPLANT,C1_F_CLS,2049,4.188511587374999
Globe,ID,ALUPLANT,C1_F_CLS,2050,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2051,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2052,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2053,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2054,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2055,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2056,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2057,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2058,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2059,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2060,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2061,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2062,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2063,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2064,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2065,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2066,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2067,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2068,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2069,4.222117752200001
Globe,ID,ALUPLANT,C1_F_CLS,2070,4.222117752200001
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,1.03691479821
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,1.0532296866929
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,1.1017801547662
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,1.1147974396988
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,1.1244765291119998
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,1.1133136074704
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,1.1326641147696002
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,1.1617750442298
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,1.208420026431
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,1.3053102890344999
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,1.3605963011220001
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,1.3696445911816
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,1.420928102088
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,1.4419503260762
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,1.4799373812124001
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,1.5010012427777
Globe,ID,ALUPLANT,C1_F_HEA_I,2026,1.463083654824
Globe,ID,ALUPLANT,C1_F_HEA_I,2027,1.5004604200125
Globe,ID,ALUPLANT,C1_F_HEA_I,2028,1.5796372132506
Globe,ID,ALUPLANT,C1_F_HEA_I,2029,1.6220447551573998
Globe,ID,ALUPLANT,C1_F_HEA_I,2030,1.6495848403125
Globe,ID,ALUPLANT,C1_F_HEA_I,2031,1.6768462015492
Globe,ID,ALUPLANT,C1_F_HEA_I,2032,1.6982487247376
Globe,ID,ALUPLANT,C1_F_HEA_I,2033,1.7305507332896
Globe,ID,ALUPLANT,C1_F_HEA_I,2034,1.756997835549
Globe,ID,ALUPLANT,C1_F_HEA_I,2035,1.7634854378587
Globe,ID,ALUPLANT,C1_F_HEA_I,2036,1.7787805990184997
Globe,ID,ALUPLANT,C1_F_HEA_I,2037,1.8348314282976002
Globe,ID,ALUPLANT,C1_F_HEA_I,2038,1.8602815093875
Globe,ID,ALUPLANT,C1_F_HEA_I,2039,1.8854866606196
Globe,ID,ALUPLANT,C1_F_HEA_I,2040,1.9104707134719998
Globe,ID,ALUPLANT,C1_F_HEA_I,2041,1.9352183338021
Globe,ID,ALUPLANT,C1_F_HEA_I,2042,1.959732128742
Globe,ID,ALUPLANT,C1_F_HEA_I,2043,1.9840324465947998
Globe,ID,ALUPLANT,C1_F_HEA_I,2044,2.0081149326348
Globe,ID,ALUPLANT,C1_F_HEA_I,2045,2.0319843958988
Globe,ID,ALUPLANT,C1_F_HEA_I,2046,2.0556433338795
Globe,ID,ALUPLANT,C1_F_HEA_I,2047,2.0790902029664
Globe,ID,ALUPLANT,C1_F_HEA_I,2048,2.1023494636768
Globe,ID,ALUPLANT,C1_F_HEA_I,2049,2.1253958750249997
Globe,ID,ALUPLANT,C1_F_HEA_I,2050,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2051,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2052,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2053,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2054,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2055,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2056,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2057,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2058,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2059,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2060,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2061,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2062,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2063,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2064,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2065,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2066,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2067,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2068,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2069,2.1482537625
Globe,ID,ALUPLANT,C1_F_HEA_I,2070,2.1482537625
Globe,ID,ALUPLANT,C1_P_HCO,2010,0.8710000105629999
Globe,ID,ALUPLANT,C1_P_HCO,2011,0.8854422210036
Globe,ID,ALUPLANT,C1_P_HCO,2012,0.9270288437046
Globe,ID,ALUPLANT,C1_P_HCO,2013,0.9387585176926
Globe,ID,ALUPLANT,C1_P_HCO,2014,0.9476955273408
Globe,ID,ALUPLANT,C1_P_HCO,2015,0.9390596532058001
Globe,ID,ALUPLANT,C1_P_HCO,2016,0.9561611544912001
Globe,ID,ALUPLANT,C1_P_HCO,2017,0.9815420893122001
Globe,ID,ALUPLANT,C1_P_HCO,2018,1.0217825429485001
Globe,ID,ALUPLANT,C1_P_HCO,2019,1.1046098126
Globe,ID,ALUPLANT,C1_P_HCO,2020,1.152322449396
Globe,ID,ALUPLANT,C1_P_HCO,2021,1.1609213825112
Globe,ID,ALUPLANT,C1_P_HCO,2022,1.2053637020304
Globe,ID,ALUPLANT,C1_P_HCO,2023,1.2241769249489
Globe,ID,ALUPLANT,C1_P_HCO,2024,1.2574304488372
Globe,ID,ALUPLANT,C1_P_HCO,2025,1.2763435771598
Globe,ID,ALUPLANT,C1_P_HCO,2026,1.245088382472
Globe,ID,ALUPLANT,C1_P_HCO,2027,1.2779119940625001
Globe,ID,ALUPLANT,C1_P_HCO,2028,1.3464058499727
Globe,ID,ALUPLANT,C1_P_HCO,2029,1.3836328465463
Globe,ID,ALUPLANT,C1_P_HCO,2030,1.4082336430249998
Globe,ID,ALUPLANT,C1_P_HCO,2031,1.4326239209964
Globe,ID,ALUPLANT,C1_P_HCO,2032,1.4520392881764
Globe,ID,ALUPLANT,C1_P_HCO,2033,1.4808058644064
Globe,ID,ALUPLANT,C1_P_HCO,2034,1.5045985917655
Globe,ID,ALUPLANT,C1_P_HCO,2035,1.511324947925
Globe,ID,ALUPLANT,C1_P_HCO,2036,1.5255980558279998
Globe,ID,ALUPLANT,C1_P_HCO,2037,1.5748830486486003
Globe,ID,ALUPLANT,C1_P_HCO,2038,1.5979461815025002
Globe,ID,ALUPLANT,C1_P_HCO,2039,1.6208290995801997
Globe,ID,ALUPLANT,C1_P_HCO,2040,1.6435527591680001
Globe,ID,ALUPLANT,C1_P_HCO,2041,1.6661013372324003
Globe,ID,ALUPLANT,C1_P_HCO,2042,1.688477548993
Globe,ID,ALUPLANT,C1_P_HCO,2043,1.71070611253
Globe,ID,ALUPLANT,C1_P_HCO,2044,1.7327606258604
Globe,ID,ALUPLANT,C1_P_HCO,2045,1.7546736798788
Globe,ID,ALUPLANT,C1_P_HCO,2046,1.7764245346752001
Globe,ID,ALUPLANT,C1_P_HCO,2047,1.7980191680648
Globe,ID,ALUPLANT,C1_P_HCO,2048,1.8194793402382
Globe,ID,ALUPLANT,C1_P_HCO,2049,1.840780548225
Globe,ID,ALUPLANT,C1_P_HCO,2050,1.8619527663800002
Globe,ID,ALUPLANT,C1_P_HCO,2051,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2052,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2053,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2054,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2055,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2056,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2057,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2058,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2059,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2060,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2061,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2062,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2063,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2064,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2065,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2066,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2067,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2068,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2069,1.8655560210000004
Globe,ID,ALUPLANT,C1_P_HCO,2070,1.8655560210000004
Globe,ID,ALUPLANT,XALU,2010,362.81493020600004
Globe,ID,ALUPLANT,XALU,2011,371.243701367925
Globe,ID,ALUPLANT,XALU,2012,391.1936872571
Globe,ID,ALUPLANT,XALU,2013,398.68029447895003
Globe,ID,ALUPLANT,XALU,2014,405.0241401167999
Globe,ID,ALUPLANT,XALU,2015,403.84995644912505
Globe,ID,ALUPLANT,XALU,2016,413.7564028899001
Globe,ID,ALUPLANT,XALU,2017,427.34609156655
Globe,ID,ALUPLANT,XALU,2018,447.57052837940006
Globe,ID,ALUPLANT,XALU,2019,486.76061935287504
Globe,ID,ALUPLANT,XALU,2020,510.81072817500007
Globe,ID,ALUPLANT,XALU,2021,517.65752535055
Globe,ID,ALUPLANT,XALU,2022,540.6101922672001
Globe,ID,ALUPLANT,XALU,2023,552.2222325300751
Globe,ID,ALUPLANT,XALU,2024,570.4699639006001
Globe,ID,ALUPLANT,XALU,2025,582.3303366336249
Globe,ID,ALUPLANT,XALU,2026,571.2594060096
Globe,ID,ALUPLANT,XALU,2027,589.576499503125
Globe,ID,ALUPLANT,XALU,2028,624.5976418210499
Globe,ID,ALUPLANT,XALU,2029,645.3685150169249
Globe,ID,ALUPLANT,XALU,2030,660.3891869375
Globe,ID,ALUPLANT,XALU,2031,675.423099560275
Globe,ID,ALUPLANT,XALU,2032,688.2037100838
Globe,ID,ALUPLANT,XALU,2033,705.5251579544
Globe,ID,ALUPLANT,XALU,2034,720.5927443286
Globe,ID,ALUPLANT,XALU,2035,727.544195224125
Globe,ID,ALUPLANT,XALU,2036,738.16881143775
Globe,ID,ALUPLANT,XALU,2037,765.8716078558501
Globe,ID,ALUPLANT,XALU,2038,780.9877798425001
Globe,ID,ALUPLANT,XALU,2039,796.11237809605
Globe,ID,ALUPLANT,XALU,2040,811.25017456
Globe,ID,ALUPLANT,XALU,2041,826.398920302425
Globe,ID,ALUPLANT,XALU,2042,841.5545242148
Globe,ID,ALUPLANT,XALU,2043,856.7237090323
Globe,ID,ALUPLANT,XALU,2044,871.8992812638
Globe,ID,ALUPLANT,XALU,2045,887.08814339375
Globe,ID,ALUPLANT,XALU,2046,902.2861656993001
Globe,ID,ALUPLANT,XALU,2047,917.4908069691002
Globe,ID,ALUPLANT,XALU,2048,932.7074438110999
Globe,ID,ALUPLANT,XALU,2049,947.93031039375
Globe,ID,ALUPLANT,XALU,2050,963.1649043000002
Globe,ID,ALUPLANT,XALU,2051,963.1649043000002
Globe,ID,ALUPLANT,XALU,2052,963.1649043000002
Globe,ID,ALUPLANT,XALU,2053,963.1649043000002
Globe,ID,ALUPLANT,XALU,2054,963.1649043000002
Globe,ID,ALUPLANT,XALU,2055,963.1649043000002
Globe,ID,ALUPLANT,XALU,2056,963.1649043000002
Globe,ID,ALUPLANT,XALU,2057,963.1649043000002
Globe,ID,ALUPLANT,XALU,2058,963.1649043000002
Globe,ID,ALUPLANT,XALU,2059,963.1649043000002
Globe,ID,ALUPLANT,XALU,2060,963.1649043000002
Globe,ID,ALUPLANT,XALU,2061,963.1649043000002
Globe,ID,ALUPLANT,XALU,2062,963.1649043000002
Globe,ID,ALUPLANT,XALU,2063,963.1649043000002
Globe,ID,ALUPLANT,XALU,2064,963.1649043000002
Globe,ID,ALUPLANT,XALU,2065,963.1649043000002
Globe,ID,ALUPLANT,XALU,2066,963.1649043000002
Globe,ID,ALUPLANT,XALU,2067,963.1649043000002
Globe,ID,ALUPLANT,XALU,2068,963.1649043000002
Globe,ID,ALUPLANT,XALU,2069,963.1649043000002
Globe,ID,ALUPLANT,XALU,2070,963.1649043000002
Globe,ID,C1BFRDF00,C1_P_LFO,2010,0.10303280442
Globe,ID,C1BFRDF00,C1_P_LFO,2011,0.2773319724
Globe,ID,C1BFRDF00,C1_P_LFO,2012,0.2861306406
Globe,ID,C1BFRDF00,C1_P_LFO,2013,0.28015887479958
Globe,ID,C1BFRDF00,C1_P_LFO,2014,0.2117970741852
Globe,ID,C1BFRDF00,C1_P_LFO,2015,0.1784116899873
Globe,ID,C1BFRDF00,C1_P_LFO,2016,0.1530380897703
Globe,ID,C1BFRDF00,C1_P_LFO,2017,0.17191513111374
Globe,ID,C1BFRDF00,C1_P_LFO,2018,0.1393005695256
Globe,ID,C1BFRDF00,C1_P_LFO,2019,0.12389410198620002
Globe,ID,C1BFRDF00,C1_P_LFO,2020,0.1061276092569
Globe,ID,C1BFRDF00,C1_P_LFO,2022,0.22641299566703996
Globe,ID,C1BFRDF00,C1_P_LFO,2024,0.03520659699081
Globe,ID,C1BFRDF00,C1_P_LFO,2025,0.1766842165746
Globe,ID,C1BFRDF00,C1_P_LFO,2026,0.15211366565472
Globe,ID,C1BFRDF00,C1_P_LFO,2027,0.17309581769151
Globe,ID,C1BFRDF00,C1_P_LFO,2028,0.13351616640053998
Globe,ID,C1BFRDF00,C1_P_LFO,2029,0.05872357598184
Globe,ID,C1BFRDF00,C1_P_LFO,2030,0.0449388170658
Globe,ID,C1BFRDF00,C1_P_LFO,2031,0.031233715230753002
Globe,ID,C1BFRDF00,C1_P_LFO,2032,0.002778996497697
Globe,ID,C1BFRDF00,C1_P_LFO,2033,0.013667182652592001
Globe,ID,C1BFRDF00,C1_S_BIOL,2010,0.58385255838
Globe,ID,C1BFRDF00,C1_S_BIOL,2011,1.5715478436
Globe,ID,C1BFRDF00,C1_S_BIOL,2012,1.6214069634000001
Globe,ID,C1BFRDF00,C1_S_BIOL,2013,1.5875669571976203
Globe,ID,C1BFRDF00,C1_S_BIOL,2014,1.2001834203828
Globe,ID,C1BFRDF00,C1_S_BIOL,2015,1.0109995765947
Globe,ID,C1BFRDF00,C1_S_BIOL,2016,0.8672158420317
Globe,ID,C1BFRDF00,C1_S_BIOL,2017,0.97418574297786
Globe,ID,C1BFRDF00,C1_S_BIOL,2018,0.7893698939784
Globe,ID,C1BFRDF00,C1_S_BIOL,2019,0.7020665779218
Globe,ID,C1BFRDF00,C1_S_BIOL,2020,0.6013897857891001
Globe,ID,C1BFRDF00,C1_S_BIOL,2022,1.28300697544656
Globe,ID,C1BFRDF00,C1_S_BIOL,2024,0.19950404961458998
Globe,ID,C1BFRDF00,C1_S_BIOL,2025,1.0012105605894
Globe,ID,C1BFRDF00,C1_S_BIOL,2026,0.8619774387100799
Globe,ID,C1BFRDF00,C1_S_BIOL,2027,0.98087630025189
Globe,ID,C1BFRDF00,C1_S_BIOL,2028,0.7565916096030599
Globe,ID,C1BFRDF00,C1_S_BIOL,2029,0.33276693056376
Globe,ID,C1BFRDF00,C1_S_BIOL,2030,0.2546532967062
Globe,ID,C1BFRDF00,C1_S_BIOL,2031,0.17699105297426704
Globe,ID,C1BFRDF00,C1_S_BIOL,2032,0.015747646820283002
