REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.20996668
Globe,ALUPLANT,2011,4.27081386
Globe,ALUPLANT,2012,4.46203942
Globe,ALUPLANT,2013,4.50907825
Globe,ALUPLANT,2014,4.54251361
Globe,ALUPLANT,2015,4.49177587
Globe,ALUPLANT,2016,4.56410223
Globe,ALUPLANT,2017,4.6755461700000005
Globe,ALUPLANT,2018,4.857188900000001
Globe,ALUPLANT,2019,5.240084469999999
Globe,ALUPLANT,2020,5.45519397
Globe,ALUPLANT,2021,5.48463334
Globe,ALUPLANT,2022,5.68291683
Globe,ALUPLANT,2023,5.75982964
Globe,ALUPLANT,2024,5.9042331500000005
Globe,ALUPLANT,2025,5.9808233
Globe,ALUPLANT,2026,5.8225233
Globe,ALUPLANT,2027,5.96388746
Globe,ALUPLANT,2028,6.2708403200000005
Globe,ALUPLANT,2029,6.43122409
Globe,ALUPLANT,2030,6.5323625100000005
Globe,ALUPLANT,2031,6.63214965
Globe,ALUPLANT,2032,6.7085212
Globe,ALUPLANT,2033,6.82773437
Globe,ALUPLANT,2034,6.92358364
Globe,ALUPLANT,2035,6.94064268
Globe,ALUPLANT,2036,6.9922545
Globe,ALUPLANT,2037,7.203779389999999
Globe,ALUPLANT,2038,7.294792459999999
Globe,ALUPLANT,2039,7.38462458
Globe,ALUPLANT,2040,7.473343949999999
Globe,ALUPLANT,2041,7.56095292
Globe,ALUPLANT,2042,7.647436689999999
Globe,ALUPLANT,2043,7.73287876
Globe,ALUPLANT,2044,7.817235610000001
Globe,ALUPLANT,2045,7.900590210000001
Globe,ALUPLANT,2046,7.98292585
Globe,ALUPLANT,2047,8.06424037
Globe,ALUPLANT,2048,8.14460059
Globe,ALUPLANT,2049,8.223974980000001
Globe,ALUPLANT,2050,8.30243004
Globe,ALUPLANT,2051,8.30243004
Globe,ALUPLANT,2052,8.30243004
Globe,ALUPLANT,2053,8.30243004
Globe,ALUPLANT,2054,8.30243004
Globe,ALUPLANT,2055,8.302430039999999
Globe,ALUPLANT,2056,8.30243004
Globe,ALUPLANT,2057,8.30243004
Globe,ALUPLANT,2058,8.30243004
Globe,ALUPLANT,2059,8.302430039999999
Globe,ALUPLANT,2060,8.30243004
Globe,ALUPLANT,2061,8.30243004
Globe,ALUPLANT,2062,8.30243004
Globe,ALUPLANT,2063,8.30243004
Globe,ALUPLANT,2064,8.30243004
Globe,ALUPLANT,2065,8.30243004
Globe,ALUPLANT,2066,8.30243004
Globe,ALUPLANT,2067,8.30243004
Globe,ALUPLANT,2068,8.30243004
Globe,ALUPLANT,2069,8.30243004
Globe,ALUPLANT,2070,8.30243004
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964388
Globe,C1BFRDF00,2023,0.49664388
Globe,C1BFRDF00,2024,0.47354388
Globe,C1BFRDF00,2025,0.47354388
Globe,C1BFRDF00,2026,0.47354388
Globe,C1BFRDF00,2027,0.47354388
Globe,C1BFRDF00,2028,0.47354388
Globe,C1BFRDF00,2029,0.47354388
Globe,C1BFRDF00,2030,0.47354388
Globe,C1BFRDF00,2031,0.47354388
Globe,C1BFRDF00,2032,0.47354388
Globe,C1BFRDF00,2033,0.47354388
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.273701836
Globe,C1BMBRFH1,2022,0.22150183599999998
Globe,C1BMBRFH1,2023,0.24698129800000002
Globe,C1BMBRFH1,2024,0.22457150699999998
Globe,C1BMBRFH1,2025,0.18271149799999997
Globe,C1BMBRFH1,2026,0.20001715799999997
Globe,C1BMBRFH1,2027,0.20001715799999997
Globe,C1BMBRFH1,2028,0.20001715799999997
Globe,C1BMBRFH1,2029,0.20001715799999997
Globe,C1BMBRFH1,2030,0.20001715799999997
Globe,C1BMBRFH1,2031,0.20001715799999997
Globe,C1BMBRFH1,2032,0.20001715799999997
Globe,C1BMBRFH1,2033,0.20001715799999997
Globe,C1BMBRFH1,2034,0.20001715799999997
Globe,C1BMBRFH1,2035,0.20001715799999997
Globe,C1BMBRFH1,2036,0.135115322
Globe,C1BMBRFH1,2037,0.135115322
Globe,C1BMBRFH1,2038,0.05743586
Globe,C1BMBRFH1,2039,0.027645651
Globe,C1BMBRFH1,2040,0.01730566
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.0764057021
Globe,C1BMBRFN1,2016,0.11640570210000001
Globe,C1BMBRFN1,2017,0.15640570210000002
Globe,C1BMBRFN1,2018,0.19640570210000002
Globe,C1BMBRFN1,2019,0.2464057021
Globe,C1BMBRFN1,2020,0.2964057021
Globe,C1BMBRFN1,2021,0.3464057021
Globe,C1BMBRFN1,2022,0.3964057021
Globe,C1BMBRFN1,2023,0.44640570209999997
Globe,C1BMBRFN1,2024,0.49640570209999996
Globe,C1BMBRFN1,2025,0.4764057021
Globe,C1BMBRFN1,2026,0.5264057021
Globe,C1BMBRFN1,2027,0.5764057021000001
Globe,C1BMBRFN1,2028,0.6264057021000001
Globe,C1BMBRFN1,2029,0.6526077161000001
Globe,C1BMBRFN1,2030,0.6838078500000001
Globe,C1BMBRFN1,2031,0.6938078500000001
Globe,C1BMBRFN1,2032,0.7038078500000001
Globe,C1BMBRFN1,2033,0.7138078500000001
Globe,C1BMBRFN1,2034,0.7138078500000002
Globe,C1BMBRFN1,2035,0.7138078500000002
Globe,C1BMBRFN1,2036,0.7138078500000002
Globe,C1BMBRFN1,2037,0.7138078500000002
Globe,C1BMBRFN1,2038,0.7138078500000002
Globe,C1BMBRFN1,2039,0.7138078500000002
Globe,C1BMBRFN1,2040,0.7138078500000002
Globe,C1BMBRFN1,2041,0.7138078500000002
Globe,C1BMBRFN1,2042,0.7138078500000002
Globe,C1BMBRFN1,2043,0.6994656400000002
Globe,C1BMBRFN1,2044,0.7000214370000001
Globe,C1BMBRFN1,2045,0.7124156010000001
Globe,C1BMBRFN1,2046,0.7124156010000001
Globe,C1BMBRFN1,2047,0.7124156010000001
Globe,C1BMBRFN1,2048,0.7124156010000002
Globe,C1BMBRFN1,2049,0.7124156010000002
Globe,C1BMBRFN1,2050,0.7124156010000002
Globe,C1BMBRFN1,2051,0.7124156010000002
Globe,C1BMBRFN1,2052,0.7124156010000002
Globe,C1BMBRFN1,2053,0.7124156010000002
Globe,C1BMBRFN1,2054,0.7124156010000002
Globe,C1BMBRFN1,2055,0.7124156010000002
Globe,C1BMBRFN1,2056,0.7124156010000002
Globe,C1BMBRFN1,2057,0.7124156010000002
Globe,C1BMBRFN1,2058,0.7267578110000003
Globe,C1BMBRFN1,2059,0.7500000000000002
Globe,C1BMBRFN1,2060,0.7500000000000002
Globe,C1BMBRFN1,2061,0.7500000000000002
Globe,C1BMBRFN1,2062,0.7500000000000002
Globe,C1BMBRFN1,2063,0.7500000000000002
Globe,C1BMBRFN1,2064,0.7500000000000002
Globe,C1BMBRFN1,2065,0.7495299290000002
Globe,C1BMBRFN1,2066,0.7360367580000001
Globe,C1BMBRFN1,2067,0.7183842870000001
Globe,C1BMBRFN1,2068,0.7183842870000001
Globe,C1BMBRFN1,2069,0.7183842870000001
Globe,C1BMBRFN1,2070,0.6999728710000002
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
Globe,C1BMCHP00,2017,0.028200000000000003
Globe,C1BMCHP00,2018,0.0293
Globe,C1BMCHP00,2019,0.0303
Globe,C1BMCHP00,2020,0.0393
Globe,C1BMCHP00,2021,0.0483
Globe,C1BMCHP00,2022,0.05740000000000001
Globe,C1BMCHP00,2023,0.06640000000000001
Globe,C1BMCHP00,2024,0.0754
Globe,C1BMCHP00,2025,0.0845
Globe,C1BMCHP00,2026,0.0935
Globe,C1BMCHP00,2027,0.1025
Globe,C1BMCHP00,2028,0.11149999999999999
