REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,31.134622994636505
Globe,CO2EQ,2011,31.851475898631865
Globe,CO2EQ,2012,32.21878905401089
Globe,CO2EQ,2013,32.49475494549017
Globe,CO2EQ,2014,32.89077922858535
Globe,CO2EQ,2015,32.871921489205675
Globe,CO2EQ,2016,32.901601866496485
Globe,CO2EQ,2017,33.52957181804635
Globe,CO2EQ,2018,34.195922789685525
Globe,CO2EQ,2019,34.40302902633011
Globe,CO2EQ,2020,33.27143066603166
Globe,CO2EQ,2021,30.389598026760382
Globe,CO2EQ,2022,28.44651395535383
Globe,CO2EQ,2023,27.09382423898263
Globe,CO2EQ,2024,26.065639244460247
Globe,CO2EQ,2025,26.034143989632366
Globe,CO2EQ,2026,25.455762120764675
Globe,CO2EQ,2027,25.275211471713572
Globe,CO2EQ,2028,25.074521036220055
Globe,CO2EQ,2029,24.92165866475945
Globe,CO2EQ,2030,24.69973448910545
Globe,CO2EQ,2031,23.77947338789874
Globe,CO2EQ,2032,23.38104418760515
Globe,CO2EQ,2033,22.914361440173472
Globe,CO2EQ,2034,22.363415248721658
Globe,CO2EQ,2035,21.716842215909942
Globe,CO2EQ,2036,21.12863865143755
Globe,CO2EQ,2037,20.93249508043374
Globe,CO2EQ,2038,20.72870863812746
Globe,CO2EQ,2039,20.509374337386323
Globe,CO2EQ,2040,19.884460180496532
Globe,CO2EQ,2041,18.357442662791115
Globe,CO2EQ,2042,18.037920516632862
Globe,CO2EQ,2043,17.558994421095658
Globe,CO2EQ,2044,15.381171482035027
Globe,CO2EQ,2045,6.5354662756080995
Globe,CO2EQ,2046,6.189863637134817
Globe,CO2EQ,2047,6.062194825144417
Globe,CO2EQ,2048,0.9049632238468378
Globe,CO2EQ,2049,0.1742510815669138
Globe,CO2EQ,2050,-0.05613841879891604
Globe,CO2EQ,2051,-0.20393120371793538
Globe,CO2EQ,2052,-0.35672747751505296
Globe,CO2EQ,2053,-0.5164601969443842
Globe,CO2EQ,2054,-0.6767431451984626
Globe,CO2EQ,2055,-0.9067037908964323
Globe,CO2EQ,2056,-1.0373305271485973
Globe,CO2EQ,2057,-1.148625973577751
Globe,CO2EQ,2058,-1.2591548521397455
Globe,CO2EQ,2059,-1.3692237899813826
Globe,CO2EQ,2060,-1.0005491330308185
Globe,WATER,2010,21.601391062659005
Globe,WATER,2011,21.78038808369705
Globe,WATER,2012,21.933086890544505
Globe,WATER,2013,22.10915770603824
Globe,WATER,2014,22.141730414349137
Globe,WATER,2015,22.41338488800922
Globe,WATER,2016,22.5731259077621
Globe,WATER,2017,22.631740039456243
Globe,WATER,2018,22.62585345400458
Globe,WATER,2019,22.905709183553963
Globe,WATER,2020,22.876250583793347
Globe,WATER,2021,23.707737276059127
Globe,WATER,2022,24.454624069722367
Globe,WATER,2023,25.424537788598126
Globe,WATER,2024,26.58310128707908
Globe,WATER,2025,27.821040548006703
Globe,WATER,2026,29.098965525429403
Globe,WATER,2027,30.451583043038852
Globe,WATER,2028,31.908539376888648
Globe,WATER,2029,33.15796269993892
Globe,WATER,2030,34.48041515297772
Globe,WATER,2031,35.76428279184636
Globe,WATER,2032,37.22723568018682
Globe,WATER,2033,38.755545315678006
Globe,WATER,2034,40.35951359441959
Globe,WATER,2035,42.035668752875104
Globe,WATER,2036,43.77869675164137
Globe,WATER,2037,45.609609276668046
Globe,WATER,2038,47.52215785116559
Globe,WATER,2039,49.50681818808605
Globe,WATER,2040,51.574282759661045
Globe,WATER,2041,59.99951390720002
Globe,WATER,2042,62.25066717755611
Globe,WATER,2043,64.63885996990277
Globe,WATER,2044,67.55862726501967
Globe,WATER,2045,72.16504056880137
Globe,WATER,2046,74.87860928998727
Globe,WATER,2047,77.71924372780626
Globe,WATER,2048,81.71779252208626
Globe,WATER,2049,84.83769770292977
Globe,WATER,2050,88.03649585403828
Globe,WATER,2051,91.26314149388838
Globe,WATER,2052,94.66407104243919
Globe,WATER,2053,98.2497017890709
Globe,WATER,2054,102.01204188497132
Globe,WATER,2055,106.13041616432189
Globe,WATER,2056,107.48680334319947
Globe,WATER,2057,107.53553550704721
Globe,WATER,2058,107.58394269740695
Globe,WATER,2059,107.63215490367368
Globe,WATER,2060,107.18548861301464
