REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2016,12.55534634717275
Globe,ALUPLANT,2017,31.290864927319788
Globe,ALUPLANT,2018,31.411328095923075
Globe,ALUPLANT,2019,24.86573823696511
Globe,ALUPLANT,2020,24.619566316186702
Globe,ALUPLANT,2021,24.395843836055274
Globe,ALUPLANT,2022,66.36103788707943
Globe,ALUPLANT,2023,32.194794296375555
Globe,ALUPLANT,2024,32.321839491053524
Globe,ALUPLANT,2025,38.595324928044754
Globe,ALURCPLANT,2010,87.592864
Globe,ALURCPLANT,2011,3.4753470000000064
Globe,ALURCPLANT,2012,3.478555999999999
Globe,ALURCPLANT,2013,3.4753470000000006
Globe,ALURCPLANT,2014,3.4753470000000064
Globe,ALURCPLANT,2015,3.475347000000005
Globe,ALURCPLANT,2016,3.4785559999999873
Globe,ALURCPLANT,2017,3.475346999999995
Globe,ALURCPLANT,2018,3.475347000000018
Globe,ALURCPLANT,2019,7.191369000000001
Globe,ALURCPLANT,2020,7.4095809999999895
Globe,ALURCPLANT,2021,7.624584
Globe,ALURCPLANT,2022,7.842796000000013
Globe,ALURCPLANT,2023,3.911771000000007
Globe,ALURCPLANT,2024,3.911771000000001
Globe,ALURCPLANT,2025,3.9085619999999865
Globe,ALURCPLANT,2026,290.33748399999996
Globe,ALURCPLANT,2027,10.862464999999972
Globe,ALURCPLANT,2028,10.862465000000086
Globe,ALURCPLANT,2029,10.865673999999965
Globe,ALURCPLANT,2030,10.862464999999972
Globe,ALURCPLANT,2031,10.862464999999972
Globe,ALURCPLANT,2032,10.862465000000057
Globe,ALURCPLANT,2033,10.865673999999988
Globe,ALURCPLANT,2034,10.862464999999972
Globe,ALURCPLANT,2035,98.45532900000003
Globe,ALURCPLANT,2036,14.337812000000065
Globe,ALURCPLANT,2037,14.34422999999991
Globe,ALURCPLANT,2038,14.337811999999964
Globe,ALURCPLANT,2039,14.337812000000149
Globe,ALURCPLANT,2040,14.337812000000003
Globe,ALURCPLANT,2041,14.34422999999991
Globe,ALURCPLANT,2042,14.337811999999964
Globe,ALURCPLANT,2043,14.337812000000149
Globe,ALURCPLANT,2044,18.05704299999994
Globe,ALURCPLANT,2045,18.272045999999964
Globe,ALURCPLANT,2046,18.487049000000077
Globe,ALURCPLANT,2047,18.705261000000025
Globe,ALURCPLANT,2048,14.777444999999968
Globe,ALURCPLANT,2049,14.774235999999952
Globe,ALURCPLANT,2050,14.771027000000029
Globe,ALURCPLANT,2051,290.3374839999999
Globe,ALURCPLANT,2052,10.862465000000064
Globe,ALURCPLANT,2053,10.862465000000064
Globe,ALURCPLANT,2054,10.865673999999988
Globe,ALURCPLANT,2055,10.86246499999998
Globe,ALURCPLANT,2056,10.862464999999993
Globe,ALURCPLANT,2057,10.862464999999972
Globe,ALURCPLANT,2058,10.865674000000118
Globe,ALURCPLANT,2059,10.862464999999986
Globe,ALURCPLANT,2060,98.45532899999995
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.126605300000002
Globe,C1BFRDF00,2012,2.135851410000001
Globe,C1BMBRFH1,2024,37.03544
Globe,C1BMBRFH1,2025,40.44456
Globe,C1BMBRFH1,2039,37.03544
Globe,C1BMBRFH1,2040,40.44456
Globe,C1BMBRFH1,2054,37.03544
Globe,C1BMBRFH1,2055,40.44456
Globe,C1BMBRFN1,2010,6.428723112914438
Globe,C1BMCHP00,2010,266.2536
Globe,C1BMCHP00,2016,137.58323874860557
Globe,C1BMHTF03,2010,207.34038852053325
Globe,C1BMHTF03,2030,45.5
Globe,C1BMHTF03,2046,9.76070405855125
Globe,C1BMHTF03,2047,7.590082247755554
Globe,C1BMHTF03,2048,8.115991120579247
Globe,C1BMHTF03,2049,8.2518005372071
Globe,C1BMHTF03,2050,54.07945639770168
Globe,C1BMHTF03,2051,13.019617554565833
Globe,C1BMHTF03,2052,12.37294941219365
Globe,C1BMHTF03,2053,11.917350202620476
Globe,C1BMHTF03,2054,11.686640026455503
Globe,C1BMHTF03,2055,11.621079796384361
Globe,C1BMHTF03,2056,4.860541272956995
Globe,C1BMHTF03,2057,1.3285676032835252
Globe,C1BMHTF03,2058,1.039748559091371
Globe,C1BMHTF03,2059,0.8664571325764296
Globe,C1BMHTF03,2060,0.6642838016413151
Globe,C1BMIGPCS,2021,543.7560000000001
Globe,C1BMIGPCS,2022,543.7560000000001
Globe,C1BMIGPCS,2023,543.7560000000001
Globe,C1BMIGPCS,2024,508.3014866766102
Globe,C1BMIGPCS,2025,21.036983114678122
Globe,C1BMIGPCS,2026,22.667245887065842
Globe,C1BMIGPCS,2027,23.81892497657374
Globe,C1BMIGPCS,2028,0.8284140477494507
Globe,C1BMIGPCS,2051,543.7560000000001
Globe,C1BMIGPCS,2052,543.7560000000001
Globe,C1BMIGPCS,2053,543.7560000000001
Globe,C1BMIGPCS,2054,508.3014866766105
Globe,C1BMIGPCS,2055,21.036983114676467
Globe,C1BMIGPCS,2056,22.667245887065697
Globe,C1BMIGPCS,2057,23.818924976573985
Globe,C1BMIGPCS,2058,0.8284140477499716
Globe,C1BMLP000,2010,257.6479224010212
Globe,C1BMLP000,2011,32.2021161531064
Globe,C1BMLP000,2012,31.946823223531972
Globe,C1BMLP000,2014,202.24526637293198
Globe,C1COBRFH1,2010,11.96
Globe,C1COBRFH1,2011,11.96
Globe,C1COBRFH1,2012,11.96
Globe,C1COBRFH1,2013,11.96
Globe,C1COBRFH1,2014,11.96
Globe,C1COBRFH1,2019,7.993931119411118
Globe,C1COCHP00,2010,325.0
Globe,C1COCHP00,2014,12.396310761609502
Globe,C1COCHP00,2015,312.5
Globe,C1COCHP00,2016,310.0
Globe,C1COCHP00,2017,307.5
Globe,C1COCHP00,2018,305.0
Globe,C1COCHP00,2019,302.5
Globe,C1COCHP00,2020,300.0
Globe,C1COCHP00,2021,298.5
Globe,C1COCHP00,2022,297.0
Globe,C1COCHP00,2039,197.76090528124567
Globe,C1COCHP00,2040,285.0
Globe,C1COCHP00,2041,285.0
Globe,C1COCHP00,2042,285.0
Globe,C1COCHP00,2043,285.0
Globe,C1COCHP00,2044,285.0
Globe,C1COCHP00,2045,285.0
Globe,C1COCHP00,2046,285.0
Globe,C1COCHP00,2047,285.0
Globe,C1COCHP00,2048,285.0
Globe,C1COCHP00,2049,285.0
Globe,C1COCHP00,2050,141.2340014649963
Globe,C1COCHP00,2054,77.83315869049085
Globe,C1COCHP00,2055,285.0
Globe,C1COCHP00,2056,285.0
Globe,C1COCHP00,2057,285.0
Globe,C1COCHP00,2058,285.0
Globe,C1COCHP00,2059,285.0
Globe,C1COCHP00,2060,135.75162306286865
Globe,C1COHTF03,2010,23.4
Globe,C1COHTF03,2011,23.4
Globe,C1COHTF03,2012,23.4
Globe,C1COHTF03,2013,23.4
Globe,C1COHTF03,2014,23.4
Globe,C1COHTF03,2015,23.4
