REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,58.004
Globe,ALUPLANT,ALU,2011,60.306299999999986
Globe,ALUPLANT,ALU,2012,62.60749999999999
Globe,ALUPLANT,ALU,2013,64.90979999999999
Globe,ALUPLANT,ALU,2014,67.21199999999999
Globe,ALUPLANT,ALU,2015,69.514
Globe,ALUPLANT,ALU,2016,71.81599999999999
Globe,ALUPLANT,ALU,2017,74.118
Globe,ALUPLANT,ALU,2018,76.42
Globe,ALUPLANT,ALU,2019,77.564
Globe,ALUPLANT,ALU,2020,78.641
Globe,ALUPLANT,ALU,2021,79.64999999999998
Globe,ALUPLANT,ALU,2022,80.59099999999997
Globe,ALUPLANT,ALU,2023,82.75699999999996
Globe,ALUPLANT,ALU,2024,84.92399999999999
Globe,ALUPLANT,ALU,2025,87.09100000000001
Globe,ALURCPLANT,ALU,2010,27.296
Globe,ALURCPLANT,ALU,2011,28.378999999999998
Globe,ALURCPLANT,ALU,2012,29.463
Globe,ALURCPLANT,ALU,2013,30.546
Globe,ALURCPLANT,ALU,2014,31.629
Globe,ALURCPLANT,ALU,2015,32.712
Globe,ALURCPLANT,ALU,2016,33.796
Globe,ALURCPLANT,ALU,2017,34.879
Globe,ALURCPLANT,ALU,2018,35.962
Globe,ALURCPLANT,ALU,2019,38.203
Globe,ALURCPLANT,ALU,2020,40.512
Globe,ALURCPLANT,ALU,2021,42.888
Globe,ALURCPLANT,ALU,2022,45.332
Globe,ALURCPLANT,ALU,2023,46.551
Globe,ALURCPLANT,ALU,2024,47.77
Globe,ALURCPLANT,ALU,2025,48.988
Globe,ALURCPLANT,ALU,2026,139.464
Globe,ALURCPLANT,ALU,2027,142.849
Globe,ALURCPLANT,ALU,2028,146.234
Globe,ALURCPLANT,ALU,2029,149.62
Globe,ALURCPLANT,ALU,2030,153.005
Globe,ALURCPLANT,ALU,2031,156.39
Globe,ALURCPLANT,ALU,2032,159.775
Globe,ALURCPLANT,ALU,2033,163.161
Globe,ALURCPLANT,ALU,2034,166.546
Globe,ALURCPLANT,ALU,2035,169.931
Globe,ALURCPLANT,ALU,2036,173.316
Globe,ALURCPLANT,ALU,2037,176.702
Globe,ALURCPLANT,ALU,2038,180.087
Globe,ALURCPLANT,ALU,2039,183.472
Globe,ALURCPLANT,ALU,2040,186.857
Globe,ALURCPLANT,ALU,2041,190.243
Globe,ALURCPLANT,ALU,2042,193.628
Globe,ALURCPLANT,ALU,2043,197.013
Globe,ALURCPLANT,ALU,2044,200.399
Globe,ALURCPLANT,ALU,2045,203.784
Globe,ALURCPLANT,ALU,2046,207.16900000000004
Globe,ALURCPLANT,ALU,2047,210.55400000000003
Globe,ALURCPLANT,ALU,2048,213.94
Globe,ALURCPLANT,ALU,2049,217.325
Globe,ALURCPLANT,ALU,2050,220.71
Globe,ALURCPLANT,ALU,2051,220.71
Globe,ALURCPLANT,ALU,2052,220.71
Globe,ALURCPLANT,ALU,2053,220.71
