REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,63.281693214051934
Globe,ID,ALUPLANT,ALU,2011,60.3063
Globe,ID,ALUPLANT,ALU,2012,65.11786087812956
Globe,ID,ALUPLANT,ALU,2013,70.81584115208378
Globe,ID,ALUPLANT,ALU,2014,67.21199999999999
Globe,ID,ALUPLANT,ALU,2015,69.51399999999998
Globe,ID,ALUPLANT,ALU,2016,71.81599999999999
Globe,ID,ALUPLANT,ALU,2017,74.118
Globe,ID,ALUPLANT,ALU,2018,76.41999999999999
Globe,ID,ALUPLANT,ALU,2019,77.564
Globe,ID,ALUPLANT,ALU,2020,78.64100000000002
Globe,ID,ALUPLANT,ALU,2021,79.64999999999998
Globe,ID,ALUPLANT,ALU,2022,87.92384900720049
Globe,ID,ALUPLANT,ALU,2023,90.2869299585424
Globe,ID,ALUPLANT,ALU,2024,92.65110189831987
Globe,ID,ALUPLANT,ALU,2025,87.09100000000001
Globe,ID,ALURCPLANT,ALU,2010,27.296
Globe,ID,ALURCPLANT,ALU,2011,28.379
Globe,ID,ALURCPLANT,ALU,2012,29.463
Globe,ID,ALURCPLANT,ALU,2013,30.546
Globe,ID,ALURCPLANT,ALU,2014,31.629
Globe,ID,ALURCPLANT,ALU,2015,32.712
Globe,ID,ALURCPLANT,ALU,2016,33.796
Globe,ID,ALURCPLANT,ALU,2017,34.879
Globe,ID,ALURCPLANT,ALU,2018,35.962
Globe,ID,ALURCPLANT,ALU,2019,38.203
Globe,ID,ALURCPLANT,ALU,2020,40.512
Globe,ID,ALURCPLANT,ALU,2021,42.888
Globe,ID,ALURCPLANT,ALU,2022,45.332
Globe,ID,ALURCPLANT,ALU,2023,46.551
Globe,ID,ALURCPLANT,ALU,2024,47.77
Globe,ID,ALURCPLANT,ALU,2025,48.988
Globe,ID,ALURCPLANT,ALU,2026,139.464
Globe,ID,ALURCPLANT,ALU,2027,142.849
Globe,ID,ALURCPLANT,ALU,2028,146.234
Globe,ID,ALURCPLANT,ALU,2029,149.62
Globe,ID,ALURCPLANT,ALU,2030,153.005
Globe,ID,ALURCPLANT,ALU,2031,156.39
Globe,ID,ALURCPLANT,ALU,2032,159.775
Globe,ID,ALURCPLANT,ALU,2033,163.161
Globe,ID,ALURCPLANT,ALU,2034,166.546
Globe,ID,ALURCPLANT,ALU,2035,169.931
Globe,ID,ALURCPLANT,ALU,2036,173.316
Globe,ID,ALURCPLANT,ALU,2037,176.702
Globe,ID,ALURCPLANT,ALU,2038,180.087
Globe,ID,ALURCPLANT,ALU,2039,183.472
Globe,ID,ALURCPLANT,ALU,2040,186.857
Globe,ID,ALURCPLANT,ALU,2041,190.243
Globe,ID,ALURCPLANT,ALU,2042,193.628
Globe,ID,ALURCPLANT,ALU,2043,197.013
Globe,ID,ALURCPLANT,ALU,2044,200.399
Globe,ID,ALURCPLANT,ALU,2045,203.784
Globe,ID,ALURCPLANT,ALU,2046,207.169
Globe,ID,ALURCPLANT,ALU,2047,210.554
Globe,ID,ALURCPLANT,ALU,2048,213.94
Globe,ID,ALURCPLANT,ALU,2049,217.325
Globe,ID,ALURCPLANT,ALU,2050,220.71
Globe,ID,ALURCPLANT,ALU,2051,220.71
Globe,ID,ALURCPLANT,ALU,2052,220.71
Globe,ID,ALURCPLANT,ALU,2053,220.71
Globe,ID,ALURCPLANT,ALU,2054,220.71
Globe,ID,ALURCPLANT,ALU,2055,220.71000000000004
Globe,ID,ALURCPLANT,ALU,2056,220.71
Globe,ID,ALURCPLANT,ALU,2057,220.71
Globe,ID,ALURCPLANT,ALU,2058,220.71
Globe,ID,ALURCPLANT,ALU,2059,220.71
Globe,ID,ALURCPLANT,ALU,2060,220.71
Globe,ID,ALURECYCLE,RCALU,2010,70.2777003011128
Globe,ID,ALURECYCLE,RCALU,2011,73.06724029456689
Globe,ID,ALURECYCLE,RCALU,2012,75.85530246345189
Globe,ID,ALURECYCLE,RCALU,2013,78.64467662666378
Globe,ID,ALURECYCLE,RCALU,2014,81.43421662011781
Globe,ID,ALURECYCLE,RCALU,2015,84.22359078332971
Globe,ID,ALURECYCLE,RCALU,2016,87.0116529522147
Globe,ID,ALURECYCLE,RCALU,2017,89.80119294566879
Globe,ID,ALURECYCLE,RCALU,2018,92.59056710888065
