REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,0.7073706536982584
Globe,ID,ALUPLANT,C1_F_CLS,2011,0.6679454405485672
Globe,ID,ALUPLANT,C1_F_CLS,2012,0.7146789463925004
Globe,ID,ALUPLANT,C1_F_CLS,2013,0.7701932555310468
Globe,ID,ALUPLANT,C1_F_CLS,2014,0.7244322668198185
Globe,ID,ALUPLANT,C1_F_CLS,2015,0.7425587139594203
Globe,ID,ALUPLANT,C1_F_CLS,2016,0.7603453039246657
Globe,ID,ALUPLANT,C1_F_CLS,2017,0.7777947832140475
Globe,ID,ALUPLANT,C1_F_CLS,2018,0.7949239749625495
Globe,ID,ALUPLANT,C1_F_CLS,2019,0.7997912758276874
Globe,ID,ALUPLANT,C1_F_CLS,2020,0.8038729440149314
Globe,ID,ALUPLANT,C1_F_CLS,2021,0.8071738778566605
Globe,ID,ALUPLANT,C1_F_CLS,2022,0.8833879470553436
Globe,ID,ALUPLANT,C1_F_CLS,2023,0.8994066940078118
Globe,ID,ALUPLANT,C1_F_CLS,2024,0.9151396413422949
Globe,ID,ALUPLANT,C1_F_CLS,2025,0.8529766218655859
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,0.3231482741461208
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,0.30595706239795445
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,0.32824424217863063
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,0.35469226146766686
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,0.33451457778449467
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,0.34380605503793227
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,0.35298886256592155
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,0.3620610797411044
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,0.37102954390938697
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,0.3743051961153654
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,0.3772288185197236
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,0.3797975050946178
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,0.41677671504448927
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,0.4254762231021041
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,0.4340842088648895
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,0.4056897002355336
Globe,ID,ALUPLANT,C1_P_HCO,2010,0.2714419262610269
Globe,ID,ALUPLANT,C1_P_HCO,2011,0.2572157852025802
Globe,ID,ALUPLANT,C1_P_HCO,2012,0.2761820304742374
Globe,ID,ALUPLANT,C1_P_HCO,2013,0.2986824061081322
Globe,ID,ALUPLANT,C1_P_HCO,2014,0.28192493217000364
Globe,ID,ALUPLANT,C1_P_HCO,2015,0.28999411544743803
Globe,ID,ALUPLANT,C1_P_HCO,2016,0.29798263576331474
Globe,ID,ALUPLANT,C1_P_HCO,2017,0.30589242765436836
Globe,ID,ALUPLANT,C1_P_HCO,2018,0.31372494877003976
Globe,ID,ALUPLANT,C1_P_HCO,2019,0.31675318582068723
Globe,ID,ALUPLANT,C1_P_HCO,2020,0.319484358278018
Globe,ID,ALUPLANT,C1_P_HCO,2021,0.32191931215408837
Globe,ID,ALUPLANT,C1_P_HCO,2022,0.35354886952259207
Globe,ID,ALUPLANT,C1_P_HCO,2023,0.36121783463467316
Globe,ID,ALUPLANT,C1_P_HCO,2024,0.3688201328754608
Globe,ID,ALUPLANT,C1_P_HCO,2025,0.3449693634212364
Globe,ID,ALUPLANT,XALU,2010,113.06909567971049
Globe,ID,ALUPLANT,XALU,2011,107.84406137149547
Globe,ID,ALUPLANT,XALU,2012,116.54509737109873
Globe,ID,ALUPLANT,XALU,2013,126.84702193322516
Globe,ID,ALUPLANT,XALU,2014,120.4884901694597
Globe,ID,ALUPLANT,XALU,2015,124.71417056915688
Globe,ID,ALUPLANT,XALU,2016,128.94502450550567
Globe,ID,ALUPLANT,XALU,2017,133.18008805795614
Globe,ID,ALUPLANT,XALU,2018,137.42066945244733
Globe,ID,ALUPLANT,XALU,2019,139.5814686272207
Globe,ID,ALUPLANT,XALU,2020,141.6235861568588
Globe,ID,ALUPLANT,XALU,2021,143.54464073375743
Globe,ID,ALUPLANT,XALU,2022,158.56800898061158
Globe,ID,ALUPLANT,XALU,2023,162.94427630027883
Globe,ID,ALUPLANT,XALU,2024,167.32600048125548
Globe,ID,ALUPLANT,XALU,2025,157.39180731912313
Globe,ID,ALURCPLANT,C1_F_CLS,2010,0.0013760732479999999
Globe,ID,ALURCPLANT,C1_F_CLS,2011,0.001430670527
Globe,ID,ALURCPLANT,C1_F_CLS,2012,0.0014853182190000002
Globe,ID,ALURCPLANT,C1_F_CLS,2013,0.001539915498
Globe,ID,ALURCPLANT,C1_F_CLS,2014,0.001594512777
Globe,ID,ALURCPLANT,C1_F_CLS,2015,0.001649110056
Globe,ID,ALURCPLANT,C1_F_CLS,2016,0.001703757748
Globe,ID,ALURCPLANT,C1_F_CLS,2017,0.0017583550269999997
Globe,ID,ALURCPLANT,C1_F_CLS,2018,0.0018129523060000001
Globe,ID,ALURCPLANT,C1_F_CLS,2019,0.0019259278390000001
Globe,ID,ALURCPLANT,C1_F_CLS,2020,0.002042331456
Globe,ID,ALURCPLANT,C1_F_CLS,2021,0.002162112744
Globe,ID,ALURCPLANT,C1_F_CLS,2022,0.002285322116
Globe,ID,ALURCPLANT,C1_F_CLS,2023,0.002346775563
Globe,ID,ALURCPLANT,C1_F_CLS,2024,0.00240822901
Globe,ID,ALURCPLANT,C1_F_CLS,2025,0.0024696320439999996
Globe,ID,ALURCPLANT,C1_F_CLS,2026,0.007030798632
Globe,ID,ALURCPLANT,C1_F_CLS,2027,0.007201446637
Globe,ID,ALURCPLANT,C1_F_CLS,2028,0.007372094642
Globe,ID,ALURCPLANT,C1_F_CLS,2029,0.007542793060000001
Globe,ID,ALURCPLANT,C1_F_CLS,2030,0.007713441065
Globe,ID,ALURCPLANT,C1_F_CLS,2031,0.00788408907
Globe,ID,ALURCPLANT,C1_F_CLS,2032,0.008054737075
Globe,ID,ALURCPLANT,C1_F_CLS,2033,0.008225435493
Globe,ID,ALURCPLANT,C1_F_CLS,2034,0.008396083498
Globe,ID,ALURCPLANT,C1_F_CLS,2035,0.008566731503
Globe,ID,ALURCPLANT,C1_F_CLS,2036,0.008737379508
Globe,ID,ALURCPLANT,C1_F_CLS,2037,0.008908077926000001
Globe,ID,ALURCPLANT,C1_F_CLS,2038,0.009078725930999999
Globe,ID,ALURCPLANT,C1_F_CLS,2039,0.009249373936000001
Globe,ID,ALURCPLANT,C1_F_CLS,2040,0.009420021940999999
Globe,ID,ALURCPLANT,C1_F_CLS,2041,0.009590720359
Globe,ID,ALURCPLANT,C1_F_CLS,2042,0.009761368363999998
Globe,ID,ALURCPLANT,C1_F_CLS,2043,0.009932016369
Globe,ID,ALURCPLANT,C1_F_CLS,2044,0.010102714787
Globe,ID,ALURCPLANT,C1_F_CLS,2045,0.010273362792
Globe,ID,ALURCPLANT,C1_F_CLS,2046,0.010444010797
Globe,ID,ALURCPLANT,C1_F_CLS,2047,0.010614658802
Globe,ID,ALURCPLANT,C1_F_CLS,2048,0.01078535722
Globe,ID,ALURCPLANT,C1_F_CLS,2049,0.010956005224999999
Globe,ID,ALURCPLANT,C1_F_CLS,2050,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2051,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2052,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2053,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2054,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2055,0.011126653230000002
Globe,ID,ALURCPLANT,C1_F_CLS,2056,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2057,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2058,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2059,0.01112665323
Globe,ID,ALURCPLANT,C1_F_CLS,2060,0.01112665323
Globe,ID,ALURCPLANT,C1_F_HEA_I,2010,0.002126658656
Globe,ID,ALURCPLANT,C1_F_HEA_I,2011,0.0022110362690000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2012,0.002295491793
Globe,ID,ALURCPLANT,C1_F_HEA_I,2013,0.002379869406
Globe,ID,ALURCPLANT,C1_F_HEA_I,2014,0.002464247019
Globe,ID,ALURCPLANT,C1_F_HEA_I,2015,0.0025486246320000003
Globe,ID,ALURCPLANT,C1_F_HEA_I,2016,0.0026330801559999997
Globe,ID,ALURCPLANT,C1_F_HEA_I,2017,0.002717457769
Globe,ID,ALURCPLANT,C1_F_HEA_I,2018,0.002801835382
Globe,ID,ALURCPLANT,C1_F_HEA_I,2019,0.0029764339330000003
Globe,ID,ALURCPLANT,C1_F_HEA_I,2020,0.003156330432
Globe,ID,ALURCPLANT,C1_F_HEA_I,2021,0.0033414469679999997
Globe,ID,ALURCPLANT,C1_F_HEA_I,2022,0.0035318614520000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2023,0.0036268349610000003
Globe,ID,ALURCPLANT,C1_F_HEA_I,2024,0.00372180847
Globe,ID,ALURCPLANT,C1_F_HEA_I,2025,0.0038167040680000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2026,0.010865779704
Globe,ID,ALURCPLANT,C1_F_HEA_I,2027,0.011129508439
Globe,ID,ALURCPLANT,C1_F_HEA_I,2028,0.011393237174000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2029,0.01165704382
Globe,ID,ALURCPLANT,C1_F_HEA_I,2030,0.011920772555
Globe,ID,ALURCPLANT,C1_F_HEA_I,2031,0.01218450129
Globe,ID,ALURCPLANT,C1_F_HEA_I,2032,0.012448230025
Globe,ID,ALURCPLANT,C1_F_HEA_I,2033,0.012712036671
Globe,ID,ALURCPLANT,C1_F_HEA_I,2034,0.012975765406000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2035,0.013239494141
Globe,ID,ALURCPLANT,C1_F_HEA_I,2036,0.013503222876
Globe,ID,ALURCPLANT,C1_F_HEA_I,2037,0.013767029522
Globe,ID,ALURCPLANT,C1_F_HEA_I,2038,0.014030758256999998
Globe,ID,ALURCPLANT,C1_F_HEA_I,2039,0.014294486992000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2040,0.014558215727
Globe,ID,ALURCPLANT,C1_F_HEA_I,2041,0.014822022372999998
Globe,ID,ALURCPLANT,C1_F_HEA_I,2042,0.015085751108000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2043,0.015349479843
Globe,ID,ALURCPLANT,C1_F_HEA_I,2044,0.015613286488999999
Globe,ID,ALURCPLANT,C1_F_HEA_I,2045,0.015877015224
Globe,ID,ALURCPLANT,C1_F_HEA_I,2046,0.016140743959
Globe,ID,ALURCPLANT,C1_F_HEA_I,2047,0.016404472694
Globe,ID,ALURCPLANT,C1_F_HEA_I,2048,0.01666827934
Globe,ID,ALURCPLANT,C1_F_HEA_I,2049,0.016932008074999998
Globe,ID,ALURCPLANT,C1_F_HEA_I,2050,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2051,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2052,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2053,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2054,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2055,0.017195736810000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2056,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2057,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2058,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2059,0.01719573681
Globe,ID,ALURCPLANT,C1_F_HEA_I,2060,0.01719573681
Globe,ID,ALURCPLANT,RCALU,2010,13.885830048
Globe,ID,ALURCPLANT,RCALU,2011,14.436766227000001
Globe,ID,ALURCPLANT,RCALU,2012,14.988211119000002
Globe,ID,ALURCPLANT,RCALU,2013,15.539147298000001
Globe,ID,ALURCPLANT,RCALU,2014,16.090083477000004
Globe,ID,ALURCPLANT,RCALU,2015,16.641019656
Globe,ID,ALURCPLANT,RCALU,2016,17.192464548
Globe,ID,ALURCPLANT,RCALU,2017,17.743400727
Globe,ID,ALURCPLANT,RCALU,2018,18.294336906
Globe,ID,ALURCPLANT,RCALU,2019,19.434362739
Globe,ID,ALURCPLANT,RCALU,2020,20.608981056
Globe,ID,ALURCPLANT,RCALU,2021,21.817683144
Globe,ID,ALURCPLANT,RCALU,2022,23.060977716000004
Globe,ID,ALURCPLANT,RCALU,2023,23.681098863000003
Globe,ID,ALURCPLANT,RCALU,2024,24.301220010000005
Globe,ID,ALURCPLANT,RCALU,2025,24.920832444000002
Globe,ID,ALURCPLANT,RCALU,2026,70.94714983200001
Globe,ID,ALURCPLANT,RCALU,2027,72.669143337
Globe,ID,ALURCPLANT,RCALU,2028,74.39113684200001
Globe,ID,ALURCPLANT,RCALU,2029,76.11363906
Globe,ID,ALURCPLANT,RCALU,2030,77.835632565
Globe,ID,ALURCPLANT,RCALU,2031,79.55762607
Globe,ID,ALURCPLANT,RCALU,2032,81.279619575
Globe,ID,ALURCPLANT,RCALU,2033,83.00212179300001
Globe,ID,ALURCPLANT,RCALU,2034,84.724115298
