VALUE,C1_F_CLS,C1_F_HEA_I,XCEM
2010,0.0,0.0,0.0
2011,0.0,0.0,0.0
2012,0.0,0.0,0.0
2013,0.0,0.0,0.0
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,0.0,0.0,0.0
2017,0.0,0.0,0.0
2018,0.0,0.0,0.0
2019,0.0,0.0,0.0
2020,0.0,0.0,0.0
2021,0.0,0.0,0.0
2022,0.0,0.0,0.0
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
2025,0.0,0.0,0.0
2026,0.0,0.0,0.0
2027,0.0,0.0,0.0
2028,0.0119695,0.07764,38.173
2029,0.0119695,0.07764,38.173
2030,0.0131590499999998,0.08535599999999971,41.9667
2031,0.01579086,0.1024271999999998,50.36004
2032,0.018949032,0.1229126399999998,60.432048
2033,0.0227388309999998,0.1474951199999998,72.518434
2034,0.027286612000000002,0.17699424,87.022168
2035,0.0327439269999998,0.2123930399999997,104.426578
2036,0.0392928899999998,0.2548728,125.31246000000002
2037,0.047151320000000004,0.3058463999999997,150.37448
2038,0.05658151,0.3670152,180.44914
2039,0.06789796,0.4404192,216.53944
2040,0.08147733,0.5285016,259.84662000000003
2041,1.2725484,8.254368,4058.3976000000007
2042,1.2812101,8.310552,4086.0214
2043,1.2898718,8.366736,4113.6452
2044,1.2985335,8.42292,4141.269
2045,1.3071914999999998,8.479079999999998,4168.881
2046,1.3158531999999998,8.535264000000002,4196.504800000001
2047,1.3245149,8.591448,4224.1286
2048,1.3331765999999998,8.647631999999998,4251.7524
2049,1.3418383,8.703816,4279.3762
2050,1.3504999999999998,8.76,4307.0
