VALUE,C1_F_CLS,C1_F_HEA_I,C1_P_LFO,XCEM
2010,1.2000041716799994,8.048363166879998,1.3572758915199996,4504.6424
2011,1.211882661867642,8.072512278078268,1.3514347657492838,4543.607500795418
2012,1.2237762124327742,8.096366665216703,1.3455010540572603,4582.556588105031
2013,1.2356717367882981,8.120011274378736,1.3394644409405474,4621.52285309846
2014,1.2475865264701285,8.14340995198624,1.3333434881138568,4660.489685642791
2015,1.2594985194401245,8.166555823017106,1.3271178737169516,4699.457076205287
2016,1.2714295608567894,8.189474908482834,1.3208111443318897,4738.425015465512
2017,1.2833574765456783,8.21216018148262,1.3144027895262997,4777.393494309444
2018,1.295293142092383,8.234604411823188,1.3079164044814926,4816.3625038238
2019,1.3072425796981302,8.256802134461005,1.3013263478614698,4855.313571213983
2020,1.319193375630198,8.278808867591271,1.294666214235196,4894.283569275457
2021,1.3311627239590582,8.300585562798815,1.2879101338770167,4933.254072923289
2022,1.3431281800801407,8.322158082879069,1.2810705985460995,4972.225073985806
2023,1.3551075167180828,8.34349109448089,1.2741559587825289,5011.179959884043
2024,1.3670871603229189,8.364632163487698,1.2671535921172932,5050.151931625957
2025,1.3790737176225423,8.385579303500357,1.2600829935456792,5089.124377303472
2026,1.3910783895458922,8.40632452972264,1.2529228792012919,5128.097289418071
2027,1.4030784743206266,8.426859683766816,1.2456970746244729,5167.070660628605
2028,1.4004941615534883,8.3600439337709,1.2256052786848408,5152.323418659689
2029,1.4124925401913029,8.380641800974182,1.2183993574439087,5191.2966711253575
2030,1.4230546088787341,8.392469690514021,1.2098706418018585,5224.9312771475
2031,1.4318441456032482,8.393834913321033,1.199822174799547,5252.0926659553725
2032,1.4399890106837165,8.391453162872894,1.1892520635016204,5276.891483344634
2033,1.4473695390515007,8.384621183452657,1.1780542701643464,5298.855110500457
2034,1.4538013600120885,8.372474109978526,1.166148717666862,5317.399623419935
2035,1.459127286296551,8.354098358733008,1.1534030267855704,5331.877781895865
2036,1.4630933023403063,8.328273119085308,1.1396969392884104,5341.455290650951
2037,1.465438954074515,8.293578139386113,1.1248441284819701,5345.154133362871
2038,1.4658479187072238,8.248345436685598,1.1086720464348083,5341.796588603649
2039,1.4639000871120982,8.19051757780657,1.0909244161474079,5329.952232298929
2040,1.459156714742737,8.117733626963664,1.0713590817797969,5307.96647703631
2041,0.0,0.0,0.0,0.0
2042,0.0,0.0,0.0,0.0
2043,0.0,0.0,0.0,0.0
2044,0.0,0.0,0.0,0.0
2045,0.0,0.0,0.0,0.0
2046,0.0,0.0,0.0,0.0
2047,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0
2049,0.0,0.0,0.0,0.0
2050,0.0,0.0,0.0,0.0
