REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,2010,0.0023616195430897985
Globe,ALUPLANT,CO2EQ,2011,0.0024363556788494166
Globe,ALUPLANT,CO2EQ,2012,0.002509888685472986
Globe,ALUPLANT,CO2EQ,2013,0.002582355463414418
Globe,ALUPLANT,CO2EQ,2014,0.0026537104953761373
Globe,ALUPLANT,CO2EQ,2015,0.0027239977010693507
Globe,ALUPLANT,CO2EQ,2016,0.0027932375667686555
Globe,ALUPLANT,CO2EQ,2017,0.0028614410542164796
Globe,ALUPLANT,CO2EQ,2018,0.00292865507036556
Globe,ALUPLANT,CO2EQ,2019,0.0029508221668005236
Globe,ALUPLANT,CO2EQ,2020,0.002970150318514105
Globe,ALUPLANT,CO2EQ,2021,0.002986651001174911
Globe,ALUPLANT,CO2EQ,2022,0.003000372296198855
Globe,ALUPLANT,CO2EQ,2023,0.0030591948806203704
Globe,ALUPLANT,CO2EQ,2024,0.0031172142647394687
Globe,ALUPLANT,CO2EQ,2025,0.0031744358405287635
Globe,ALUPLANT,WATER,2010,0.020992173716353767
Globe,ALUPLANT,WATER,2011,0.02192720110964475
Globe,ALUPLANT,WATER,2012,0.02258899816925687
Globe,ALUPLANT,WATER,2013,0.023528127555553592
Globe,ALUPLANT,WATER,2014,0.0241782511800937
Globe,ALUPLANT,WATER,2015,0.025121312132084014
Globe,ALUPLANT,WATER,2016,0.026070217289840783
Globe,ALUPLANT,WATER,2017,0.02670678317268714
Globe,ALUPLANT,WATER,2018,0.02765952010900807
Globe,ALUPLANT,WATER,2019,0.02786887601978273
Globe,ALUPLANT,WATER,2020,0.02838143637691256
Globe,ALUPLANT,WATER,2021,0.028870959678024142
Globe,ALUPLANT,WATER,2022,0.029003598863255597
Globe,ALUPLANT,WATER,2023,0.0299121277216214
Globe,ALUPLANT,WATER,2024,0.030479428366341474
Globe,ALUPLANT,WATER,2025,0.03139164331189555
Globe,C1BMCHP00,WATER,2010,0.0032108819904000004
Globe,C1BMCHP00,WATER,2011,0.0031798089388800003
Globe,C1BMCHP00,WATER,2012,0.00314528332608
Globe,C1BMCHP00,WATER,2013,0.00311075771328
Globe,C1BMCHP00,WATER,2014,0.0031763563776
Globe,C1BMCHP00,WATER,2015,0.0032626704095999994
Globe,C1BMCHP00,WATER,2016,0.004594043584681511
Globe,C1BMCHP00,WATER,2017,0.004680357616681511
Globe,C1BMCHP00,WATER,2018,0.004790839577641511
Globe,C1BMCHP00,WATER,2019,0.004890963854761511
Globe,C1BMCHP00,WATER,2020,0.00501525606084151
Globe,C1BMCHP00,WATER,2021,0.00512573802180151
Globe,C1BMCHP00,WATER,2022,0.004666547371561511
Globe,C1BMCHP00,WATER,2023,0.00327191207029239
Globe,C1BMCHP00,WATER,2028,0.00015030769960823272
Globe,C1BMCHP00,WATER,2029,0.0003080605436097794
Globe,C1BMCHP00,WATER,2030,0.00031035907708425
Globe,C1BMCHP00,WATER,2031,0.00029783978966024994
Globe,C1BMCHP00,WATER,2032,0.00029783978966024994
Globe,C1BMCHP00,WATER,2033,0.00029783978966024994
Globe,C1BMCHP00,WATER,2034,0.00029783978966024994
Globe,C1BMCHP00,WATER,2035,0.00029783978966024994
Globe,C1BMHTF03,WATER,2010,0.02000260339042298
Globe,C1BMHTF03,WATER,2011,0.019467279790422978
Globe,C1BMHTF03,WATER,2012,0.018931956190422976
Globe,C1BMHTF03,WATER,2013,0.018400915179222977
Globe,C1BMHTF03,WATER,2014,0.017865591579222975
Globe,C1BMHTF03,WATER,2015,0.01733026797922298
Globe,C1BMHTF03,WATER,2016,0.01679494437922298
Globe,C1BMHTF03,WATER,2017,0.016259620779222973
Globe,C1BMHTF03,WATER,2018,0.015724297179222975
Globe,C1BMHTF03,WATER,2019,0.015188973579222977
Globe,C1BMHTF03,WATER,2020,0.014657932568022976
Globe,C1BMHTF03,WATER,2021,0.014122608968022978
Globe,C1BMHTF03,WATER,2030,0.0004817704495518775
Globe,C1BMHTF03,WATER,2045,0.0021412944
Globe,C1BMHTF03,WATER,2046,0.0026006469481458087
Globe,C1BMHTF03,WATER,2047,0.0029578469616107898
Globe,C1BMHTF03,WATER,2048,0.0033397969909942375
Globe,C1BMHTF03,WATER,2049,0.0037281384037467394
Globe,C1BMHTF03,WATER,2050,0.0041318997650531715
Globe,C1BMHTF03,WATER,2051,0.004744621394937415
Globe,C1BMHTF03,WATER,2052,0.005326909906757488
Globe,C1BMHTF03,WATER,2053,0.005887757274926955
Globe,C1BMHTF03,WATER,2054,0.006437747095662433
Globe,C1BMHTF03,WATER,2055,0.0069846515591778496
Globe,C1BMHTF03,WATER,2056,0.007213395511018576
Globe,C1BMHTF03,WATER,2057,0.0072759197828632235
Globe,C1BMHTF03,WATER,2058,0.007324851821698173
Globe,C1BMHTF03,WATER,2059,0.007365628520727176
