REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2016,0.09469729640961767
Globe,ALUPLANT,2017,0.23408165271980388
Globe,ALUPLANT,2018,0.23308224016564447
Globe,ALUPLANT,2019,0.18303010714996096
Globe,ALUPLANT,2020,0.17977572412620088
Globe,ALUPLANT,2021,0.1767340918453406
Globe,ALUPLANT,2022,0.4769783069337548
Globe,ALUPLANT,2023,0.22960528816824913
Globe,ALUPLANT,2024,0.22873164123342127
Globe,ALUPLANT,2025,0.27103458516885404
Globe,ALURCPLANT,2010,27.296
Globe,ALURCPLANT,2011,1.083000000000002
Globe,ALURCPLANT,2012,1.084000000000001
Globe,ALURCPLANT,2013,1.0830000000000002
Globe,ALURCPLANT,2014,1.0830000000000015
Globe,ALURCPLANT,2015,1.0830000000000013
Globe,ALURCPLANT,2016,1.083999999999996
Globe,ALURCPLANT,2017,1.0829999999999984
Globe,ALURCPLANT,2018,1.0830000000000055
Globe,ALURCPLANT,2019,2.241
Globe,ALURCPLANT,2020,2.308999999999996
Globe,ALURCPLANT,2021,2.376
Globe,ALURCPLANT,2022,2.444000000000004
Globe,ALURCPLANT,2023,1.219000000000002
Globe,ALURCPLANT,2024,1.2190000000000014
Globe,ALURCPLANT,2025,1.2179999999999969
Globe,ALURCPLANT,2026,90.476
Globe,ALURCPLANT,2027,3.384999999999996
Globe,ALURCPLANT,2028,3.3850000000000264
Globe,ALURCPLANT,2029,3.386000000000001
Globe,ALURCPLANT,2030,3.384999999999992
Globe,ALURCPLANT,2031,3.384999999999991
Globe,ALURCPLANT,2032,3.385000000000018
Globe,ALURCPLANT,2033,3.385999999999981
Globe,ALURCPLANT,2034,3.384999999999991
Globe,ALURCPLANT,2035,30.681000000000008
Globe,ALURCPLANT,2036,4.46800000000002
Globe,ALURCPLANT,2037,4.469999999999972
Globe,ALURCPLANT,2038,4.467999999999988
Globe,ALURCPLANT,2039,4.468000000000046
Globe,ALURCPLANT,2040,4.467999999999988
Globe,ALURCPLANT,2041,4.469999999999972
Globe,ALURCPLANT,2042,4.467999999999988
Globe,ALURCPLANT,2043,4.468000000000075
Globe,ALURCPLANT,2044,5.626999999999981
Globe,ALURCPLANT,2045,5.693999999999988
Globe,ALURCPLANT,2046,5.760999999999996
Globe,ALURCPLANT,2047,5.829000000000008
Globe,ALURCPLANT,2048,4.60499999999999
Globe,ALURCPLANT,2049,4.603999999999985
Globe,ALURCPLANT,2050,4.603000000000037
Globe,ALURCPLANT,2051,90.47599999999998
Globe,ALURCPLANT,2052,3.384999999999991
Globe,ALURCPLANT,2053,3.3850000000000198
Globe,ALURCPLANT,2054,3.386000000000005
Globe,ALURCPLANT,2055,3.384999999999991
Globe,ALURCPLANT,2056,3.384999999999996
Globe,ALURCPLANT,2057,3.385000000000016
Globe,ALURCPLANT,2058,3.386000000000005
Globe,ALURCPLANT,2059,3.384999999999991
Globe,ALURCPLANT,2060,30.681000000000008
Globe,C1BFRDF00,2010,0.5605999999999999
Globe,C1BFRDF00,2011,0.023000000000000128
Globe,C1BFRDF00,2012,0.02310000000000001
Globe,C1BMBRFH1,2024,0.0478
Globe,C1BMBRFH1,2025,0.0522
Globe,C1BMBRFH1,2039,0.0478
Globe,C1BMBRFH1,2040,0.0522
Globe,C1BMBRFH1,2054,0.0478
Globe,C1BMBRFH1,2055,0.0522
Globe,C1BMBRFN1,2010,0.017169398574287818
Globe,C1BMCHP00,2010,0.06
Globe,C1BMCHP00,2016,0.03516189846053972
Globe,C1BMHTF03,2010,0.21736803582036587
Globe,C1BMHTF03,2030,0.05
Globe,C1BMHTF03,2046,0.010726048415991025
Globe,C1BMHTF03,2047,0.008340749722807543
Globe,C1BMHTF03,2048,0.0089186715610764
Globe,C1BMHTF03,2049,0.009067912678249792
Globe,C1BMHTF03,2050,0.059427974063408266
Globe,C1BMHTF03,2051,0.014307272037984296
Globe,C1BMHTF03,2052,0.013596647705707251
Globe,C1BMHTF03,2053,0.01309598923364924
Globe,C1BMHTF03,2054,0.012842461567533155
Globe,C1BMHTF03,2055,0.012770417358664386
Globe,C1BMHTF03,2056,0.005341254146107133
Globe,C1BMHTF03,2057,0.0014599643992121176
Globe,C1BMHTF03,2058,0.001142580834166363
Globe,C1BMHTF03,2059,0.0009521506951356576
Globe,C1BMHTF03,2060,0.0007299821996084437
Globe,C1BMIGPCS,2021,0.1
Globe,C1BMIGPCS,2022,0.1
Globe,C1BMIGPCS,2023,0.1
Globe,C1BMIGPCS,2024,0.09347970168174877
Globe,C1BMIGPCS,2025,0.003868827767358604
Globe,C1BMIGPCS,2026,0.004168642899952518
Globe,C1BMIGPCS,2027,0.004380443613785084
Globe,C1BMIGPCS,2028,0.0001523503276745767
Globe,C1BMIGPCS,2051,0.09999999999999992
Globe,C1BMIGPCS,2052,0.09999999999999992
Globe,C1BMIGPCS,2053,0.1
Globe,C1BMIGPCS,2054,0.09347970168174888
Globe,C1BMIGPCS,2055,0.003868827767358424
Globe,C1BMIGPCS,2056,0.004168642899952641
Globe,C1BMIGPCS,2057,0.004380443613785008
Globe,C1BMIGPCS,2058,0.00015235032767461231
Globe,C1BMLP000,2010,2.872425191489361
Globe,C1BMLP000,2011,0.359009957446809
Globe,C1BMLP000,2012,0.35616378723404213
Globe,C1BMLP000,2014,2.3325110212765967
Globe,C1COBRFH1,2010,0.08
Globe,C1COBRFH1,2011,0.08
Globe,C1COBRFH1,2012,0.08
Globe,C1COBRFH1,2013,0.08
Globe,C1COBRFH1,2016,0.007844569333510477
Globe,C1COBRFH1,2019,0.07154083412253422
Globe,C1COCHP00,2010,0.1
Globe,C1COCHP00,2014,0.005735336749717529
Globe,C1COCHP00,2015,0.1
Globe,C1COCHP00,2016,0.1
Globe,C1COCHP00,2017,0.1
Globe,C1COCHP00,2018,0.1
Globe,C1COCHP00,2019,0.1
Globe,C1COCHP00,2020,0.1
Globe,C1COCHP00,2021,0.1
Globe,C1COCHP00,2022,0.1
Globe,C1COCHP00,2039,0.06758979132675347
Globe,C1COCHP00,2040,0.1
Globe,C1COCHP00,2041,0.1
Globe,C1COCHP00,2042,0.1
Globe,C1COCHP00,2043,0.1
Globe,C1COCHP00,2044,0.1
Globe,C1COCHP00,2045,0.1
Globe,C1COCHP00,2046,0.1
Globe,C1COCHP00,2047,0.1
Globe,C1COCHP00,2048,0.1
Globe,C1COCHP00,2049,0.1
Globe,C1COCHP00,2050,0.04955578998771668
Globe,C1COCHP00,2054,0.026559707405747448
Globe,C1COCHP00,2055,0.1
Globe,C1COCHP00,2056,0.1
Globe,C1COCHP00,2057,0.1
Globe,C1COCHP00,2058,0.1
Globe,C1COCHP00,2059,0.1
Globe,C1COCHP00,2060,0.05018232127964549
Globe,C1COHTF03,2010,0.15
Globe,C1COHTF03,2011,0.15
Globe,C1COHTF03,2012,0.15
Globe,C1COHTF03,2013,0.15
Globe,C1COHTF03,2014,0.15
Globe,C1COHTF03,2015,0.15
Globe,C1COHTF03,2016,0.15
Globe,C1COHTF03,2017,0.15
Globe,C1COHTF03,2018,0.15
Globe,C1COHTF03,2019,0.15
Globe,C1COHTF03,2020,0.15
Globe,C1COHTF03,2021,0.15
Globe,C1COLP000,2010,4.0
Globe,C1COSCP00,2011,0.08837214909072556
Globe,C1COSCP00,2013,0.08022785090927441
Globe,C1COSCP00,2014,0.08
Globe,C1COSCP00,2015,0.09490000000000003
Globe,C1COSCP00,2016,0.08
Globe,C1COSCP00,2017,0.06899999999999995
Globe,C1COSCP00,2018,0.04960000000000012
Globe,C1COSCP00,2019,0.07240000000000002
Globe,C1COSCP00,2020,0.04819999999999991
Globe,C1COSCPCS,2021,0.1
Globe,C1COSCPCS,2022,0.1
Globe,C1COSCPCS,2023,0.1
Globe,C1COSCPCS,2024,0.1
Globe,C1COSCPCS,2025,0.006049966290519577
Globe,C1COSF000,2010,3.0
Globe,C1ELHGP00,2019,0.000257
Globe,C1ELHGP00,2020,6.199999999999999e-05
Globe,C1ELHGP00,2025,0.000257
Globe,C1ELHGP00,2026,6.199999999999999e-05
Globe,C1ELHGP00,2031,0.000257
Globe,C1ELHGP00,2032,6.199999999999999e-05
Globe,C1ELHGP00,2037,0.000257
Globe,C1ELHGP00,2038,6.199999999999999e-05
Globe,C1ELHGP00,2043,0.000257
Globe,C1ELHGP00,2044,6.199999999999999e-05
Globe,C1ELHGP00,2047,0.0016991594828219675
Globe,C1ELHGP00,2048,0.13157084785629608
Globe,C1ELHGP00,2049,0.0405577311773422
Globe,C1ELHGP00,2050,0.03700183835686465
Globe,C1ELHGP00,2051,0.012751440444246588
Globe,C1ELHGP00,2052,0.012817212440942388
Globe,C1ELHGP00,2053,0.0016991594828219374
Globe,C1ELHGP00,2054,0.13157084785629605
Globe,C1ELHGP00,2056,0.010468986153429082
Globe,C1ELHGP00,2057,0.012124036471453336
Globe,C1ELHGP00,2058,0.012326200636177934
Globe,C1ELHGP00,2059,0.0012899829788508986
Globe,C1ELHGP00,2060,0.29650119031216227
Globe,C1ELRDF00,2010,0.117811121595962
Globe,C1ELRDF00,2016,0.08218887840403802
Globe,C1ELRDF00,2018,0.060000000000000005
Globe,C1ELRDF00,2019,0.029999999999999964
Globe,C1ELRDF00,2021,0.08000000000000002
Globe,C1ELRDF00,2022,0.20602626451544703
Globe,C1ELRDF00,2023,0.05454942177612912
Globe,C1ELRDF00,2024,0.05454942177612923
Globe,C1ELRDF00,2025,0.07636919048658078
Globe,C1ELRDF00,2026,0.0763691904865809
Globe,C1ELRDF00,2027,0.08727907484180655
Globe,C1ELRDF00,2028,0.18037783760107065
Globe,C1ELRDF00,2029,0.09818895919703247
Globe,C1ELRDF00,2030,0.1800087279074843
Globe,C1ELRDF00,2031,0.1718284966179356
Globe,C1ELRDF00,2032,0.1527383809731618
Globe,C1ELRDF00,2033,0.25455814968361307
Globe,C1ELRDF00,2034,0.4024041829095121
Globe,C1ELRDF00,2035,0.272747108880646
Globe,C1ELRDF00,2036,0.0545494217761292
Globe,C1ELRDF00,2037,0.07636919048658075
Globe,C1ELRDF00,2038,0.07636919048658104
Globe,C1ELRDF00,2039,0.08727907484180641
Globe,C1ELRDF00,2040,0.18037783760107065
Globe,C1ELRDF00,2041,0.09818895919703267
Globe,C1ELRDF00,2042,0.180008727907484
Globe,C1ELRDF00,2043,0.004409775256382106
Globe,C1ELRDF00,2044,0.15273838097316228
