REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,1.5434664056257001
Globe,ID,ALUPLANT,C1_F_CLS,2011,1.4574415023970482
Globe,ID,ALUPLANT,C1_F_CLS,2012,1.612348527917508
Globe,ID,ALUPLANT,C1_F_CLS,2013,1.5403865110620938
Globe,ID,ALUPLANT,C1_F_CLS,2014,1.580694450839665
Globe,ID,ALUPLANT,C1_F_CLS,2015,1.620245939252499
Globe,ID,ALUPLANT,C1_F_CLS,2016,1.6590558671714286
Globe,ID,ALUPLANT,C1_F_CLS,2017,1.6971302273926414
Globe,ID,ALUPLANT,C1_F_CLS,2018,1.7345057276075706
Globe,ID,ALUPLANT,C1_F_CLS,2019,1.7451260655197194
Globe,ID,ALUPLANT,C1_F_CLS,2020,1.7540321710995668
Globe,ID,ALUPLANT,C1_F_CLS,2021,1.76123473239507
Globe,ID,ALUPLANT,C1_F_CLS,2022,1.9275320686348323
Globe,ID,ALUPLANT,C1_F_CLS,2023,1.962484603988243
Globe,ID,ALUPLANT,C1_F_CLS,2024,1.996813531185457
Globe,ID,ALUPLANT,C1_F_CLS,2025,1.8611752604529477
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,0.7051020601049984
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,0.6675912336852595
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,0.7405340864532102
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,0.7093845229353338
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,0.7299030717532067
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,0.75017686021805
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,0.7702135338553819
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,0.7900089019007297
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,0.8095778832847197
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,0.8167252806357526
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,0.8231045571017318
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,0.828709371797115
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,0.9093971526172578
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,0.9283792779884444
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,0.9471617038291283
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,0.8852055427351813
Globe,ID,ALUPLANT,C1_P_HCO,2010,0.5922800049335084
Globe,ID,ALUPLANT,C1_P_HCO,2011,0.5612388941797517
Globe,ID,ALUPLANT,C1_P_HCO,2012,0.6230793456560648
Globe,ID,ALUPLANT,C1_P_HCO,2013,0.5973648122162645
Globe,ID,ALUPLANT,C1_P_HCO,2014,0.6151536813659254
Globe,ID,ALUPLANT,C1_P_HCO,2015,0.6327604526455117
Globe,ID,ALUPLANT,C1_P_HCO,2016,0.6501912192086292
Globe,ID,ALUPLANT,C1_P_HCO,2017,0.6674502021696888
Globe,ID,ALUPLANT,C1_P_HCO,2018,0.6845405820860567
Globe,ID,ALUPLANT,C1_P_HCO,2019,0.6911481252906115
Globe,ID,ALUPLANT,C1_P_HCO,2020,0.6971074804233429
Globe,ID,ALUPLANT,C1_P_HCO,2021,0.7024204934629901
Globe,ID,ALUPLANT,C1_P_HCO,2022,0.7714354560824614
Globe,ID,ALUPLANT,C1_P_HCO,2023,0.7881689605818747
Globe,ID,ALUPLANT,C1_P_HCO,2024,0.8047569995100606
Globe,ID,ALUPLANT,C1_P_HCO,2025,0.7527151722043125
Globe,ID,ALUPLANT,XALU,2010,246.71415160312128
Globe,ID,ALUPLANT,XALU,2011,235.31324759217864
Globe,ID,ALUPLANT,XALU,2012,262.93109252877457
Globe,ID,ALUPLANT,XALU,2013,253.69404386645036
Globe,ID,ALUPLANT,XALU,2014,262.90309877691396
Globe,ID,ALUPLANT,XALU,2015,272.12343567348216
Globe,ID,ALUPLANT,XALU,2016,281.35506110736566
Globe,ID,ALUPLANT,XALU,2017,290.59587182621897
Globe,ID,ALUPLANT,XALU,2018,299.8487223487832
Globe,ID,ALUPLANT,XALU,2019,304.5635361711121
Globe,ID,ALUPLANT,XALU,2020,309.01938938873843
Globe,ID,ALUPLANT,XALU,2021,313.2110860435467
Globe,ID,ALUPLANT,XALU,2022,345.9917280833768
Globe,ID,ALUPLANT,XALU,2023,355.54064215640153
Globe,ID,ALUPLANT,XALU,2024,365.1014629745919
Globe,ID,ALUPLANT,XALU,2025,343.4252832623241
Globe,ID,ALURCPLANT,C1_F_CLS,2010,0.00300256
Globe,ID,ALURCPLANT,C1_F_CLS,2011,0.0031216900000000003
Globe,ID,ALURCPLANT,C1_F_CLS,2012,0.0032409300000000004
Globe,ID,ALURCPLANT,C1_F_CLS,2013,0.00336006
Globe,ID,ALURCPLANT,C1_F_CLS,2014,0.00347919
Globe,ID,ALURCPLANT,C1_F_CLS,2015,0.0035983200000000003
Globe,ID,ALURCPLANT,C1_F_CLS,2016,0.00371756
Globe,ID,ALURCPLANT,C1_F_CLS,2017,0.00383669
Globe,ID,ALURCPLANT,C1_F_CLS,2018,0.0039558200000000005
Globe,ID,ALURCPLANT,C1_F_CLS,2019,0.004202330000000001
Globe,ID,ALURCPLANT,C1_F_CLS,2020,0.004456320000000001
Globe,ID,ALURCPLANT,C1_F_CLS,2021,0.00471768
Globe,ID,ALURCPLANT,C1_F_CLS,2022,0.00498652
Globe,ID,ALURCPLANT,C1_F_CLS,2023,0.00512061
Globe,ID,ALURCPLANT,C1_F_CLS,2024,0.0052547
Globe,ID,ALURCPLANT,C1_F_CLS,2025,0.00538868
Globe,ID,ALURCPLANT,C1_F_CLS,2026,0.01534104
Globe,ID,ALURCPLANT,C1_F_CLS,2027,0.01571339
Globe,ID,ALURCPLANT,C1_F_CLS,2028,0.01608574
Globe,ID,ALURCPLANT,C1_F_CLS,2029,0.016458200000000003
Globe,ID,ALURCPLANT,C1_F_CLS,2030,0.01683055
Globe,ID,ALURCPLANT,C1_F_CLS,2031,0.0172029
Globe,ID,ALURCPLANT,C1_F_CLS,2032,0.01757525
Globe,ID,ALURCPLANT,C1_F_CLS,2033,0.017947710000000002
Globe,ID,ALURCPLANT,C1_F_CLS,2034,0.01832006
Globe,ID,ALURCPLANT,C1_F_CLS,2035,0.018692410000000003
Globe,ID,ALURCPLANT,C1_F_CLS,2036,0.01906476
Globe,ID,ALURCPLANT,C1_F_CLS,2037,0.01943722
Globe,ID,ALURCPLANT,C1_F_CLS,2038,0.01980957
Globe,ID,ALURCPLANT,C1_F_CLS,2039,0.020181920000000002
Globe,ID,ALURCPLANT,C1_F_CLS,2040,0.02055427
Globe,ID,ALURCPLANT,C1_F_CLS,2041,0.02092673
Globe,ID,ALURCPLANT,C1_F_CLS,2042,0.021299079999999998
Globe,ID,ALURCPLANT,C1_F_CLS,2043,0.021671430000000002
Globe,ID,ALURCPLANT,C1_F_CLS,2044,0.02204389
Globe,ID,ALURCPLANT,C1_F_CLS,2045,0.02241624
Globe,ID,ALURCPLANT,C1_F_CLS,2046,0.02278859
Globe,ID,ALURCPLANT,C1_F_CLS,2047,0.02316094
Globe,ID,ALURCPLANT,C1_F_CLS,2048,0.0235334
Globe,ID,ALURCPLANT,C1_F_CLS,2049,0.02390575
Globe,ID,ALURCPLANT,C1_F_CLS,2050,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2051,0.024278100000000004
Globe,ID,ALURCPLANT,C1_F_CLS,2052,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2053,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2054,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2055,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2056,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2057,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2058,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2059,0.0242781
Globe,ID,ALURCPLANT,C1_F_CLS,2060,0.0242781
Globe,ID,ALURCPLANT,C1_F_HEA_I,2010,0.00464032
Globe,ID,ALURCPLANT,C1_F_HEA_I,2011,0.00482443
Globe,ID,ALURCPLANT,C1_F_HEA_I,2012,0.00500871
Globe,ID,ALURCPLANT,C1_F_HEA_I,2013,0.00519282
Globe,ID,ALURCPLANT,C1_F_HEA_I,2014,0.00537693
Globe,ID,ALURCPLANT,C1_F_HEA_I,2015,0.005561040000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2016,0.00574532
Globe,ID,ALURCPLANT,C1_F_HEA_I,2017,0.00592943
Globe,ID,ALURCPLANT,C1_F_HEA_I,2018,0.006113540000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2019,0.006494510000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2020,0.006887040000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2021,0.00729096
Globe,ID,ALURCPLANT,C1_F_HEA_I,2022,0.007706440000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2023,0.007913670000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2024,0.0081209
Globe,ID,ALURCPLANT,C1_F_HEA_I,2025,0.00832796
Globe,ID,ALURCPLANT,C1_F_HEA_I,2026,0.02370888
Globe,ID,ALURCPLANT,C1_F_HEA_I,2027,0.02428433
Globe,ID,ALURCPLANT,C1_F_HEA_I,2028,0.024859780000000005
Globe,ID,ALURCPLANT,C1_F_HEA_I,2029,0.025435400000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2030,0.026010850000000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2031,0.0265863
Globe,ID,ALURCPLANT,C1_F_HEA_I,2032,0.027161750000000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2033,0.02773737
Globe,ID,ALURCPLANT,C1_F_HEA_I,2034,0.028312820000000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2035,0.028888270000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2036,0.029463720000000002
Globe,ID,ALURCPLANT,C1_F_HEA_I,2037,0.03003934
Globe,ID,ALURCPLANT,C1_F_HEA_I,2038,0.03061479
Globe,ID,ALURCPLANT,C1_F_HEA_I,2039,0.031190240000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2040,0.03176569
Globe,ID,ALURCPLANT,C1_F_HEA_I,2041,0.03234131
Globe,ID,ALURCPLANT,C1_F_HEA_I,2042,0.03291676
Globe,ID,ALURCPLANT,C1_F_HEA_I,2043,0.03349221
Globe,ID,ALURCPLANT,C1_F_HEA_I,2044,0.03406783
Globe,ID,ALURCPLANT,C1_F_HEA_I,2045,0.03464328
Globe,ID,ALURCPLANT,C1_F_HEA_I,2046,0.035218730000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2047,0.03579418
Globe,ID,ALURCPLANT,C1_F_HEA_I,2048,0.0363698
Globe,ID,ALURCPLANT,C1_F_HEA_I,2049,0.03694525
Globe,ID,ALURCPLANT,C1_F_HEA_I,2050,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2051,0.03752070000000001
Globe,ID,ALURCPLANT,C1_F_HEA_I,2052,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2053,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2054,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2055,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2056,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2057,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2058,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2059,0.037520700000000004
Globe,ID,ALURCPLANT,C1_F_HEA_I,2060,0.037520700000000004
Globe,ID,ALURCPLANT,RCALU,2010,30.298560000000002
Globe,ID,ALURCPLANT,RCALU,2011,31.500690000000006
Globe,ID,ALURCPLANT,RCALU,2012,32.70393000000001
Globe,ID,ALURCPLANT,RCALU,2013,33.906060000000004
Globe,ID,ALURCPLANT,RCALU,2014,35.10819000000001
Globe,ID,ALURCPLANT,RCALU,2015,36.310320000000004
Globe,ID,ALURCPLANT,RCALU,2016,37.513560000000005
Globe,ID,ALURCPLANT,RCALU,2017,38.71569
Globe,ID,ALURCPLANT,RCALU,2018,39.917820000000006
Globe,ID,ALURCPLANT,RCALU,2019,42.405330000000006
Globe,ID,ALURCPLANT,RCALU,2020,44.96832000000001
Globe,ID,ALURCPLANT,RCALU,2021,47.60568
Globe,ID,ALURCPLANT,RCALU,2022,50.31852000000001
Globe,ID,ALURCPLANT,RCALU,2023,51.67161000000001
Globe,ID,ALURCPLANT,RCALU,2024,53.02470000000001
Globe,ID,ALURCPLANT,RCALU,2025,54.37668000000001
Globe,ID,ALURCPLANT,RCALU,2026,154.80504000000002
Globe,ID,ALURCPLANT,RCALU,2027,158.56239
Globe,ID,ALURCPLANT,RCALU,2028,162.31974000000002
Globe,ID,ALURCPLANT,RCALU,2029,166.0782
Globe,ID,ALURCPLANT,RCALU,2030,169.83555
Globe,ID,ALURCPLANT,RCALU,2031,173.5929
Globe,ID,ALURCPLANT,RCALU,2032,177.35025000000002
Globe,ID,ALURCPLANT,RCALU,2033,181.10871000000003
Globe,ID,ALURCPLANT,RCALU,2034,184.86606
Globe,ID,ALURCPLANT,RCALU,2035,188.62341000000004
Globe,ID,ALURCPLANT,RCALU,2036,192.38076
Globe,ID,ALURCPLANT,RCALU,2037,196.13922000000002
Globe,ID,ALURCPLANT,RCALU,2038,199.89657
Globe,ID,ALURCPLANT,RCALU,2039,203.65392000000003
Globe,ID,ALURCPLANT,RCALU,2040,207.41127000000003
Globe,ID,ALURCPLANT,RCALU,2041,211.16973000000002
Globe,ID,ALURCPLANT,RCALU,2042,214.92708
Globe,ID,ALURCPLANT,RCALU,2043,218.68443000000002
Globe,ID,ALURCPLANT,RCALU,2044,222.44289000000003
Globe,ID,ALURCPLANT,RCALU,2045,226.20024
Globe,ID,ALURCPLANT,RCALU,2046,229.95759000000004
Globe,ID,ALURCPLANT,RCALU,2047,233.71494
Globe,ID,ALURCPLANT,RCALU,2048,237.47340000000003
